open,high,low,close,volume,vwap,timestamp,transactions,otc
115.2,115.2,115.2,115.2,360,115.1403,1635851340000,8,
115.13,115.13,115.13,115.13,100,115.13,1635855240000,1,
115.0,115.0,115.0,115.0,365,115.0,1635855540000,2,
115.15,115.15,115.15,115.15,100,115.15,1635856560000,1,
115.17,115.17,115.17,115.17,248,115.1366,1635857100000,6,
114.96,114.96,114.96,114.96,198,114.9745,1635857400000,6,
115.0,115.0,115.0,115.0,193,115.0244,1635859020000,7,
115.19,115.19,115.19,115.19,176,115.1898,1635859320000,2,
115.03,115.06,114.98,115.06,4043,115.0041,1635859380000,13,
115.17,115.31,115.17,115.31,5267,115.2713,1635859740000,52,
115.25,115.4,115.24,115.37,113733,115.2613,1635859800000,514,
115.44,115.45,115.31,115.4,7958,115.408,1635859860000,168,
115.44,115.53,115.37,115.53,14799,115.4607,1635859920000,182,
115.496,115.6,115.47,115.5,16891,115.5335,1635859980000,229,
115.535,115.55,115.23,115.247,12527,115.4358,1635860040000,202,
115.24,115.495,115.16,115.24,12645,115.2322,1635860100000,197,
115.22,115.3,115.1714,115.27,13862,115.2542,1635860160000,179,
115.245,115.44,115.24,115.44,19072,115.3199,1635860220000,223,
115.415,115.51,115.39,115.39,10405,115.4362,1635860280000,203,
115.385,115.515,115.36,115.45,20596,115.4231,1635860340000,235,
115.44,115.48,115.26,115.405,52511,115.3912,1635860400000,381,
115.385,115.47,115.2601,115.3,14123,115.368,1635860460000,190,
115.31,115.38,115.24,115.3,29700,115.3192,1635860520000,375,
115.31,115.53,115.25,115.495,19312,115.3956,1635860580000,308,
115.48,115.55,115.4,115.52,71390,115.4673,1635860640000,314,
115.5,115.78,115.5,115.74,38085,115.6609,1635860700000,410,
115.745,115.87,115.71,115.785,38609,115.7968,1635860760000,473,
115.795,115.81,115.68,115.79,26956,115.7564,1635860820000,339,
115.79,115.8,115.75,115.775,16091,115.7802,1635860880000,243,
115.775,115.79,115.6,115.6,13063,115.6894,1635860940000,203,
115.62,115.7,115.61,115.62,15321,115.6603,1635861000000,166,
115.66,115.7,115.52,115.57,16755,115.5965,1635861060000,254,
115.54,115.6399,115.52,115.63,9586,115.5804,1635861120000,126,
115.63,115.67,115.25,115.6401,241459,115.2623,1635861180000,114,
115.68,115.765,115.66,115.734,22130,115.7277,1635861240000,265,
115.72,115.83,115.72,115.812,25957,115.7781,1635861300000,235,
115.7975,115.8817,115.7975,115.87,12919,115.8559,1635861360000,191,
115.87,115.94,115.79,115.92,30547,115.8659,1635861420000,327,
115.92,115.97,115.87,115.93,14897,115.9231,1635861480000,207,
115.92,115.97,115.87,115.92,17253,115.9183,1635861540000,242,
115.93,115.98,115.9,115.93,21259,115.9417,1635861600000,270,
115.97,116.025,115.93,116.01,45509,115.9981,1635861660000,379,
116.0,116.0,115.871,115.91,16076,115.9363,1635861720000,220,
115.89,115.946,115.88,115.88,4975,115.9094,1635861780000,77,
115.875,115.95,115.86,115.94,13886,115.9227,1635861840000,150,
115.91,115.91,115.85,115.88,12359,115.8729,1635861900000,207,
115.86,115.8908,115.78,115.8,13406,115.8464,1635861960000,224,
115.79,115.8499,115.75,115.84,18488,115.8108,1635862020000,260,
115.833,115.9,115.8154,115.89,3396,115.8484,1635862080000,93,
115.9,115.98,115.9,115.97,6491,115.9366,1635862140000,134,
115.98,116.06,115.98,116.04,12292,116.0227,1635862200000,190,
116.03,116.2,116.01,116.12,46152,116.1276,1635862260000,553,
116.12,116.21,116.07,116.21,15602,116.1349,1635862320000,273,
116.2,116.33,116.2,116.3,22880,116.2636,1635862380000,316,
116.3,116.47,116.2985,116.44,28664,116.4164,1635862440000,334,
116.44,116.56,116.38,116.385,30398,116.4841,1635862500000,425,
116.39,116.5,116.39,116.4,122372,116.5385,1635862560000,289,
116.415,116.415,116.18,116.18,30342,116.3162,1635862620000,392,
116.195,116.26,116.16,116.26,13343,116.1953,1635862680000,195,
116.23,116.2786,116.15,116.17,19021,116.2195,1635862740000,252,
116.155,116.17,116.07,116.07,23927,116.1228,1635862800000,244,
116.07,116.16,116.06,116.13,19046,116.0946,1635862860000,209,
116.15,116.3,116.15,116.3,10523,116.2059,1635862920000,199,
116.3,116.32,116.19,116.22,18346,116.2578,1635862980000,216,
116.21,116.29,116.2,116.26,8255,116.2394,1635863040000,130,
116.2583,116.29,116.18,116.18,45222,116.2541,1635863100000,244,
116.1425,116.155,116.07,116.12,37094,116.104,1635863160000,213,
116.09,116.16,116.09,116.13,12319,116.1355,1635863220000,241,
116.15,116.19,116.08,116.09,36248,116.1213,1635863280000,307,
116.1,116.21,116.09,116.135,11842,116.1497,1635863340000,191,
116.13,116.3,116.11,116.27,9061,116.223,1635863400000,151,
116.26,116.35,116.22,116.2702,12366,116.288,1635863460000,229,
116.28,116.37,116.28,116.37,96134,116.3269,1635863520000,257,
116.3762,116.52,116.37,116.5,25420,116.4815,1635863580000,351,
116.5037,116.51,116.29,116.32,18879,116.3997,1635863640000,220,
116.3,116.38,116.28,116.38,13807,116.3242,1635863700000,173,
116.38,116.53,116.36,116.5,35914,116.4755,1635863760000,512,
116.5,116.56,116.47,116.54,19272,116.506,1635863820000,241,
116.51,116.58,116.49,116.56,10660,116.5359,1635863880000,170,
116.55,116.55,116.3417,116.45,38757,116.4224,1635863940000,420,
116.44,116.51,116.43,116.51,12664,116.4632,1635864000000,201,
116.51,116.58,116.5,116.53,11148,116.5433,1635864060000,168,
116.54,116.55,116.41,116.44,15670,116.4761,1635864120000,194,
116.47,116.51,116.41,116.41,15195,116.4615,1635864180000,207,
116.42,116.58,116.42,116.495,25931,116.5157,1635864240000,342,
116.49,116.61,116.4575,116.605,43960,116.4994,1635864300000,272,
116.6,116.61,116.57,116.59,10850,116.5904,1635864360000,228,
116.5925,116.67,116.58,116.67,11218,116.6119,1635864420000,202,
116.66,116.71,116.6577,116.67,16119,116.6773,1635864480000,235,
116.7,116.75,116.69,116.695,24816,116.7226,1635864540000,241,
116.68,116.73,116.645,116.7,25381,116.687,1635864600000,268,
116.69,116.88,116.675,116.82,32091,116.7848,1635864660000,480,
116.8,116.87,116.79,116.84,14709,116.835,1635864720000,209,
116.85,116.85,116.73,116.76,8534,116.7981,1635864780000,171,
116.76,116.82,116.73,116.73,8231,116.7724,1635864840000,147,
116.74,116.8,116.72,116.8,13008,116.7503,1635864900000,192,
116.81,116.83,116.78,116.83,19944,116.8105,1635864960000,282,
116.815,116.87,116.81,116.84,14265,116.8349,1635865020000,207,
116.84,116.91,116.82,116.87,16896,116.8708,1635865080000,243,
116.87,116.9,116.8,116.81,13974,116.8449,1635865140000,168,
116.82,116.82,116.77,116.7786,14068,116.7989,1635865200000,144,
116.76,116.815,116.724,116.732,12820,116.7668,1635865260000,166,
116.74,116.74,116.61,116.62,23663,116.6842,1635865320000,284,
116.63,116.7,116.61,116.69,16344,116.6574,1635865380000,209,
116.7,116.76,116.7,116.7,7331,116.7317,1635865440000,127,
116.68,116.77,116.66,116.7501,8609,116.7213,1635865500000,134,
116.75,116.8,116.71,116.71,13584,116.764,1635865560000,192,
116.715,116.78,116.715,116.76,9812,116.7585,1635865620000,97,
116.76,116.8,116.75,116.785,11309,116.7631,1635865680000,162,
116.79,116.82,116.77,116.81,11297,116.7917,1635865740000,150,
116.82,116.88,116.79,116.79,14169,116.8465,1635865800000,214,
