open,high,low,close,volume,vwap,timestamp,transactions,otc
94.0,94.0,94.0,94.0,153,94.0,1698838380000,3,
94.55,94.55,94.55,94.55,351,94.55,1698841980000,1,
94.84,94.84,94.84,94.84,187,94.84,1698845340000,1,
94.85,94.91,94.85,94.89,2496,94.8964,1698845400000,57,
94.97,94.97,94.776,94.94,109773,94.9466,1698845460000,229,
94.99,95.06,94.835,94.87,11638,94.9777,1698845520000,167,
94.83,95.04,94.775,95.04,41753,94.8905,1698845580000,139,
95.07,95.08,94.85,94.905,8359,94.9807,1698845640000,104,
94.95,95.07,94.83,94.83,6850,94.976,1698845700000,125,
94.85,95.01,94.81,94.98,17153,94.9556,1698845760000,111,
94.9479,95.0,94.87,94.995,15981,94.9444,1698845820000,245,
94.985,95.02,94.83,94.91,11477,94.9189,1698845880000,190,
94.93,94.93,94.56,94.745,38854,94.7775,1698845940000,297,
94.745,94.92,94.74,94.92,19460,94.8062,1698846000000,284,
94.85,94.89,94.82,94.82,14658,94.8522,1698846060000,226,
94.81,94.935,94.81,94.855,28215,94.8538,1698846120000,221,
94.855,95.08,94.85,94.99,10507,94.9539,1698846180000,179,
95.06,95.07,94.9625,95.07,5646,95.0272,1698846240000,121,
95.07,95.07,94.83,94.88,32130,94.9469,1698846300000,373,
94.89,94.98,94.85,94.98,14855,94.9266,1698846360000,231,
94.955,95.06,94.95,95.06,43480,95.0027,1698846420000,191,
95.04,95.1,94.95,94.96,13669,95.0265,1698846480000,208,
94.96,95.11,94.96,95.07,7237,95.0525,1698846540000,149,
95.08,95.23,95.08,95.23,8050,95.1687,1698846600000,190,
95.23,95.305,95.23,95.23,27553,95.2514,1698846660000,288,
95.24,95.29,95.18,95.245,19689,95.218,1698846720000,214,
95.28,95.35,95.18,95.335,43172,95.2204,1698846780000,270,
95.3451,95.35,95.15,95.16,57143,95.2397,1698846840000,326,
95.175,95.27,95.1274,95.2,32162,95.1902,1698846900000,270,
95.22,95.28,95.19,95.27,7122,95.2404,1698846960000,124,
95.265,95.4,95.26,95.37,14888,95.3093,1698847020000,229,
95.37,95.38,95.3066,95.36,10114,95.3572,1698847080000,198,
95.32,95.36,95.29,95.31,7464,95.321,1698847140000,148,
95.34,95.45,95.16,95.27,57591,95.2634,1698847200000,494,
95.275,95.37,95.255,95.35,13419,95.3168,1698847260000,240,
95.35,95.39,95.31,95.375,23117,95.3662,1698847320000,136,
95.37,95.47,95.37,95.47,23415,95.4283,1698847380000,193,
95.48,95.49,95.42,95.45,11095,95.4452,1698847440000,168,
95.45,95.47,95.36,95.45,8845,95.4169,1698847500000,170,
95.425,95.49,95.41,95.47,85144,95.4602,1698847560000,233,
95.48,95.56,95.48,95.52,14581,95.5135,1698847620000,184,
95.54,95.61,95.5,95.6,7478,95.5576,1698847680000,130,
95.62,95.7,95.62,95.68,14250,95.6559,1698847740000,235,
95.695,95.695,95.58,95.6,97528,95.6099,1698847800000,327,
95.61,95.68,95.59,95.6,11538,95.6188,1698847860000,176,
95.61,95.66,95.53,95.53,38683,95.5982,1698847920000,300,
95.55,95.71,95.53,95.71,6717,95.5858,1698847980000,137,
95.71,95.73,95.67,95.67,7964,95.7009,1698848040000,141,
95.66,95.68,95.63,95.64,10734,95.6578,1698848100000,202,
95.65,95.65,95.54,95.57,15209,95.5724,1698848160000,196,
95.57,95.64,95.56,95.585,13951,95.5917,1698848220000,171,
95.58,95.65,95.58,95.64,4735,95.6117,1698848280000,96,
95.64,95.7072,95.64,95.7,10568,95.6642,1698848340000,182,
95.71,95.72,95.68,95.71,14671,95.7058,1698848400000,159,
95.7,95.71,95.66,95.66,9611,95.6803,1698848460000,148,
95.65,95.71,95.63,95.7,14432,95.6667,1698848520000,234,
