open,high,low,close,volume,vwap,timestamp,transactions,otc
380.0,380.0,380.0,380.0,300,380.0,1639646340000,5,
380.0,380.0,380.0,380.0,200,380.0,1639646400000,3,
379.5,379.5,379.5,379.5,100,379.5,1639654740000,1,
389.79,389.79,389.79,389.79,762,389.5165,1639655160000,10,
392.0,392.0,392.0,392.0,260,391.9231,1639655400000,3,
394.98,395.0,394.98,395.0,676,394.984,1639655820000,9,
399.0,402.0,399.0,402.0,583,400.0256,1639656060000,30,
405.0,405.0,405.0,405.0,586,405.3885,1639656120000,14,
399.0,399.0,399.0,399.0,353,399.1096,1639656600000,9,
399.0,399.0,399.0,399.0,316,399.078,1639656660000,7,
400.45,400.45,400.45,400.45,292,400.6012,1639656720000,11,
402.0,402.0,402.0,402.0,339,402.1361,1639656840000,8,
405.02,405.02,405.0,405.0,802,404.9949,1639656960000,11,
404.0,404.0,404.0,404.0,321,403.4705,1639657260000,9,
405.0,405.04,405.0,405.04,780,404.7574,1639657320000,19,
403.3,403.3,403.3,403.3,966,403.3009,1639657920000,4,
403.4,403.4,403.4,403.4,1040,403.4025,1639657980000,7,
404.5,404.5,404.5,404.5,329,404.5977,1639658040000,12,
405.1,405.1,405.1,405.1,163,405.1423,1639658100000,8,
406.9,407.0,406.89,407.0,611,407.2817,1639658160000,12,
408.51,408.51,408.5,408.5,710,408.5081,1639658400000,7,
406.15,406.15,406.15,406.15,100,406.15,1639658580000,1,
407.8,409.99,407.8,409.99,1602,408.5953,1639658940000,41,
410.71,410.71,410.71,410.71,147,410.7619,1639659000000,4,
411.0,411.0,411.0,411.0,228,410.9609,1639659240000,7,
411.0,411.0,411.0,411.0,163,411.1634,1639659360000,10,
411.02,411.02,410.21,411.02,630,410.4816,1639659420000,16,
412.9,413.0,412.9,413.0,793,413.0144,1639659480000,13,
406.6163,415.0,398.02,415.0,3908,406.2429,1639659600000,63,
415.0,415.0,414.0,415.0,2277,414.3386,1639659840000,39,
