open,high,low,close,volume,vwap,timestamp,transactions,otc
589.89,589.89,589.89,589.89,116,589.8305,1625050860000,3,
589.25,589.25,589.25,589.25,245,589.229,1625051580000,5,
590.0,590.0,590.0,590.0,399,589.9977,1625051880000,15,
590.0,590.0,590.0,590.0,200,589.987,1625052060000,3,
590.0,590.0,590.0,590.0,262,590.0239,1625053320000,7,
589.0,589.0,589.0,589.0,165,589.5538,1625056680000,7,
591.0,591.0,590.99,590.99,409,590.9713,1625059500000,21,
590.75,591.8,590.56,591.015,48112,590.85,1625059800000,547,
590.75,590.75,589.35,590.32,9637,589.9228,1625059860000,171,
590.065,590.31,589.08,589.395,11094,589.8425,1625059920000,298,
589.23,589.91,588.0,589.0,7098,589.1902,1625059980000,220,
589.93,589.93,588.56,589.41,2778,589.1198,1625060040000,76,
589.35,590.3,588.2,590.19,5079,589.2318,1625060100000,171,
590.16,591.1,590.16,591.1,3546,590.4779,1625060160000,137,
590.995,591.46,590.78,591.14,5873,591.0772,1625060220000,149,
590.73,591.02,590.73,591.02,1982,590.9274,1625060280000,94,
591.03,591.59,591.02,591.395,1081,591.3381,1625060340000,46,
591.18,591.22,589.99,589.99,7333,590.8844,1625060400000,216,
589.92,590.0,589.77,589.82,2066,589.906,1625060460000,85,
589.9,589.9,589.3,589.79,4615,589.678,1625060520000,132,
589.61,590.59,589.46,590.59,3367,589.7669,1625060580000,58,
590.42,590.52,590.2799,590.2799,3556,590.383,1625060640000,79,
590.365,590.69,590.305,590.305,2471,590.5305,1625060700000,96,
590.45,590.6,589.84,590.1,5842,590.1497,1625060760000,133,
590.17,590.85,590.17,590.405,4347,590.5213,1625060820000,115,
590.45,590.53,590.33,590.48,3280,590.4513,1625060880000,106,
590.68,590.68,590.29,590.3,1641,590.4425,1625060940000,71,
590.31,590.31,589.51,589.68,5690,589.7937,1625061000000,193,
589.24,589.44,589.24,589.24,2874,589.3316,1625061060000,114,
589.18,589.67,588.92,589.525,8267,589.2791,1625061120000,169,
589.55,589.84,589.55,589.67,974,589.6592,1625061180000,59,
589.69,590.0,589.63,590.0,1975,589.8236,1625061240000,55,
590.09,590.175,589.68,589.7699,2093,589.8628,1625061300000,81,
589.48,589.87,589.42,589.69,3044,589.6731,1625061360000,92,
589.72,589.75,589.41,589.41,2695,589.6306,1625061420000,100,
589.16,589.16,588.5801,588.81,4132,588.8307,1625061480000,135,
588.67,589.2,588.67,589.2,4002,588.9865,1625061540000,130,
589.39,589.515,589.01,589.29,2586,589.3417,1625061600000,76,
589.36,589.36,589.02,589.02,1614,589.0667,1625061660000,108,
