open,high,low,close,volume,vwap,timestamp,transactions,otc
189.22,189.22,185.0,185.0,970,187.0164,1684924080000,14,
184.94,185.0,184.94,185.0,542,184.9889,1684924980000,4,
185.0,185.0,184.98,184.98,401,184.99,1684925160000,6,
184.98,185.0,184.98,184.98,1341,184.9866,1684925280000,20,
185.0,185.0,185.0,185.0,563,184.9894,1684925340000,9,
185.0,185.0,184.98,185.0,3237,184.9988,1684925400000,40,
183.01,185.0,183.0,185.0,645,183.6519,1684926000000,22,
182.42,183.0,182.42,183.0,650,182.8938,1684926060000,5,
184.74,186.5,184.74,186.5,634,186.0791,1684926120000,10,
184.11,184.11,183.0,183.0,846,183.3626,1684926240000,10,
180.02,180.02,180.02,180.02,564,180.0024,1684926480000,9,
179.0,180.0,179.0,180.0,848,179.6752,1684926660000,13,
179.0,179.0,179.0,179.0,321,179.0908,1684926840000,19,
179.0,179.0,179.0,179.0,160,178.9988,1684927020000,3,
178.07,178.07,178.0,178.0,482,178.1301,1684927080000,12,
178.0,178.0,177.5,177.5,544,177.8609,1684927140000,19,
178.0,178.0,178.0,178.0,205,178.0,1684927200000,4,
177.0,177.0,177.0,177.0,181,177.3483,1684927380000,7,
178.0,178.0,178.0,178.0,430,177.8772,1684927560000,9,
178.0,178.0,178.0,178.0,339,178.0,1684927620000,8,
178.04,178.04,178.0,178.0,1320,178.027,1684927800000,10,
178.0,178.0,178.0,178.0,130,178.2077,1684927860000,4,
178.0,178.0,178.0,178.0,349,177.9574,1684928040000,13,
179.0,179.0,179.0,179.0,210,179.0005,1684928160000,3,
178.65,178.65,178.4,178.4,981,178.572,1684928880000,19,
179.0,179.0,178.0,178.91,3638,178.7005,1684928940000,51,
178.0,178.0,178.0,178.0,180,177.8984,1684929000000,7,
177.55,177.55,177.55,177.55,422,177.5142,1684929240000,10,
177.95,180.0,177.5,177.5,3210,178.3902,1684929600000,71,
177.0015,179.4985,177.0015,177.05,511,177.8588,1684929660000,24,
176.3,176.3,176.3,176.3,500,176.548,1684929960000,23,
176.76,176.76,176.76,176.76,214,176.8023,1684930020000,3,
177.0,177.0,177.0,177.0,400,177.0931,1684930080000,5,
177.4,177.44,177.4,177.44,2437,177.4123,1684930200000,61,
177.4,177.44,177.4,177.44,1325,177.3982,1684930260000,22,
177.4,177.4,177.4,177.4,405,177.4006,1684930320000,6,
177.1,177.1,177.1,177.1,161,177.1944,1684931040000,4,
177.0,177.1,177.0,177.1,604,177.0245,1684931100000,16,
177.1,177.1,177.1,177.1,421,177.1245,1684931160000,6,
