open,high,low,close,volume,vwap,timestamp,transactions,otc
166.47,166.47,166.47,166.47,100,166.47,1612174380000,1,
166.47,166.47,166.47,166.47,119,166.47,1612174620000,1,
166.71,166.71,166.71,166.71,326,166.7075,1612177200000,3,
166.71,166.71,166.71,166.71,100,166.71,1612179180000,1,
166.7,166.7,166.7,166.7,150,166.6333,1612180800000,2,
165.5,165.78,165.5,165.78,282,165.6853,1612184400000,4,
165.49,165.49,165.49,165.49,100,165.49,1612189740000,1,
165.28,165.68,165.17,165.68,52309,165.2906,1612189800000,551,
165.79,166.095,165.69,165.81,5483,165.8273,1612189860000,84,
165.66,165.98,165.6,165.67,2646,165.6549,1612189920000,57,
165.28,165.81,165.28,165.81,1414,165.5713,1612189980000,25,
165.81,166.4,165.81,166.3708,5141,166.1075,1612190040000,97,
166.02,166.61,165.98,166.33,7870,166.1415,1612190100000,132,
166.35,166.5,166.18,166.38,3962,166.3713,1612190160000,70,
166.42,166.73,166.4,166.6169,9799,166.5876,1612190220000,79,
166.64,167.05,166.6,166.96,5706,166.7705,1612190280000,122,
166.92,167.16,166.47,166.65,9902,166.7712,1612190340000,164,
166.55,166.74,166.55,166.66,2809,166.672,1612190400000,53,
166.7,166.82,166.25,166.82,5307,166.5012,1612190460000,84,
167.0,167.0,166.64,166.645,2147,166.721,1612190520000,33,
166.88,166.88,166.37,166.51,3527,166.5506,1612190580000,56,
166.43,166.76,166.33,166.54,3146,166.5322,1612190640000,58,
166.35,166.61,166.35,166.425,5660,166.4647,1612190700000,106,
166.47,166.82,166.47,166.6,3439,166.6561,1612190760000,66,
166.6,166.69,166.29,166.69,4354,166.5411,1612190820000,92,
166.77,166.77,166.57,166.57,1467,166.6462,1612190880000,45,
166.37,166.71,166.37,166.55,1718,166.6334,1612190940000,39,
166.84,167.1,166.84,166.86,4356,166.8699,1612191000000,110,
166.76,166.81,166.605,166.78,3487,166.7393,1612191060000,101,
166.77,166.98,166.69,166.87,2481,166.8326,1612191120000,59,
166.97,167.25,166.72,167.25,2953,167.0276,1612191180000,55,
167.16,167.16,166.82,166.89,7293,166.9192,1612191240000,113,
167.02,167.19,167.0,167.0,3694,167.0547,1612191300000,75,
166.85,166.85,166.58,166.85,3493,166.7674,1612191360000,85,
166.74,167.13,166.74,166.93,1908,166.9358,1612191420000,54,
166.89,166.96,166.44,166.6,5530,166.7387,1612191480000,132,
166.71,166.93,166.49,166.49,5149,166.7321,1612191540000,105,
166.4,166.69,166.26,166.465,8044,166.4703,1612191600000,186,
166.32,166.41,166.07,166.07,2948,166.2877,1612191660000,62,
166.19,166.31,166.1,166.31,2409,166.2482,1612191720000,73,
166.22,166.53,166.22,166.37,4875,166.3906,1612191780000,82,
166.48,166.64,166.43,166.61,1961,166.5471,1612191840000,51,
166.73,166.73,166.725,166.73,1050,166.6947,1612191900000,39,
167.0,167.09,166.87,166.87,3249,166.896,1612191960000,71,
166.8334,166.8334,166.66,166.66,1885,166.7642,1612192020000,43,
166.58,166.715,166.52,166.52,2290,166.6168,1612192080000,57,
166.63,166.765,166.63,166.68,3512,166.7015,1612192140000,86,
166.58,166.8108,166.52,166.75,2155,166.638,1612192200000,55,
166.84,166.84,166.7,166.7963,2093,166.7459,1612192260000,40,
166.56,166.71,166.55,166.71,2430,166.6496,1612192320000,79,
166.55,166.74,166.54,166.61,1064,166.6337,1612192380000,33,
166.71,166.99,166.7,166.7,2219,166.8047,1612192440000,61,
166.84,166.84,166.69,166.76,1743,166.7722,1612192500000,101,
166.79,166.84,166.76,166.79,1429,166.7973,1612192560000,34,
166.74,166.89,166.59,166.59,2526,166.7642,1612192620000,64,
166.615,166.86,166.615,166.79,3355,166.769,1612192680000,87,
166.72,166.87,166.72,166.77,4033,166.7569,1612192740000,72,
166.77,167.05,166.77,166.88,1828,166.8984,1612192800000,46,
166.83,166.95,166.6824,166.95,3932,166.8256,1612192860000,90,
166.965,167.06,166.88,166.88,1689,166.9608,1612192920000,50,
166.9,167.01,166.88,166.995,6922,166.949,1612192980000,103,
166.995,166.9975,166.81,166.92,3214,166.9157,1612193040000,52,
166.89,167.15,166.875,167.105,4588,166.9642,1612193100000,93,
167.18,167.2,167.1,167.1,3186,167.1376,1612193160000,49,
167.0306,167.0306,166.89,166.89,1431,166.9831,1612193220000,35,
166.94,167.04,166.83,167.04,2329,166.9571,1612193280000,52,
167.015,167.015,166.71,166.71,1846,166.8431,1612193340000,44,
166.75,166.75,166.58,166.58,1450,166.7044,1612193400000,51,
166.7139,166.895,166.7139,166.895,1245,166.8214,1612193460000,37,
166.88,167.06,166.87,166.9619,1785,166.961,1612193520000,46,
167.06,167.11,167.06,167.11,1601,167.0676,1612193580000,44,
167.08,167.2,167.005,167.125,2528,167.0718,1612193640000,58,
167.19,167.2,166.96,166.96,2145,167.095,1612193700000,54,
166.96,167.14,166.88,167.09,3989,166.9534,1612193760000,76,
167.09,167.09,166.91,167.01,2078,166.9888,1612193820000,35,
167.035,167.035,166.92,167.0,1953,166.9619,1612193880000,33,
166.93,167.08,166.92,167.08,2313,166.971,1612193940000,56,
167.035,167.035,166.9301,166.9301,308,167.0027,1612194000000,13,
167.085,167.28,167.085,167.28,2004,167.1511,1612194060000,52,
167.13,167.26,167.13,167.22,1546,167.2205,1612194120000,49,
167.27,167.44,167.27,167.36,2378,167.3326,1612194180000,51,
167.22,167.3247,167.16,167.3247,2128,167.2301,1612194240000,52,
167.18,167.23,167.13,167.23,1194,167.1874,1612194300000,32,
167.245,167.245,167.245,167.245,211,167.2396,1612194360000,17,
167.31,167.31,167.31,167.31,369,167.3434,1612194420000,21,
