open,high,low,close,volume,vwap,timestamp,transactions,otc
203.85,203.85,203.85,203.85,150,203.878,1709024640000,11,
204.11,204.11,204.11,204.11,100,204.11,1709025720000,1,
204.75,205.2,204.75,204.98,1262,204.9656,1709026980000,60,
204.51,204.51,204.51,204.51,100,204.51,1709027280000,1,
204.33,204.33,204.33,204.33,761,204.2152,1709027940000,25,
204.25,204.25,204.25,204.25,429,204.2652,1709030640000,19,
204.17,204.17,204.17,204.17,120,204.1696,1709035140000,2,
204.6,204.6,204.6,204.6,768,204.5965,1709035440000,22,
205.07,205.07,205.07,205.07,311,205.0305,1709036760000,13,
205.0,205.31,204.6,204.6,1103,204.9451,1709038800000,37,
203.17,203.17,203.17,203.17,163,203.1865,1709039040000,10,
204.75,204.75,204.6,204.6,983,204.693,1709039520000,36,
204.5,204.5,204.5,204.5,200,204.5015,1709039640000,3,
204.3,204.3,204.3,204.3,240,204.3313,1709039700000,4,
204.1272,204.1272,204.1272,204.1272,100,204.1272,1709039760000,1,
204.0,204.0,204.0,204.0,769,204.0954,1709039820000,52,
204.0,204.0,204.0,204.0,153,204.0,1709039880000,4,
203.9,203.9,203.9,203.9,279,203.9134,1709039940000,19,
203.88,203.88,203.88,203.88,664,203.8736,1709040000000,10,
204.25,204.25,204.25,204.25,200,204.25,1709041080000,2,
204.0,204.0,204.0,204.0,750,204.0,1709041860000,1,
204.78,204.79,204.78,204.79,425,204.7242,1709042700000,10,
204.89,204.91,204.89,204.9,751,204.9043,1709043000000,13,
204.8,204.8,204.8,204.8,169,204.7876,1709043480000,4,
204.7,204.7,204.7,204.7,200,204.7017,1709043960000,2,
204.5,204.5,204.01,204.01,1115,204.4512,1709044020000,29,
203.92,204.0,203.9,204.0,7931,203.9566,1709044080000,51,
204.0,204.0,203.78,203.78,1429,203.8386,1709044140000,18,
203.73,203.7581,203.29,203.545,120382,203.6657,1709044200000,1053,
203.52,204.0,203.4,203.94,25445,203.7707,1709044260000,425,
203.93,204.1,203.76,204.0969,15132,203.9033,1709044320000,303,
