open,high,low,close,volume,vwap,timestamp,transactions,otc
203.85,203.85,203.85,203.85,150,203.878,2024-02-27 04:04:00,11,
204.11,204.11,204.11,204.11,100,204.11,2024-02-27 04:22:00,1,
204.75,205.2,204.75,204.98,1262,204.9656,2024-02-27 04:43:00,60,
204.51,204.51,204.51,204.51,100,204.51,2024-02-27 04:48:00,1,
204.33,204.33,204.33,204.33,761,204.2152,2024-02-27 04:59:00,25,
204.25,204.25,204.25,204.25,429,204.2652,2024-02-27 05:44:00,19,
204.17,204.17,204.17,204.17,120,204.1696,2024-02-27 06:59:00,2,
204.6,204.6,204.6,204.6,768,204.5965,2024-02-27 07:04:00,22,
205.07,205.07,205.07,205.07,311,205.0305,2024-02-27 07:26:00,13,
205.0,205.31,204.6,204.6,1103,204.9451,2024-02-27 08:00:00,37,
203.17,203.17,203.17,203.17,163,203.1865,2024-02-27 08:04:00,10,
204.75,204.75,204.6,204.6,983,204.693,2024-02-27 08:12:00,36,
204.5,204.5,204.5,204.5,200,204.5015,2024-02-27 08:14:00,3,
204.3,204.3,204.3,204.3,240,204.3313,2024-02-27 08:15:00,4,
204.1272,204.1272,204.1272,204.1272,100,204.1272,2024-02-27 08:16:00,1,
204.0,204.0,204.0,204.0,769,204.0954,2024-02-27 08:17:00,52,
204.0,204.0,204.0,204.0,153,204.0,2024-02-27 08:18:00,4,
203.9,203.9,203.9,203.9,279,203.9134,2024-02-27 08:19:00,19,
203.88,203.88,203.88,203.88,664,203.8736,2024-02-27 08:20:00,10,
204.25,204.25,204.25,204.25,200,204.25,2024-02-27 08:38:00,2,
204.0,204.0,204.0,204.0,750,204.0,2024-02-27 08:51:00,1,
204.78,204.79,204.78,204.79,425,204.7242,2024-02-27 09:05:00,10,
204.89,204.91,204.89,204.9,751,204.9043,2024-02-27 09:10:00,13,
204.8,204.8,204.8,204.8,169,204.7876,2024-02-27 09:18:00,4,
204.7,204.7,204.7,204.7,200,204.7017,2024-02-27 09:26:00,2,
204.5,204.5,204.01,204.01,1115,204.4512,2024-02-27 09:27:00,29,
203.92,204.0,203.9,204.0,7931,203.9566,2024-02-27 09:28:00,51,
204.0,204.0,203.78,203.78,1429,203.8386,2024-02-27 09:29:00,18,
203.73,203.7581,203.29,203.545,120382,203.6657,2024-02-27 09:30:00,1053,
203.52,204.0,203.4,203.94,25445,203.7707,2024-02-27 09:31:00,425,
203.93,204.1,203.76,204.0969,15132,203.9033,2024-02-27 09:32:00,303,
204.1,204.44,204.039,204.21,30678,204.3265,2024-02-27 09:33:00,310,
204.06,204.2999,203.84,204.07,30732,204.0755,2024-02-27 09:34:00,304,
204.15,204.15,203.79,203.99,11349,203.9625,2024-02-27 09:35:00,317,
204.0004,204.0173,203.69,203.8999,14580,203.8996,2024-02-27 09:36:00,305,
203.97,204.24,203.86,204.2,17415,204.089,2024-02-27 09:37:00,343,
204.218,204.218,203.61,203.64,16103,203.8053,2024-02-27 09:38:00,359,
203.59,204.105,203.57,203.78,15129,203.7959,2024-02-27 09:39:00,344,
203.66,203.715,203.0,203.1,22210,203.281,2024-02-27 09:40:00,544,
203.1431,203.33,203.03,203.1325,36566,203.1643,2024-02-27 09:41:00,569,
203.02,203.32,202.835,202.835,15931,203.0845,2024-02-27 09:42:00,380,
202.9,202.987,202.68,202.7,19890,202.8158,2024-02-27 09:43:00,325,
202.725,202.75,202.2,202.56,19983,202.5373,2024-02-27 09:44:00,316,
202.615,202.62,202.32,202.61,12398,202.492,2024-02-27 09:45:00,304,
202.56,202.62,202.3619,202.59,9909,202.518,2024-02-27 09:46:00,180,
202.585,202.64,202.49,202.6,4879,202.5782,2024-02-27 09:47:00,160,
202.56,202.7,202.44,202.62,5084,202.5778,2024-02-27 09:48:00,156,
202.64,202.64,202.26,202.45,9912,202.4357,2024-02-27 09:49:00,256,
202.53,202.61,202.4,202.52,5898,202.5031,2024-02-27 09:50:00,170,
202.59,202.7,202.39,202.68,9510,202.5422,2024-02-27 09:51:00,232,
202.675,202.7,202.4301,202.7,6712,202.5415,2024-02-27 09:52:00,183,
202.7,202.91,202.6301,202.9,16373,202.7256,2024-02-27 09:53:00,244,
202.76,202.83,202.67,202.67,5215,202.7481,2024-02-27 09:54:00,149,
202.705,202.8155,202.64,202.69,9754,202.7188,2024-02-27 09:55:00,195,
202.67,203.0,202.56,202.99,11141,202.7928,2024-02-27 09:56:00,312,
203.0,203.25,203.0,203.1282,13089,203.1543,2024-02-27 09:57:00,207,
203.11,203.19,203.05,203.18,6302,203.0932,2024-02-27 09:58:00,138,
203.23,203.36,203.2,203.305,12341,203.2586,2024-02-27 09:59:00,231,
203.38,203.635,203.33,203.41,17592,203.4981,2024-02-27 10:00:00,396,
203.34,203.535,203.29,203.43,9336,203.4813,2024-02-27 10:01:00,197,
203.51,203.6046,203.45,203.54,12113,203.5104,2024-02-27 10:02:00,212,
203.515,203.6,203.29,203.29,11858,203.4593,2024-02-27 10:03:00,260,
203.19,203.62,203.19,203.49,23490,203.4448,2024-02-27 10:04:00,418,
203.49,203.49,203.1,203.235,10023,203.3121,2024-02-27 10:05:00,250,
203.15,203.375,203.15,203.33,6048,203.2987,2024-02-27 10:06:00,166,
203.405,203.59,203.3,203.3,17846,203.4389,2024-02-27 10:07:00,376,
203.3,203.46,203.25,203.46,4349,203.3264,2024-02-27 10:08:00,143,
203.4999,203.535,203.41,203.43,3802,203.4775,2024-02-27 10:09:00,120,
203.4,203.41,203.26,203.26,3816,203.3208,2024-02-27 10:10:00,146,
203.3,203.47,203.3,203.47,3488,203.4152,2024-02-27 10:11:00,119,
203.52,203.66,203.47,203.645,5813,203.577,2024-02-27 10:12:00,136,
203.7,203.7,203.53,203.53,5478,203.5968,2024-02-27 10:13:00,141,
203.5253,203.63,203.525,203.58,7103,203.5671,2024-02-27 10:14:00,154,
203.545,203.68,203.52,203.52,9421,203.5905,2024-02-27 10:15:00,239,
203.36,203.56,203.36,203.49,3878,203.4445,2024-02-27 10:16:00,174,
203.535,203.66,203.46,203.58,3785,203.5307,2024-02-27 10:17:00,145,
203.59,203.815,203.56,203.75,11041,203.7125,2024-02-27 10:18:00,212,
203.75,203.86,203.61,203.86,11337,203.7223,2024-02-27 10:19:00,267,
203.865,203.865,203.7232,203.75,7176,203.782,2024-02-27 10:20:00,147,
203.776,203.776,203.58,203.71,23695,203.8452,2024-02-27 10:21:00,184,
203.7485,203.77,203.55,203.55,4786,203.6809,2024-02-27 10:22:00,139,
203.5,203.53,203.44,203.45,5720,203.4805,2024-02-27 10:23:00,147,
203.4895,203.57,203.4,203.4,8036,203.4822,2024-02-27 10:24:00,183,
203.4,203.405,203.09,203.33,4711,203.2896,2024-02-27 10:25:00,150,
203.335,203.4,203.28,203.4,9263,203.3454,2024-02-27 10:26:00,234,
203.39,203.39,203.21,203.21,4584,203.2998,2024-02-27 10:27:00,169,
203.22,203.26,203.18,203.23,3485,203.2223,2024-02-27 10:28:00,106,
203.22,203.4,203.22,203.34,18099,203.3367,2024-02-27 10:29:00,223,
203.4,203.4,203.2262,203.305,7349,203.3072,2024-02-27 10:30:00,159,
203.39,203.46,203.36,203.46,18391,203.3971,2024-02-27 10:31:00,351,
203.38,203.395,203.28,203.28,3921,203.329,2024-02-27 10:32:00,152,
203.285,203.38,203.215,203.38,3195,203.2937,2024-02-27 10:33:00,143,
