open,high,low,close,volume,vwap,timestamp,transactions,otc
163.0,163.0,163.0,163.0,407,163.0142,1698326940000,6,
163.0,164.4,162.5503,164.32,70022,163.2754,1698327000000,279,
163.67,164.5739,163.0,163.0,30207,163.9231,1698327060000,226,
163.05,164.29,163.05,163.87,4240,164.0053,1698327120000,90,
163.91,164.03,163.0,164.03,31021,163.5134,1698327180000,296,
163.56,164.58,163.41,163.5,11570,164.0414,1698327240000,161,
163.7575,164.0,163.155,163.155,46471,163.5132,1698327300000,352,
162.94,163.24,162.76,163.06,5996,163.0067,1698327360000,82,
162.915,163.27,162.815,163.0,23768,163.0463,1698327420000,316,
163.0,163.82,162.94,163.82,39366,163.1183,1698327480000,541,
163.84,164.63,163.72,164.365,16694,164.2285,1698327540000,141,
164.365,164.47,164.06,164.47,2288,164.2571,1698327600000,58,
164.67,166.03,164.65,166.03,8277,165.3012,1698327660000,202,
165.6577,165.94,164.6931,164.6931,17735,165.4468,1698327720000,222,
164.7,165.52,164.7,165.5147,56615,165.0236,1698327780000,227,
165.615,166.29,165.33,165.33,10122,165.8774,1698327840000,219,
165.74,166.765,165.735,166.745,4162,166.1453,1698327900000,116,
166.505,167.04,166.48,166.9,17704,166.651,1698327960000,135,
166.4,166.41,165.71,166.08,25409,166.033,1698328020000,211,
166.1575,166.45,165.94,166.315,4375,166.2518,1698328080000,81,
166.53,167.81,166.53,167.81,13683,167.2101,1698328140000,223,
167.81,167.99,167.26,167.705,61297,167.848,1698328200000,391,
167.885,168.89,167.54,168.75,38836,168.3818,1698328260000,379,
168.625,168.625,167.875,168.035,16427,168.1622,1698328320000,264,
168.13,168.76,168.09,168.5,19153,168.3457,1698328380000,358,
168.43,169.29,168.43,169.29,12933,168.8048,1698328440000,293,
169.19,169.62,168.97,169.5,31730,169.2585,1698328500000,416,
169.63,169.98,169.52,169.805,22117,169.7959,1698328560000,273,
169.98,170.99,169.805,170.17,67787,170.2117,1698328620000,752,
170.39,171.26,170.2,171.21,30731,170.7803,1698328680000,557,
171.14,171.27,170.79,171.27,59450,170.9567,1698328740000,855,
171.12,171.17,170.57,170.9,34144,170.9507,1698328800000,425,
170.75,171.5,170.2253,171.31,14790,170.8773,1698328860000,268,
171.18,172.36,171.18,172.09,33537,171.5634,1698328920000,607,
172.14,172.24,171.2801,171.605,16735,171.7132,1698328980000,315,
171.78,172.55,171.7,172.52,14362,171.9993,1698329040000,278,
172.46,173.07,172.19,172.89,29501,172.6168,1698329100000,562,
172.89,173.68,172.3588,173.17,41514,172.8708,1698329160000,735,
173.03,173.5,172.84,173.17,19092,173.085,1698329220000,293,
172.92,173.645,172.9,173.175,15795,173.1522,1698329280000,339,
173.14,173.225,172.86,172.965,10722,172.6874,1698329340000,146,
172.79,173.62,172.74,173.36,17786,172.9886,1698329400000,363,
173.23,173.58,173.22,173.365,10359,173.4062,1698329460000,232,
173.3,173.52,173.1,173.185,12145,173.2735,1698329520000,237,
173.26,173.33,172.72,172.885,9564,172.9795,1698329580000,192,
172.87,172.87,172.27,172.4,9884,172.488,1698329640000,227,
172.4,172.53,171.55,171.74,27577,172.0307,1698329700000,341,
171.71,171.97,171.16,171.69,16083,171.5444,1698329760000,270,
171.665,171.7819,171.4401,171.63,5573,171.6042,1698329820000,84,
171.61,171.6499,171.32,171.34,9825,171.4697,1698329880000,159,
171.43,171.59,171.28,171.375,8431,171.4288,1698329940000,135,
171.5,172.04,171.185,172.04,22337,171.621,1698330000000,289,
172.08,172.32,171.97,172.27,2545,172.2056,1698330060000,52,
172.4364,172.545,172.31,172.545,9529,172.4141,1698330120000,194,
172.445,172.73,172.35,172.55,10939,172.5143,1698330180000,240,
172.52,172.71,172.0447,172.69,14645,172.4386,1698330240000,254,
172.7652,173.13,172.74,172.7703,9189,172.9281,1698330300000,185,
172.77,173.0,172.71,172.77,13687,172.8367,1698330360000,144,
172.775,172.8698,172.21,172.22,8408,172.4637,1698330420000,168,
172.08,172.21,171.66,171.66,17807,171.9108,1698330480000,323,
171.79,171.89,171.22,171.28,26985,171.6457,1698330540000,404,
171.26,171.63,171.24,171.49,9274,171.4025,1698330600000,215,
171.37,171.85,171.35,171.52,11055,171.5426,1698330660000,238,
171.71,171.91,171.6673,171.68,5462,171.7582,1698330720000,128,
171.6,171.61,171.44,171.585,7897,171.5692,1698330780000,122,
171.595,171.68,171.3,171.3,11895,171.5403,1698330840000,221,
171.34,171.34,171.0,171.075,14679,171.2164,1698330900000,181,
171.035,171.36,171.005,171.325,23261,171.1799,1698330960000,351,
171.32,171.48,171.24,171.36,6813,171.3427,1698331020000,95,
171.365,171.44,171.25,171.37,11056,171.3567,1698331080000,199,
171.37,171.5,171.285,171.3875,13193,171.3776,1698331140000,256,
171.47,171.52,171.32,171.32,6170,171.4057,1698331200000,129,
171.4799,172.14,171.47,172.03,23637,171.9134,1698331260000,270,
171.93,171.94,171.84,171.94,4296,171.892,1698331320000,110,
171.76,171.78,171.45,171.625,6368,171.6224,1698331380000,168,
171.72,172.05,171.63,172.05,3930,171.8765,1698331440000,141,
172.0,172.0,171.83,171.835,4179,171.8694,1698331500000,112,
171.86,172.14,171.71,172.14,6217,171.9483,1698331560000,148,
172.22,172.725,172.125,172.725,5815,172.378,1698331620000,152,
172.725,172.99,172.725,172.885,7583,172.8654,1698331680000,187,
172.895,173.08,172.79,173.035,10644,172.9598,1698331740000,202,
173.04,173.33,173.0,173.2199,15880,173.1837,1698331800000,233,
173.18,173.62,173.12,173.56,17483,173.3852,1698331860000,406,
173.43,173.63,173.2923,173.48,18764,173.4842,1698331920000,251,
173.525,174.2,173.525,174.11,17721,173.9207,1698331980000,319,
174.18,174.27,174.04,174.18,9013,174.1202,1698332040000,206,
174.2,174.25,174.1,174.21,5521,174.1964,1698332100000,213,
174.28,174.82,174.1,174.81,9799,174.4998,1698332160000,217,
174.7039,174.84,173.94,173.94,16561,174.6066,1698332220000,279,
174.15,174.715,174.11,174.61,11085,174.4234,1698332280000,206,
174.61,174.71,174.52,174.535,8686,174.6245,1698332340000,227,
174.65,174.7,174.42,174.65,16897,174.5668,1698332400000,302,
174.7,174.83,174.33,174.33,29256,174.628,1698332460000,364,
174.48,174.5478,174.125,174.21,13514,174.3561,1698332520000,281,
174.21,174.38,174.18,174.25,20398,174.3466,1698332580000,271,
174.34,174.63,174.24,174.63,28130,174.4234,1698332640000,256,
174.65,174.7,174.37,174.375,6081,174.4859,1698332700000,191,
174.41,174.41,173.84,173.95,6867,174.0397,1698332760000,155,
173.95,174.26,173.9443,174.26,7282,174.0755,1698332820000,165,
174.2,174.26,173.725,173.75,12414,174.0584,1698332880000,228,
173.75,174.1509,173.75,174.125,34988,174.0631,1698332940000,345,
174.31,174.4,174.31,174.37,1244,174.317,1698333000000,76,
174.45,174.75,174.435,174.67,17645,174.6467,1698333060000,269,
174.66,174.66,174.225,174.2913,4322,174.3993,1698333120000,112,
174.2,174.755,174.2,174.69,6225,174.4895,1698333180000,157,
174.51,174.65,174.34,174.49,6562,174.4967,1698333240000,201,
174.45,174.69,174.2,174.63,5908,174.4781,1698333300000,154,
174.5,175.0,174.49,174.755,32597,174.7693,1698333360000,523,
174.815,174.815,174.57,174.685,3040,174.6905,1698333420000,86,
174.58,174.66,174.44,174.55,7937,174.5332,1698333480000,157,
174.545,174.545,174.1,174.16,5233,174.3554,1698333540000,144,
174.04,174.04,173.73,173.91,12830,173.8584,1698333600000,276,
174.0,174.35,174.0,174.31,7678,174.181,1698333660000,175,
174.205,174.35,174.12,174.29,6658,174.2156,1698333720000,157,
174.195,174.28,174.09,174.09,1528,174.2049,1698333780000,76,
174.145,174.1865,173.895,174.0,5793,174.0287,1698333840000,167,
174.09,174.115,173.99,174.02,3967,174.0709,1698333900000,134,
174.0,174.19,174.0,174.155,3925,174.1143,1698333960000,119,
174.1803,174.345,174.11,174.345,2789,174.2246,1698334020000,94,
174.37,174.64,174.2897,174.5,6244,174.4671,1698334080000,160,
174.5001,174.87,174.5001,174.7,8180,174.7021,1698334140000,196,
174.66,174.84,174.66,174.71,3976,174.7556,1698334200000,165,
174.71,174.835,174.67,174.67,6227,174.7472,1698334260000,158,
174.57,174.85,174.47,174.69,7034,174.7373,1698334320000,152,
174.845,175.38,174.82,175.23,28076,174.9785,1698334380000,385,
175.34,175.43,175.2,175.41,7812,175.3647,1698334440000,142,
175.51,175.5633,175.31,175.5633,6547,175.4629,1698334500000,184,
175.4093,175.565,175.31,175.31,14738,175.3652,1698334560000,265,
175.43,175.55,175.43,175.45,3270,175.4646,1698334620000,115,
175.455,175.6096,175.455,175.6096,2426,175.5259,1698334680000,106,
175.63,175.9,175.57,175.57,7957,175.7656,1698334740000,239,
175.68,175.75,175.23,175.24,4960,175.4779,1698334800000,143,
175.16,175.37,175.1,175.23,5649,175.2217,1698334860000,129,
175.1828,175.29,174.565,174.75,9167,174.8574,1698334920000,240,
174.7087,175.1,174.6256,175.08,6542,174.848,1698334980000,159,
174.99,175.16,174.91,174.91,1496,175.0074,1698335040000,66,
175.0,175.18,175.0,175.07,1986,175.095,1698335100000,94,
175.17,175.28,175.1,175.15,7976,175.222,1698335160000,174,
175.18,175.25,175.11,175.11,5720,175.2155,1698335220000,174,
175.2199,175.37,175.06,175.32,10977,175.2396,1698335280000,229,
175.335,175.335,175.16,175.215,3909,175.2361,1698335340000,90,
175.2799,175.28,175.015,175.105,6712,175.188,1698335400000,138,
175.02,175.07,174.68,174.8879,7498,174.9046,1698335460000,104,
174.79,174.9,174.715,174.73,4102,174.8465,1698335520000,107,
174.8,174.8,174.53,174.59,6219,174.6789,1698335580000,135,
174.62,175.21,174.6075,175.2,15171,174.8704,1698335640000,331,
175.13,175.28,174.74,174.865,23588,174.9786,1698335700000,233,
174.86,174.86,174.59,174.59,4912,174.6873,1698335760000,135,
174.535,174.79,174.535,174.72,3411,174.74,1698335820000,107,
