open,high,low,close,volume,vwap,timestamp,transactions,otc
118.8,118.9,118.76,118.76,3387.0,118.9098,2023-10-26 04:00:00,157,
118.63,118.69,118.5,118.69,3986.0,118.5986,2023-10-26 04:01:00,75,
118.93,118.95,118.93,118.93,2216.0,118.9298,2023-10-26 04:02:00,26,
118.76,118.98,118.76,118.98,1668.0,118.911,2023-10-26 04:03:00,25,
118.99,119.04,118.98,119.03,5143.0,118.9993,2023-10-26 04:04:00,126,
118.98,119.2,118.98,119.2,1781.0,119.1163,2023-10-26 04:05:00,41,
119.17,119.36,119.17,119.36,5018.0,119.2828,2023-10-26 04:06:00,109,
119.39,119.51,119.36,119.37,7151.0,119.4035,2023-10-26 04:07:00,103,
119.39,119.4,119.39,119.4,3039.0,119.3993,2023-10-26 04:08:00,50,
119.48,119.51,119.45,119.48,2747.0,119.4702,2023-10-26 04:09:00,89,
119.45,119.5,119.45,119.5,1349.0,119.4774,2023-10-26 04:10:00,37,
119.5,119.56,119.49,119.52,5497.0,119.5202,2023-10-26 04:11:00,94,
119.5,119.54,119.3,119.3,4279.0,119.4164,2023-10-26 04:12:00,106,
119.31,119.31,119.24,119.27,3362.0,119.2759,2023-10-26 04:13:00,62,
119.4,119.4,119.4,119.4,1060.0,119.3518,2023-10-26 04:14:00,18,
119.35,119.48,119.35,119.46,2802.0,119.4308,2023-10-26 04:16:00,35,
119.46,119.46,119.46,119.46,1571.0,119.4401,2023-10-26 04:17:00,553,
119.35,119.46,119.35,119.46,768.0,119.3706,2023-10-26 04:18:00,20,
119.47,119.53,119.46,119.53,3379.0,119.5021,2023-10-26 04:19:00,76,
119.54,119.54,119.48,119.54,1007.0,119.497,2023-10-26 04:20:00,23,
119.5,119.54,119.41,119.54,2064.0,119.4903,2023-10-26 04:21:00,30,
119.55,119.55,119.55,119.55,1172.0,119.5408,2023-10-26 04:22:00,29,
119.41,119.41,119.4,119.4,2042.0,119.4083,2023-10-26 04:23:00,57,
119.35,119.35,119.35,119.35,1310.0,119.3569,2023-10-26 04:25:00,39,
119.41,119.41,119.31,119.31,769.0,119.3545,2023-10-26 04:27:00,14,
119.31,119.31,119.31,119.31,445.0,119.312,2023-10-26 04:28:00,9,
119.31,119.31,119.26,119.3,2363.0,119.3,2023-10-26 04:29:00,42,
119.4,119.4,119.4,119.4,722.0,119.4086,2023-10-26 04:30:00,19,
119.5,119.5,119.5,119.5,467.0,119.5345,2023-10-26 04:33:00,12,
119.59,119.79,119.59,119.59,2329.0,119.6758,2023-10-26 04:34:00,45,
119.72,119.72,119.7,119.7,1621.0,119.7213,2023-10-26 04:35:00,39,
119.67,119.67,119.67,119.67,2365.0,119.6678,2023-10-26 04:37:00,21,
119.62,119.77,119.62,119.77,497.0,119.692,2023-10-26 04:38:00,12,
119.79,119.96,119.68,119.8,6013.0,119.8142,2023-10-26 04:39:00,92,
119.73,119.73,119.73,119.73,409.0,119.704,2023-10-26 04:40:00,13,
119.78,119.78,119.78,119.78,609.0,119.7827,2023-10-26 04:41:00,14,
119.78,119.78,119.78,119.78,1035.0,119.7653,2023-10-26 04:42:00,23,
119.7,119.7,119.7,119.7,1209.0,119.6799,2023-10-26 04:43:00,29,
119.7,119.78,119.67,119.78,638.0,119.7074,2023-10-26 04:46:00,21,
119.77,119.77,119.68,119.68,1046.0,119.7312,2023-10-26 04:47:00,30,
119.77,119.77,119.77,119.77,1088.0,119.7641,2023-10-26 04:50:00,30,
119.8,119.8,119.8,119.8,125.0,119.8,2023-10-26 04:51:00,2,
119.72,119.72,119.69,119.72,1481.0,119.7074,2023-10-26 04:52:00,25,
119.6,119.6,119.6,119.6,1703.0,119.6397,2023-10-26 04:53:00,41,
119.6,119.6,119.6,119.6,636.0,119.5901,2023-10-26 04:55:00,24,
119.6,119.6,119.6,119.6,1470.0,119.6112,2023-10-26 05:01:00,21,
119.57,119.57,119.57,119.57,1462.0,119.5699,2023-10-26 05:02:00,19,
119.7,119.7,119.7,119.7,824.0,119.7067,2023-10-26 05:05:00,19,
119.73,119.73,119.73,119.73,205.0,119.7219,2023-10-26 05:09:00,7,
119.72,119.72,119.72,119.72,256.0,119.7212,2023-10-26 05:10:00,8,
119.66,119.66,119.66,119.66,1253.0,119.6674,2023-10-26 05:13:00,22,
119.66,119.66,119.66,119.66,1695.0,119.6747,2023-10-26 05:14:00,35,
119.62,119.62,119.56,119.56,872.0,119.573,2023-10-26 05:15:00,17,
119.56,119.56,119.56,119.56,621.0,119.5622,2023-10-26 05:16:00,18,
119.56,119.56,119.55,119.55,348.0,119.5545,2023-10-26 05:17:00,6,
119.69,119.7,119.69,119.7,4744.0,119.697,2023-10-26 05:20:00,36,
119.7,119.7,119.7,119.7,565.0,119.6898,2023-10-26 05:22:00,17,
119.7,119.73,119.7,119.7,2601.0,119.6967,2023-10-26 05:24:00,51,
119.67,119.67,119.67,119.67,1712.0,119.6705,2023-10-26 05:25:00,10,
119.8,119.8,119.8,119.8,521.0,119.7616,2023-10-26 05:26:00,10,
119.84,119.84,119.84,119.84,450.0,119.8088,2023-10-26 05:27:00,9,
119.72,119.72,119.72,119.72,564.0,119.7645,2023-10-26 05:30:00,17,
119.83,119.83,119.83,119.83,226.0,119.7844,2023-10-26 05:32:00,10,
119.82,119.83,119.82,119.83,1751.0,119.8331,2023-10-26 05:33:00,37,
119.8,119.88,119.8,119.88,1258.0,119.8574,2023-10-26 05:34:00,21,
