open,high,low,close,volume,vwap,timestamp,transactions,otc
52.7475,52.7475,52.7475,52.7475,1040,52.8832,1604312040000,5,
52.62,52.62,52.62,52.62,988,52.6219,1604313420000,6,
52.6275,52.6275,52.6275,52.6275,800,52.6275,1604313600000,2,
52.6525,52.6525,52.6525,52.6525,488,52.6525,1604313720000,2,
52.6525,52.6525,52.6525,52.6525,1160,52.6552,1604318460000,6,
52.6525,52.6525,52.6525,52.6525,520,52.6525,1604318520000,1,
52.75,52.75,52.75,52.75,428,52.75,1604319660000,2,
52.5,52.82,52.5,52.765,58812,52.5561,1604327400000,80,
52.645,52.7,52.485,52.485,6340,52.6034,1604327460000,49,
52.5075,52.5075,52.5075,52.5075,840,52.585,1604327520000,4,
52.625,52.625,52.1963,52.1963,33900,52.3888,1604327580000,83,
52.0,52.0,52.0,52.0,2328,52.0434,1604327640000,38,
52.0625,52.1725,51.9271,52.1725,18464,52.0378,1604327700000,74,
52.265,52.3525,52.1969,52.3425,11044,52.2801,1604327760000,71,
52.235,52.4625,52.235,52.3446,5296,52.2997,1604327820000,38,
52.375,52.6025,52.375,52.6025,9632,52.4579,1604327880000,69,
52.635,52.9563,52.635,52.9563,10812,52.7333,1604327940000,41,
52.8725,52.8725,52.6375,52.6375,11460,52.7221,1604328000000,50,
52.6525,52.6525,52.5,52.6525,6996,52.5899,1604328060000,44,
52.785,52.785,52.5775,52.5775,1728,52.6636,1604328120000,8,
52.58,52.79,52.58,52.5938,10880,52.6981,1604328180000,44,
52.5,52.5875,52.5,52.5588,9652,52.542,1604328240000,67,
52.6275,52.745,52.6275,52.7425,2556,52.6908,1604328300000,21,
52.6575,52.7375,52.6375,52.66,4724,52.6553,1604328360000,30,
52.67,52.7175,52.6642,52.6642,4944,52.7012,1604328420000,52,
52.8025,52.92,52.7689,52.92,4300,52.8369,1604328480000,30,
52.89,53.06,52.805,53.06,31140,52.9619,1604328540000,166,
53.0775,53.12,53.0025,53.005,10424,53.0588,1604328600000,61,
53.12,53.1975,53.0525,53.1888,25612,53.0933,1604328660000,156,
53.1963,53.3675,53.1025,53.3675,16968,53.2209,1604328720000,95,
53.3913,53.435,53.1975,53.3725,17568,53.3295,1604328780000,122,
53.48,53.4825,53.385,53.385,6372,53.4239,1604328840000,48,
53.4513,53.4975,53.4125,53.4975,6820,53.4714,1604328900000,48,
53.3725,53.49,53.37,53.395,18360,53.4104,1604328960000,95,
53.4038,53.5725,53.29,53.56,33172,53.4108,1604329020000,176,
53.445,53.55,53.325,53.4613,46668,53.4178,1604329080000,155,
53.4675,53.4675,53.29,53.4389,19032,53.3596,1604329140000,89,
53.53,53.6475,53.48,53.5825,46576,53.5528,1604329200000,229,
53.5825,53.645,53.405,53.5125,24016,53.5317,1604329260000,111,
53.595,53.7375,53.5575,53.7375,16464,53.6657,1604329320000,104,
53.74,54.03,53.6291,53.9625,43536,53.746,1604329380000,192,
54.0525,54.085,53.925,54.085,31812,53.9865,1604329440000,167,
53.9525,54.1788,53.935,54.1288,25892,54.0441,1604329500000,123,
54.1563,54.1563,53.89,53.93,15348,53.94,1604329560000,112,
53.925,53.9388,53.75,53.9388,10964,53.8819,1604329620000,57,
53.79,53.815,53.6725,53.6725,9760,53.7584,1604329680000,51,
53.75,53.8313,53.7,53.8175,7772,53.7486,1604329740000,61,
53.7288,53.8125,53.7213,53.8125,4116,53.762,1604329800000,57,
53.715,53.8075,53.6875,53.8075,17120,53.7445,1604329860000,105,
53.83,53.91,53.83,53.895,6360,53.8535,1604329920000,54,
53.8375,54.095,53.8375,54.0425,76108,53.9963,1604329980000,103,
54.0463,54.0463,53.7825,53.9825,14600,53.8881,1604330040000,74,
54.0,54.0488,53.91,54.0275,16152,53.9886,1604330100000,107,
54.03,54.395,54.0125,54.3919,53920,54.1432,1604330160000,224,
54.42,54.6075,54.3625,54.6075,29052,54.4709,1604330220000,163,
54.6075,54.6075,54.3205,54.5975,55628,54.4953,1604330280000,273,
54.6025,54.7025,54.44,54.7025,20748,54.6105,1604330340000,96,
54.7,54.7,54.3396,54.5338,21404,54.5362,1604330400000,96,
54.5488,54.6058,54.4338,54.6058,14868,54.5153,1604330460000,65,
54.5013,54.5625,54.34,54.5125,75916,54.4656,1604330520000,246,
54.4163,54.4938,54.1767,54.3138,26844,54.3548,1604330580000,136,
54.375,54.3775,54.15,54.2422,14692,54.2615,1604330640000,70,
54.1938,54.1938,54.0675,54.0675,4688,54.155,1604330700000,34,
54.1788,54.21,54.1788,54.21,4480,54.1686,1604330760000,59,
54.1613,54.25,54.105,54.25,18416,54.1816,1604330820000,130,
54.31,54.31,54.13,54.1988,14952,54.2178,1604330880000,92,
54.1975,54.2063,54.1338,54.1713,8416,54.1657,1604330940000,46,
54.1713,54.1713,54.03,54.05,24040,54.0926,1604331000000,155,
54.0375,54.0913,54.0375,54.0425,4540,54.0672,1604331060000,26,
54.0838,54.0875,53.9939,53.9939,22596,54.0466,1604331120000,144,
54.065,54.065,53.8325,53.8325,15680,53.9716,1604331180000,80,
53.75,53.76,53.685,53.75,10572,53.7348,1604331240000,60,
53.75,53.8316,53.655,53.8316,21004,53.7112,1604331300000,113,
53.8875,53.8875,53.78,53.8338,5420,53.8396,1604331360000,23,
53.795,53.795,53.785,53.785,5176,53.8002,1604331420000,39,
53.7775,53.8825,53.7775,53.8825,11084,53.8336,1604331480000,119,
