open,high,low,close,volume,vwap,timestamp,transactions,otc
168.0,168.0,167.6,167.6,644,167.5511,1690185600000,20,
166.8,166.81,166.8,166.8,1800,166.801,1690185660000,14,
166.75,166.75,166.75,166.75,495,166.75,1690185840000,5,
166.81,166.81,166.81,166.81,201,166.81,1690185900000,3,
167.3,167.3,167.3,167.3,306,167.3365,1690186080000,8,
167.25,167.25,167.25,167.25,614,167.1109,1690189380000,28,
167.25,167.25,167.25,167.25,100,167.25,1690190460000,1,
167.25,167.25,167.25,167.25,115,167.25,1690190580000,2,
167.25,167.25,167.25,167.25,194,167.25,1690191060000,4,
167.23,167.23,167.23,167.23,100,167.23,1690193520000,1,
167.01,167.01,167.01,167.01,150,167.0069,1690193820000,3,
167.23,167.23,167.23,167.23,100,167.23,1690194240000,1,
166.77,166.77,166.76,166.76,319,166.8117,1690194900000,10,
167.6,167.75,167.45,167.45,2889,167.5191,1690196400000,116,
167.13,167.13,167.0,167.0,1024,167.0428,1690196580000,35,
167.35,167.35,167.35,167.35,679,167.2633,1690196700000,15,
167.35,167.35,167.35,167.35,227,167.3588,1690196820000,5,
167.35,167.35,167.35,167.35,952,167.3503,1690196880000,10,
167.47,167.47,167.47,167.47,100,167.47,1690197420000,1,
167.4,167.4,167.0,167.0,2445,167.2462,1690197780000,53,
167.0,167.0,167.0,167.0,2874,167.0035,1690198020000,7,
167.3,167.3,167.3,167.3,146,167.2377,1690198200000,3,
167.03,167.03,166.9,166.9,1139,166.9993,1690198380000,9,
167.0,167.0,167.0,167.0,2046,167.0,1690198500000,3,
167.05,167.05,167.05,167.05,334,167.0522,1690198800000,8,
167.0069,167.75,166.77,167.0,14667,167.0713,1690200000000,180,
168.79,169.5,168.79,169.5,3225,169.2773,1690200060000,54,
166.98,166.98,166.98,166.98,321,167.5636,1690200120000,16,
167.0,167.0,166.85,166.85,894,166.9093,1690200240000,26,
167.0,167.0,167.0,167.0,500,166.9771,1690200300000,8,
166.99,166.99,166.99,166.99,526,166.989,1690200420000,6,
167.0,167.0,167.0,167.0,1362,167.0,1690200480000,15,
167.0,167.0,167.0,167.0,1518,166.9987,1690200660000,25,
167.05,167.05,167.05,167.05,186,167.0272,1690200720000,7,
167.05,167.05,167.05,167.05,789,167.0582,1690200780000,26,
167.25,167.25,167.02,167.02,301,167.1354,1690200960000,5,
167.13,167.13,167.13,167.13,290,167.1405,1690201080000,5,
167.34,167.34,167.34,167.34,565,167.3367,1690201200000,15,
167.2799,167.2799,167.2799,167.2799,369,167.2753,1690201320000,15,
167.07,167.16,167.06,167.16,1088,167.1091,1690201440000,23,
167.1,167.25,167.1,167.25,247,167.1758,1690201800000,4,
167.11,167.11,167.11,167.11,320,167.1249,1690202040000,7,
167.15,167.15,167.15,167.15,2747,167.1478,1690202100000,13,
167.26,167.26,167.26,167.26,219,167.3347,1690202460000,5,
167.44,167.44,167.44,167.44,652,167.4199,1690202520000,29,
167.4,167.4,167.4,167.4,252,167.3976,1690202580000,9,
167.25,167.25,167.25,167.25,120,167.25,1690202700000,2,
167.2501,167.2501,167.2501,167.2501,574,167.39,1690202760000,13,
167.48,167.48,167.48,167.48,527,167.4679,1690202820000,9,
167.4999,167.4999,167.4999,167.4999,208,167.4968,1690202880000,4,
167.5,167.5,167.5,167.5,218,167.4978,1690202940000,9,
167.5,167.5,167.49,167.49,1141,167.4991,1690203000000,14,
167.4,167.6,167.4,167.6,337,167.5407,1690203180000,9,
167.74,167.74,167.74,167.74,172,167.74,1690203240000,2,
167.74,167.74,167.74,167.74,696,167.7146,1690203420000,12,
167.6,167.6,167.6,167.6,700,167.6,1690203720000,1,
167.58,167.58,167.58,167.58,131,167.5811,1690203840000,5,
167.75,167.75,167.75,167.75,139,167.7225,1690203900000,5,
167.7,167.7,167.7,167.7,522,167.7233,1690203960000,12,
167.72,167.8,167.72,167.8,556,167.7624,1690204020000,7,
167.85,167.85,167.85,167.85,240,167.85,1690204200000,2,
167.5,167.52,167.5,167.52,1427,167.5239,1690204260000,20,
167.68,167.68,167.68,167.68,219,167.6557,1690204320000,16,
167.833,167.833,167.833,167.833,121,167.8204,1690204620000,4,
167.77,167.77,167.75,167.75,200,167.76,1690204680000,2,
167.79,167.9,167.79,167.9,915,167.879,1690205040000,25,
167.93,167.93,167.85,167.85,998,167.9529,1690205100000,20,
168.0,168.15,168.0,168.15,466,168.0303,1690205280000,23,
167.82,167.82,167.8,167.8,651,167.8587,1690205340000,17,
167.59,168.27,167.45,168.24,108480,167.5765,1690205400000,746,
168.295,168.645,168.02,168.09,19221,168.3102,1690205460000,349,
168.165,168.165,167.42,167.42,34209,167.7575,1690205520000,512,
167.42,167.47,167.02,167.29,35189,167.2597,1690205580000,618,
167.18,168.23,167.18,168.0825,29192,167.6264,1690205640000,508,
168.2103,168.23,167.5659,167.89,24688,167.8245,1690205700000,445,
167.89,168.29,167.89,168.08,12685,168.0954,1690205760000,275,
168.09,168.25,168.005,168.09,14787,168.1384,1690205820000,310,
168.145,168.19,167.5848,167.68,19511,167.8146,1690205880000,383,
167.63,168.0,167.41,167.98,27222,167.585,1690205940000,473,
167.99,168.16,167.75,167.75,14510,167.9836,1690206000000,305,
167.835,167.97,167.51,167.85,9472,167.7033,1690206060000,240,
167.86,168.3959,167.8,168.0466,27357,168.1157,1690206120000,522,
168.22,168.2785,167.8322,168.045,13835,168.0646,1690206180000,244,
168.07,168.13,168.0,168.06,8216,168.0768,1690206240000,187,
168.06,168.25,167.93,168.21,12328,168.0926,1690206300000,271,
168.31,168.3417,168.09,168.18,10410,168.2582,1690206360000,225,
168.22,168.4999,168.14,168.195,13341,168.3445,1690206420000,328,
168.15,168.2299,168.0255,168.0255,5176,168.1316,1690206480000,151,
168.05,168.3,168.05,168.26,12392,168.2104,1690206540000,207,
168.25,168.4,168.21,168.39,13430,168.3263,1690206600000,271,
168.385,168.47,168.28,168.32,11666,168.3693,1690206660000,259,
168.355,168.36,168.19,168.22,6174,168.2743,1690206720000,187,
168.21,168.22,167.9668,168.045,15163,168.0493,1690206780000,359,
168.05,168.055,167.87,167.88,16814,167.9514,1690206840000,373,
167.87,168.26,167.82,168.25,12287,167.997,1690206900000,346,
168.22,168.29,168.08,168.08,13181,168.1862,1690206960000,321,
168.0152,168.18,167.965,168.09,21641,168.0579,1690207020000,345,
168.08,168.375,168.08,168.37,10703,168.2284,1690207080000,243,
168.38,168.59,168.34,168.45,21878,168.4705,1690207140000,403,
168.46,168.83,168.43,168.8,97590,168.5324,1690207200000,889,
168.84,168.96,168.6,168.69,20921,168.7929,1690207260000,468,
168.69,168.69,168.5,168.64,17978,168.6037,1690207320000,353,
168.7,169.0,168.645,168.9825,11764,168.8313,1690207380000,280,
169.0,169.0,168.54,168.54,13176,168.7218,1690207440000,272,
168.51,168.5336,168.33,168.48,10995,168.4392,1690207500000,327,
168.53,168.56,168.325,168.37,9643,168.4584,1690207560000,282,
168.34,168.35,168.155,168.17,23195,168.2698,1690207620000,453,
168.175,168.46,168.175,168.39,17100,168.2747,1690207680000,366,
168.455,168.46,168.26,168.335,7489,168.3703,1690207740000,193,
168.345,168.445,168.24,168.29,10719,168.3384,1690207800000,275,
168.31,168.33,168.03,168.03,29548,168.1902,1690207860000,456,
