open,high,low,close,volume,vwap,timestamp,transactions,otc
147.0,147.0,147.0,147.0,540,146.9211,1666771200000,6,
146.66,146.66,146.6,146.6,1340,146.611,1666771500000,20,
146.6,146.6,146.6,146.6,450,146.6,1666771560000,5,
146.65,146.65,146.65,146.65,1098,146.65,1666771620000,13,
146.65,146.65,146.65,146.65,1630,146.668,1666771680000,10,
147.0,147.1,147.0,147.1,952,146.9878,1666771740000,16,
146.6,146.6,146.6,146.6,280,146.6,1666772220000,4,
146.17,146.17,146.16,146.16,513,146.1682,1666772520000,8,
146.31,146.31,146.31,146.31,400,146.31,1666772820000,2,
146.65,146.65,146.65,146.65,337,146.6468,1666773480000,8,
146.65,146.65,146.65,146.65,233,146.6304,1666773600000,6,
146.63,146.65,146.63,146.65,200,146.64,1666774200000,2,
146.65,146.65,146.65,146.65,1109,146.65,1666774380000,35,
146.65,146.65,146.65,146.65,774,146.6447,1666774440000,6,
146.65,146.65,146.65,146.65,323,146.65,1666774500000,2,
146.65,146.65,146.65,146.65,902,146.6449,1666774680000,16,
146.65,146.65,146.65,146.65,196,146.65,1666774860000,4,
146.53,146.53,146.52,146.52,357,146.5218,1666775160000,6,
146.05,146.05,146.0,146.0,987,146.0155,1666777500000,13,
145.8,145.8,145.6,145.8,435,145.715,1666778460000,13,
145.8,145.8,145.5,145.5,512,145.6189,1666780140000,8,
146.4,146.4,146.4,146.4,168,146.4157,1666780680000,4,
146.25,146.65,146.25,146.47,3252,146.4103,1666782000000,43,
146.5,146.65,146.5,146.65,1417,146.6127,1666782060000,11,
146.65,146.65,146.55,146.65,2130,146.64,1666782120000,31,
146.56,146.56,146.56,146.56,185,146.5605,1666782180000,8,
146.65,146.65,146.65,146.65,1359,146.6455,1666782300000,19,
146.54,146.54,146.51,146.51,300,146.52,1666782360000,3,
146.51,146.51,146.5,146.5,510,146.512,1666782420000,11,
146.6,146.6,146.5,146.5,381,146.5424,1666782480000,9,
146.6,146.6,146.6,146.6,252,146.5984,1666782540000,4,
146.21,146.21,146.21,146.21,310,146.2445,1666782660000,12,
146.41,146.41,146.4,146.4,215,146.4116,1666783080000,4,
146.63,146.63,146.63,146.63,277,146.6092,1666783320000,8,
146.61,146.61,146.61,146.61,102,146.6104,1666783380000,3,
146.65,146.65,146.65,146.65,4203,146.648,1666783440000,90,
146.61,146.61,146.61,146.61,289,146.6197,1666783500000,8,
146.5,146.65,146.5,146.65,2357,146.5054,1666783560000,12,
146.46,146.46,146.46,146.46,150,146.5233,1666783620000,3,
146.6,146.6,146.6,146.6,165,146.567,1666783680000,5,
146.6,146.6,146.6,146.6,150,146.573,1666783740000,4,
145.5,146.24,140.52,140.52,23339,142.4306,1666783800000,313,
141.89,142.0,140.25,142.0,24594,141.2052,1666783860000,343,
141.55,144.97,141.55,143.5,15173,143.1093,1666783920000,302,
143.55,145.98,143.5,144.77,27299,144.6971,1666783980000,454,
144.5,145.0,144.0,144.5,32316,144.3765,1666784040000,466,
144.8,147.33,144.5,146.11,63066,145.9204,1666784100000,659,
146.23,148.5,146.23,148.0,30135,147.628,1666784160000,480,
148.0,148.25,146.5,146.68,20059,147.5251,1666784220000,257,
146.68,147.0,146.28,147.0,8794,146.6636,1666784280000,212,
