open,high,low,close,volume,vwap,timestamp,transactions,otc
23.19,23.2,23.15,23.2,1261.0,23.1595,1604044800000,9,
23.2,23.2,23.2,23.2,250.0,23.2,1604044920000,1,
23.12,23.12,23.12,23.12,223.0,23.1256,1604045580000,7,
23.22,23.22,23.21,23.21,1350.0,23.2111,1604046720000,13,
23.21,23.21,23.21,23.21,500.0,23.21,1604047980000,4,
23.2,23.2,23.2,23.2,400.0,23.2,1604048340000,1,
23.23,23.23,23.23,23.23,200.0,23.23,1604049720000,1,
23.39,23.5,23.39,23.5,5279.0,23.4446,1604050140000,16,
23.6,23.6,23.42,23.42,5122.0,23.5882,1604050200000,11,
23.42,23.42,23.42,23.42,140.0,23.42,1604050800000,2,
23.41,23.41,23.41,23.41,150.0,23.41,1604051340000,1,
23.39,23.4,23.39,23.4,300.0,23.3958,1604055360000,3,
23.4,23.4,23.39,23.4,4820.0,23.3986,1604055600000,10,
23.41,23.41,23.4,23.4,3002.0,23.4067,1604055840000,6,
23.4,23.4,23.4,23.4,399.0,23.406,1604055900000,7,
23.41,23.44,23.41,23.44,2200.0,23.4373,1604056020000,3,
23.41,23.41,23.41,23.41,300.0,23.41,1604056080000,3,
23.44,23.44,23.44,23.44,618.0,23.439,1604056140000,6,
23.49,23.49,23.46,23.49,2696.0,23.4873,1604056200000,14,
23.51,23.52,23.51,23.52,5466.0,23.52,1604056260000,15,
23.46,23.46,23.46,23.46,1000.0,23.4601,1604056440000,3,
23.47,23.47,23.47,23.47,200.0,23.47,1604056500000,1,
23.47,23.47,23.47,23.47,1175.0,23.47,1604056560000,4,
23.46,23.46,23.46,23.46,4056.0,23.4601,1604056620000,6,
23.45,23.45,23.45,23.45,306.0,23.45,1604057520000,3,
23.4,23.4,23.39,23.39,935.0,23.3914,1604058780000,18,
23.35,23.35,23.35,23.35,1493.0,23.3501,1604058900000,15,
23.35,23.35,23.35,23.35,335.0,23.3508,1604058960000,9,
23.37,23.37,23.37,23.37,383.0,23.37,1604059020000,1,
23.4101,23.4901,23.37,23.4,16235.0,23.425,1604059200000,56,
23.37,23.37,23.37,23.37,409.0,23.37,1604059440000,5,
23.38,23.4,23.3701,23.3701,1972.0,23.3766,1604059500000,11,
23.37,23.37,23.37,23.37,225.0,23.3867,1604059560000,5,
23.37,23.37,23.37,23.37,755.0,23.3701,1604059620000,6,
23.37,23.37,23.37,23.37,1198.0,23.37,1604059680000,5,
