open,high,low,close,volume,vwap,timestamp,transactions,otc
885.7,886.605,885.7,886.605,7294,885.8846,1628170200000,109,
888.1,890.3,888.1,889.25,3031,889.384,1628170260000,151,
887.21,888.855,887.21,887.615,1077,888.1051,1628170320000,48,
889.51,891.14,889.32,889.32,2361,889.9355,1628170380000,77,
888.06,889.51,888.06,889.51,838,889.2868,1628170440000,32,
890.0,890.84,889.355,889.355,1758,890.134,1628170500000,72,
890.99,891.69,889.81,890.335,1151,890.9613,1628170560000,41,
891.61,891.91,891.61,891.91,1755,891.9407,1628170620000,61,
892.88,892.88,890.405,890.405,1398,891.9098,1628170680000,58,
892.4,892.4,891.215,891.215,1546,892.2358,1628170800000,44,
891.685,892.015,891.47,891.47,867,891.8047,1628170860000,53,
892.32,892.62,892.32,892.62,1395,892.3102,1628170920000,41,
891.85,891.85,891.85,891.85,603,892.0083,1628170980000,54,
892.61,893.09,892.125,892.125,1166,892.6408,1628171040000,81,
892.94,893.11,891.375,891.375,2612,892.5212,1628171100000,92,
891.26,891.26,890.86,890.86,578,891.2181,1628171160000,49,
890.4,890.4,889.77,889.77,640,890.272,1628171220000,39,
889.245,889.36,889.245,889.36,310,889.5281,1628171280000,16,
889.87,890.27,889.295,890.055,1698,889.9712,1628171340000,39,
890.03,890.51,890.03,890.51,776,890.4838,1628171400000,44,
891.67,891.67,890.56,890.56,1779,891.0768,1628171460000,59,
890.56,890.57,890.02,890.44,1289,890.2562,1628171520000,21,
890.2,890.53,889.785,889.785,1756,890.4268,1628171580000,89,
890.31,891.765,890.31,891.185,1148,891.0736,1628171640000,40,
891.21,891.21,891.095,891.095,505,891.0343,1628171700000,30,
890.61,890.61,890.445,890.445,1433,890.6286,1628171760000,54,
890.135,890.135,889.995,889.995,701,890.1969,1628171820000,27,
890.0102,890.84,890.0102,890.025,924,890.2613,1628171880000,19,
890.5,891.02,890.5,890.69,1264,890.8596,1628171940000,41,
891.065,891.4,891.065,891.4,1207,891.3126,1628172000000,68,
892.095,892.175,891.855,891.855,501,891.943,1628172060000,25,
891.62,891.63,891.39,891.63,1057,891.5647,1628172120000,45,
891.03,891.9,891.03,891.62,490,891.5332,1628172180000,28,
891.39,891.51,891.32,891.32,813,891.5995,1628172240000,32,
892.22,892.24,892.22,892.24,518,892.1674,1628172300000,37,
891.745,892.47,891.745,892.47,733,892.1822,1628172360000,38,
891.92,891.92,891.92,891.92,447,891.7664,1628172420000,40,
891.92,891.92,891.39,891.39,1746,891.853,1628172480000,45,
891.39,891.565,890.6,890.6,2633,891.1671,1628172660000,101,
891.24,891.24,891.24,891.24,313,891.2484,1628172720000,38,
890.62,891.15,890.62,891.15,509,890.8512,1628172780000,14,
891.65,891.65,891.65,891.65,589,891.5628,1628172840000,42,
891.33,891.33,890.15,890.15,969,890.8318,1628172900000,76,
889.97,889.97,889.89,889.89,752,889.9319,1628173020000,50,
890.195,890.195,890.195,890.195,119,890.1683,1628173080000,13,
889.96,889.96,889.96,889.96,254,890.041,1628173140000,21,
890.38,890.62,890.19,890.51,1334,890.4246,1628173200000,58,
890.43,890.43,890.43,890.43,282,890.5863,1628173260000,14,
890.96,891.49,890.96,891.04,1100,891.1723,1628173320000,50,
890.775,891.68,890.655,891.68,1182,891.2001,1628173380000,38,
891.66,891.66,891.66,891.66,1224,891.6411,1628173440000,72,
891.4487,891.8242,891.4487,891.51,435,891.5903,1628173500000,19,
891.93,891.93,891.4,891.48,1587,891.7016,1628173560000,70,
890.995,890.995,890.995,890.995,276,890.9738,1628173620000,18,
891.62,891.62,890.99,890.99,309,891.3227,1628173680000,14,
891.47,891.47,891.3949,891.3949,612,891.3415,1628173740000,25,
890.67,890.67,890.5,890.56,1297,890.6375,1628173800000,54,
890.6675,890.6675,890.6675,890.6675,287,890.7051,1628173860000,21,
891.1558,891.1558,891.1558,891.1558,505,891.0758,1628173980000,13,
890.85,890.85,890.83,890.83,479,890.9621,1628174040000,27,
891.36,891.39,891.36,891.39,1385,891.4806,1628174100000,79,
891.645,891.645,891.02,891.02,1737,891.2763,1628174160000,74,
890.35,890.35,890.35,890.35,633,890.6221,1628174220000,19,
890.35,890.35,890.35,890.35,514,890.4644,1628174340000,32,
890.43,890.64,890.43,890.64,1063,890.5548,1628174400000,41,
890.77,890.77,890.5,890.5,362,890.5735,1628174460000,41,
890.65,890.65,890.65,890.65,159,890.7252,1628174520000,11,
891.04,891.29,891.04,891.29,772,891.266,1628174580000,66,
891.68,891.68,891.68,891.68,243,891.8307,1628174640000,16,
891.57,891.57,891.46,891.4664,1515,891.4293,1628174700000,53,
891.75,891.75,891.62,891.62,889,891.6858,1628174820000,55,
891.54,891.54,891.51,891.51,718,891.5027,1628174880000,43,
891.03,891.29,890.86,891.29,803,891.0937,1628174940000,29,
891.195,891.205,891.195,891.205,241,891.2299,1628175180000,18,
891.5649,891.5649,891.5649,891.5649,167,891.5186,1628175240000,9,
891.7,891.94,891.53,891.53,1542,891.734,1628175300000,75,
