open,high,low,close,volume,vwap,timestamp,transactions,otc
56.99,58.4,56.95,58.4,1817,57.5678,1698317940000,23,
57.0,57.0,57.0,57.0,681,57.0489,1698318000000,37,
57.56,57.56,56.9,56.9,1327,57.4162,1698318060000,12,
56.8,56.8,56.8,56.8,360,56.9453,1698318120000,14,
56.2,56.21,56.2,56.2,1897,56.2295,1698318180000,18,
56.16,56.16,55.9,55.9,3679,56.0549,1698318240000,41,
56.1,56.4,56.1,56.4,820,56.1849,1698318300000,5,
56.5,56.5,56.5,56.5,100,56.5,1698318360000,1,
55.9,55.9,54.74,55.0,17078,55.2997,1698318480000,345,
54.82,54.82,53.5,53.5,8736,54.1091,1698318540000,166,
53.5,53.5,53.41,53.5,2251,53.4812,1698318600000,32,
53.5,53.87,53.5,53.5,1650,53.5224,1698318660000,36,
53.5,53.5,53.25,53.5,1703,53.3531,1698318720000,44,
53.35,53.35,53.35,53.35,320,53.3594,1698318780000,4,
54.0,54.0,53.71,53.71,20105,53.9468,1698318840000,240,
53.86,53.86,53.55,53.55,912,53.7304,1698318900000,28,
53.99,54.0,53.92,53.93,3730,53.9826,1698319080000,63,
53.96,54.0,53.95,54.0,3811,53.9858,1698319140000,69,
53.99,54.0,53.9,53.9,2292,53.9432,1698319260000,54,
53.99,54.0,53.99,53.99,1860,53.9931,1698319740000,36,
54.0,54.0,54.0,54.0,1008,53.9985,1698319800000,8,
53.9,53.9,53.9,53.9,984,53.9013,1698320040000,31,
53.91,53.91,53.91,53.91,205,53.909,1698320100000,4,
53.9,53.9,53.9,53.9,399,53.8709,1698320160000,19,
54.0,54.0,53.95,53.95,3565,53.9886,1698320340000,41,
54.0,54.0,54.0,54.0,10972,53.9993,1698320520000,77,
53.99,54.39,53.97,54.39,23156,54.0068,1698320700000,92,
54.3,54.31,54.1,54.1,2123,54.1788,1698321120000,28,
54.0,54.1042,53.35,54.0,10114,53.9458,1698321600000,92,
54.31,54.31,54.2,54.2,496,54.3122,1698321780000,16,
54.26,54.26,54.26,54.26,151,54.2258,1698321900000,5,
54.27,54.3,54.27,54.3,1634,54.2893,1698322020000,52,
54.2951,54.2951,54.2951,54.2951,712,54.2718,1698322140000,8,
54.2999,54.2999,54.2999,54.2999,163,54.2865,1698322500000,5,
54.3,54.3,54.2,54.2,1006,54.2826,1698322740000,22,
54.3,54.3,54.3,54.3,202,54.3013,1698322800000,3,
54.26,54.26,54.26,54.26,151,54.2558,1698323400000,5,
54.2488,54.25,54.2488,54.25,204,54.249,1698323520000,3,
54.25,54.25,54.25,54.25,210,54.2582,1698323640000,7,
54.28,54.28,54.2786,54.2786,2442,54.2782,1698323700000,21,
