open,high,low,close,volume,vwap,timestamp,transactions,otc
88.5,88.5,88.5,88.5,549,88.4953,1620385200000,7,
88.45,88.45,88.45,88.45,148,88.45,1620386940000,1,
88.5,88.5,88.5,88.5,200,88.5,1620387000000,2,
88.15,88.15,88.15,88.15,153,88.15,1620392520000,1,
88.1528,88.1528,88.1528,88.1528,200,88.1528,1620392700000,1,
88.3332,88.3332,88.3332,88.3332,109,88.3335,1620393120000,3,
88.15,88.15,88.15,88.15,227,88.1504,1620393360000,3,
88.47,88.47,88.47,88.47,1373,88.4702,1620394140000,8,
88.5,88.5843,88.33,88.47,36583,88.4795,1620394200000,117,
88.45,88.6,88.4429,88.565,5333,88.5505,1620394260000,60,
88.6,88.68,88.58,88.65,19610,88.652,1620394320000,188,
88.59,88.68,88.54,88.66,14475,88.6371,1620394380000,125,
88.665,88.72,88.57,88.6,16117,88.6339,1620394440000,97,
88.64,88.84,88.64,88.83,17765,88.7554,1620394500000,147,
88.83,88.92,88.8101,88.92,11363,88.8564,1620394560000,101,
88.96,88.98,88.915,88.935,12870,88.9425,1620394620000,73,
88.97,89.03,88.7,88.715,49994,89.003,1620394680000,100,
88.705,88.9,88.705,88.9,4411,88.8026,1620394740000,51,
88.9,88.96,88.8626,88.93,10825,88.9053,1620394800000,78,
88.9,88.97,88.8,88.97,9091,88.8805,1620394860000,96,
88.96,89.0,88.893,88.893,4618,88.9469,1620394920000,52,
88.91,88.99,88.905,88.95,10471,88.9447,1620394980000,60,
88.93,89.0099,88.92,88.975,5783,88.9671,1620395040000,53,
89.0,89.0,88.95,88.99,2086,88.9882,1620395100000,42,
89.05,89.125,89.02,89.035,3609,89.0619,1620395160000,55,
88.96,89.0,88.94,88.95,3261,88.9658,1620395220000,49,
88.96,89.05,88.94,89.035,3829,88.9874,1620395280000,56,
89.05,89.24,89.05,89.235,3571,89.16,1620395340000,47,
89.215,89.23,89.07,89.07,6717,89.1189,1620395400000,48,
89.06,89.17,89.06,89.15,4043,89.1084,1620395460000,61,
89.19,89.19,89.11,89.16,10550,89.1369,1620395520000,70,
89.155,89.35,89.155,89.29,50677,89.2608,1620395580000,168,
89.275,89.3,89.24,89.24,7735,89.2824,1620395640000,80,
89.235,89.27,89.1866,89.195,7063,89.2431,1620395700000,75,
89.18,89.35,89.18,89.33,6386,89.2811,1620395760000,86,
89.35,89.43,89.32,89.32,9880,89.3668,1620395820000,105,
89.34,89.42,89.32,89.41,9747,89.3662,1620395880000,120,
89.4,89.42,89.36,89.41,4187,89.3871,1620395940000,95,
89.42,89.55,89.4043,89.44,11814,89.4773,1620396000000,134,
89.44,89.59,89.41,89.57,5792,89.4786,1620396060000,77,
89.6,89.64,89.51,89.55,5717,89.5883,1620396120000,72,
89.56,89.61,89.56,89.575,5292,89.585,1620396180000,70,
89.575,89.665,89.575,89.62,7266,89.6442,1620396240000,69,
89.62,89.73,89.62,89.73,6380,89.6758,1620396300000,75,
89.6925,89.77,89.645,89.66,10683,89.709,1620396360000,84,
89.666,89.68,89.63,89.645,2849,89.66,1620396420000,49,
89.64,89.72,89.64,89.72,2617,89.6723,1620396480000,56,
89.72,89.76,89.7,89.76,6695,89.727,1620396540000,78,
89.75,89.8,89.68,89.71,29662,89.7486,1620396600000,194,
89.72,89.72,89.6001,89.62,28788,89.6355,1620396660000,99,
89.63,89.63,89.53,89.545,14818,89.6062,1620396720000,97,
89.55,89.57,89.51,89.535,12822,89.5468,1620396780000,123,
89.53,89.53,89.46,89.4676,6652,89.494,1620396840000,49,
89.47,89.5194,89.4628,89.47,5147,89.4849,1620396900000,72,
89.47,89.54,89.47,89.54,3739,89.5062,1620396960000,53,
89.55,89.6,89.55,89.56,26490,89.5957,1620397020000,65,
89.57,89.68,89.55,89.68,6675,89.5954,1620397080000,80,
89.7,89.7,89.65,89.65,3638,89.6743,1620397140000,57,
89.6463,89.6712,89.64,89.65,3672,89.6634,1620397200000,51,
89.66,89.74,89.66,89.74,2819,89.6963,1620397260000,48,
89.74,89.76,89.7,89.7094,7540,89.742,1620397320000,91,
89.7179,89.82,89.7179,89.815,9430,89.7618,1620397380000,81,
89.835,89.84,89.73,89.7534,4356,89.785,1620397440000,68,
89.736,89.76,89.685,89.685,6320,89.7246,1620397500000,42,
89.68,89.73,89.68,89.7189,3076,89.6966,1620397560000,43,
89.74,89.8,89.73,89.735,4962,89.7694,1620397620000,75,
89.74,89.74,89.66,89.68,6023,89.6742,1620397680000,57,
89.675,89.72,89.675,89.72,2484,89.7028,1620397740000,42,
89.73,89.76,89.69,89.72,5916,89.7212,1620397800000,72,
89.74,89.7797,89.74,89.77,1613,89.7597,1620397860000,24,
89.77,89.85,89.77,89.85,10743,89.8192,1620397920000,75,
89.88,89.91,89.86,89.895,7365,89.8801,1620397980000,84,
89.89,89.96,89.89,89.925,4760,89.9228,1620398040000,56,
89.92,89.92,89.89,89.92,3141,89.9064,1620398100000,47,
89.93,89.99,89.92,89.95,6808,89.9704,1620398160000,66,
89.96,89.96,89.94,89.94,3457,89.9536,1620398220000,49,
89.94,89.94,89.8756,89.88,7964,89.8965,1620398280000,80,
89.89,89.91,89.88,89.88,2311,89.897,1620398340000,41,
89.885,89.93,89.88,89.93,2314,89.9068,1620398400000,46,
89.945,89.98,89.945,89.96,4028,89.961,1620398460000,58,
89.95,90.0,89.95,89.98,3658,89.972,1620398520000,50,
89.985,89.985,89.9424,89.975,9184,89.9697,1620398580000,55,
89.97,89.977,89.96,89.96,2230,89.972,1620398640000,37,
89.98,89.99,89.935,89.945,12506,89.9626,1620398700000,75,
89.945,89.9453,89.91,89.935,9078,89.9313,1620398760000,98,
89.93,89.935,89.855,89.86,6669,89.9043,1620398820000,74,
89.86,89.865,89.8401,89.855,3966,89.8539,1620398880000,49,
