open,high,low,close,volume,vwap,timestamp,transactions,otc
214.88,214.88,214.88,214.88,125,215.0037,1651657800000,3,
214.95,215.4,214.43,215.4,49617,214.9392,1651671000000,473,
215.3,215.47,213.825,214.06,30751,214.3852,1651671060000,422,
214.06,214.64,214.0053,214.64,2340,214.287,1651671120000,56,
214.88,216.01,214.88,216.0,28880,215.6052,1651671180000,394,
216.14,216.96,216.075,216.96,17559,216.5034,1651671240000,394,
216.85,217.75,216.738,217.735,14163,217.3745,1651671300000,318,
217.735,218.29,216.99,216.99,19530,217.8799,1651671360000,370,
217.065,217.58,215.945,215.96,18881,217.0096,1651671420000,281,
215.96,216.41,215.8,216.016,5178,215.9933,1651671480000,85,
216.14,216.36,215.88,216.18,6649,216.1096,1651671540000,131,
215.985,216.275,215.985,216.275,1675,216.1589,1651671600000,64,
216.34,216.405,215.81,215.96,5133,216.0843,1651671660000,156,
215.77,216.06,214.95,216.055,120773,215.0025,1651671720000,138,
216.19,216.98,216.19,216.81,10296,216.6937,1651671780000,185,
216.95,217.31,216.85,217.22,7519,217.1291,1651671840000,189,
217.17,217.83,217.17,217.655,9765,217.5736,1651671900000,207,
217.72,218.38,217.64,218.015,23832,218.0658,1651671960000,515,
218.03,218.24,217.29,217.5204,20610,217.7517,1651672020000,378,
217.39,217.78,217.37,217.78,2980,217.625,1651672080000,105,
217.915,217.9802,217.29,217.29,9351,217.7493,1651672140000,273,
217.3,217.46,217.06,217.26,5214,217.3181,1651672200000,124,
217.36,217.4,217.17,217.17,1936,217.2652,1651672260000,72,
217.22,217.46,217.12,217.31,4008,217.3181,1651672320000,85,
217.61,217.7899,217.48,217.5869,3893,217.6107,1651672380000,118,
217.4,217.43,217.0,217.1238,5763,217.1704,1651672440000,152,
217.29,217.29,217.1235,217.14,1338,217.2053,1651672500000,53,
217.2,217.325,216.93,216.93,4694,217.1196,1651672560000,116,
217.04,217.05,217.0,217.0,1915,217.0208,1651672620000,78,
216.89,216.95,216.88,216.88,2055,216.9244,1651672680000,84,
216.73,216.9,216.62,216.769,5479,216.7495,1651672740000,135,
216.84,216.91,216.04,216.04,10722,216.4508,1651672800000,290,
216.02,216.25,216.01,216.25,6231,216.1674,1651672860000,196,
216.37,216.97,216.37,216.6,9033,216.6718,1651672920000,181,
216.5,216.5,216.15,216.23,4678,216.3093,1651672980000,106,
216.23,216.35,216.23,216.27,1268,216.3197,1651673040000,43,
216.29,216.4393,216.27,216.33,4079,216.3122,1651673100000,105,
216.14,216.35,216.06,216.09,4015,216.2235,1651673160000,105,
216.05,216.15,215.63,215.718,4745,215.9031,1651673220000,132,
215.75,215.75,215.62,215.71,2293,215.6618,1651673280000,56,
215.71,216.12,215.7,215.93,4351,215.9317,1651673340000,101,
215.99,216.19,215.8,215.83,7530,215.983,1651673400000,122,
215.76,215.95,215.76,215.77,2159,215.8633,1651673460000,136,
215.84,215.84,215.71,215.71,2933,215.7555,1651673520000,87,
215.665,215.78,215.57,215.725,2550,215.6664,1651673580000,104,
215.65,215.7,215.36,215.42,3122,215.5354,1651673640000,83,
215.48,215.6,215.34,215.56,4511,215.4441,1651673700000,89,
215.59,215.92,215.59,215.92,1928,215.7598,1651673760000,80,
215.98,216.01,215.88,216.01,2827,215.95,1651673820000,70,
216.15,216.15,216.15,216.15,1412,216.1363,1651673880000,34,
216.1176,216.21,216.015,216.15,3361,216.137,1651673940000,82,
216.1,216.18,216.05,216.18,2387,216.1196,1651674000000,83,
216.26,216.3,216.07,216.14,6945,216.217,1651674060000,107,
216.14,216.14,216.14,216.14,660,216.2282,1651674120000,52,
216.35,216.405,216.215,216.215,5173,216.3181,1651674180000,163,
216.3,216.33,216.245,216.29,2173,216.2834,1651674240000,101,
216.35,216.355,216.26,216.3125,2404,216.3162,1651674300000,71,
216.47,216.94,216.465,216.92,7406,216.6984,1651674360000,144,
216.8412,217.05,216.77,216.8036,6390,216.8891,1651674420000,135,
216.85,216.88,216.75,216.79,3325,216.8436,1651674480000,100,
216.83,216.85,216.67,216.71,2921,216.77,1651674540000,94,
216.64,216.65,216.44,216.54,3716,216.5366,1651674600000,126,
216.51,216.51,216.38,216.4,3489,216.4492,1651674660000,121,
216.53,216.61,216.36,216.36,2387,216.5198,1651674720000,77,
216.1401,216.25,216.09,216.11,1824,216.185,1651674780000,52,
