open,high,low,close,volume,vwap,timestamp,transactions,otc
276.56,276.56,276.56,276.56,312,276.566,1659610800000,5,
278.19,278.95,278.19,278.91,804,278.7344,1659611940000,24,
280.0,280.22,279.79,279.79,3615,279.9634,1659612420000,63,
280.06,280.06,280.06,280.06,298,280.2372,1659612780000,7,
280.94,281.0,280.0,280.0,2437,280.3885,1659612960000,30,
279.88,280.41,279.72,280.41,2056,279.979,1659613020000,22,
278.495,282.0,277.0125,282.0,2120,280.3084,1659614400000,46,
282.69,283.5,282.69,283.5,508,282.9446,1659614460000,14,
282.5,282.5,282.5,282.5,277,282.5,1659614880000,2,
282.0,282.0,282.0,282.0,259,282.0578,1659615060000,9,
281.75,281.75,281.75,281.75,187,281.7735,1659615720000,6,
282.0,282.0,282.0,282.0,127,282.004,1659616320000,5,
281.5,281.5,281.5,281.5,100,281.5,1659617040000,1,
282.0,282.21,281.96,282.21,4352,282.0402,1659617100000,61,
282.38,282.38,282.38,282.38,500,282.3779,1659617460000,4,
282.25,282.25,281.96,281.96,770,282.0288,1659618180000,13,
281.97,281.97,281.97,281.97,135,281.9224,1659618300000,3,
281.97,281.97,281.97,281.97,305,281.9793,1659618360000,6,
281.99,281.99,281.99,281.99,300,281.99,1659618420000,3,
281.99,282.0,281.99,282.0,300,281.9933,1659618480000,3,
282.0,282.0,282.0,282.0,901,281.9989,1659618540000,12,
282.0,282.0,282.0,282.0,2239,282.003,1659618660000,29,
282.5,282.5,282.5,282.5,415,282.2092,1659619140000,8,
282.0,282.0,282.0,282.0,100,282.0,1659619320000,1,
282.0,282.0,282.0,282.0,371,281.9183,1659619440000,10,
282.0,282.0,282.0,282.0,104,282.0034,1659619500000,4,
282.0,282.0,281.75,281.75,906,281.7995,1659619560000,16,
281.5,282.5,281.5,282.5,2427,282.2927,1659619620000,34,
281.26,282.2,281.06,282.2,536,281.4291,1659619680000,11,
281.2,283.5,281.0,283.5,8855,282.5101,1659619740000,88,
280.63,282.49,280.43,281.138,55427,281.1251,1659619800000,581,
281.27,283.445,281.23,283.0,16837,282.4198,1659619860000,344,
283.38,284.0,282.9703,283.35,22270,283.6681,1659619920000,257,
