open,high,low,close,volume,vwap,timestamp,transactions,otc
96.09,96.09,96.09,96.09,115,96.0884,1683187200000,3,
95.79,96.5,95.79,96.18,2006,96.2502,1683198000000,19,
95.87,95.87,95.85,95.85,531,95.8868,1683198720000,11,
95.84,95.84,95.84,95.84,100,95.84,1683199020000,1,
95.87,95.87,95.87,95.87,1121,95.8698,1683199140000,3,
96.1,96.1,96.1,96.1,211,96.1048,1683200040000,5,
95.88,96.9,95.2219,96.0,1911,96.4784,1683201600000,37,
96.9604,96.9604,96.9604,96.9604,116,96.9556,1683202500000,2,
96.99,96.99,96.99,96.99,1003,96.9888,1683203520000,3,
96.59,96.59,96.59,96.59,203,96.6318,1683205080000,6,
96.5,96.5,96.5,96.5,100,96.5,1683205440000,1,
96.99,96.99,96.99,96.99,101,96.9883,1683205680000,2,
96.22,96.59,96.22,96.59,529,96.309,1683206220000,7,
96.29,96.29,96.29,96.29,500,96.29,1683206880000,6,
96.2,96.99,95.81,96.59,137186,96.2718,1683207000000,931,
96.635,97.79,96.635,97.79,31806,97.1862,1683207060000,550,
97.63,98.265,97.51,97.76,36387,97.9605,1683207120000,387,
97.7452,98.12,97.4466,97.69,18052,97.7838,1683207180000,199,
97.71,97.815,97.46,97.673,27801,97.7259,1683207240000,292,
97.74,97.845,97.62,97.775,27293,97.7474,1683207300000,339,
97.74,97.78,97.25,97.28,33532,97.492,1683207360000,452,
97.245,97.525,97.19,97.32,15841,97.3564,1683207420000,262,
97.32,97.39,96.905,97.195,23625,97.1482,1683207480000,305,
97.12,97.1621,96.9001,96.9001,28391,97.0265,1683207540000,239,
96.97,97.04,96.64,96.74,22519,96.872,1683207600000,251,
96.715,97.02,96.62,96.64,20448,96.8241,1683207660000,293,
96.66,97.07,96.63,96.97,15666,96.8893,1683207720000,250,
96.91,97.045,96.8575,96.915,14667,96.9471,1683207780000,237,
96.96,96.97,96.63,96.7299,10802,96.7824,1683207840000,209,
96.785,97.015,96.785,96.85,18143,96.9276,1683207900000,236,
96.75,97.04,96.58,96.94,18642,96.7999,1683207960000,253,
96.89,96.93,96.75,96.91,17916,96.842,1683208020000,238,
96.84,97.08,96.73,96.87,22021,96.9208,1683208080000,319,
96.92,97.315,96.85,97.2,17821,97.0948,1683208140000,291,
97.18,97.42,97.18,97.415,19375,97.3215,1683208200000,261,
97.41,97.57,97.33,97.415,22720,97.4144,1683208260000,353,
97.39,97.42,97.24,97.27,11705,97.3194,1683208320000,175,
97.25,97.59,97.23,97.485,25672,97.4504,1683208380000,321,
97.47,97.61,97.41,97.51,47613,97.5128,1683208440000,789,
97.51,97.58,97.43,97.51,28244,97.4933,1683208500000,400,
97.53,97.57,97.37,97.55,27600,97.4867,1683208560000,284,
97.55,98.03,97.55,97.905,34642,97.858,1683208620000,430,
97.89,97.89,97.33,97.39,14171,97.615,1683208680000,249,
97.385,97.47,97.29,97.38,12450,97.387,1683208740000,201,
