open,high,low,close,volume,vwap,timestamp,transactions,otc
740.7,740.7,740.7,740.7,244,740.3479,2024-03-13 06:21:00,20,
739.5,739.5,739.5,739.5,924,739.3575,2024-03-13 07:00:00,58,
739.98,740.0,739.98,740.0,512,739.9643,2024-03-13 07:42:00,21,
739.5,739.5,739.5,739.5,165,739.5,2024-03-13 07:48:00,6,
738.95,740.0,738.95,740.0,1986,739.527,2024-03-13 08:00:00,134,
738.5,738.5,738.5,738.5,285,738.5271,2024-03-13 08:22:00,16,
738.92,738.92,738.92,738.92,156,738.92,2024-03-13 08:39:00,3,
738.95,738.95,738.95,738.95,758,738.944,2024-03-13 08:42:00,17,
738.51,738.51,738.51,738.51,223,738.5192,2024-03-13 08:49:00,5,
738.0,738.0,738.0,738.0,654,737.9013,2024-03-13 08:53:00,53,
737.1,737.1,737.1,737.1,742,737.064,2024-03-13 08:56:00,50,
736.0,736.0,736.0,736.0,206,736.1393,2024-03-13 09:00:00,10,
736.01,736.01,736.0,736.0,354,736.0134,2024-03-13 09:01:00,31,
736.09,736.09,736.09,736.09,498,735.8801,2024-03-13 09:08:00,37,
735.142,735.142,734.65,734.65,1646,735.0079,2024-03-13 09:09:00,74,
733.63,733.63,733.63,733.63,559,733.7809,2024-03-13 09:10:00,41,
733.5,733.5,733.5,733.5,161,733.9244,2024-03-13 09:15:00,11,
735.0,735.0,735.0,735.0,614,735.011,2024-03-13 09:27:00,5,
735.44,735.44,734.28,734.28,986,734.9575,2024-03-13 09:29:00,13,
735.0,736.5,734.09,734.37,38698,734.9306,2024-03-13 09:30:00,949,
734.285,734.285,732.7501,733.39,9926,733.3857,2024-03-13 09:31:00,372,
733.38,733.38,731.0,732.59,19672,732.0336,2024-03-13 09:32:00,532,
732.69,733.745,732.47,732.47,8662,733.0139,2024-03-13 09:33:00,347,
731.4,732.5,731.0,732.5,4302,731.6171,2024-03-13 09:34:00,268,
732.84,732.84,731.42,732.1,12271,732.1206,2024-03-13 09:35:00,416,
731.93,732.05,731.0,731.33,13430,731.5188,2024-03-13 09:36:00,502,
731.445,732.52,731.435,732.47,4333,732.1005,2024-03-13 09:37:00,207,
732.45,733.515,732.45,733.11,5818,732.9274,2024-03-13 09:38:00,245,
733.03,733.52,732.76,733.485,3427,733.2241,2024-03-13 09:39:00,177,
733.16,733.16,731.02,731.02,20734,732.1581,2024-03-13 09:40:00,655,
731.22,731.22,729.7389,730.0001,19444,730.2727,2024-03-13 09:41:00,834,
730.2,731.0,730.0,730.1,9622,730.5892,2024-03-13 09:42:00,343,
729.84,730.57,729.5,730.555,14932,730.0203,2024-03-13 09:43:00,493,
