open,high,low,close,volume,vwap,timestamp,transactions,otc
43.44,43.44,43.44,43.44,500,43.4406,1653469320000,8,
43.53,43.53,43.53,43.53,530,43.3884,1653469920000,18,
43.13,43.13,43.13,43.13,445,43.2551,1653469980000,13,
43.69,43.69,43.69,43.69,200,43.759,1653474060000,4,
43.8,43.8,43.79,43.79,200,43.795,1653475320000,2,
43.56,43.56,43.56,43.56,200,43.5315,1653475980000,6,
43.7,43.7,43.7,43.7,200,43.7,1653477060000,2,
43.7,43.7,43.69,43.69,735,43.6907,1653477120000,8,
43.53,43.53,43.52,43.52,600,43.5047,1653477900000,13,
43.52,43.52,43.52,43.52,200,43.5158,1653478020000,4,
43.59,43.59,43.56,43.58,1216,43.5741,1653479160000,18,
43.55,43.55,43.55,43.55,200,43.5475,1653479940000,3,
43.75,43.75,43.54,43.57,3085,43.6515,1653480000000,36,
43.54,43.54,43.54,43.54,402,43.5411,1653480060000,3,
43.54,43.54,43.54,43.54,306,43.5427,1653480180000,7,
43.57,43.57,43.57,43.57,794,43.5739,1653480420000,11,
43.61,43.64,43.61,43.64,423,43.6275,1653481020000,10,
43.67,43.67,43.67,43.67,755,43.6723,1653481380000,13,
43.6,43.6,43.6,43.6,300,43.5813,1653481800000,6,
43.69,43.71,43.69,43.71,2556,43.6976,1653481980000,24,
43.71,43.75,43.71,43.75,1412,43.7252,1653482040000,14,
43.72,43.72,43.7,43.71,1432,43.7048,1653482340000,15,
43.66,43.68,43.66,43.68,774,43.6663,1653482460000,12,
43.65,43.65,43.65,43.65,100,43.65,1653482520000,1,
43.69,43.69,43.69,43.69,305,43.69,1653483000000,2,
43.76,43.76,43.74,43.74,928,43.735,1653483060000,31,
43.74,43.74,43.74,43.74,2637,43.7415,1653483240000,24,
43.77,43.86,43.77,43.86,914,43.8305,1653483600000,15,
43.75,43.75,43.75,43.75,695,43.7516,1653483840000,5,
43.7501,43.7501,43.7501,43.7501,150,43.7501,1653484080000,2,
43.75,43.75,43.75,43.75,454,43.7533,1653484260000,4,
43.73,43.73,43.73,43.73,310,43.7494,1653484980000,5,
43.8,43.8,43.8,43.8,505,43.8,1653485280000,2,
43.79,43.79,43.79,43.79,496,43.7947,1653485340000,9,
43.75,43.825,43.56,43.59,444927,43.7202,1653485400000,1559,
43.62,43.65,43.46,43.5,88060,43.5499,1653485460000,851,
