open,high,low,close,volume,vwap,timestamp,transactions,otc
72.77,72.77,72.77,72.77,475,72.77,1683101460000,1,
73.42,73.42,73.42,73.42,274,73.42,1683105000000,3,
73.4,73.4,73.4,73.4,310,73.4165,1683105300000,3,
73.6,73.6,73.6,73.6,500,73.6,1683105960000,1,
73.64,73.99,73.64,73.99,300,73.8719,1683108120000,3,
73.98,73.99,73.98,73.99,695,73.9754,1683108660000,4,
73.99,74.29,73.6,74.2,7312,73.7966,1683109800000,31,
73.75,74.26,73.75,74.26,416,74.1635,1683110040000,8,
73.65,73.75,73.62,73.75,501,73.6544,1683110160000,9,
73.6,73.75,73.6,73.6,27624,73.6046,1683110220000,67,
73.35,73.35,73.35,73.35,841,73.3989,1683110400000,18,
73.0,73.0,72.0,72.0,6888,72.4344,1683110520000,42,
71.97,72.2,71.85,72.2,4233,71.965,1683110580000,45,
72.41,72.41,72.4,72.4,4351,72.4026,1683110640000,27,
72.01,72.01,70.78,70.8,8936,71.4735,1683110700000,111,
70.7,70.8,70.66,70.8,3312,70.7619,1683110760000,34,
71.47,72.3,71.47,72.3,472,72.1061,1683110940000,8,
71.63,71.63,71.63,71.63,270,71.657,1683111120000,5,
71.65,71.65,71.63,71.63,1218,71.6473,1683111180000,8,
71.8,71.8,71.8,71.8,301,71.7519,1683111240000,4,
72.2,72.2,72.0,72.0,818,72.0378,1683111600000,32,
72.27,72.3,72.27,72.3,616,72.2956,1683111720000,6,
72.4,72.7,72.4,72.7,2480,72.5578,1683111780000,21,
72.6,72.61,72.6,72.61,1481,72.6072,1683111900000,12,
72.4,72.4,72.4,72.4,349,72.3905,1683111960000,10,
72.25,72.25,72.25,72.25,1502,72.25,1683112260000,5,
72.11,72.11,72.11,72.11,216,72.176,1683112440000,6,
72.18,72.29,72.18,72.29,320,72.2479,1683112500000,13,
72.1,72.1,72.0,72.0,1963,72.0229,1683112740000,30,
71.82,71.82,71.48,71.59,12606,71.5402,1683112980000,142,
71.9,71.9,71.75,71.75,826,71.855,1683113160000,9,
71.51,71.51,71.51,71.51,1135,71.5136,1683113340000,15,
71.55,71.55,71.5,71.5,4424,71.5189,1683113400000,17,
71.47,71.47,71.47,71.47,1039,71.471,1683113460000,16,
71.5,71.5,71.39,71.39,2576,71.4349,1683113520000,51,
71.4,71.4,71.39,71.39,901,71.3765,1683113580000,24,
71.35,71.4,71.35,71.4,11807,71.3955,1683113700000,23,
71.38,71.4,71.38,71.4,916,71.3963,1683113760000,16,
71.4,71.4,71.4,71.4,112,71.4,1683113820000,4,
71.4,71.4,71.4,71.4,1869,71.4114,1683113940000,27,
71.42,71.42,71.42,71.42,420,71.444,1683114300000,10,
71.42,71.45,71.42,71.45,804,71.4442,1683114600000,10,
71.47,71.5,71.47,71.5,14401,71.4994,1683114840000,25,
71.5,71.5,71.5,71.5,450,71.5,1683114900000,4,
71.5,71.5,71.25,71.25,20706,71.4556,1683115020000,84,
71.3,71.3,71.2,71.25,1659,71.2512,1683115080000,25,
71.25,71.25,71.25,71.25,638,71.2416,1683115140000,15,
71.4997,72.8,71.2037,71.35,50559,71.8101,1683115200000,294,
71.25,71.25,71.25,71.25,1245,71.3478,1683115260000,63,
71.2,71.2,71.0,71.0,5347,71.0165,1683115380000,164,
70.95,70.99,70.95,70.99,2045,70.9583,1683115440000,44,
70.88,71.04,70.88,71.0,9551,70.9961,1683115500000,52,
71.0,71.0,70.9999,71.0,1265,70.9996,1683115560000,16,
70.89,70.89,70.89,70.89,407,70.9445,1683115620000,18,
70.8928,71.3486,70.8928,71.3486,425,71.0637,1683115680000,10,
71.0,71.0,70.89,71.0,1748,70.9913,1683115740000,22,
70.9,70.9,70.6,70.6356,4943,70.7394,1683115800000,109,
70.75,71.0,70.75,70.85,1599,70.873,1683115860000,21,
71.0,71.0,71.0,71.0,721,70.9778,1683115920000,21,
71.0,71.0,71.0,71.0,1107,70.9997,1683115980000,17,
71.0,71.0,71.0,71.0,1309,71.0002,1683116040000,21,
70.985,70.985,70.985,70.985,1196,70.9929,1683116100000,22,
71.0,71.0,71.0,71.0,656,71.0,1683116160000,21,
71.0,71.0,71.0,71.0,930,70.9998,1683116220000,31,
70.99,71.0,70.99,71.0,1494,70.9982,1683116280000,32,
71.0,71.0,71.0,71.0,1300,71.0,1683116340000,25,
71.0,71.0,71.0,71.0,599,70.9938,1683116460000,22,
70.9981,71.0,70.9981,71.0,720,70.9996,1683116520000,12,
70.99,71.0,70.99,71.0,1137,70.9947,1683116580000,16,
71.0,71.0,70.97,70.97,1858,70.9705,1683116640000,54,
70.75,71.0,70.75,71.0,2327,70.8617,1683116700000,42,
71.0,71.0,71.0,71.0,423,70.9998,1683116760000,6,
71.0,71.0,71.0,71.0,1296,70.9998,1683116820000,15,
71.0,71.0,71.0,71.0,14478,70.9999,1683116940000,31,
71.0,71.0,70.98,70.98,2432,70.9976,1683117000000,22,
70.98,70.98,70.98,70.98,144,70.972,1683117060000,6,
70.88,70.88,70.88,70.88,755,70.8856,1683117120000,14,
70.88,70.88,70.82,70.82,521,70.8836,1683117240000,34,
70.85,70.9,70.82,70.85,2525,70.8562,1683117300000,25,
70.83,70.85,70.81,70.85,2760,70.836,1683117360000,44,
70.85,70.85,70.85,70.85,1363,70.85,1683117420000,27,
70.83,70.85,70.81,70.85,2061,70.8423,1683117480000,30,
70.85,70.98,70.85,70.98,5840,70.8686,1683117540000,20,
70.82,70.85,70.82,70.85,704,70.8658,1683117600000,22,
70.98,70.98,70.98,70.98,1718,70.9789,1683117720000,15,
71.2,71.2,71.2,71.2,1082,71.202,1683117960000,8,
71.39,71.39,71.2,71.2,605,71.3099,1683118020000,9,
71.39,71.7,71.39,71.7,4215,71.6069,1683118260000,59,
71.88,71.88,71.88,71.88,457,71.8748,1683118320000,9,
71.7,71.75,71.7,71.75,4777,71.7186,1683118380000,49,
71.7001,71.71,71.7,71.7,4054,71.703,1683118440000,38,
71.65,71.67,71.65,71.67,386,71.6549,1683118500000,7,
71.64,71.64,71.2,71.2,852,71.4712,1683118560000,4,
71.6,71.88,71.6,71.88,2391,71.7307,1683118620000,22,
71.87,71.88,71.6,71.61,896,71.7524,1683118680000,10,
71.6,71.6,71.6,71.6,572,71.6098,1683118740000,13,
71.87,71.89,71.87,71.89,1511,71.8742,1683118800000,11,
71.75,71.75,71.75,71.75,1182,71.7512,1683118860000,8,
71.75,71.75,71.75,71.75,133,71.7191,1683118920000,4,
71.75,71.75,71.75,71.75,262,71.7481,1683119040000,4,
71.6,71.75,71.6,71.75,1247,71.6589,1683119100000,15,
71.91,71.91,71.82,71.82,1016,71.8611,1683119160000,10,
71.92,72.575,71.92,72.575,3035,72.2114,1683119220000,47,
72.65,72.8,72.6,72.6,3674,72.721,1683119280000,31,
72.36,72.5,72.35,72.5,4730,72.397,1683119340000,13,
72.4,72.4,72.4,72.4,694,72.3636,1683119400000,25,
72.45,72.46,72.45,72.46,1170,72.449,1683119460000,10,
72.5,72.5,72.4,72.4,538,72.4163,1683119520000,13,
72.4,72.5,72.36,72.36,1368,72.4252,1683119580000,28,
72.42,72.42,72.3601,72.3601,456,72.404,1683119640000,6,
72.4,72.4,72.35,72.35,647,72.3732,1683119700000,14,
72.42,72.42,72.39,72.39,629,72.3928,1683119760000,14,
72.2,72.2,72.2,72.2,414,72.3126,1683119820000,18,
72.15,72.2,72.1,72.1,3081,72.1869,1683119940000,8,
72.05,72.05,72.0,72.0,1536,71.9739,1683120000000,24,
71.76,71.76,71.3001,71.3001,12097,71.5521,1683120120000,144,
71.35,71.49,71.35,71.49,2010,71.3587,1683120180000,21,
71.47,71.5,71.47,71.5,6291,71.4946,1683120240000,46,
71.41,71.41,71.41,71.41,116,71.4223,1683120300000,5,
71.5,71.5,71.32,71.5,4636,71.4871,1683120360000,29,
71.5,71.5,71.5,71.5,2003,71.5,1683120420000,7,
71.5,71.5,71.38,71.38,1581,71.4612,1683120480000,17,
71.41,71.5,71.41,71.5,1500,71.4921,1683120540000,36,
71.4,71.54,70.0806,70.15,404670,71.1132,1683120600000,4048,
70.17,71.13,70.08,70.6848,167031,70.7026,1683120660000,1591,
70.75,70.7999,70.15,70.3,108601,70.3748,1683120720000,1117,
70.26,70.55,70.2,70.2701,125874,70.3999,1683120780000,1348,
70.33,70.33,69.71,69.945,272736,69.9602,1683120840000,2671,
69.9684,70.31,69.72,70.23,145725,69.928,1683120900000,1962,
70.2,70.42,69.865,69.865,108308,70.1163,1683120960000,1217,
69.865,69.89,69.32,69.45,186366,69.5358,1683121020000,2098,
69.4673,70.1,69.42,70.0,101828,69.7884,1683121080000,948,
69.945,70.57,69.9348,70.43,91515,70.2914,1683121140000,854,
70.3678,70.4078,70.02,70.1199,57958,70.2666,1683121200000,747,
70.04,70.39,70.01,70.35,60168,70.1815,1683121260000,655,
70.3197,70.3552,70.1,70.325,41949,70.2401,1683121320000,459,
70.3,70.7085,70.29,70.7085,86235,70.5171,1683121380000,626,
70.68,70.79,70.32,70.4029,138386,70.5641,1683121440000,1812,
70.45,70.57,70.32,70.49,92550,70.4405,1683121500000,1046,
70.44,70.67,70.264,70.67,53795,70.4938,1683121560000,820,
70.62,70.63,70.41,70.48,33450,70.54,1683121620000,402,
70.52,70.66,70.48,70.6,24477,70.549,1683121680000,381,
70.62,70.69,70.31,70.31,48953,70.4985,1683121740000,571,
70.325,70.57,70.3,70.475,43196,70.4202,1683121800000,518,
70.5,70.51,70.21,70.21,43694,70.3972,1683121860000,596,
70.2199,70.52,70.1604,70.34,45983,70.3469,1683121920000,557,
70.3447,70.48,70.33,70.415,27936,70.3975,1683121980000,375,
70.4,70.49,70.35,70.375,38304,70.4129,1683122040000,560,
70.383,70.47,70.3,70.4385,34703,70.4059,1683122100000,471,
70.4683,70.49,70.34,70.4049,42270,70.4173,1683122160000,654,
70.42,70.48,70.4,70.42,30055,70.4348,1683122220000,363,
70.425,70.425,70.16,70.22,49317,70.2912,1683122280000,567,
70.21,70.31,70.15,70.25,62573,70.2293,1683122340000,1086,
70.245,70.34,70.22,70.315,40555,70.2703,1683122400000,676,
70.29,70.39,70.24,70.32,40493,70.3169,1683122460000,629,
70.31,70.42,70.21,70.41,46906,70.3096,1683122520000,704,
70.4,70.49,70.4,70.415,44385,70.4408,1683122580000,599,
70.4157,70.54,70.36,70.45,57782,70.4653,1683122640000,599,
70.49,70.53,70.37,70.39,40442,70.4836,1683122700000,451,
70.4,70.66,70.4,70.64,46830,70.5126,1683122760000,526,
70.66,70.7834,70.61,70.69,116735,70.7116,1683122820000,1078,
70.6899,70.86,70.61,70.615,37139,70.7435,1683122880000,537,
70.64,70.66,70.572,70.63,18144,70.6177,1683122940000,314,
70.65,70.81,70.65,70.765,28991,70.7476,1683123000000,355,
70.78,70.81,70.73,70.74,23337,70.7657,1683123060000,379,
70.735,70.85,70.63,70.82,40763,70.752,1683123120000,482,
70.77,70.98,70.755,70.96,53551,70.8978,1683123180000,725,
70.96,71.0,70.83,70.9757,74622,70.9174,1683123240000,719,
70.975,70.975,70.6475,70.685,27075,70.7855,1683123300000,433,
70.675,70.92,70.61,70.895,40391,70.7414,1683123360000,449,
70.8855,71.0,70.84,70.955,79428,70.9208,1683123420000,762,
70.96,71.04,70.95,71.01,108379,70.9957,1683123480000,937,
