open,high,low,close,volume,vwap,timestamp,transactions,otc
112.29,112.29,112.29,112.29,264,112.2321,1675846860000,14,
112.12,112.12,112.12,112.12,189,112.0952,1675846920000,2,
112.12,112.15,112.12,112.15,1546,112.147,1675847280000,8,
112.2,112.2,112.2,112.2,207,112.1997,1675847700000,2,
112.29,112.3,112.29,112.29,433,112.2907,1675847760000,11,
112.29,112.29,112.29,112.29,1207,112.2904,1675847820000,24,
112.29,112.29,112.29,112.29,260,112.2873,1675848180000,8,
112.38,112.38,112.38,112.38,308,112.3762,1675850100000,7,
112.32,112.32,112.32,112.32,138,112.32,1675850400000,1,
112.35,112.35,112.35,112.35,632,112.3477,1675850640000,14,
112.25,112.25,112.25,112.25,367,112.25,1675851540000,2,
112.2,112.2,112.2,112.2,252,112.2005,1675851660000,7,
112.2,112.2,112.2,112.2,227,112.2,1675851840000,12,
112.3,112.3,112.3,112.3,319,112.2569,1675852560000,13,
112.2,112.2,112.2,112.2,101,112.2,1675852800000,2,
112.2,112.2,112.2,112.2,100,112.2,1675853520000,1,
112.1,112.1,112.1,112.1,681,112.1003,1675856820000,13,
112.06,112.06,112.01,112.01,3454,112.0528,1675856880000,6,
112.03,112.03,112.03,112.03,899,112.0305,1675857120000,6,
112.23,112.35,112.23,112.35,1930,112.289,1675857600000,61,
112.4,112.4,112.4,112.4,679,112.3874,1675857660000,29,
112.47,112.47,112.44,112.47,1070,112.4334,1675857720000,25,
112.5,112.5,112.5,112.5,374,112.511,1675857840000,15,
112.58,112.58,112.58,112.58,416,112.556,1675857900000,11,
112.65,112.65,112.65,112.65,643,112.6556,1675857960000,28,
112.84,112.85,112.84,112.85,618,112.8463,1675858080000,21,
112.71,112.71,112.7,112.7,1161,112.7382,1675858320000,25,
112.7,112.76,112.7,112.75,3652,112.742,1675858500000,77,
112.66,112.76,112.65,112.76,898,112.6936,1675858620000,18,
112.71,112.71,112.7,112.7,835,112.6845,1675858680000,19,
112.74,112.85,112.74,112.85,1055,112.7681,1675858740000,25,
112.79,112.8,112.79,112.8,1424,112.7722,1675858920000,26,
112.84,112.88,112.84,112.88,1615,112.8826,1675858980000,22,
112.88,112.88,112.88,112.88,1056,112.8805,1675859100000,14,
112.9,112.9,112.9,112.9,638,112.9109,1675859220000,21,
112.92,113.0,112.92,113.0,1800,112.9695,1675859280000,31,
113.0,113.0,112.99,113.0,2860,112.9998,1675859340000,73,
113.14,113.14,112.85,113.0,3040,112.9938,1675859400000,58,
112.98,113.0,112.9,113.0,1813,112.9468,1675859460000,23,
113.05,113.05,113.05,113.05,654,113.0477,1675859520000,17,
112.91,112.91,112.88,112.88,630,112.9037,1675859580000,13,
112.9,112.9,112.8,112.8,1275,112.8894,1675859700000,33,
112.82,112.82,112.82,112.82,1702,112.8255,1675859760000,25,
113.0,113.0,113.0,113.0,1697,112.9996,1675859820000,11,
113.0,113.0,112.76,112.76,1984,112.8771,1675859880000,31,
112.79,112.83,112.79,112.83,742,112.8578,1675859940000,21,
112.83,112.83,112.83,112.83,291,112.8604,1675860000000,10,
112.75,112.75,112.75,112.75,505,112.7692,1675860060000,15,
112.7,112.7,112.7,112.7,517,112.7157,1675860120000,12,
112.84,112.84,112.84,112.84,230,112.8382,1675860240000,6,
112.8,112.8,112.8,112.8,644,112.806,1675860300000,14,
112.8,112.8,112.8,112.8,435,112.7875,1675860360000,12,
112.82,112.82,112.72,112.72,1206,112.7482,1675860420000,23,
112.8,112.8,112.72,112.72,1248,112.7429,1675860480000,14,
112.72,112.72,112.72,112.72,2235,112.7209,1675860540000,9,
112.8,112.8,112.8,112.8,176,112.8,1675860600000,3,
112.64,112.66,112.64,112.66,869,112.6912,1675860780000,23,
112.77,112.77,112.77,112.77,111,112.7704,1675861020000,4,
112.77,112.77,112.68,112.68,1807,112.737,1675861080000,20,
112.75,113.2,112.25,112.75,14266,112.6653,1675861200000,241,
112.8,112.83,112.8,112.83,1615,112.8006,1675861320000,46,
112.75,112.78,112.7,112.78,2753,112.7458,1675861380000,59,
112.87,112.87,112.73,112.73,846,112.8099,1675861440000,25,
112.7,112.7,112.7,112.7,1063,112.7093,1675861500000,6,
112.888,112.888,112.888,112.888,456,112.8457,1675861560000,19,
112.87,112.88,112.87,112.88,1051,112.8743,1675861620000,12,
112.8,112.8935,112.8,112.8,946,112.8211,1675861680000,16,
112.8,112.9,112.8,112.8,853,112.829,1675861800000,12,
112.8,112.8,112.79,112.79,536,112.797,1675861860000,10,
112.7,112.7,112.7,112.7,1298,112.701,1675861920000,9,
112.75,112.75,112.75,112.75,584,112.7634,1675862040000,17,
112.8945,112.8945,112.8945,112.8945,525,112.8917,1675862100000,4,
112.73,112.8992,112.73,112.8992,771,112.7907,1675862160000,21,
112.88,112.88,112.7,112.7,823,112.8424,1675862220000,22,
112.73,112.73,112.73,112.73,1077,112.756,1675862400000,26,
112.8,112.8,112.8,112.8,226,112.7968,1675862520000,7,
112.8,112.8,112.8,112.8,127,112.7946,1675862580000,5,
112.89,112.89,112.89,112.89,905,112.8773,1675862640000,12,
112.87,112.88,112.87,112.88,660,112.8618,1675862700000,19,
112.88,112.88,112.87,112.87,878,112.8674,1675862940000,22,
112.88,112.88,112.88,112.88,248,112.8522,1675863000000,14,
112.87,112.87,112.87,112.87,113,112.868,1675863060000,4,
112.8001,112.8001,112.8001,112.8001,673,112.8108,1675863180000,10,
112.85,112.85,112.81,112.81,410,112.823,1675863360000,9,
112.82,112.82,112.82,112.82,533,112.8203,1675863600000,17,
112.84,112.84,112.84,112.84,768,112.8421,1675863720000,34,
112.81,112.88,112.81,112.88,1127,112.8468,1675863780000,30,
112.82,112.82,112.82,112.82,525,112.8252,1675863840000,20,
112.88,112.88,112.81,112.88,1351,112.8517,1675863900000,30,
112.8799,112.8799,112.8799,112.8799,561,112.8788,1675864020000,6,
112.87,112.87,112.8101,112.8101,1301,112.8546,1675864080000,21,
112.865,112.865,112.865,112.865,147,112.8669,1675864140000,16,
112.85,112.85,112.85,112.85,420,112.8582,1675864200000,23,
112.81,112.81,112.8,112.8,1480,112.8049,1675864260000,35,
112.8,112.8,112.8,112.8,859,112.8037,1675864320000,21,
112.8,112.8,112.8,112.8,757,112.8063,1675864440000,18,
112.8,112.8,112.8,112.8,126,112.8087,1675864620000,6,
112.8015,112.8015,112.78,112.78,4091,112.7976,1675864800000,45,
112.78,112.8,112.78,112.78,2262,112.7888,1675864860000,23,
112.78,112.78,112.77,112.77,3260,112.7744,1675864920000,55,
112.8,112.8,112.8,112.8,839,112.7978,1675865040000,23,
112.83,112.83,112.83,112.83,338,112.8293,1675865160000,7,
112.83,112.83,112.83,112.83,346,112.8411,1675865220000,16,
112.84,112.84,112.84,112.84,295,112.8436,1675865280000,9,
112.8,112.83,112.8,112.83,721,112.8119,1675865340000,18,
112.82,112.82,112.79,112.79,1438,112.8055,1675865400000,23,
112.83,112.83,112.78,112.78,1191,112.812,1675865460000,29,
112.84,112.84,112.84,112.84,1102,112.8172,1675865520000,32,
112.84,112.84,112.84,112.84,766,112.8244,1675865580000,11,
112.84,112.84,112.8,112.81,1095,112.8175,1675865640000,22,
112.8,112.8,112.8,112.8,331,112.8075,1675865700000,16,
112.77,112.8484,112.68,112.68,11753,112.7461,1675865760000,89,
112.65,112.7,112.63,112.64,1633,112.6558,1675865820000,43,
112.63,112.63,112.5,112.5,5097,112.6148,1675865880000,57,
112.51,112.51,112.51,112.51,645,112.5366,1675865940000,23,
112.56,112.56,112.56,112.56,647,112.5653,1675866000000,14,
112.64,112.64,112.6,112.6,1473,112.5924,1675866120000,36,
112.61,112.61,112.61,112.61,460,112.6063,1675866180000,14,
112.7,112.7,112.7,112.7,328,112.6932,1675866240000,11,
112.7,112.7,112.7,112.7,514,112.6869,1675866300000,16,
112.7,112.71,112.7,112.7,3269,112.7077,1675866360000,20,
112.7,112.7,112.7,112.7,2286,112.6955,1675866420000,24,
112.65,112.65,112.07,112.2,10890,112.4968,1675866540000,121,
112.2,112.2,111.8,112.0,26889,111.9856,1675866600000,515,
112.02,112.09,111.615,111.615,298767,111.9659,1675866660000,4042,
111.63,111.81,111.44,111.615,67494,111.5729,1675866720000,864,
111.6372,111.76,111.33,111.695,41652,111.5257,1675866780000,705,
111.645,111.9776,111.49,111.84,47610,111.7371,1675866840000,818,
111.85,112.18,111.75,112.16,50538,111.93,1675866900000,818,
112.16,112.3426,111.99,112.2402,77497,112.1431,1675866960000,935,
112.23,112.67,112.23,112.66,83727,112.4662,1675867020000,1115,
112.69,112.82,112.41,112.71,115107,112.6384,1675867080000,1417,
112.71,113.33,112.67,112.8899,108356,112.9269,1675867140000,1157,
112.87,112.89,112.36,112.38,47715,112.6969,1675867200000,657,
112.41,112.43,112.27,112.27,43196,112.3531,1675867260000,657,
112.28,112.288,112.11,112.14,36764,112.1736,1675867320000,508,
112.1344,112.27,112.0,112.24,80928,112.1546,1675867380000,724,
112.245,112.26,112.05,112.1687,53204,112.1195,1675867440000,485,
112.14,112.145,111.92,111.96,36018,112.0189,1675867500000,674,
111.95,112.09,111.83,112.065,29220,111.9423,1675867560000,552,
112.065,112.1,111.91,111.96,24348,111.9941,1675867620000,383,
111.93,112.13,111.9,112.03,27024,112.0028,1675867680000,433,
112.03,112.12,111.92,112.0975,39146,112.0276,1675867740000,532,
112.085,112.0985,111.8801,111.91,41989,111.9817,1675867800000,515,
111.88,112.0399,111.78,111.8299,51731,111.8806,1675867860000,768,
111.8094,111.8094,111.6001,111.645,45745,111.7051,1675867920000,581,
111.635,111.6731,111.55,111.6731,26085,111.6057,1675867980000,477,
111.6361,111.675,111.53,111.67,22489,111.5868,1675868040000,394,
111.655,111.74,111.58,111.72,26919,111.6583,1675868100000,425,
111.73,111.78,111.6401,111.78,26389,111.7192,1675868160000,425,
111.79,111.81,111.69,111.7469,47338,111.7642,1675868220000,464,
111.73,111.84,111.7201,111.805,30986,111.7793,1675868280000,527,
111.8,111.97,111.79,111.8773,34278,111.8558,1675868340000,606,
111.84,111.855,111.65,111.81,45208,111.7596,1675868400000,693,
111.79,112.0068,111.73,111.83,44244,111.8718,1675868460000,659,
111.85,111.86,111.74,111.85,45788,111.802,1675868520000,480,
111.85,111.875,111.7271,111.77,25508,111.8144,1675868580000,407,
111.79,111.8,111.68,111.79,16330,111.7392,1675868640000,322,
111.79,111.8637,111.76,111.81,22383,111.821,1675868700000,383,
111.8,111.81,111.61,111.705,24241,111.7108,1675868760000,364,
111.71,111.83,111.63,111.81,22800,111.7261,1675868820000,360,
111.827,111.8625,111.58,111.58,23373,111.7711,1675868880000,400,
111.61,111.69,111.57,111.63,16825,111.6214,1675868940000,306,
111.61,111.7399,111.59,111.6997,20389,111.6807,1675869000000,295,
111.695,111.7335,111.6373,111.7,46487,111.6974,1675869060000,474,
111.7,111.73,111.6,111.69,19252,111.654,1675869120000,332,
111.68,111.83,111.6664,111.74,20139,111.7437,1675869180000,344,
111.75,111.78,111.7,111.745,17730,111.7359,1675869240000,290,
111.76,111.95,111.69,111.91,46793,111.8149,1675869300000,614,
111.915,111.94,111.75,111.78,27147,111.8823,1675869360000,379,
111.785,111.91,111.785,111.8703,20531,111.8658,1675869420000,310,
111.88,111.91,111.83,111.9,16869,111.8692,1675869480000,286,
111.91,112.049,111.88,112.025,38522,111.9799,1675869540000,489,
112.0399,112.1,111.97,111.99,37213,112.0389,1675869600000,464,
111.98,111.9999,111.91,111.915,14798,111.9592,1675869660000,306,
111.93,111.93,111.65,111.66,34747,111.7652,1675869720000,422,
111.66,111.7,111.54,111.57,47328,111.618,1675869780000,560,
111.58,111.64,111.46,111.48,61399,111.5228,1675869840000,790,
111.48,111.4999,111.39,111.415,22465,111.4401,1675869900000,391,
111.41,111.46,111.33,111.39,50909,111.4021,1675869960000,506,
111.3705,111.41,111.33,111.37,23537,111.3697,1675870020000,337,
111.355,111.44,111.27,111.29,40430,111.3445,1675870080000,549,
111.31,111.34,111.2048,111.215,39407,111.2397,1675870140000,555,
111.2,111.2,110.95,110.975,69466,111.0563,1675870200000,1022,
110.96,110.99,110.8656,110.88,31632,110.9155,1675870260000,374,
110.86,110.87,110.69,110.86,37731,110.774,1675870320000,514,
110.87,110.87,110.72,110.81,34322,110.7749,1675870380000,468,
110.81,111.07,110.81,111.07,26857,110.9263,1675870440000,472,
111.07,111.075,110.85,110.8903,20016,110.9707,1675870500000,376,
110.9,110.97,110.87,110.945,20977,110.9228,1675870560000,390,
110.98,111.1813,110.98,111.145,40664,111.0898,1675870620000,443,
111.16,111.3127,111.1201,111.2,39090,111.2316,1675870680000,475,
111.19,111.23,111.1481,111.19,17667,111.1918,1675870740000,296,
111.19,111.26,111.17,111.205,20506,111.1988,1675870800000,329,
111.19,111.265,111.1083,111.15,20456,111.191,1675870860000,318,
111.14,111.14,110.9801,110.9801,13275,111.0468,1675870920000,244,
110.99,111.1099,110.98,111.1099,20148,111.0303,1675870980000,350,
111.11,111.12,111.03,111.08,13704,111.0673,1675871040000,252,
111.065,111.085,110.972,111.01,15595,111.0273,1675871100000,257,
110.98,111.1,110.93,111.1,14365,111.0003,1675871160000,305,
111.07,111.16,111.028,111.09,19797,111.0979,1675871220000,299,
111.1,111.17,111.09,111.17,15454,111.1306,1675871280000,237,
111.17,111.2238,111.14,111.14,23884,111.1879,1675871340000,419,
111.14,111.168,111.02,111.07,36913,111.12,1675871400000,412,
111.08,111.1,110.96,110.96,18367,111.0317,1675871460000,349,
110.98,110.99,110.86,110.9104,39619,110.8977,1675871520000,433,
110.92,111.09,110.87,111.075,14114,110.9474,1675871580000,250,
111.07,111.12,111.0,111.07,10975,111.0618,1675871640000,250,
111.06,111.2,111.0273,111.16,86041,110.9116,1675871700000,309,
111.17,111.25,111.161,111.22,24568,111.2105,1675871760000,348,
111.22,111.34,111.2,111.28,31185,111.286,1675871820000,432,
111.2701,111.29,111.2,111.21,21729,111.2366,1675871880000,376,
111.2,111.29,111.17,111.29,16481,111.243,1675871940000,326,
111.29,111.29,111.0301,111.04,34680,111.1411,1675872000000,524,
111.0403,111.09,110.9714,111.05,27612,111.02,1675872060000,395,
111.05,111.16,111.0,111.145,18888,111.0825,1675872120000,229,
111.1301,111.22,111.07,111.09,12978,111.1518,1675872180000,264,
111.08,111.08,110.97,110.99,14764,111.0049,1675872240000,260,
110.98,111.04,110.92,111.0035,31441,110.9847,1675872300000,437,
111.02,111.0282,110.89,110.9816,20212,110.9666,1675872360000,276,
110.985,111.045,110.95,110.95,17075,111.0011,1675872420000,304,
110.95,110.97,110.89,110.96,14739,110.9318,1675872480000,258,
110.94,111.1378,110.9373,111.12,20466,111.0543,1675872540000,291,
111.11,111.14,110.9666,110.9666,13372,111.0622,1675872600000,245,
110.95,110.96,110.82,110.8773,50221,110.8596,1675872660000,381,
110.8691,110.88,110.71,110.8,39723,110.7945,1675872720000,374,
110.8,110.9585,110.7801,110.9585,42452,110.8308,1675872780000,402,
110.9524,111.06,110.9286,110.98,23727,110.9767,1675872840000,323,
111.0,111.04,110.87,110.895,21681,110.9455,1675872900000,286,
110.9,111.17,110.87,111.15,24180,110.9989,1675872960000,352,
111.1318,111.18,111.03,111.1739,16830,111.1033,1675873020000,343,
111.1535,111.3,111.1535,111.3,20660,111.2232,1675873080000,321,
111.285,111.32,111.21,111.32,54212,111.2785,1675873140000,537,
111.32,111.38,111.28,111.32,16747,111.3168,1675873200000,280,
111.3,111.378,111.23,111.25,22105,111.3178,1675873260000,338,
111.25,111.25,110.93,110.95,30337,111.0867,1675873320000,361,
110.9247,110.995,110.8,110.8,32063,110.8787,1675873380000,368,
110.8004,110.83,110.71,110.81,39875,110.7639,1675873440000,395,
110.81,110.81,110.73,110.735,22200,110.7709,1675873500000,315,
110.72,110.73,110.58,110.6,36873,110.6638,1675873560000,535,
110.6,110.67,110.55,110.64,33063,110.5936,1675873620000,363,
110.59,110.6599,110.56,110.6,28209,110.6055,1675873680000,388,
110.59,110.69,110.59,110.61,50708,110.6497,1675873740000,442,
110.61,110.78,110.56,110.75,30777,110.6723,1675873800000,409,
110.77,110.79,110.67,110.696,15693,110.7376,1675873860000,244,
110.68,110.69,110.55,110.56,17056,110.6087,1675873920000,295,
110.55,110.6,110.51,110.6,20854,110.5413,1675873980000,361,
110.61,110.6157,110.46,110.56,31266,110.5376,1675874040000,495,
110.59,110.6853,110.56,110.57,15449,110.6065,1675874100000,314,
110.58,110.59,110.44,110.58,62544,110.5083,1675874160000,585,
110.574,110.574,110.44,110.47,21105,110.4801,1675874220000,398,
110.456,110.49,110.42,110.43,16432,110.4525,1675874280000,278,
110.41,110.445,110.376,110.43,18188,110.4026,1675874340000,282,
110.43,110.43,110.29,110.29,12755,110.3481,1675874400000,281,
110.295,110.37,110.295,110.36,13927,110.3443,1675874460000,213,
110.37,110.52,110.37,110.439,86713,110.4638,1675874520000,444,
110.41,110.5269,110.37,110.5269,20291,110.4364,1675874580000,255,
110.53,110.55,110.48,110.536,14804,110.5119,1675874640000,241,
110.54,110.6709,110.5,110.645,18708,110.6102,1675874700000,326,
110.63,110.73,110.61,110.68,19755,110.6671,1675874760000,323,
110.655,110.71,110.57,110.69,52363,110.6147,1675874820000,371,
110.68,110.68,110.58,110.62,10817,110.6173,1675874880000,244,
110.62,110.725,110.6126,110.7,24421,110.5643,1675874940000,251,
110.69,110.8497,110.67,110.82,33475,110.7766,1675875000000,408,
110.82,110.9,110.7901,110.7901,41862,110.8453,1675875060000,279,
110.795,110.795,110.68,110.7001,15972,110.7444,1675875120000,277,
110.72,110.775,110.665,110.7723,11010,110.7174,1675875180000,201,
110.78,110.87,110.78,110.84,13532,110.8361,1675875240000,183,
110.84,110.845,110.76,110.76,8848,110.8029,1675875300000,221,
110.7787,110.925,110.77,110.92,14557,110.847,1675875360000,222,
110.91,111.01,110.87,110.95,31532,110.9572,1675875420000,410,
110.97,111.08,110.91,111.0458,40858,111.0209,1675875480000,458,
111.04,111.07,111.0,111.03,19178,111.0464,1675875540000,304,
111.04,111.04,110.79,110.79,17422,110.9231,1675875600000,271,
110.79,110.91,110.79,110.88,10798,110.8543,1675875660000,201,
110.86,110.86,110.81,110.81,8572,110.8404,1675875720000,183,
110.8001,110.85,110.7686,110.77,9652,110.8145,1675875780000,165,
110.76,110.91,110.7101,110.72,35800,110.7858,1675875840000,447,
110.73,110.8509,110.7021,110.8,14404,110.8055,1675875900000,254,
110.8,110.86,110.75,110.7872,15072,110.7959,1675875960000,255,
110.78,110.96,110.78,110.905,21850,110.8831,1675876020000,316,
110.92,110.97,110.9,110.91,12713,110.9339,1675876080000,223,
110.9,111.02,110.88,111.015,11051,110.9588,1675876140000,215,
111.03,111.23,111.03,111.23,42638,111.1239,1675876200000,544,
111.22,111.31,111.1801,111.2595,35106,111.247,1675876260000,400,
111.24,111.295,111.17,111.17,22728,111.2449,1675876320000,306,
111.18,111.18,111.0,111.02,12342,111.0671,1675876380000,236,
111.03,111.05,110.9,110.9,21227,110.9744,1675876440000,358,
110.89,110.99,110.87,110.96,13952,110.9412,1675876500000,214,
110.96,111.06,110.94,110.97,21477,110.9998,1675876560000,288,
110.97,111.16,110.97,111.055,29473,111.0718,1675876620000,375,
111.042,111.16,111.0298,111.0298,33605,111.0989,1675876680000,391,
111.0199,111.0988,111.01,111.0734,18613,111.0453,1675876740000,253,
111.08,111.135,111.02,111.11,19239,111.0927,1675876800000,237,
111.095,111.11,111.0134,111.105,13932,111.072,1675876860000,203,
111.1,111.1899,111.1,111.14,22001,111.1448,1675876920000,276,
111.15,111.17,111.0754,111.1,18211,111.1292,1675876980000,257,
111.09,111.1,111.04,111.05,9268,111.0697,1675877040000,167,
111.06,111.065,111.0,111.01,14014,111.0393,1675877100000,215,
111.01,111.11,111.0,111.085,41045,111.0469,1675877160000,363,
111.077,111.2395,111.077,111.235,26810,111.1525,1675877220000,327,
111.22,111.33,111.22,111.33,15202,111.2886,1675877280000,228,
111.32,111.45,111.31,111.4093,34799,111.3723,1675877340000,421,
111.4226,111.46,111.3628,111.3628,18814,111.4187,1675877400000,245,
111.37,111.5,111.36,111.4699,38392,111.4296,1675877460000,499,
111.46,111.63,111.45,111.6265,29049,111.5326,1675877520000,410,
111.61,111.62,111.47,111.47,29824,111.5615,1675877580000,375,
111.4803,111.4803,111.33,111.375,27145,111.3856,1675877640000,434,
111.36,111.39,111.28,111.35,28527,111.321,1675877700000,381,
111.34,111.37,111.3,111.36,62122,111.324,1675877760000,445,
111.37,111.44,111.36,111.42,70462,111.4089,1675877820000,292,
111.41,111.44,111.26,111.2786,18589,111.3674,1675877880000,254,
111.26,111.36,111.2,111.295,33717,111.2699,1675877940000,416,
111.3,111.37,111.23,111.265,23289,111.3122,1675878000000,340,
111.24,111.37,111.2,111.3499,30939,111.2845,1675878060000,413,
111.33,111.375,111.25,111.26,25828,111.3298,1675878120000,363,
111.25,111.29,111.2,111.2464,21453,111.2437,1675878180000,281,
111.23,111.29,111.21,111.28,27648,111.2465,1675878240000,423,
111.285,111.46,111.2792,111.46,27786,111.4008,1675878300000,392,
111.46,111.4988,111.41,111.49,45779,111.4504,1675878360000,423,
111.49,111.495,111.41,111.46,17555,111.4469,1675878420000,287,
111.46,111.5,111.41,111.41,16552,111.4641,1675878480000,271,
