open,high,low,close,volume,vwap,timestamp,transactions,otc
142.81,142.81,142.81,142.81,201,143.145,1620134940000,11,
143.19,144.32,141.2321,144.32,24204,142.9246,1620135000000,55,
142.4,143.89,142.4,143.2,7768,143.4409,1620135060000,31,
143.2,143.53,142.3971,142.57,5800,142.9034,1620135120000,112,
142.57,143.82,142.57,143.48,7926,143.0026,1620135180000,146,
143.11,143.24,143.05,143.1,2053,143.1741,1620135240000,27,
143.39,143.5,142.7,142.87,12149,143.2717,1620135300000,174,
142.86,142.9,142.68,142.73,15692,142.7796,1620135360000,205,
142.69,142.73,142.29,142.41,10884,142.4784,1620135420000,134,
142.3,142.54,142.3,142.36,10342,142.4478,1620135480000,120,
142.41,142.51,142.335,142.4,19629,142.4228,1620135540000,184,
142.28,142.48,142.235,142.315,7772,142.3486,1620135600000,92,
142.31,142.31,141.84,142.0,11456,142.0407,1620135660000,178,
141.903,142.05,141.89,142.01,2882,141.9371,1620135720000,49,
142.02,142.32,141.965,142.1,9806,142.0452,1620135780000,112,
142.14,142.55,142.14,142.47,10183,142.3838,1620135840000,143,
142.46,142.56,142.35,142.35,6974,142.4807,1620135900000,117,
142.26,142.32,142.13,142.18,4611,142.2347,1620135960000,76,
142.245,142.245,141.87,141.87,6112,142.072,1620136020000,96,
141.72,141.76,141.5,141.74,7221,141.6749,1620136080000,118,
141.64,141.64,141.25,141.48,7528,141.457,1620136140000,160,
141.39,141.7,141.34,141.34,5949,141.4981,1620136200000,101,
141.5,141.57,141.31,141.32,11868,141.472,1620136260000,180,
141.33,141.65,141.33,141.57,3604,141.4699,1620136320000,51,
141.68,141.81,141.4725,141.525,5865,141.6338,1620136380000,97,
141.53,141.82,141.53,141.82,3376,141.657,1620136440000,75,
141.75,142.38,141.73,142.23,6719,142.1052,1620136500000,109,
142.23,142.28,142.04,142.0475,4669,142.1341,1620136560000,73,
142.1581,142.1581,141.965,141.965,2361,142.0338,1620136620000,30,
141.97,142.34,141.95,142.32,6113,142.2035,1620136680000,122,
142.31,142.42,142.17,142.345,5116,142.3074,1620136740000,81,
142.345,142.4,142.28,142.35,3167,142.337,1620136800000,42,
142.3,142.33,141.985,142.08,6621,142.1865,1620136860000,132,
142.19,142.2385,142.0602,142.0641,1601,142.1476,1620136920000,26,
142.23,142.27,142.11,142.26,3367,142.2259,1620136980000,58,
142.23,142.23,142.12,142.23,1544,142.1991,1620137040000,20,
142.12,142.1514,142.02,142.03,3947,142.0814,1620137100000,67,
142.14,142.47,142.07,142.34,7308,142.2699,1620137160000,88,
142.35,142.43,142.27,142.38,4842,142.3399,1620137220000,84,
142.41,142.7,142.32,142.7,7209,142.4922,1620137280000,118,
142.74,142.76,142.65,142.74,3878,142.7126,1620137340000,74,
142.66,142.89,142.61,142.68,4339,142.6742,1620137400000,89,
142.76,142.87,142.7346,142.78,3003,142.7654,1620137460000,62,
142.825,142.825,142.67,142.81,1595,142.7676,1620137520000,35,
142.79,142.92,142.67,142.83,14298,142.7797,1620137580000,185,
142.89,142.89,142.69,142.755,7831,142.7622,1620137640000,145,
142.69,142.69,142.45,142.495,5805,142.5881,1620137700000,99,
142.44,142.63,142.41,142.63,22049,142.5532,1620137760000,102,
142.62,143.04,142.62,143.04,8228,142.7955,1620137820000,130,
143.02,143.18,142.72,142.73,2976,142.9526,1620137880000,75,
142.73,142.815,142.66,142.815,8281,142.7169,1620137940000,110,
