open,high,low,close,volume,vwap,timestamp,transactions,otc
351.0,351.0,351.0,351.0,110,351.0285,1620039600000,6,
351.43,351.43,351.43,351.43,100,351.43,1620042540000,1,
351.45,351.45,350.45,350.45,945,351.3486,1620043200000,26,
351.73,352.0,351.73,352.0,405,351.8151,1620043620000,10,
353.0,353.0,353.0,353.0,101,352.995,1620043980000,2,
352.1,352.1,352.0,352.0,462,352.1298,1620044700000,15,
351.33,351.33,351.05,351.05,973,351.1384,1620045240000,14,
350.7,350.7,350.7,350.7,150,350.9964,1620045600000,5,
351.44,351.44,351.44,351.44,195,351.4926,1620045660000,2,
352.89,352.89,352.89,352.89,101,352.8787,1620047280000,2,
352.01,352.01,351.86,351.86,719,351.9204,1620048360000,15,
350.71,350.71,350.71,350.71,300,350.8084,1620048480000,6,
350.6,350.6,350.6,350.6,404,350.5674,1620048540000,9,
350.34,350.985,350.21,350.76,40993,350.821,1620048600000,291,
350.74,350.8699,349.65,350.13,10206,350.1684,1620048660000,154,
349.955,350.14,349.26,349.37,6862,349.7299,1620048720000,133,
349.37,350.42,349.33,350.0,11628,349.9223,1620048780000,231,
349.99,350.9,349.99,350.9,12689,350.3727,1620048840000,218,
350.78,351.49,350.78,351.47,9428,351.1932,1620048900000,161,
351.245,351.55,350.875,350.875,8143,351.3177,1620048960000,177,
350.9302,351.37,350.9302,351.285,5053,351.1721,1620049020000,87,
351.38,351.5,351.28,351.28,4776,351.4109,1620049080000,129,
351.12,351.34,350.9,350.9,2551,351.1501,1620049140000,67,
351.2,351.75,351.2,351.7,12172,351.4789,1620049200000,206,
351.6649,352.6516,351.6649,352.6516,18722,352.2314,1620049260000,324,
352.62,352.76,352.41,352.56,7552,352.6097,1620049320000,162,
352.3932,352.6775,352.32,352.32,7706,352.4575,1620049380000,104,
352.21,352.4608,352.16,352.24,3981,352.3158,1620049440000,129,
352.39,352.3925,351.68,351.78,5489,352.0867,1620049500000,128,
351.87,352.0,351.725,351.85,4506,351.8892,1620049560000,124,
351.86,351.86,351.68,351.68,2795,351.7852,1620049620000,108,
351.93,352.56,351.925,352.56,7947,352.1745,1620049680000,184,
352.54,352.6694,352.27,352.49,4933,352.5069,1620049740000,123,
352.43,352.74,352.24,352.43,6863,352.5177,1620049800000,140,
352.1937,352.5394,352.14,352.34,13253,352.346,1620049860000,294,
352.32,352.3294,351.61,351.61,3177,352.0442,1620049920000,96,
351.6299,352.475,351.6299,352.246,3740,352.086,1620049980000,96,
352.28,352.9,352.28,352.89,8483,352.6035,1620050040000,136,
352.9,353.7,352.9,353.37,26393,353.1795,1620050100000,378,
353.26,353.7981,353.26,353.71,7126,353.4436,1620050160000,139,
353.77,353.79,353.49,353.58,7878,353.6626,1620050220000,161,
353.6,353.655,353.11,353.18,8961,353.3779,1620050280000,167,
353.14,353.23,353.08,353.23,5564,353.1761,1620050340000,120,
353.25,353.26,352.01,352.45,21859,352.4151,1620050400000,304,
352.455,352.52,352.1264,352.3,6363,352.2746,1620050460000,116,
352.37,352.565,352.075,352.3,5170,352.2919,1620050520000,128,
352.34,352.6,352.14,352.34,8134,352.3345,1620050580000,171,
352.25,352.5299,352.02,352.24,7144,352.2846,1620050640000,151,
352.3,352.54,352.19,352.49,2793,352.391,1620050700000,115,
352.6,352.86,352.44,352.44,5817,352.6569,1620050760000,135,
352.59,352.989,352.59,352.64,11549,352.7634,1620050820000,126,
352.63,352.69,352.4,352.47,4533,352.5423,1620050880000,131,
352.34,352.34,351.9641,352.09,8048,352.1589,1620050940000,166,
352.09,352.31,351.7,351.7,5615,352.0395,1620051000000,176,
351.6908,351.74,351.6,351.67,2256,351.6804,1620051060000,82,
351.68,351.7,351.25,351.4106,8303,351.5227,1620051120000,139,
351.41,351.73,351.3629,351.72,4085,351.5809,1620051180000,143,
351.8324,351.95,351.1001,351.395,5820,351.5417,1620051240000,142,
351.3,351.3622,351.25,351.3622,1636,351.3289,1620051300000,61,
351.44,351.79,351.13,351.385,8261,351.4222,1620051360000,169,
351.4,351.4,351.25,351.385,2067,351.3371,1620051420000,56,
351.3,351.33,351.06,351.23,4712,351.2618,1620051480000,113,
351.13,351.26,351.01,351.1199,5367,351.128,1620051540000,66,
351.21,351.29,350.86,350.96,6195,351.0762,1620051600000,123,
350.71,350.9,350.685,350.87,4594,350.7835,1620051660000,138,
350.87,351.17,350.87,350.98,4993,351.0383,1620051720000,140,
350.99,351.14,350.69,350.69,3619,350.9267,1620051780000,105,
350.695,351.21,350.52,350.68,3992,350.8299,1620051840000,92,
350.91,350.95,350.63,350.94,7079,350.8395,1620051900000,101,
351.0,351.08,350.9,351.07,8455,351.0004,1620051960000,184,
351.1,351.41,351.06,351.15,9350,351.2927,1620052020000,183,
351.08,351.1,350.85,351.05,6406,351.0218,1620052080000,146,
351.1483,351.25,350.975,351.25,5377,351.1042,1620052140000,166,
351.26,351.6,351.2,351.55,4295,351.4258,1620052200000,97,
351.94,352.2097,351.79,351.81,4246,351.9694,1620052260000,101,
351.81,351.895,351.67,351.67,3227,351.8409,1620052320000,97,
351.65,351.88,351.5566,351.8,4768,351.7815,1620052380000,113,
351.83,352.03,351.74,352.03,4118,351.8837,1620052440000,112,
352.1,352.48,351.9803,352.33,6768,352.2609,1620052500000,138,
352.49,352.6,352.265,352.5229,8034,352.4069,1620052560000,174,
352.35,352.5999,352.18,352.56,5088,352.3759,1620052620000,137,
352.56,352.56,352.0601,352.49,4750,352.3299,1620052680000,88,
352.3282,352.3792,352.32,352.3792,3604,352.3802,1620052740000,48,
352.37,352.7181,352.27,352.65,5910,352.5255,1620052800000,143,
352.94,352.94,352.5,352.53,2975,352.7241,1620052860000,59,
352.68,352.82,352.5,352.7108,4347,352.6941,1620052920000,69,
352.92,352.92,352.599,352.8725,12974,352.7272,1620052980000,103,
352.7,352.74,352.64,352.7,2980,352.6985,1620053040000,70,
352.61,352.705,352.53,352.57,3187,352.6237,1620053100000,87,
352.79,353.02,352.73,352.88,7545,352.9415,1620053160000,134,
352.88,352.99,352.71,352.71,3190,352.7978,1620053220000,94,
352.76,352.83,352.7,352.79,5274,352.7769,1620053280000,134,
352.74,352.8,352.55,352.62,6135,352.6364,1620053340000,115,
352.67,352.83,352.67,352.7986,4642,352.8545,1620053400000,78,
352.79,352.79,352.3,352.31,2915,352.527,1620053460000,78,
352.44,352.44,352.29,352.345,3199,352.3995,1620053520000,104,
352.475,352.48,351.84,351.87,8083,352.1622,1620053580000,190,
352.01,352.02,351.9,351.94,7172,351.9636,1620053640000,144,
351.9116,352.1,351.9116,351.97,4471,352.0232,1620053700000,92,
352.05,352.1434,351.9868,352.0,3614,352.0779,1620053760000,71,
352.14,352.43,352.01,352.35,6249,352.2507,1620053820000,162,
352.39,352.47,352.28,352.355,3506,352.3774,1620053880000,87,
352.37,352.5,352.37,352.45,2017,352.461,1620053940000,96,
352.41,352.5699,352.27,352.27,3259,352.3501,1620054000000,97,
352.2025,352.263,352.12,352.235,3285,352.1664,1620054060000,106,
352.09,352.09,351.94,352.02,2113,352.0444,1620054120000,56,
352.1,352.19,352.0896,352.0896,2796,352.1115,1620054180000,89,
352.02,352.09,352.02,352.05,2226,352.0528,1620054240000,100,
352.1,352.37,352.1,352.27,3312,352.2457,1620054300000,93,
352.255,352.42,352.255,352.34,2106,352.3211,1620054360000,61,
352.35,352.47,352.25,352.44,5165,352.3424,1620054420000,87,
352.33,352.58,352.33,352.58,1963,352.5161,1620054480000,64,
352.53,352.53,352.495,352.53,1994,352.5208,1620054540000,51,
352.62,352.78,352.62,352.75,3374,352.7225,1620054600000,93,
352.78,353.12,352.75,353.12,4884,352.8784,1620054660000,143,
353.12,353.12,352.82,352.91,2626,352.8943,1620054720000,97,
352.95,353.01,352.94,353.01,2067,352.9799,1620054780000,59,
353.01,353.22,353.01,353.2196,3312,353.1047,1620054840000,69,
353.2547,353.42,353.13,353.315,6116,353.2707,1620054900000,106,
353.43,353.6,353.25,353.47,6454,353.4345,1620054960000,176,
353.48,353.88,353.48,353.87,14161,353.7018,1620055020000,177,
353.815,353.89,353.77,353.8219,3725,353.814,1620055080000,86,
353.89,354.0599,353.82,353.91,9918,353.9575,1620055140000,197,
353.91,353.91,353.68,353.795,3664,353.7873,1620055200000,80,
353.73,353.73,353.2672,353.49,16270,353.5484,1620055260000,219,
353.59,353.685,353.33,353.44,3966,353.5308,1620055320000,89,
353.55,353.635,353.37,353.44,5422,353.5443,1620055380000,84,
353.52,353.55,353.41,353.41,1767,353.4983,1620055440000,60,
353.51,353.54,353.31,353.31,1983,353.4473,1620055500000,52,
353.29,353.57,353.21,353.28,7543,353.4115,1620055560000,133,
353.32,353.32,352.76,352.85,4275,353.0331,1620055620000,90,
352.87,352.9,352.28,352.4,13741,352.5834,1620055680000,216,
352.52,352.58,352.2,352.2,3385,352.3651,1620055740000,74,
352.225,352.45,352.15,352.45,2279,352.3156,1620055800000,91,
