open,high,low,close,volume,vwap,timestamp,transactions,otc
289.85,289.85,289.85,289.85,506,289.8493,1653303840000,4,
290.2,290.2,290.2,290.2,110,290.1818,1653304560000,3,
289.51,289.51,289.51,289.51,238,289.51,1653305280000,2,
289.51,289.51,289.51,289.51,206,289.5067,1653305880000,6,
289.5,289.5,289.5,289.5,382,289.5,1653306000000,3,
290.0,290.0,290.0,290.0,114,289.9957,1653306660000,3,
289.85,289.85,288.75,289.5,1573,289.4155,1653307200000,55,
289.9999,290.0,289.98,290.0,838,290.0036,1653307680000,13,
290.48,290.5,290.48,290.48,1232,290.4924,1653307920000,14,
290.48,290.48,290.48,290.48,327,290.4641,1653308040000,3,
290.48,290.48,290.48,290.48,1212,290.4772,1653308100000,6,
289.8,289.8,289.8,289.8,175,289.8326,1653309480000,2,
289.31,289.31,289.25,289.25,1270,289.2682,1653310560000,10,
290.08,290.08,290.08,290.08,100,290.08,1653310620000,1,
289.06,289.06,289.06,289.06,203,289.0567,1653310860000,7,
288.98,288.98,288.98,288.98,2791,288.9799,1653311040000,31,
289.93,289.93,289.93,289.93,1058,289.9048,1653311520000,20,
290.0,290.08,289.9,290.08,779,289.956,1653312120000,23,
290.43,290.43,290.43,290.43,201,290.4047,1653312180000,6,
289.13,289.13,289.13,289.13,200,289.2111,1653312540000,3,
289.09,290.34,286.935,287.895,88232,288.6987,1653312600000,1175,
287.71,287.835,287.18,287.56,13720,287.4904,1653312660000,301,
287.43,289.0,287.43,288.44,22336,288.4334,1653312720000,556,
288.55,289.19,288.29,288.44,13236,288.6609,1653312780000,331,
288.4161,288.4161,287.76,288.0122,9144,288.1109,1653312840000,296,
288.5755,288.69,286.3401,286.3401,15197,287.4544,1653312900000,275,
286.555,287.195,286.0,286.59,18533,286.5495,1653312960000,391,
286.54,286.815,286.0,286.53,13220,286.311,1653313020000,282,
286.45,286.925,285.61,285.62,17055,286.0457,1653313080000,323,
285.82,285.865,284.89,285.59,24343,285.3605,1653313140000,493,
285.77,286.35,284.61,286.13,15985,285.5395,1653313200000,380,
285.91,286.42,285.14,285.2,23186,285.7486,1653313260000,469,
285.425,285.54,284.63,285.4007,9364,285.1741,1653313320000,217,
285.54,285.77,284.94,284.94,11198,285.3702,1653313380000,272,
284.88,284.96,284.1,284.375,19131,284.5462,1653313440000,473,
284.24,284.24,283.43,283.78,16346,283.8365,1653313500000,342,
283.7526,283.974,283.11,283.43,19233,283.488,1653313560000,470,
283.35,284.204,282.88,284.065,22615,283.4106,1653313620000,402,
283.9406,284.49,283.9406,284.04,13734,284.251,1653313680000,343,
284.18,284.66,283.86,283.86,17316,284.2793,1653313740000,387,
284.0,284.62,283.68,284.62,11677,284.1489,1653313800000,306,
284.5,284.951,284.12,284.29,19442,284.5891,1653313860000,367,
284.3,284.592,283.85,284.43,13716,284.2231,1653313920000,314,
284.435,284.622,283.15,283.3,25678,283.7769,1653313980000,546,
283.27,289.09,282.88,282.88,14220,283.5367,1653314040000,371,
282.86,283.515,282.8,283.515,9447,283.2333,1653314100000,231,
283.3026,283.3425,282.88,283.18,7659,283.0685,1653314160000,215,
283.4483,283.6,283.0,283.47,6967,283.3836,1653314220000,212,
283.53,283.53,283.24,283.25,4087,283.3989,1653314280000,123,
283.16,283.5,282.82,283.0,14297,283.1622,1653314340000,335,
283.13,283.13,281.315,281.68,43794,282.1011,1653314400000,914,
281.66,281.66,280.98,281.32,21952,281.2915,1653314460000,585,
281.27,281.9,280.92,281.3811,15455,281.2954,1653314520000,307,
281.34,281.855,281.275,281.72,6245,281.5896,1653314580000,212,
281.6549,282.11,281.53,281.995,8584,281.8043,1653314640000,248,
281.99,282.1779,281.68,281.68,15123,281.8955,1653314700000,381,
281.73,281.95,281.635,281.635,9134,281.7881,1653314760000,246,
281.635,281.635,281.296,281.34,7817,281.4428,1653314820000,249,
281.25,281.8025,281.22,281.35,10953,281.4741,1653314880000,302,
281.38,281.41,280.81,280.88,13736,281.0475,1653314940000,398,
281.0,281.52,280.93,281.3225,11984,281.2368,1653315000000,329,
281.3,281.3,280.8717,281.3,11305,281.1466,1653315060000,354,
281.2,282.015,281.16,281.98,10521,281.6856,1653315120000,267,
281.94,282.2092,281.9,282.0,11144,282.044,1653315180000,324,
282.0984,282.0984,281.16,281.305,9191,281.621,1653315240000,267,
281.37,281.46,281.13,281.275,6777,281.3172,1653315300000,215,
281.39,281.39,280.35,280.36,18947,280.8087,1653315360000,477,
280.46,281.1,280.45,281.03,13509,280.8496,1653315420000,411,
280.99,281.08,280.42,280.55,9596,280.6483,1653315480000,278,
280.52,280.695,280.34,280.57,16985,280.5649,1653315540000,402,
280.6,280.69,280.32,280.69,11719,280.4825,1653315600000,320,
280.65,280.66,280.39,280.6,6731,280.5229,1653315660000,253,
280.7,281.375,280.615,281.375,7000,280.994,1653315720000,249,
