open,high,low,close,volume,vwap,timestamp,transactions,otc
142.94,143.0,142.94,143.0,570,142.9762,2023-10-31 09:04:00,20,
143.0,143.0,142.74,142.83,56775,142.9483,2023-10-31 09:30:00,390,
142.9,143.01,142.86,142.99,5954,142.9427,2023-10-31 09:31:00,205,
143.0,143.07,142.82,142.93,11488,142.9608,2023-10-31 09:32:00,214,
142.945,142.945,142.715,142.86,5610,142.8446,2023-10-31 09:33:00,121,
142.76,142.84,142.76,142.84,1497,142.7919,2023-10-31 09:34:00,59,
142.84,142.85,142.59,142.72,11461,142.6858,2023-10-31 09:35:00,271,
142.67,142.94,142.66,142.91,10573,142.8365,2023-10-31 09:36:00,237,
142.94,143.04,142.83,142.98,18877,142.9791,2023-10-31 09:37:00,420,
142.94,143.03,142.86,142.975,8279,142.9232,2023-10-31 09:38:00,171,
142.99,143.06,142.96,143.005,15425,143.0106,2023-10-31 09:39:00,289,
143.01,143.12,142.92,142.92,12811,143.0586,2023-10-31 09:40:00,261,
142.92,143.02,142.86,142.86,12520,142.9614,2023-10-31 09:41:00,256,
142.89,143.05,142.82,142.95,10027,142.9417,2023-10-31 09:42:00,210,
142.965,143.02,142.9305,142.9581,4131,142.9802,2023-10-31 09:43:00,85,
142.975,143.06,142.975,143.06,7604,143.0233,2023-10-31 09:44:00,155,
143.07,143.11,143.02,143.0258,10420,143.0774,2023-10-31 09:45:00,177,
143.04,143.075,142.94,142.95,15174,143.0129,2023-10-31 09:46:00,249,
143.0,143.06,142.96,143.01,6190,143.0128,2023-10-31 09:47:00,126,
142.93,142.98,142.91,142.91,4301,142.9367,2023-10-31 09:48:00,117,
142.92,143.05,142.918,143.05,7975,142.9685,2023-10-31 09:49:00,208,
143.06,143.09,143.005,143.035,6801,143.0436,2023-10-31 09:50:00,164,
143.02,143.03,142.96,143.01,4462,143.0012,2023-10-31 09:51:00,133,
143.005,143.015,142.95,142.955,5838,142.9834,2023-10-31 09:52:00,138,
143.0,143.035,142.965,142.97,6066,142.9916,2023-10-31 09:53:00,123,
143.0,143.001,142.9,142.9395,11900,142.9674,2023-10-31 09:54:00,250,
142.94,143.04,142.94,142.97,7025,142.9848,2023-10-31 09:55:00,117,
142.96,143.005,142.955,142.99,4190,142.985,2023-10-31 09:56:00,97,
143.005,143.13,143.005,143.1,14495,143.0619,2023-10-31 09:57:00,262,
143.1,143.13,143.04,143.08,7375,143.0844,2023-10-31 09:58:00,153,
143.07,143.09,143.01,143.05,7546,143.0454,2023-10-31 09:59:00,191,
143.01,143.095,142.93,142.96,11135,143.0141,2023-10-31 10:00:00,258,
142.96,142.978,142.78,142.785,12578,142.8768,2023-10-31 10:01:00,216,
142.7855,142.98,142.7801,142.96,5528,142.8846,2023-10-31 10:02:00,147,
142.95,143.04,142.94,143.0199,4962,142.9874,2023-10-31 10:03:00,133,
143.005,143.1,142.97,143.07,5082,143.0459,2023-10-31 10:04:00,179,
143.05,143.1,143.025,143.08,9823,143.061,2023-10-31 10:05:00,250,
143.08,143.24,143.06,143.23,11429,143.1683,2023-10-31 10:06:00,213,
143.2631,143.34,143.26,143.33,9691,143.3067,2023-10-31 10:07:00,165,
143.31,143.37,143.29,143.36,9140,143.3143,2023-10-31 10:08:00,176,
143.35,143.4,143.31,143.33,9048,143.3546,2023-10-31 10:09:00,198,
143.34,143.48,143.34,143.45,6118,143.4303,2023-10-31 10:10:00,152,
143.45,143.55,143.43,143.541,12530,143.4944,2023-10-31 10:11:00,309,
143.53,143.54,143.38,143.405,19703,143.4449,2023-10-31 10:12:00,278,
143.3991,143.522,143.3901,143.522,9163,143.4667,2023-10-31 10:13:00,172,
143.53,143.54,143.5,143.505,4618,143.5036,2023-10-31 10:14:00,138,
143.51,143.605,143.4802,143.5765,10258,143.5288,2023-10-31 10:15:00,175,
143.6,143.61,143.51,143.51,9617,143.5693,2023-10-31 10:16:00,186,
143.515,143.6,143.51,143.6,10414,143.5483,2023-10-31 10:17:00,172,
143.59,143.59,143.48,143.48,5697,143.532,2023-10-31 10:18:00,125,
