open,high,low,close,volume,vwap,timestamp,transactions,otc
296.5,296.78,296.5,296.78,306,296.5923,1681991940000,5,
296.75,297.824,296.75,297.824,2561,296.8772,1681992000000,22,
296.78,296.78,296.78,296.78,124,296.7819,1681992240000,2,
296.67,296.67,296.67,296.67,440,296.6858,1681992900000,15,
296.75,296.75,296.75,296.75,251,296.7493,1681993440000,2,
296.99,297.0,296.99,297.0,429,296.9337,1681993800000,14,
295.7874,295.7874,295.7874,295.7874,336,295.7874,1681994880000,1,
297.0,297.84,297.0,297.84,1456,297.5216,1681997220000,37,
297.79,297.79,296.6,296.6,286,297.4955,1681997280000,17,
296.27,298.77,296.27,298.77,701,297.6973,1681997340000,13,
298.96,299.215,298.0,298.0,66477,298.9125,1681997400000,590,
297.59,298.01,297.03,297.03,10108,297.6471,1681997460000,229,
297.8151,299.0,297.46,298.835,9503,298.3539,1681997520000,247,
298.69,298.98,298.5,298.66,6114,298.7111,1681997580000,207,
298.9245,300.0,298.73,299.78,19833,299.471,1681997640000,423,
299.76,300.0,299.67,299.92,13187,299.8489,1681997700000,323,
299.9,299.96,299.325,299.7,6662,299.6376,1681997760000,167,
299.74,300.2,299.6101,300.19,11821,299.8412,1681997820000,237,
300.26,300.4,299.77,299.91,6744,300.0381,1681997880000,153,
299.8,300.0,299.64,299.64,6517,299.8672,1681997940000,196,
299.73,299.73,299.185,299.185,14259,299.5528,1681998000000,248,
299.275,299.5,299.275,299.3295,3193,299.3726,1681998060000,105,
299.305,299.5,299.1729,299.44,11575,299.3625,1681998120000,195,
299.3167,300.0,299.3,300.0,32234,299.4892,1681998180000,429,
299.8688,300.0,299.76,299.77,6622,299.933,1681998240000,184,
299.75,299.78,298.86,298.92,8890,299.4531,1681998300000,256,
298.62,299.1764,298.62,299.005,3949,298.9734,1681998360000,94,
298.98,298.98,298.83,298.88,4885,298.9086,1681998420000,168,
298.84,298.84,298.76,298.76,2252,298.8287,1681998480000,104,
298.83,298.995,298.62,298.795,8099,298.7661,1681998540000,228,
298.63,298.89,298.61,298.89,4820,298.7548,1681998600000,142,
298.95,298.96,298.8,298.915,3165,298.8969,1681998660000,99,
298.91,298.915,297.9149,297.945,9548,298.4734,1681998720000,275,
298.07,298.07,297.5501,297.76,6553,297.7962,1681998780000,166,
297.725,297.83,297.5,297.5,6811,297.6698,1681998840000,177,
297.62,297.7999,297.355,297.7999,10346,297.6352,1681998900000,190,
297.57,297.71,297.38,297.38,9892,297.5821,1681998960000,203,
297.475,297.475,296.76,296.77,14846,297.0204,1681999020000,276,
296.77,297.37,296.76,297.37,7344,297.0903,1681999080000,256,
297.3,297.505,297.275,297.31,4582,297.3795,1681999140000,104,
297.405,297.92,297.38,297.5,10320,297.6331,1681999200000,315,
297.47,297.575,297.2,297.33,6010,297.342,1681999260000,186,
297.385,297.51,297.33,297.43,4019,297.4451,1681999320000,66,
297.59,297.9,297.59,297.9,3019,297.7321,1681999380000,117,
297.91,298.05,297.91,298.025,6170,297.9309,1681999440000,144,
298.0346,298.49,298.02,298.49,3568,298.2249,1681999500000,104,
298.49,298.6199,298.41,298.525,8459,298.485,1681999560000,189,
298.525,298.85,298.525,298.8,6977,298.7165,1681999620000,181,
298.87,299.03,298.87,298.945,8966,298.9209,1681999680000,204,
298.95,299.08,298.57,298.675,11792,298.8474,1681999740000,224,
298.675,298.97,298.6328,298.945,11757,298.8531,1681999800000,224,
298.95,299.09,298.8366,299.06,4637,298.9491,1681999860000,82,
299.005,299.49,298.82,299.49,24738,299.0974,1681999920000,473,
299.565,299.63,299.34,299.51,9646,299.4301,1681999980000,210,
299.405,299.82,299.28,299.805,14297,299.5993,1682000040000,265,
299.625,299.82,299.625,299.82,2921,299.7189,1682000100000,64,
299.7,300.24,299.7,299.925,14826,299.9031,1682000160000,282,
299.8695,300.45,299.8695,300.45,7809,300.2841,1682000220000,200,
300.3814,300.6,300.23,300.57,16939,300.3852,1682000280000,392,
300.21,300.645,300.1977,300.645,7395,300.3998,1682000340000,177,
300.635,300.85,300.49,300.75,9964,300.6962,1682000400000,264,
300.85,300.86,300.31,300.415,9151,300.5959,1682000460000,269,
300.42,300.47,300.1951,300.23,5008,300.3439,1682000520000,164,
300.315,300.69,300.11,300.69,6369,300.3249,1682000580000,169,
300.62,300.72,300.62,300.635,1482,300.6734,1682000640000,55,
300.635,301.26,300.635,301.13,8568,301.0649,1682000700000,216,
301.15,301.15,300.7909,300.9299,6098,301.0036,1682000760000,120,
300.99,301.08,300.85,301.025,5938,300.9913,1682000820000,111,
300.97,301.0,300.74,300.86,4302,300.8628,1682000880000,143,
300.89,301.12,300.738,301.12,3155,300.9832,1682000940000,128,
301.29,301.465,301.16,301.28,5156,301.3383,1682001000000,185,
301.2275,301.26,301.0,301.0,5069,301.1592,1682001060000,134,
300.9201,300.95,300.5,300.5001,3348,300.7362,1682001120000,86,
300.485,300.76,300.485,300.76,2636,300.6033,1682001180000,83,
300.72,300.72,300.34,300.35,3027,300.4642,1682001240000,96,
300.26,300.665,300.2501,300.4519,2912,300.4841,1682001300000,88,
300.56,300.58,300.4101,300.53,1745,300.5263,1682001360000,57,
300.59,300.75,300.51,300.75,1643,300.6624,1682001420000,57,
300.75,300.795,300.27,300.5601,6371,300.5771,1682001480000,141,
300.7541,300.78,300.635,300.78,695,300.6953,1682001540000,29,
300.85,301.14,300.83,301.14,4825,301.0092,1682001600000,138,
301.145,301.28,300.95,301.09,5102,301.1447,1682001660000,86,
301.075,301.11,300.87,300.935,3617,301.0131,1682001720000,76,
300.88,301.39,300.802,301.39,3227,301.1354,1682001780000,107,
301.279,301.4199,301.13,301.3,3705,301.2413,1682001840000,72,
301.35,301.4,301.26,301.39,3070,301.3651,1682001900000,95,
301.29,301.4,301.23,301.37,10426,301.3094,1682001960000,263,
301.31,301.6397,301.29,301.525,9540,301.4457,1682002020000,283,
301.67,301.69,301.58,301.63,1749,301.6148,1682002080000,74,
301.6275,301.79,301.51,301.51,7227,301.6592,1682002140000,248,
301.605,302.2,301.4901,301.89,20864,301.8659,1682002200000,449,
301.79,302.23,301.64,301.92,15984,301.9783,1682002260000,321,
301.93,301.97,301.455,301.56,5177,301.6598,1682002320000,121,
301.385,301.505,301.2487,301.3,6022,301.3852,1682002380000,148,
301.265,301.33,301.1025,301.16,9434,301.2182,1682002440000,288,
301.29,301.4,301.29,301.4,1222,301.3522,1682002500000,47,
301.325,301.325,301.1,301.225,8834,301.2414,1682002560000,162,
301.15,301.1625,300.515,300.515,7611,300.8431,1682002620000,189,
300.43,300.54,300.11,300.24,11245,300.2857,1682002680000,152,
300.24,300.65,300.12,300.3,5511,300.3637,1682002740000,140,
300.42,300.62,300.31,300.55,3710,300.4893,1682002800000,113,
300.52,300.52,300.38,300.5,3260,300.4436,1682002860000,71,
300.41,300.47,300.32,300.37,3206,300.4039,1682002920000,99,
300.37,300.43,300.28,300.28,3065,300.3329,1682002980000,88,
300.42,300.49,300.25,300.36,7947,300.4096,1682003040000,159,
300.4,300.79,300.4,300.62,3723,300.5056,1682003100000,102,
300.76,300.77,300.4701,300.4701,15699,300.6042,1682003160000,119,
300.43,300.43,300.14,300.14,4614,300.2685,1682003220000,135,
300.0,300.26,299.75,300.26,5588,300.0388,1682003280000,160,
300.135,300.149,300.0244,300.0244,1679,300.1334,1682003340000,25,
300.26,300.49,300.24,300.49,2940,300.3963,1682003400000,60,
300.355,300.47,300.3002,300.47,1391,300.3789,1682003460000,28,
300.36,300.36,300.17,300.19,4393,300.2284,1682003520000,132,
299.94,300.015,299.62,299.62,2461,299.8876,1682003580000,67,
299.61,299.74,299.61,299.67,2329,299.6892,1682003640000,108,
299.6,299.63,299.39,299.575,5984,299.5386,1682003700000,155,
299.52,299.59,299.52,299.52,2039,299.5717,1682003760000,39,
299.65,299.78,299.64,299.64,5760,299.6781,1682003820000,157,
299.75,300.005,299.725,300.005,3881,299.8265,1682003880000,100,
299.955,300.01,299.94,300.01,1104,299.9031,1682003940000,35,
300.03,300.04,299.85,299.97,4413,299.9206,1682004000000,99,
299.94,300.34,299.8897,300.2,3131,300.0924,1682004060000,102,
300.22,300.33,300.21,300.33,396,300.2436,1682004120000,17,
300.205,300.3499,299.9,299.9682,5704,300.0662,1682004180000,127,
299.78,299.78,299.74,299.74,736,299.8182,1682004240000,22,
299.755,299.94,299.7,299.75,4172,299.8496,1682004300000,130,
299.64,299.64,299.56,299.56,4011,299.6385,1682004360000,110,
299.54,299.56,299.35,299.56,8426,299.4547,1682004420000,216,
299.61,299.64,299.4401,299.4401,2894,299.5807,1682004480000,48,
299.45,299.51,299.45,299.51,999,299.5143,1682004540000,37,
299.6,299.77,299.545,299.75,1943,299.6442,1682004600000,66,
299.9199,299.9199,299.57,299.72,4275,299.7066,1682004660000,115,
299.57,299.58,299.535,299.555,1448,299.5602,1682004720000,48,
299.63,299.7,299.63,299.65,1213,299.6447,1682004780000,40,
299.54,299.74,299.51,299.74,4906,299.5982,1682004840000,138,
299.81,299.93,299.74,299.82,2115,299.8009,1682004900000,69,
299.84,299.895,299.76,299.795,2669,299.798,1682004960000,70,
299.68,299.74,299.66,299.6972,1970,299.687,1682005020000,53,
299.65,299.71,299.62,299.65,2118,299.6751,1682005080000,57,
299.61,299.79,299.61,299.79,3766,299.682,1682005140000,110,
299.69,299.69,299.65,299.65,1225,299.6887,1682005200000,55,
299.64,299.74,299.62,299.74,2905,299.6839,1682005260000,92,
299.6461,299.69,299.535,299.535,4987,299.5991,1682005320000,117,
299.535,299.695,299.47,299.56,2652,299.5889,1682005380000,119,
299.555,299.555,299.51,299.51,970,299.5308,1682005440000,38,
299.4969,299.58,299.24,299.24,12938,299.4737,1682005500000,315,
299.225,299.568,299.16,299.568,9291,299.3289,1682005560000,188,
299.52,299.56,299.15,299.34,12532,299.3273,1682005620000,230,
299.405,299.405,299.24,299.24,5976,299.3149,1682005680000,75,
299.205,299.32,299.12,299.12,4296,299.2119,1682005740000,106,
299.0977,299.22,299.02,299.22,7362,299.1201,1682005800000,155,
299.28,299.52,299.24,299.24,3010,299.338,1682005860000,43,
299.415,299.43,299.415,299.43,693,299.4268,1682005920000,23,
299.435,299.435,299.435,299.435,357,299.4165,1682005980000,28,
299.43,299.53,299.33,299.53,1147,299.3841,1682006040000,57,
299.33,299.41,299.29,299.31,7763,299.3409,1682006100000,180,
299.26,299.31,299.25,299.305,2199,299.282,1682006160000,92,
299.305,299.305,299.14,299.18,2887,299.22,1682006220000,94,
299.04,299.17,299.0,299.075,9593,299.0957,1682006280000,190,
299.09,299.09,298.65,298.65,4961,298.971,1682006340000,185,
298.68,298.68,298.63,298.63,880,298.6326,1682006400000,60,
298.595,298.62,298.43,298.54,4514,298.5642,1682006460000,104,
298.58,298.6,298.46,298.525,12317,298.5426,1682006520000,336,
