open,high,low,close,volume,vwap,timestamp,transactions,otc
183.0,183.0,183.0,183.0,173,183.0032,1651238160000,5,
182.57,182.57,182.51,182.51,1287,182.5807,1651238940000,33,
182.5,182.545,181.77,181.84,118017,182.3548,1651239000000,1111,
181.77,182.16,181.59,182.03,27231,181.8468,1651239060000,549,
182.17,182.41,181.97,182.29,22009,182.2111,1651239120000,351,
182.31,182.31,181.7,181.93,15500,181.8938,1651239180000,315,
181.87,181.92,181.4,181.45,18004,181.6714,1651239240000,395,
181.42,181.45,181.18,181.23,31043,181.3371,1651239300000,607,
181.16,181.23,180.7312,180.76,34602,180.9663,1651239360000,657,
180.82,181.26,180.82,180.91,13497,180.9729,1651239420000,253,
180.81,181.0,180.69,180.875,20304,180.8173,1651239480000,296,
180.83,181.0,180.72,180.9187,14126,180.8683,1651239540000,272,
180.96,181.14,180.93,181.14,10837,181.0243,1651239600000,225,
181.14,181.23,181.02,181.22,11843,181.1107,1651239660000,127,
181.19,181.34,180.91,181.1,14295,181.1703,1651239720000,228,
181.0601,181.16,180.97,181.11,8164,181.0781,1651239780000,163,
181.1,181.16,181.05,181.15,10309,181.0924,1651239840000,234,
181.1,181.77,181.01,181.66,36218,181.4658,1651239900000,635,
181.62,181.62,181.31,181.39,5981,181.4411,1651239960000,150,
181.35,181.38,181.11,181.15,14178,181.229,1651240020000,278,
181.21,181.27,181.07,181.1,16805,181.1298,1651240080000,264,
181.13,181.19,181.12,181.13,13731,181.1463,1651240140000,269,
181.12,181.39,181.12,181.31,24990,181.286,1651240200000,356,
181.25,181.465,181.2164,181.36,16999,181.3625,1651240260000,339,
181.38,181.41,181.26,181.3,14028,181.3333,1651240320000,239,
181.32,181.4,181.245,181.33,17778,181.3115,1651240380000,275,
181.36,181.36,181.14,181.15,10043,181.2425,1651240440000,198,
181.16,181.43,181.16,181.43,16383,181.253,1651240500000,296,
181.42,181.67,181.42,181.67,10159,181.5371,1651240560000,205,
181.65,181.69,181.37,181.41,18478,181.5104,1651240620000,302,
181.4,181.46,181.35,181.4,11516,181.4019,1651240680000,241,
181.38,181.59,181.35,181.56,23409,181.4125,1651240740000,449,
181.61,181.82,181.54,181.64,26632,181.6518,1651240800000,422,
181.61,181.7393,181.49,181.57,18422,181.577,1651240860000,300,
181.59,181.79,181.59,181.663,8884,181.6798,1651240920000,195,
181.69,181.78,181.56,181.63,10477,181.6976,1651240980000,258,
181.66,181.69,181.39,181.46,14051,181.4975,1651241040000,270,
181.47,181.66,181.43,181.63,14784,181.5532,1651241100000,305,
181.62,181.95,181.605,181.87,12157,181.7831,1651241160000,260,
181.9,181.97,181.83,181.83,7884,181.9142,1651241220000,174,
181.9,182.0,181.85,181.905,11206,181.9313,1651241280000,250,
181.91,181.91,181.59,181.65,9585,181.6982,1651241340000,207,
181.7,181.9109,181.675,181.68,16398,181.7644,1651241400000,281,
181.67,181.78,181.585,181.74,14928,181.694,1651241460000,274,
181.75,181.75,181.62,181.63,18849,181.6894,1651241520000,342,
181.62,181.82,181.62,181.81,15164,181.7424,1651241580000,280,
181.79,181.79,181.61,181.62,12899,181.6785,1651241640000,232,
181.635,181.85,181.635,181.81,17210,181.749,1651241700000,355,
181.83,181.89,181.67,181.69,15657,181.7732,1651241760000,329,
181.63,181.68,181.37,181.39,17685,181.5451,1651241820000,328,
181.4,181.49,181.38,181.45,13893,181.4226,1651241880000,289,
181.38,181.38,181.14,181.17,23806,181.2824,1651241940000,394,
181.21,181.28,181.14,181.2,11786,181.2132,1651242000000,243,
181.16,181.25,181.12,181.13,18150,181.169,1651242060000,329,
181.16,181.21,181.03,181.07,18692,181.1362,1651242120000,341,
181.1,181.15,180.93,181.04,14857,181.0476,1651242180000,286,
181.025,181.055,180.7321,180.79,12100,180.8443,1651242240000,275,
180.77,181.12,180.74,181.12,19084,180.9395,1651242300000,371,
181.08,181.21,181.06,181.17,10840,181.1456,1651242360000,209,
181.16,181.16,180.96,180.96,10937,181.0962,1651242420000,287,
180.96,181.05,180.9264,180.9264,14614,181.0047,1651242480000,324,
180.9,180.93,180.76,180.82,19829,180.8419,1651242540000,301,
180.83,180.88,180.62,180.62,16012,180.7665,1651242600000,279,
180.6,180.73,180.5501,180.6,22532,180.6279,1651242660000,265,
180.54,180.75,180.535,180.5907,15862,180.6625,1651242720000,272,
180.63,180.67,180.58,180.58,11961,180.6157,1651242780000,248,
180.59,180.65,180.52,180.64,13033,180.5796,1651242840000,220,
180.6453,180.68,180.57,180.64,11760,180.6453,1651242900000,217,
180.65,180.82,180.65,180.82,9015,180.7308,1651242960000,196,
180.8237,180.8237,180.74,180.78,11773,180.7816,1651243020000,196,
180.78,180.94,180.76,180.91,17585,180.8646,1651243080000,301,
180.93,181.07,180.87,181.03,14829,180.9586,1651243140000,231,
181.03,181.09,180.9452,180.98,13442,181.0029,1651243200000,219,
180.96,181.01,180.83,180.83,9589,180.9092,1651243260000,236,
180.83,180.94,180.81,180.915,14532,180.8804,1651243320000,251,
180.9359,181.05,180.92,181.05,9645,180.9934,1651243380000,202,
181.05,181.12,181.01,181.12,6732,181.0635,1651243440000,154,
181.13,181.14,181.04,181.06,8082,181.0832,1651243500000,175,
181.06,181.22,181.06,181.22,10095,181.1426,1651243560000,225,
181.2,181.23,181.05,181.1135,11518,181.1414,1651243620000,229,
181.09,181.1,181.05,181.05,4868,181.0768,1651243680000,134,
181.07,181.1166,181.05,181.0871,7232,181.0767,1651243740000,151,
181.1,181.25,181.1,181.25,9577,181.1747,1651243800000,178,
181.25,181.3,181.12,181.245,9032,181.2259,1651243860000,222,
181.245,181.38,181.21,181.33,10583,181.2931,1651243920000,201,
181.37,181.37,181.26,181.26,7481,181.3139,1651243980000,181,
181.265,181.325,181.22,181.31,9403,181.2663,1651244040000,202,
181.34,181.36,181.23,181.28,9572,181.3056,1651244100000,173,
181.2819,181.2819,181.15,181.17,11524,181.2172,1651244160000,195,
181.17,181.22,181.135,181.21,7014,181.1859,1651244220000,159,
181.21,181.245,181.14,181.22,11923,181.1897,1651244280000,263,
181.21,181.21,181.07,181.07,11517,181.1387,1651244340000,206,
181.06,181.07,181.0,181.06,10427,181.0342,1651244400000,205,
181.05,181.11,180.99,181.04,13913,181.0275,1651244460000,219,
181.05,181.07,180.92,180.92,10708,180.9951,1651244520000,211,
180.9,180.94,180.86,180.92,11594,180.9113,1651244580000,222,
180.86,181.03,180.84,181.03,11304,180.9512,1651244640000,218,
181.03,181.18,181.02,181.1,7935,181.0688,1651244700000,192,
181.12,181.29,181.1,181.25,13403,181.203,1651244760000,229,
181.26,181.37,181.26,181.365,8777,181.3171,1651244820000,215,
181.38,181.45,181.23,181.24,10927,181.3381,1651244880000,239,
181.23,181.31,181.22,181.25,8758,181.2692,1651244940000,164,
181.26,181.32,181.21,181.28,13800,181.2656,1651245000000,191,
181.26,181.39,181.26,181.39,9269,181.329,1651245060000,172,
181.38,181.41,181.23,181.23,7449,181.3405,1651245120000,167,
181.21,181.23,181.14,181.14,4847,181.1902,1651245180000,100,
