open,high,low,close,volume,vwap,timestamp,transactions,otc
354.0,354.0,354.0,354.0,100,354.0,1643367900000,1,
354.0,354.0,354.0,354.0,100,354.0,1643368200000,1,
350.0,350.0,350.0,350.0,531,349.9994,1643373840000,13,
347.75,347.75,347.75,347.75,346,348.0155,1643374260000,10,
352.0,352.0,352.0,352.0,344,351.5946,1643374800000,8,
347.0,347.0,347.0,347.0,501,347.0295,1643374920000,2,
347.0,347.0,347.0,347.0,180,347.2715,1643376360000,2,
355.0,357.0,355.0,357.0,2291,355.279,1643377260000,58,
356.0,356.0,352.8,352.8,639,353.4384,1643380020000,23,
352.55,353.83,347.66,347.89,37846,351.4581,1643380200000,671,
348.79,348.79,344.03,346.81,25929,346.4778,1643380260000,630,
346.01,350.32,345.36,346.95,11378,347.9298,1643380320000,265,
347.85,351.37,347.0,349.32,21438,349.5698,1643380380000,413,
349.26,349.975,347.43,349.5,12868,348.7297,1643380440000,230,
350.225,350.225,346.795,348.31,13025,348.9985,1643380500000,276,
345.3,349.08,345.3,348.79,10996,347.8838,1643380560000,231,
348.69,350.63,347.34,349.62,9707,348.7323,1643380620000,174,
349.7,349.7,347.6341,349.0,4188,348.5833,1643380680000,91,
349.0403,349.66,348.85,349.65,2176,349.2012,1643380740000,66,
349.13,349.8,348.475,349.65,5566,349.0645,1643380800000,153,
349.725,349.725,347.82,349.0,5561,348.7043,1643380860000,182,
348.61,349.96,348.61,349.095,2013,349.1233,1643380920000,66,
349.7192,350.47,349.14,350.47,2685,349.9568,1643380980000,87,
350.09,351.44,349.0,349.48,17832,349.873,1643381040000,270,
350.2,350.69,348.76,350.62,6889,349.8847,1643381100000,123,
350.46,351.38,350.125,350.64,6734,350.5457,1643381160000,110,
350.68,350.68,348.11,349.08,12047,349.1389,1643381220000,178,
348.6,349.36,348.6,349.27,3843,349.072,1643381280000,78,
349.97,350.4,349.145,349.145,7056,349.7608,1643381340000,156,
348.99,348.99,346.9111,346.9111,4789,347.809,1643381400000,119,
347.39,349.03,347.39,348.625,7467,348.2311,1643381460000,202,
348.625,348.625,347.02,347.42,5957,347.8407,1643381520000,156,
347.39,347.93,346.54,347.79,3146,347.2238,1643381580000,112,
346.82,347.2009,345.72,346.6,4011,346.5697,1643381640000,136,
346.77,347.58,346.76,347.14,6571,346.9691,1643381700000,172,
347.14,348.015,346.75,348.015,4697,347.3613,1643381760000,119,
348.39,349.55,348.39,348.5207,13719,349.0654,1643381820000,150,
348.565,348.565,346.63,347.4425,3555,347.421,1643381880000,137,
347.84,347.84,346.87,347.295,8287,347.1534,1643381940000,126,
347.91,349.59,347.44,347.44,10044,348.1685,1643382000000,200,
346.8,347.26,345.77,346.36,5269,346.7831,1643382060000,134,
346.41,346.96,345.945,346.79,9539,346.4881,1643382120000,218,
346.79,346.79,345.55,346.365,24927,346.1826,1643382180000,473,
346.6,347.1,345.93,346.1,8905,346.4345,1643382240000,235,
345.98,347.685,345.98,347.685,18950,346.6485,1643382300000,299,
347.12,347.12,346.39,346.62,6649,346.8687,1643382360000,168,
346.65,347.03,346.53,346.665,5680,346.7302,1643382420000,167,
346.27,347.475,346.08,346.08,6803,346.7496,1643382480000,230,
346.42,346.66,345.55,345.55,7967,346.2705,1643382540000,205,
346.01,347.46,345.97,346.66,10372,346.732,1643382600000,278,
346.86,347.775,346.7,347.465,7115,347.2563,1643382660000,295,
347.5125,348.5,347.465,348.49,5506,348.1176,1643382720000,176,
347.99,348.385,347.3278,347.49,4482,347.8842,1643382780000,124,
347.8,348.47,347.5,348.175,7308,347.7458,1643382840000,124,
348.175,349.73,348.175,349.45,3438,349.0631,1643382900000,131,
350.03,351.53,349.42,351.52,3393,350.2389,1643382960000,125,
351.8,352.17,351.37,352.17,4114,351.8059,1643383020000,153,
351.45,352.09,351.25,351.6812,6745,351.7085,1643383080000,207,
353.12,355.0,353.12,354.627,16638,354.4418,1643383140000,214,
355.025,355.025,352.97,353.96,12860,354.2479,1643383200000,328,
354.79,354.79,353.92,354.31,7744,354.3331,1643383260000,218,
353.92,353.92,351.41,351.41,2020,353.0884,1643383320000,86,
351.6868,352.07,350.97,351.715,7405,351.5105,1643383380000,157,
351.44,351.44,351.2,351.27,2155,351.337,1643383440000,78,
351.155,351.4,350.51,351.4,1081,351.0545,1643383500000,36,
351.27,351.41,350.61,350.61,3477,351.1111,1643383560000,133,
350.65,350.65,349.39,349.675,5246,349.9353,1643383620000,127,
349.36,349.36,348.41,348.54,2422,349.34,1643383680000,88,
348.61,348.61,346.93,348.54,3914,348.1867,1643383740000,159,
348.53,349.17,347.96,349.17,5169,348.2393,1643383800000,128,
349.21,349.22,348.87,348.87,2552,349.0481,1643383860000,89,
349.04,349.44,349.04,349.44,1825,349.2403,1643383920000,36,
349.26,349.26,348.15,348.15,3040,348.545,1643383980000,98,
347.87,347.87,347.29,347.29,1721,347.4824,1643384040000,54,
347.44,347.72,347.13,347.13,1425,347.3089,1643384100000,55,
347.57,349.12,347.15,347.81,3800,347.818,1643384160000,136,
348.55,349.33,348.15,349.33,2505,348.6233,1643384220000,99,
349.7568,350.47,349.7568,350.3754,3211,350.2464,1643384280000,88,
349.85,350.84,348.6,350.6,11219,350.1139,1643384340000,149,
350.105,351.25,350.105,350.21,4248,350.634,1643384400000,62,
350.755,350.85,349.8,350.495,6609,350.3696,1643384460000,138,
350.495,350.495,349.13,349.235,2570,349.6306,1643384520000,71,
348.03,348.03,348.03,348.03,938,348.1507,1643384580000,54,
348.12,348.14,347.01,348.11,3844,347.73,1643384640000,90,
348.1,349.315,348.1,349.315,2589,348.7247,1643384700000,68,
349.99,350.05,349.15,349.6,4905,349.683,1643384760000,145,
350.34,351.12,350.27,351.105,2945,350.8938,1643384820000,144,
351.57,351.72,351.565,351.72,565,351.5538,1643384880000,21,
351.69,354.3,351.69,354.3,5887,352.8164,1643384940000,220,
353.945,354.0575,353.008,353.165,5668,353.6593,1643385000000,181,
352.5,352.64,352.5,352.64,1215,352.6538,1643385060000,63,
352.29,352.29,352.29,352.29,852,352.2435,1643385120000,42,
352.35,353.98,352.35,353.98,9822,353.1252,1643385180000,183,
354.05,354.97,353.67,354.465,4553,354.1544,1643385240000,130,
355.26,355.26,354.54,355.035,1987,355.0303,1643385300000,98,
