open,high,low,close,volume,vwap,timestamp,transactions,otc
488.8,488.8,488.8,488.8,144,488.7965,1681811880000,2,
492.49,495.0,492.0,495.0,1348,493.1961,1681817340000,47,
495.0,495.0,495.0,495.0,123,495.0122,1681817400000,4,
493.75,493.75,493.75,493.75,223,493.7762,1681817760000,6,
493.99,496.35,493.99,496.0,1070,495.2383,1681817880000,38,
498.0,498.0,497.93,498.0,2455,497.9773,1681817940000,34,
498.01,498.01,498.0,498.0,356,497.7504,1681818000000,9,
498.0,498.0,498.0,498.0,495,497.7727,1681818060000,27,
497.0,497.0,497.0,497.0,125,497.0844,1681818120000,3,
497.95,497.95,497.95,497.95,642,497.9792,1681818240000,17,
498.95,499.3,498.95,499.0,1180,499.0304,1681818300000,52,
499.0,499.0,499.0,499.0,478,499.0955,1681818360000,18,
501.0,501.0,500.22,500.22,1899,500.2824,1681818480000,136,
500.0,500.0,500.0,500.0,255,500.0453,1681818540000,11,
500.94,501.08,500.94,501.08,1366,501.0375,1681818720000,14,
500.12,500.12,500.12,500.12,193,500.1093,1681818840000,7,
499.97,499.97,499.0,499.0,618,499.5141,1681818900000,33,
493.75,496.22,493.75,496.22,2383,495.23,1681819200000,84,
496.0,496.0,496.0,496.0,113,495.8402,1681819380000,7,
496.5,496.5,496.5,496.5,112,496.5145,1681819500000,3,
496.0,496.0,496.0,496.0,163,496.1177,1681819560000,16,
496.0,496.0,496.0,496.0,275,495.9964,1681819800000,8,
496.93,496.97,495.55,495.55,2032,496.2705,1681820040000,44,
495.0,495.0,494.51,494.51,1475,494.6013,1681820100000,32,
495.55,495.55,495.55,495.55,226,495.4639,1681820220000,5,
495.0,495.0,495.0,495.0,1862,495.0045,1681820580000,20,
495.0,495.0,495.0,495.0,1023,495.0021,1681820640000,11,
496.0,496.0,496.0,496.0,333,495.7377,1681820700000,14,
497.87,498.0,496.64,498.0,3870,497.235,1681820760000,51,
498.0,498.0,498.0,498.0,2121,498.0391,1681820820000,53,
497.94,497.94,497.94,497.94,653,498.1575,1681820880000,16,
498.79,499.84,498.79,499.84,2595,499.0092,1681820940000,46,
499.2,499.2,499.2,499.2,256,499.2066,1681821000000,3,
498.39,499.3,498.39,499.1,2595,498.8571,1681821180000,47,
498.84,499.4,498.84,499.4,1520,499.1383,1681821240000,31,
499.74,500.0,499.69,500.0,3687,499.9091,1681821360000,54,
499.9,499.9,499.9,499.9,281,499.6322,1681821720000,13,
499.02,500.0,499.02,500.0,1118,499.3744,1681821780000,14,
499.0,499.0,499.0,499.0,308,499.0356,1681822740000,9,
498.5,498.5,498.5,498.5,565,498.4471,1681822800000,17,
498.02,498.02,497.88,497.88,510,498.0409,1681822860000,10,
497.94,497.94,497.94,497.94,425,497.9506,1681823220000,12,
497.89,498.01,497.87,498.01,905,497.8651,1681823400000,22,
497.57,498.88,497.47,497.48,2872,497.8943,1681823460000,66,
497.11,497.11,497.11,497.11,2847,497.1396,1681823520000,14,
497.11,498.99,497.11,498.99,2217,498.2913,1681823580000,89,
498.6,499.67,498.5,498.6,2766,499.0103,1681823700000,32,
498.5,499.02,498.5,498.83,968,498.7808,1681823760000,36,
498.74,499.0,498.7,498.7,727,498.7224,1681823820000,19,
498.45,498.45,498.03,498.03,939,498.1081,1681823880000,19,
497.54,498.0,497.54,497.61,1511,497.6596,1681824000000,25,
497.65,497.65,497.65,497.65,332,497.6843,1681824060000,8,
497.95,497.95,497.66,497.66,550,497.7755,1681824120000,5,
497.95,497.95,497.71,497.71,740,497.7929,1681824180000,9,
498.01,498.39,497.76,498.39,1270,498.1579,1681824240000,20,
498.39,498.5,498.39,498.5,1389,498.5048,1681824300000,31,
499.0,499.0,498.03,498.16,2220,498.5539,1681824360000,53,
498.16,498.16,498.16,498.16,216,498.1558,1681824480000,4,
499.0,499.8,499.0,499.8,1067,499.1089,1681824600000,84,
498.59,498.59,498.59,498.59,731,498.6322,1681824660000,38,
498.0,499.96,498.0,498.99,64553,498.6194,1681824720000,795,
499.2,503.73,498.11,502.9343,61637,500.9948,1681824780000,1384,
502.385,504.79,502.385,504.0348,19589,503.9084,1681824840000,487,
503.82,507.8,503.64,507.8,32592,505.5803,1681824900000,768,
507.9118,507.9892,503.1,503.39,20719,505.5979,1681824960000,579,
503.6737,507.4299,503.5,507.4299,18122,505.3313,1681825020000,465,
506.73,506.73,502.44,503.7,13139,504.2036,1681825080000,376,
503.705,505.2,503.41,504.85,13936,504.4563,1681825140000,380,
504.37,506.0,504.37,505.96,13533,505.0579,1681825200000,388,
505.484,506.5899,504.9,505.95,10961,505.7116,1681825260000,246,
505.33,505.33,504.69,504.9072,3362,504.87,1681825320000,102,
505.38,505.555,504.3005,504.795,8500,504.933,1681825380000,224,
504.2401,505.19,504.12,504.67,16520,504.7239,1681825440000,381,
504.555,505.075,504.2432,504.4555,8893,504.8421,1681825500000,213,
504.51,505.0,502.5,502.99,10167,504.2027,1681825560000,271,
502.54,504.9,502.52,504.395,10217,503.794,1681825620000,243,
504.15,504.7199,503.66,504.105,9076,504.1556,1681825680000,229,
503.77,504.37,503.635,503.75,4567,503.9785,1681825740000,170,
504.04,504.04,502.26,503.905,14954,502.9549,1681825800000,399,
503.55,504.3999,503.55,504.22,10406,504.1113,1681825860000,307,
504.215,504.25,503.555,504.25,13218,503.8515,1681825920000,271,
504.16,505.4826,504.01,504.26,16743,504.6949,1681825980000,329,
504.255,504.52,503.495,504.13,6552,503.9233,1681826040000,179,
504.53,505.5599,504.3731,504.72,5830,504.963,1681826100000,155,
504.75,505.26,504.75,505.17,4387,504.9871,1681826160000,179,
505.11,506.72,505.11,505.33,24327,505.9174,1681826220000,634,
505.36,506.7199,504.93,505.975,15372,505.7872,1681826280000,346,
505.81,506.8,505.6,506.5681,20781,506.2902,1681826340000,432,
506.55,507.9,506.5263,506.95,31956,507.2045,1681826400000,712,
506.85,507.22,506.01,507.22,13063,506.7251,1681826460000,350,
507.3,507.3,506.0301,506.77,9372,506.4786,1681826520000,286,
506.68,507.26,506.4675,506.65,7431,507.0053,1681826580000,180,
506.9743,507.52,506.05,507.52,21599,507.0245,1681826640000,405,
507.365,507.365,506.2668,506.93,12208,506.7188,1681826700000,175,
507.0,507.6746,506.565,506.79,22621,507.2133,1681826760000,347,
507.145,507.3793,505.6,505.6,7120,506.4793,1681826820000,192,
505.6101,506.54,505.61,506.12,6605,505.9386,1681826880000,87,
505.89,506.17,505.8453,506.055,5434,506.0292,1681826940000,112,
