open,high,low,close,volume,vwap,timestamp,transactions,otc
322.99,323.0,322.99,323.0,227,322.9956,1666863060000,2,
322.9,322.9,322.9,322.9,174,322.9016,1666864380000,2,
322.4,322.4,322.4,322.4,188,322.4,1666867200000,3,
323.5,323.5,323.5,323.5,593,323.3348,1666868580000,20,
323.9,323.9,323.9,323.9,318,323.811,1666868940000,5,
324.0,324.0,324.0,324.0,323,323.8885,1666869180000,6,
323.5,323.5,323.5,323.5,481,323.5,1666870260000,2,
324.2,324.2,324.2,324.2,297,324.2051,1666870620000,5,
324.0,324.0,324.0,324.0,100,324.0,1666871160000,1,
323.42,323.42,323.42,323.42,321,323.6474,1666871520000,9,
324.0,324.9,323.75,323.99,3316,324.1555,1666872000000,55,
323.0,323.0,323.0,323.0,1083,322.9274,1666872180000,13,
318.76,320.0,318.5,318.5,788,318.9584,1666872300000,26,
318.0,318.0,313.0,313.0,2527,315.4554,1666872360000,52,
311.02,311.02,306.626,306.626,1537,310.0233,1666872420000,48,
310.88,313.62,310.01,310.01,2630,310.8334,1666872480000,44,
311.0,311.0,311.0,311.0,616,311.2684,1666872540000,16,
312.0,314.0,312.0,314.0,398,313.1466,1666872660000,15,
312.05,312.05,311.0,312.0,2385,311.4052,1666872840000,47,
311.57,311.62,309.23,311.0,2450,311.308,1666872900000,36,
309.0102,309.0102,309.0102,309.0102,5076,309.0497,1666873020000,6,
309.0094,310.94,309.0094,310.94,5327,309.5203,1666873080000,11,
312.01,312.01,312.01,312.01,501,312.011,1666873140000,2,
312.01,312.01,312.01,312.01,254,313.2756,1666873200000,24,
312.0,312.13,312.0,312.12,1149,312.1317,1666873260000,24,
312.0,312.0,312.0,312.0,209,312.4734,1666873320000,14,
313.5,313.5,313.5,313.5,2091,313.5677,1666873440000,10,
317.25,317.25,314.62,314.99,722,315.685,1666873680000,11,
315.0,315.0,315.0,315.0,251,314.9784,1666873740000,9,
315.0,315.0,315.0,315.0,140,314.9932,1666874580000,3,
314.0,314.0,314.0,314.0,235,314.004,1666874760000,2,
314.0,314.0,314.0,314.0,313,314.0405,1666875300000,8,
313.27,313.27,313.25,313.25,873,313.1941,1666875360000,23,
313.0,313.0,313.0,313.0,700,312.93,1666875540000,6,
312.56,313.25,312.56,313.2,1660,312.9987,1666875780000,29,
313.59,314.25,313.59,314.25,927,314.0636,1666876140000,12,
315.0,315.0,314.0042,314.0042,401,314.2525,1666876440000,3,
314.0,314.0,314.0,314.0,474,314.1297,1666876560000,12,
315.0,315.0,315.0,315.0,417,314.7578,1666876620000,7,
314.01,314.9,314.0,314.9,1434,314.2734,1666876980000,34,
314.93,314.93,314.93,314.93,431,314.3225,1666877280000,9,
314.0,315.1,314.0,314.81,1042,314.2087,1666877340000,18,
316.18,317.0,315.56,315.7706,47880,316.1685,1666877400000,1904,
316.08,316.08,314.06,314.825,32246,315.1436,1666877460000,774,
314.305,315.38,314.26,315.0,30000,314.9707,1666877520000,746,
315.19,316.54,315.19,316.105,37446,317.2167,1666877580000,604,
316.24,317.845,315.75,316.03,31571,316.7683,1666877640000,652,
316.025,316.99,315.41,316.1195,15264,316.0219,1666877700000,476,
315.85,317.555,315.72,316.25,30056,316.7178,1666877760000,756,
316.05,316.4,315.92,316.16,12172,316.163,1666877820000,281,
315.97,317.345,315.665,317.345,17020,316.396,1666877880000,506,
317.235,317.6,316.63,317.3,11065,317.2489,1666877940000,359,
317.2261,317.2261,315.783,315.96,20202,316.2627,1666878000000,464,
315.6,316.18,315.02,315.52,22385,315.583,1666878060000,453,
315.1358,315.38,314.68,315.16,32205,314.9885,1666878120000,563,
315.0,315.9442,315.0,315.71,12387,315.5728,1666878180000,231,
315.705,315.99,315.4473,315.55,10287,315.7694,1666878240000,214,
315.56,315.71,315.05,315.47,10649,315.4424,1666878300000,189,
315.45,315.8,315.0,315.3448,16321,315.4391,1666878360000,365,
315.345,315.565,314.8613,315.085,18035,315.2379,1666878420000,351,
314.885,315.0,314.31,314.4,19480,314.6318,1666878480000,393,
314.4,315.04,314.295,314.82,24971,314.6708,1666878540000,561,
314.965,315.37,314.81,315.325,20141,315.1139,1666878600000,433,
315.36,315.36,314.56,314.785,17206,314.9605,1666878660000,409,
314.72,315.09,314.45,314.76,12974,314.8018,1666878720000,312,
314.685,314.835,314.46,314.76,11971,314.7011,1666878780000,262,
314.76,315.735,314.67,315.55,14139,315.0777,1666878840000,363,
315.54,315.93,315.35,315.89,9643,315.5388,1666878900000,203,
315.81,315.82,315.495,315.735,5374,315.7052,1666878960000,137,
315.735,316.5,315.6308,316.34,19627,315.9553,1666879020000,542,
316.6625,316.89,316.53,316.755,14028,316.7431,1666879080000,274,
316.755,317.11,316.56,317.11,13560,316.8056,1666879140000,328,
317.11,317.52,317.03,317.135,13235,317.1849,1666879200000,350,
317.13,317.29,316.745,316.97,10629,317.0457,1666879260000,366,
317.04,317.33,316.925,317.275,9686,317.1241,1666879320000,268,
317.32,317.61,317.24,317.53,10938,317.3815,1666879380000,298,
317.66,318.09,317.65,318.09,6551,317.8288,1666879440000,184,
318.01,318.77,318.0,318.7088,22389,318.2899,1666879500000,513,
318.63,319.435,318.0,318.79,186470,318.8185,1666879560000,1101,
318.82,318.82,318.005,318.45,6932,318.3544,1666879620000,218,
318.45,318.54,317.695,317.97,9711,318.1314,1666879680000,289,
318.08,318.655,318.08,318.58,8622,318.4259,1666879740000,212,
318.46,319.025,318.4,318.6,30123,317.946,1666879800000,384,
318.43,318.83,318.09,318.83,9125,318.5168,1666879860000,268,
318.73,320.69,318.73,320.51,12672,319.6921,1666879920000,395,
320.51,321.07,320.31,321.05,8791,320.7269,1666879980000,216,
320.915,322.31,320.705,321.595,18249,321.6535,1666880040000,408,
321.38,321.41,320.3621,321.085,16126,320.8894,1666880100000,434,
321.1,321.31,319.8,320.25,26585,320.4628,1666880160000,397,
319.74,320.64,319.59,320.29,15099,320.0542,1666880220000,365,
320.325,320.74,319.77,319.82,6043,320.473,1666880280000,175,
320.16,320.495,319.94,320.245,7109,320.1708,1666880340000,160,
320.36,320.69,320.02,320.4,5017,320.4031,1666880400000,185,
320.405,320.72,320.22,320.44,8637,320.4629,1666880460000,198,
320.68,320.9,320.2,320.56,10834,320.5455,1666880520000,344,
320.85,320.88,319.6701,320.094,5654,320.2548,1666880580000,115,
320.09,320.24,319.69,320.23,3900,320.0559,1666880640000,73,
320.0225,320.56,319.92,320.46,7115,320.2646,1666880700000,234,
320.46,320.5921,319.95,320.21,9289,320.2261,1666880760000,218,
320.175,320.35,319.97,319.97,4602,320.2461,1666880820000,178,
320.165,320.35,319.97,320.24,6427,320.1537,1666880880000,217,
320.28,321.19,320.28,320.95,6508,320.6081,1666880940000,208,
321.19,321.19,320.57,321.03,6331,320.8671,1666881000000,162,
321.07,321.64,321.01,321.405,10754,321.3278,1666881060000,272,
321.41,321.67,321.395,321.49,5184,321.5444,1666881120000,155,
321.49,321.87,321.47,321.67,12126,321.6117,1666881180000,263,
321.675,321.79,321.47,321.67,6107,321.6293,1666881240000,158,
321.64,321.81,321.41,321.505,9117,321.5684,1666881300000,225,
321.505,321.57,321.36,321.45,6227,321.4757,1666881360000,170,
321.455,321.59,321.32,321.415,5630,321.4838,1666881420000,137,
321.49,321.75,321.36,321.49,7417,321.5858,1666881480000,221,
321.68,322.18,321.615,322.105,7169,321.9214,1666881540000,196,
322.26,322.98,322.26,322.89,14293,322.5293,1666881600000,281,
322.75,322.84,322.56,322.735,6136,322.7307,1666881660000,201,
322.665,323.08,322.105,322.105,21110,322.8323,1666881720000,449,
322.19,322.425,321.89,322.38,14153,322.1836,1666881780000,348,
322.21,322.55,322.2,322.41,13107,322.3725,1666881840000,586,
322.305,322.53,322.155,322.44,25057,322.4244,1666881900000,803,
