open,high,low,close,volume,vwap,timestamp,transactions,otc
262.08,262.08,262.07,262.07,538,262.0753,2023-11-02 05:26:00,13,
262.95,262.95,262.95,262.95,1195,262.9123,2023-11-02 07:49:00,23,
262.95,262.95,262.95,262.95,722,262.95,2023-11-02 07:50:00,5,
263.39,263.48,263.39,263.47,764,263.4612,2023-11-02 08:30:00,8,
264.0,264.0,264.0,264.0,500,263.9786,2023-11-02 08:35:00,15,
263.9,263.9,263.9,263.9,912,263.9012,2023-11-02 09:01:00,17,
263.9,263.9,263.9,263.9,2161,263.9011,2023-11-02 09:02:00,30,
263.9,263.9,263.9,263.9,147160,261.9761,2023-11-02 09:03:00,5,
264.1,264.1,264.1,264.1,261,264.1362,2023-11-02 09:07:00,17,
264.37,264.37,264.37,264.37,301,264.3661,2023-11-02 09:16:00,7,
263.9,263.9,263.9,263.9,847,263.9102,2023-11-02 09:17:00,15,
263.9,263.9,263.9,263.9,215,263.8986,2023-11-02 09:19:00,6,
264.57,264.57,264.57,264.57,546,264.4251,2023-11-02 09:22:00,34,
263.51,263.51,263.51,263.51,385,263.5178,2023-11-02 09:26:00,2,
263.5,263.66,263.42,263.51,5458,263.5118,2023-11-02 09:29:00,76,
263.59,264.85,263.51,264.85,102353,263.743,2023-11-02 09:30:00,979,
264.85,265.45,264.675,264.71,23176,265.0857,2023-11-02 09:31:00,503,
264.81,265.2913,264.805,264.89,23261,265.0254,2023-11-02 09:32:00,484,
265.02,265.26,264.95,265.26,10789,265.0456,2023-11-02 09:33:00,348,
265.28,265.63,265.22,265.44,15237,265.4394,2023-11-02 09:34:00,426,
265.44,265.44,264.785,264.785,13410,265.0891,2023-11-02 09:35:00,392,
264.65,264.65,264.17,264.335,15034,264.3409,2023-11-02 09:36:00,414,
264.27,264.33,264.0679,264.14,11735,264.2355,2023-11-02 09:37:00,378,
264.0,264.0,263.78,263.78,2242,263.9513,2023-11-02 09:38:00,131,
264.08,264.39,264.06,264.12,8498,264.184,2023-11-02 09:39:00,273,
264.08,264.255,263.9878,264.24,5450,264.1009,2023-11-02 09:40:00,159,
264.23,264.44,264.15,264.31,6270,264.2429,2023-11-02 09:41:00,177,
264.2586,264.5,264.2586,264.442,4926,264.3729,2023-11-02 09:42:00,149,
264.36,264.384,264.23,264.23,6520,264.3184,2023-11-02 09:43:00,182,
264.1,264.19,263.915,264.19,6677,264.0427,2023-11-02 09:44:00,165,
264.285,264.54,264.23,264.3501,6718,264.3845,2023-11-02 09:45:00,228,
264.54,265.035,264.54,265.035,10518,264.7914,2023-11-02 09:46:00,281,
