open,high,low,close,volume,vwap,timestamp,transactions,otc
66.3,66.3,66.3,66.3,160,66.2306,1698835200000,12,
66.2,66.2,66.2,66.2,250,66.1945,1698835680000,6,
66.2,66.2,66.2,66.2,202,66.1934,1698842100000,7,
66.3,66.46,66.3,66.46,710,66.3625,1698845340000,9,
66.45,66.485,66.4,66.42,50522,66.4482,1698845400000,265,
66.38,66.55,66.38,66.52,7690,66.4656,1698845460000,196,
66.57,66.63,66.55,66.57,9811,66.6008,1698845520000,359,
66.56,66.64,66.52,66.57,12640,66.5879,1698845580000,163,
66.585,66.64,66.55,66.5895,5004,66.592,1698845640000,120,
66.57,66.705,66.57,66.68,10189,66.6514,1698845700000,305,
66.66,66.66,66.51,66.59,6808,66.582,1698845760000,190,
66.61,66.62,66.54,66.6,5310,66.5853,1698845820000,112,
66.6,66.62,66.54,66.5702,6044,66.5869,1698845880000,98,
66.57,66.57,66.468,66.468,7687,66.5129,1698845940000,196,
66.46,66.54,66.45,66.54,15447,66.4991,1698846000000,418,
66.505,66.505,66.43,66.45,5732,66.4626,1698846060000,102,
66.45,66.51,66.35,66.395,16225,66.4309,1698846120000,269,
66.3994,66.51,66.39,66.51,10957,66.452,1698846180000,176,
66.535,66.535,66.33,66.4,25417,66.416,1698846240000,398,
66.41,66.41,66.34,66.395,17641,66.3806,1698846300000,326,
66.37,66.38,66.24,66.37,17148,66.3206,1698846360000,301,
66.35,66.54,66.35,66.54,8332,66.4386,1698846420000,155,
66.53,66.59,66.53,66.57,12416,66.5628,1698846480000,244,
66.5703,66.6,66.53,66.54,14447,66.5756,1698846540000,200,
66.51,66.56,66.5,66.53,9208,66.5231,1698846600000,153,
66.535,66.57,66.48,66.48,10396,66.5415,1698846660000,144,
66.47,66.5,66.42,66.4836,7006,66.454,1698846720000,121,
66.51,66.52,66.4993,66.5,3903,66.5081,1698846780000,95,
66.5,66.53,66.482,66.49,5027,66.5098,1698846840000,115,
66.5,66.573,66.5,66.565,8836,66.5218,1698846900000,165,
66.575,66.61,66.545,66.545,6679,66.5762,1698846960000,134,
66.55,66.57,66.49,66.57,12432,66.5285,1698847020000,193,
66.57,66.585,66.55,66.57,3757,66.5624,1698847080000,80,
66.55,66.56,66.53,66.53,5683,66.546,1698847140000,149,
