open,high,low,close,volume,vwap,timestamp,transactions,otc
83.63,83.63,83.63,83.63,310,83.6422,1709036580000,7,
82.86,82.86,82.86,82.86,145,83.0054,1709038800000,12,
83.31,83.31,83.31,83.31,282,83.3189,1709039640000,3,
83.43,83.43,83.4,83.4,995,83.4346,1709041680000,23,
83.4,83.4,83.37,83.37,993,83.3897,1709042100000,16,
83.4,83.4,83.4,83.4,165,83.4,1709042580000,2,
83.31,83.31,83.31,83.31,500,83.31,1709042880000,3,
83.46,83.66,83.39,83.61,67670,83.4678,1709044200000,254,
83.635,83.64,83.4201,83.4201,6757,83.5429,1709044260000,135,
83.53,83.55,83.34,83.36,12995,83.4082,1709044320000,142,
83.35,83.36,83.15,83.17,16399,83.22,1709044380000,219,
83.16,83.26,83.14,83.205,8356,83.2073,1709044440000,131,
83.19,83.35,83.19,83.28,26013,83.2576,1709044500000,299,
83.3,83.41,83.22,83.39,12845,83.3131,1709044560000,177,
83.375,83.385,83.2,83.25,5581,83.3281,1709044620000,96,
83.21,83.5,83.21,83.485,21479,83.3841,1709044680000,143,
83.51,83.6,83.42,83.56,16444,83.5103,1709044740000,222,
83.54,83.65,83.51,83.64,10746,83.5828,1709044800000,136,
83.64,83.75,83.58,83.75,12730,83.6627,1709044860000,156,
83.8,83.8,83.6745,83.735,8537,83.723,1709044920000,105,
83.75,83.775,83.685,83.76,9141,83.7332,1709044980000,129,
83.755,83.815,83.67,83.67,8539,83.7577,1709045040000,89,
83.69,83.77,83.69,83.745,10676,83.7338,1709045100000,202,
83.73,83.81,83.72,83.795,11091,83.7618,1709045160000,178,
83.805,83.845,83.78,83.81,16105,83.8026,1709045220000,210,
83.82,83.8865,83.78,83.8865,17435,83.8136,1709045280000,187,
83.89,83.97,83.87,83.93,18918,83.9135,1709045340000,267,
83.94,83.95,83.9,83.93,16194,83.9251,1709045400000,291,
83.955,83.97,83.8668,83.875,16507,83.8937,1709045460000,120,
83.88,83.89,83.823,83.855,9554,83.856,1709045520000,151,
83.85,83.85,83.8,83.81,8951,83.8109,1709045580000,167,
83.8399,83.94,83.82,83.94,9083,83.8561,1709045640000,142,
83.94,83.97,83.9,83.96,12580,83.9262,1709045700000,205,
83.94,83.98,83.885,83.9,17195,83.9365,1709045760000,249,
83.91,83.91,83.86,83.9,5583,83.8799,1709045820000,94,
83.9,83.94,83.9,83.9077,13041,83.9241,1709045880000,213,
83.9,83.99,83.8701,83.99,18929,83.9199,1709045940000,242,
83.98,84.01,83.88,83.94,25614,83.9699,1709046000000,335,
83.945,83.945,83.855,83.875,8721,83.8892,1709046060000,131,
83.88,83.99,83.875,83.975,17192,83.9187,1709046120000,203,
83.975,84.03,83.965,84.03,21658,83.9943,1709046180000,221,
84.01,84.02,83.96,83.98,9795,83.9906,1709046240000,123,
83.99,84.021,83.92,84.021,8097,83.9693,1709046300000,143,
84.02,84.035,84.0,84.035,3859,84.0132,1709046360000,99,
84.02,84.02,83.945,83.96,16367,83.9884,1709046420000,231,
83.96,84.0,83.95,84.0,9219,83.9713,1709046480000,136,
84.01,84.01,83.92,83.92,8299,83.9585,1709046540000,122,
83.9,83.96,83.9,83.9409,4076,83.9411,1709046600000,75,
83.92,83.935,83.9023,83.9162,4880,83.9172,1709046660000,81,
83.92,83.94,83.9,83.9091,7428,83.9138,1709046720000,112,
83.9,83.9,83.835,83.84,9705,83.8654,1709046780000,147,
83.83,83.83,83.79,83.7902,3842,83.8091,1709046840000,60,
83.79,83.87,83.78,83.87,8030,83.8349,1709046900000,128,
83.89,83.89,83.85,83.85,7373,83.8769,1709046960000,106,
83.835,83.87,83.8338,83.87,11017,83.8468,1709047020000,148,
83.86,83.865,83.785,83.8,19474,83.8096,1709047080000,131,
83.79,83.79,83.75,83.755,4078,83.7687,1709047140000,97,
83.75,83.76,83.73,83.76,6001,83.7468,1709047200000,138,
83.7501,83.84,83.7501,83.82,7769,83.7983,1709047260000,119,
83.83,83.91,83.83,83.89,10276,83.881,1709047320000,101,
83.88,83.9,83.83,83.8969,10793,83.8682,1709047380000,170,
83.9,83.915,83.895,83.915,2853,83.903,1709047440000,64,
83.915,83.95,83.895,83.93,8480,83.9212,1709047500000,157,
83.92,83.92,83.895,83.9,3458,83.9097,1709047560000,73,
83.8992,83.92,83.89,83.91,6826,83.9033,1709047620000,111,
83.915,83.9599,83.915,83.95,9750,83.9327,1709047680000,144,
83.955,83.99,83.955,83.9799,11863,83.9668,1709047740000,145,
83.9777,84.005,83.965,83.965,9087,83.9868,1709047800000,134,
83.965,83.989,83.92,83.985,7483,83.9589,1709047860000,136,
83.98,84.0,83.975,83.99,8992,83.9892,1709047920000,118,
83.9967,84.01,83.97,83.975,8093,83.9926,1709047980000,117,
83.975,84.07,83.975,84.07,7330,84.0187,1709048040000,120,
84.065,84.08,84.0,84.0,5120,84.0541,1709048100000,94,
84.0,84.01,83.985,84.0,4948,83.9952,1709048160000,86,
84.01,84.02,84.005,84.02,4454,84.0107,1709048220000,94,
84.02,84.02,84.015,84.015,2442,84.0196,1709048280000,39,
84.01,84.03,83.9931,84.0238,6049,84.0088,1709048340000,104,
84.02,84.03,83.995,84.0208,7131,84.0099,1709048400000,101,
84.03,84.05,84.03,84.045,5759,84.0456,1709048460000,95,
84.05,84.1,84.05,84.1,3506,84.0667,1709048520000,61,
84.09,84.0956,84.07,84.08,9508,84.0842,1709048580000,155,
84.085,84.0899,84.06,84.07,2343,84.0805,1709048640000,41,
84.07,84.12,84.05,84.105,11914,84.0918,1709048700000,183,
84.105,84.115,84.07,84.07,7705,84.0926,1709048760000,107,
84.075,84.0788,84.06,84.07,5663,84.0682,1709048820000,101,
84.07,84.0784,84.03,84.0784,8062,84.0527,1709048880000,126,
84.0602,84.07,84.0602,84.07,2317,84.0691,1709048940000,59,
84.0788,84.09,84.07,84.085,10007,84.0823,1709049000000,129,
84.085,84.095,84.03,84.0389,18790,84.0759,1709049060000,226,
84.03,84.035,84.01,84.02,12608,84.0193,1709049120000,139,
84.0302,84.05,84.03,84.0492,2953,84.0411,1709049180000,49,
84.06,84.06,84.015,84.05,8964,84.0305,1709049240000,118,
84.045,84.08,84.0437,84.07,11009,84.0558,1709049300000,118,
84.07,84.09,84.07,84.08,12599,84.0815,1709049360000,56,
84.085,84.085,84.06,84.085,14960,84.0746,1709049420000,158,
84.08,84.0817,84.055,84.055,7014,84.0687,1709049480000,109,
84.0599,84.09,84.05,84.08,12089,84.0728,1709049540000,173,
84.08,84.08,84.025,84.04,7347,84.051,1709049600000,135,
84.03,84.03,83.97,83.99,7565,83.9961,1709049660000,127,
83.975,84.0,83.94,84.0,6209,83.9694,1709049720000,121,
84.0,84.05,84.0,84.03,3724,84.0278,1709049780000,76,
