open,high,low,close,volume,vwap,timestamp,transactions,otc
309.09,309.09,309.09,309.09,699.0,309.0683,2023-10-25 04:02:00,23,
309.0,309.0,309.0,309.0,641.0,308.9853,2023-10-25 04:03:00,22,
309.0,309.0,309.0,309.0,251.0,309.0953,2023-10-25 04:06:00,9,
309.51,309.51,309.5,309.5,540.0,309.5097,2023-10-25 04:16:00,15,
309.4,309.4,309.4,309.4,790.0,309.3996,2023-10-25 04:22:00,5,
309.7,309.7,309.7,309.7,306.0,309.7388,2023-10-25 04:26:00,11,
310.0,310.0,310.0,310.0,102.0,309.9986,2023-10-25 04:27:00,2,
310.0,310.2,310.0,310.2,1496.0,310.1264,2023-10-25 04:28:00,26,
310.13,310.13,310.13,310.13,548.0,310.0689,2023-10-25 04:29:00,16,
309.73,309.73,309.73,309.73,577.0,309.7301,2023-10-25 04:49:00,6,
309.75,309.75,309.75,309.75,349.0,309.7445,2023-10-25 05:11:00,6,
309.7,309.7,309.7,309.7,223.0,309.6973,2023-10-25 05:14:00,3,
309.97,309.97,309.97,309.97,119.0,309.9636,2023-10-25 05:25:00,3,
309.97,309.98,309.97,309.97,511.0,309.9679,2023-10-25 05:26:00,12,
309.97,309.98,309.97,309.98,342.0,309.9702,2023-10-25 05:28:00,6,
310.0,310.0,309.99,309.99,748.0,309.9958,2023-10-25 05:32:00,13,
310.44,310.48,310.44,310.48,1225.0,310.4168,2023-10-25 05:35:00,35,
310.0,310.0,309.9,309.9,1784.0,309.9924,2023-10-25 05:42:00,33,
310.0,310.0,310.0,310.0,200.0,310.011,2023-10-25 05:43:00,7,
310.06,310.06,310.06,310.06,301.0,310.0648,2023-10-25 05:57:00,14,
309.85,309.85,309.85,309.85,153.0,309.8661,2023-10-25 06:00:00,4,
309.73,309.73,309.73,309.73,667.0,309.748,2023-10-25 06:01:00,27,
309.68,309.68,309.68,309.68,869.0,309.6788,2023-10-25 06:04:00,28,
309.05,309.05,309.0,309.0,1715.0,308.9886,2023-10-25 06:12:00,62,
308.85,308.91,308.85,308.91,465.0,308.9225,2023-10-25 06:14:00,13,
309.0,309.0,309.0,309.0,557.0,308.9822,2023-10-25 06:15:00,19,
309.1,309.1,309.1,309.1,251.0,309.1272,2023-10-25 06:19:00,6,
309.49,309.49,309.49,309.49,592.0,309.404,2023-10-25 06:20:00,19,
309.26,309.26,309.26,309.26,432.0,309.3734,2023-10-25 06:21:00,11,
309.12,309.12,309.1,309.1,396.0,309.1433,2023-10-25 06:37:00,8,
