open,high,low,close,volume,vwap,timestamp,transactions,otc
155.26,158.4,154.02,154.83,30976,155.6682,1658410200000,138,
155.375,157.94,154.76,157.89,26381,155.9105,1658410260000,342,
157.94,159.64,157.94,159.065,7859,158.8544,1658410320000,210,
159.28,159.28,158.46,158.92,4745,158.8697,1658410380000,105,
159.09,159.09,158.45,158.45,4635,158.7125,1658410440000,90,
158.37,159.04,158.19,158.81,9222,158.6209,1658410500000,229,
158.72,159.09,158.68,158.72,5408,158.9024,1658410560000,191,
158.82,159.095,158.36,158.725,15177,158.721,1658410620000,336,
158.98,159.11,158.48,159.025,8661,158.7994,1658410680000,165,
158.96,159.42,158.66,159.2,19812,159.0591,1658410740000,314,
159.23,159.24,158.85,159.21,10553,159.1063,1658410800000,156,
159.21,159.3,158.97,159.19,8105,159.1392,1658410860000,148,
159.05,159.05,158.72,158.73,5187,158.8758,1658410920000,77,
158.79,159.54,158.79,159.4,10665,159.2086,1658410980000,178,
159.48,159.53,159.19,159.3,11121,159.3498,1658411040000,220,
159.385,159.92,159.27,159.87,8458,159.6017,1658411100000,192,
159.8,159.96,159.57,159.57,12888,159.8142,1658411160000,216,
159.66,159.66,159.53,159.61,4042,159.5779,1658411220000,107,
159.61,159.84,159.49,159.76,11892,159.6831,1658411280000,230,
159.75,159.76,159.43,159.44,5744,159.6059,1658411340000,129,
159.42,159.61,159.41,159.6,5315,159.5271,1658411400000,133,
159.65,159.77,159.595,159.75,8463,159.6791,1658411460000,175,
159.77,160.0,159.74,160.0,18226,159.9611,1658411520000,178,
160.0,160.2,159.89,159.9,7112,159.9993,1658411580000,149,
159.96,160.28,159.96,160.26,3845,160.1336,1658411640000,102,
160.23,160.23,159.72,159.74,5004,159.9818,1658411700000,82,
159.73,159.81,159.44,159.46,7710,159.6007,1658411760000,127,
159.525,159.64,159.48,159.59,5452,159.5411,1658411820000,82,
159.58,159.615,159.48,159.55,3437,159.5605,1658411880000,81,
159.55,159.59,158.975,158.975,5297,159.3482,1658411940000,104,
