open,high,low,close,volume,vwap,timestamp,transactions,otc
99.25,99.25,99.25,99.25,250.0,99.25,1667474760000,1,
99.25,99.25,99.25,99.25,250.0,99.25,1667474820000,1,
99.25,99.25,99.25,99.25,100.0,99.25,1667475120000,1,
99.16,99.16,99.16,99.16,230.0,99.1621,1667477820000,5,
99.24,99.24,99.24,99.24,111.0,99.237,1667478360000,2,
99.16,99.16,99.15,99.15,234.0,99.1547,1667479320000,4,
98.81,98.81,98.81,98.81,334.0,98.8636,1667481060000,19,
99.01,99.01,99.01,99.01,100.0,99.01,1667481120000,1,
99.03,99.03,99.03,99.03,150.0,99.03,1667481600000,2,
99.0,99.0,98.53,98.54,196859.0,98.9253,1667482200000,1094,
98.57,98.57,98.35,98.51,57661.0,98.4756,1667482260000,845,
98.53,98.63,98.45,98.49,51264.0,98.5459,1667482320000,720,
98.48,98.75,98.4,98.71,30953.0,98.533,1667482380000,500,
98.72,98.86,98.7,98.7,18812.0,98.8088,1667482440000,352,
98.69,98.69,98.44,98.45,29584.0,98.5395,1667482500000,492,
98.4599,98.53,98.425,98.48,16741.0,98.4769,1667482560000,299,
98.49,98.53,98.36,98.36,17029.0,98.4469,1667482620000,304,
98.37,98.38,98.17,98.18,123098.0,98.2626,1667482680000,932,
98.1748,98.2,98.0,98.15,56688.0,98.0868,1667482740000,660,
98.15,98.39,98.15,98.225,44523.0,98.2591,1667482800000,613,
98.23,98.405,98.23,98.345,29347.0,98.3314,1667482860000,431,
98.385,98.385,98.265,98.3,20796.0,98.3133,1667482920000,285,
98.3,98.5105,98.3,98.5,33945.0,98.43,1667482980000,412,
98.51,98.53,98.38,98.45,34622.0,98.4536,1667483040000,485,
98.44,98.56,98.34,98.46,40491.0,98.4527,1667483100000,586,
98.5,98.54,98.35,98.51,42743.0,98.4534,1667483160000,535,
98.55,98.67,98.53,98.61,27506.0,98.5957,1667483220000,363,
98.61,98.7099,98.59,98.6,22420.0,98.6458,1667483280000,309,
98.58,98.62,98.54,98.56,19545.0,98.5808,1667483340000,209,
98.53,98.53,98.36,98.3722,20321.0,98.4316,1667483400000,274,
98.38,98.44,98.276,98.276,15962.0,98.3599,1667483460000,280,
98.3,98.3,98.22,98.23,21288.0,98.256,1667483520000,291,
98.235,98.31,98.205,98.21,18062.0,98.2525,1667483580000,227,
98.22,98.24,98.17,98.205,20656.0,98.1997,1667483640000,262,
98.2,98.22,98.145,98.22,21791.0,98.1828,1667483700000,310,
98.23,98.3,98.22,98.29,22195.0,98.253,1667483760000,277,
98.28,98.3,98.23,98.27,15180.0,98.2677,1667483820000,206,
98.27,98.27,98.19,98.24,25655.0,98.2232,1667483880000,232,
98.25,98.3,98.215,98.29,14485.0,98.2421,1667483940000,229,
98.31,98.49,98.285,98.285,37383.0,98.3567,1667484000000,606,
98.285,98.34,98.265,98.275,19489.0,98.294,1667484060000,301,
98.27,98.42,98.255,98.4,37566.0,98.324,1667484120000,400,
98.42,98.59,98.42,98.52,14277.0,98.5153,1667484180000,256,
98.52,98.68,98.52,98.58,11421.0,98.5948,1667484240000,180,
98.58,98.58,98.49,98.56,27535.0,98.5226,1667484300000,398,
98.57,98.77,98.56,98.76,12261.0,98.6335,1667484360000,144,
98.77,98.8912,98.77,98.8912,9801.0,98.8086,1667484420000,144,
98.9,98.93,98.8636,98.895,22014.0,98.8859,1667484480000,268,
98.9,98.91,98.88,98.89,6364.0,98.8938,1667484540000,106,
98.9,98.9,98.77,98.84,13563.0,98.8228,1667484600000,207,
98.84,98.88,98.81,98.88,9307.0,98.849,1667484660000,141,
98.87,98.9,98.85,98.89,9770.0,98.8797,1667484720000,174,
98.88,98.89,98.79,98.79,9400.0,98.855,1667484780000,161,
98.78,98.85,98.7728,98.84,16058.0,98.8137,1667484840000,194,
98.84,98.84,98.76,98.81,20417.0,98.8062,1667484900000,264,
98.82,98.86,98.765,98.8,26983.0,98.8106,1667484960000,281,
98.77,98.84,98.75,98.8193,20220.0,98.8052,1667485020000,247,
98.83,98.95,98.82,98.93,22935.0,98.8884,1667485080000,260,
98.92,99.09,98.92,99.085,23858.0,99.0228,1667485140000,263,
99.07,99.15,99.07,99.13,15149.0,99.1156,1667485200000,185,
99.15,99.24,99.135,99.18,14561.0,99.1754,1667485260000,230,
99.19,99.22,98.99,98.99,22481.0,99.1226,1667485320000,294,
99.0,99.0,98.85,98.85,17502.0,98.9229,1667485380000,246,
98.855,98.88,98.83,98.855,12688.0,98.8568,1667485440000,222,
98.87,98.92,98.85,98.92,14291.0,98.8871,1667485500000,245,
98.9164,98.92,98.84,98.88,16921.0,98.8974,1667485560000,271,
98.8622,98.95,98.8622,98.945,12019.0,98.9082,1667485620000,171,
98.94,99.025,98.935,99.005,15247.0,98.9982,1667485680000,262,
99.005,99.0095,98.88,98.895,14740.0,98.935,1667485740000,251,
98.88,98.88,98.7,98.725,53825.0,98.7712,1667485800000,437,
98.73,98.74,98.62,98.64,29930.0,98.6815,1667485860000,448,
98.63,98.7,98.625,98.64,15604.0,98.6572,1667485920000,228,
98.63,98.66,98.57,98.64,14932.0,98.6134,1667485980000,227,
98.64,98.75,98.64,98.7,17208.0,98.707,1667486040000,287,
98.715,98.82,98.71,98.81,16807.0,98.778,1667486100000,299,
98.8041,98.85,98.76,98.76,8773.0,98.8193,1667486160000,189,
98.77,98.81,98.74,98.75,18351.0,98.77,1667486220000,305,
98.73,98.7498,98.67,98.67,13344.0,98.696,1667486280000,211,
98.64,98.685,98.6,98.61,18026.0,98.6467,1667486340000,281,
98.61,98.64,98.49,98.4975,24430.0,98.5801,1667486400000,428,
98.495,98.71,98.495,98.685,22742.0,98.5835,1667486460000,314,
98.69,98.75,98.68,98.74,14046.0,98.7133,1667486520000,203,
98.74,98.74,98.63,98.64,15576.0,98.6868,1667486580000,226,
98.62,98.7,98.58,98.67,10267.0,98.6498,1667486640000,185,
98.69,98.77,98.65,98.675,12795.0,98.6967,1667486700000,235,
98.66,98.69,98.63,98.63,11465.0,98.6638,1667486760000,198,
98.62,98.69,98.6,98.69,12100.0,98.643,1667486820000,184,
98.6983,98.6999,98.63,98.63,13526.0,98.6717,1667486880000,233,
98.625,98.64,98.52,98.52,14790.0,98.5809,1667486940000,194,
98.535,98.5699,98.48,98.55,15854.0,98.5285,1667487000000,267,
98.57,98.58,98.466,98.57,15923.0,98.5207,1667487060000,216,
98.56,98.6,98.52,98.57,11308.0,98.568,1667487120000,160,
98.57,98.62,98.56,98.6184,11722.0,98.6022,1667487180000,172,
98.65,98.65,98.63,98.64,7735.0,98.6389,1667487240000,118,
98.63,98.67,98.595,98.63,9652.0,98.6238,1667487300000,180,
98.6304,98.6304,98.47,98.49,15411.0,98.5398,1667487360000,237,
98.49,98.49,98.38,98.4,26120.0,98.4245,1667487420000,387,
98.385,98.5,98.37,98.405,57622.0,98.4517,1667487480000,367,
98.4,98.4,98.33,98.355,13305.0,98.3621,1667487540000,221,
98.355,98.37,98.285,98.3,31941.0,98.3157,1667487600000,408,
98.295,98.345,98.22,98.255,32507.0,98.2938,1667487660000,452,
98.255,98.27,98.2,98.25,12599.0,98.2406,1667487720000,235,
98.26,98.4,98.25,98.4,16774.0,98.2892,1667487780000,220,
98.39,98.44,98.35,98.35,16822.0,98.4038,1667487840000,245,
98.35,98.39,98.323,98.33,11862.0,98.3495,1667487900000,195,
98.325,98.33,98.25,98.29,11755.0,98.2939,1667487960000,227,
98.2985,98.31,98.25,98.27,9155.0,98.2758,1667488020000,177,
98.265,98.335,98.26,98.33,9240.0,98.3038,1667488080000,149,
98.34,98.45,98.335,98.445,10837.0,98.3886,1667488140000,199,
98.45,98.45,98.31,98.34,38561.0,98.3944,1667488200000,502,
98.35,98.35,98.29,98.295,62732.0,98.3239,1667488260000,401,
98.299,98.3,98.24,98.3,17895.0,98.282,1667488320000,262,
98.295,98.38,98.28,98.35,19223.0,98.3469,1667488380000,241,
98.35,98.36,98.251,98.29,17091.0,98.3038,1667488440000,257,
98.29,98.385,98.29,98.37,8303.0,98.3342,1667488500000,138,
98.38,98.45,98.38,98.44,18608.0,98.432,1667488560000,211,
98.445,98.45,98.41,98.4481,13413.0,98.4418,1667488620000,172,
98.45,98.45,98.405,98.44,10475.0,98.4303,1667488680000,203,
98.45,98.46,98.4,98.42,26694.0,98.4321,1667488740000,284,
98.41,98.46,98.4,98.45,60360.0,98.4355,1667488800000,295,
98.45,98.5,98.44,98.48,37695.0,98.4559,1667488860000,351,
98.5,98.5624,98.48,98.515,5804.0,98.5279,1667488920000,150,
98.52,98.58,98.5014,98.579,7522.0,98.5436,1667488980000,149,
98.58,98.58,98.509,98.51,7671.0,98.5426,1667489040000,140,
98.51,98.56,98.47,98.52,8573.0,98.5102,1667489100000,184,
98.51,98.54,98.49,98.5334,10216.0,98.5159,1667489160000,157,
98.53,98.55,98.4617,98.5,9000.0,98.5044,1667489220000,157,
98.505,98.505,98.43,98.48,8160.0,98.4599,1667489280000,132,
98.48,98.48,98.4001,98.42,6429.0,98.4345,1667489340000,111,
98.41,98.435,98.355,98.421,12488.0,98.4048,1667489400000,213,
98.42,98.42,98.355,98.36,10280.0,98.3772,1667489460000,185,
98.365,98.37,98.33,98.335,8656.0,98.3521,1667489520000,147,
98.33,98.33,98.24,98.24,8332.0,98.2826,1667489580000,171,
98.24,98.28,98.2,98.21,9476.0,98.2312,1667489640000,179,
98.225,98.27,98.22,98.26,13197.0,98.2516,1667489700000,219,
98.27,98.36,98.27,98.36,7404.0,98.3144,1667489760000,115,
98.35,98.41,98.34,98.385,17428.0,98.3797,1667489820000,196,
98.39,98.485,98.39,98.475,10189.0,98.4512,1667489880000,121,
98.475,98.5,98.4357,98.48,11967.0,98.4714,1667489940000,191,
98.49,98.5,98.44,98.45,11937.0,98.4657,1667490000000,196,
98.45,98.48,98.43,98.48,7069.0,98.4562,1667490060000,126,
98.48,98.48,98.435,98.435,8394.0,98.4534,1667490120000,163,
98.43,98.45,98.41,98.42,7528.0,98.4323,1667490180000,126,
98.415,98.45,98.385,98.45,12085.0,98.4143,1667490240000,166,
98.44,98.47,98.4,98.45,11869.0,98.4355,1667490300000,150,
98.455,98.47,98.435,98.46,11862.0,98.4559,1667490360000,166,
98.45,98.46,98.42,98.44,8810.0,98.4371,1667490420000,152,
98.435,98.44,98.415,98.43,9728.0,98.4349,1667490480000,174,
98.435,98.44,98.405,98.44,13652.0,98.429,1667490540000,204,
98.44,98.5,98.435,98.49,19908.0,98.4697,1667490600000,287,
98.48,98.48,98.425,98.469,11006.0,98.4542,1667490660000,208,
98.475,98.475,98.42,98.42,10369.0,98.445,1667490720000,183,
98.42,98.48,98.42,98.47,12827.0,98.4593,1667490780000,202,
98.45,98.48,98.44,98.455,5835.0,98.4553,1667490840000,132,
98.45,98.475,98.42,98.47,10214.0,98.4542,1667490900000,165,
98.4786,98.48,98.44,98.44,10120.0,98.4661,1667490960000,181,
98.44,98.48,98.44,98.48,6730.0,98.4602,1667491020000,119,
98.49,98.52,98.485,98.485,10477.0,98.4968,1667491080000,130,
98.49,98.57,98.485,98.565,5248.0,98.5298,1667491140000,126,
98.58,98.615,98.53,98.54,19155.0,98.5886,1667491200000,262,
98.55,98.6,98.51,98.59,9799.0,98.5452,1667491260000,148,
98.6,98.64,98.6,98.64,4435.0,98.6208,1667491320000,101,
98.64,98.73,98.64,98.73,8100.0,98.6892,1667491380000,129,
98.72,98.78,98.71,98.775,9497.0,98.7595,1667491440000,141,
98.775,98.775,98.7034,98.705,9035.0,98.7315,1667491500000,151,
98.7,98.75,98.695,98.75,5332.0,98.7159,1667491560000,130,
98.74,98.77,98.73,98.74,4824.0,98.7465,1667491620000,85,
98.73,98.75,98.7,98.71,7278.0,98.7295,1667491680000,115,
98.71,98.75,98.695,98.75,5331.0,98.7147,1667491740000,98,
98.76,98.84,98.72,98.84,7146.0,98.7687,1667491800000,108,
98.825,98.89,98.8,98.89,7643.0,98.8117,1667491860000,142,
98.89,98.915,98.875,98.915,7093.0,98.8892,1667491920000,135,
98.91,98.9599,98.91,98.955,7362.0,98.9254,1667491980000,126,
98.955,98.965,98.94,98.965,6156.0,98.9478,1667492040000,98,
98.97,98.975,98.935,98.96,7080.0,98.9541,1667492100000,152,
98.95,98.98,98.925,98.94,7782.0,98.9501,1667492160000,166,
98.9301,99.01,98.92,98.98,18331.0,98.9757,1667492220000,261,
98.99,99.01,98.96,98.965,19670.0,98.9827,1667492280000,246,
98.97,99.035,98.97,99.01,12454.0,99.0017,1667492340000,241,
99.0075,99.04,98.99,99.035,8461.0,99.0082,1667492400000,138,
99.035,99.055,99.025,99.03,14498.0,99.0398,1667492460000,227,
99.03,99.03,98.9615,98.965,8893.0,99.0127,1667492520000,139,
98.965,98.965,98.925,98.935,15141.0,98.941,1667492580000,201,
98.94,98.99,98.935,98.96,6621.0,98.9704,1667492640000,129,
98.96,98.995,98.92,98.99,17910.0,98.9536,1667492700000,280,
99.0,99.0,98.93,98.9688,12481.0,98.9666,1667492760000,161,
98.98,99.04,98.96,99.03,8681.0,99.0064,1667492820000,144,
99.03,99.0473,99.0007,99.019,9561.0,99.0184,1667492880000,134,
99.015,99.015,98.94,98.945,9328.0,98.9727,1667492940000,175,
98.945,99.005,98.905,98.95,12000.0,98.9528,1667493000000,196,
98.965,99.02,98.96,99.02,6309.0,98.9858,1667493060000,108,
99.03,99.03,98.97,98.98,76849.0,98.9985,1667493120000,354,
98.97,99.03,98.97,99.0,9631.0,98.9969,1667493180000,168,
98.99,99.0053,98.945,98.945,13301.0,98.9793,1667493240000,195,
98.935,98.935,98.86,98.8642,9443.0,98.9063,1667493300000,144,
98.875,98.895,98.79,98.835,13402.0,98.8557,1667493360000,151,
98.8397,98.85,98.805,98.84,10580.0,98.834,1667493420000,138,
98.84,98.85,98.81,98.845,6970.0,98.8277,1667493480000,101,
98.85,98.92,98.85,98.9,16731.0,98.8876,1667493540000,242,
98.915,98.95,98.91,98.92,16117.0,98.9269,1667493600000,213,
98.915,98.92,98.85,98.9,17164.0,98.8998,1667493660000,229,
98.88,98.925,98.865,98.92,2948.0,98.8941,1667493720000,69,
98.92,98.94,98.91,98.935,9092.0,98.9164,1667493780000,118,
98.935,98.96,98.925,98.93,11192.0,98.9402,1667493840000,153,
98.92,98.94,98.885,98.9,9796.0,98.9153,1667493900000,144,
98.9,99.0,98.9,98.96,63610.0,98.9776,1667493960000,232,
98.968,98.968,98.933,98.935,5728.0,98.9503,1667494020000,92,
98.9394,98.962,98.9394,98.96,9396.0,98.9475,1667494080000,126,
98.97,99.015,98.9598,99.01,11444.0,98.9791,1667494140000,135,
99.02,99.085,99.01,99.085,10685.0,99.0518,1667494200000,145,
99.09,99.17,99.065,99.17,14337.0,99.1195,1667494260000,203,
99.16,99.17,99.1354,99.155,8342.0,99.1487,1667494320000,161,
99.15,99.17,99.125,99.1347,9149.0,99.1373,1667494380000,206,
99.135,99.14,99.075,99.099,24928.0,99.1162,1667494440000,311,
99.09,99.105,99.0,99.0,11912.0,99.0603,1667494500000,172,
98.97,99.04,98.97,99.01,8297.0,99.0116,1667494560000,157,
99.02,99.07,99.02,99.06,6782.0,99.0468,1667494620000,120,
99.045,99.05,99.01,99.01,8449.0,99.0351,1667494680000,134,
99.02,99.05,98.99,99.0,12349.0,99.0316,1667494740000,161,
98.995,99.0,98.955,98.99,11766.0,98.9794,1667494800000,170,
98.99,98.99,98.95,98.955,13365.0,98.9705,1667494860000,174,
98.94,98.94,98.91,98.939,7223.0,98.9289,1667494920000,140,
98.93,98.93,98.9,98.92,11260.0,98.908,1667494980000,126,
98.92,98.955,98.915,98.9489,6860.0,98.9355,1667495040000,113,
