open,high,low,close,volume,vwap,timestamp,transactions,otc
83.19,83.19,83.19,83.19,200,83.19,1620040320000,2,
83.21,83.21,83.21,83.21,360,83.21,1620040380000,1,
83.2,83.2,83.2,83.2,100,83.2,1620040860000,1,
83.21,83.21,83.21,83.21,300,83.21,1620041760000,1,
83.21,83.21,83.21,83.21,122,83.21,1620042540000,1,
83.247,83.247,83.247,83.247,156,83.2141,1620043200000,5,
83.31,83.31,83.31,83.31,500,83.31,1620043920000,1,
83.3,83.3,83.3,83.3,117,83.191,1620044280000,2,
83.3,83.3,83.3,83.3,500,83.3,1620044940000,1,
83.2,83.2,83.2,83.2,146,83.2,1620045300000,2,
83.23,83.23,83.23,83.23,100,83.23,1620045420000,1,
83.23,83.23,83.23,83.23,500,83.23,1620045840000,1,
83.2,83.21,83.2,83.2,1196,83.2041,1620045900000,7,
83.19,83.19,83.19,83.19,223,83.1807,1620047820000,3,
83.2,83.29,83.2,83.29,706,83.2246,1620048420000,8,
83.29,83.29,83.29,83.29,300,83.2837,1620048480000,4,
83.0,83.0,83.0,83.0,123,83.0054,1620048540000,4,
83.11,83.11,82.76,82.76,168552,82.9642,1620048720000,980,
82.76,82.88,82.62,82.77,51731,82.7534,1620048780000,733,
82.85,82.96,82.8,82.944,52265,82.862,1620048840000,352,
82.98,83.14,82.98,83.118,25672,83.0822,1620048900000,272,
83.105,83.19,83.045,83.08,19468,83.1281,1620048960000,283,
83.095,83.15,83.06,83.115,15889,83.1033,1620049020000,224,
83.12,83.19,83.1,83.12,12306,83.1485,1620049080000,231,
83.12,83.16,83.1,83.14,11200,83.1213,1620049140000,145,
83.15,83.2969,83.125,83.28,22928,83.1856,1620049200000,359,
83.28,83.4,83.28,83.35,25768,83.3358,1620049260000,315,
83.35,83.43,83.31,83.39,17840,83.3888,1620049320000,232,
83.4,83.44,83.305,83.31,16166,83.3615,1620049380000,255,
83.33,83.39,83.29,83.29,8188,83.3534,1620049440000,115,
83.29,83.31,83.17,83.17,23921,83.2539,1620049500000,275,
83.18,83.22,83.14,83.185,13096,83.1838,1620049560000,171,
83.18,83.189,83.11,83.16,17523,83.159,1620049620000,210,
83.13,83.31,83.12,83.31,26329,83.1816,1620049680000,338,
83.31,83.38,83.24,83.26,23942,83.2945,1620049740000,304,
83.27,83.39,83.25,83.295,17663,83.3122,1620049800000,253,
83.28,83.29,83.13,83.15,40000,83.191,1620049860000,559,
83.09,83.1,83.02,83.05,13061,83.0696,1620049920000,197,
83.07,83.25,83.07,83.21,13057,83.1839,1620049980000,169,
83.24,83.29,83.24,83.27,7622,83.272,1620050040000,102,
83.28,83.45,83.27,83.41,19553,83.4005,1620050100000,241,
83.42,83.49,83.39,83.49,13093,83.443,1620050160000,200,
83.485,83.49,83.42,83.42,13524,83.4488,1620050220000,168,
83.4,83.41,83.265,83.27,17056,83.3218,1620050280000,240,
83.28,83.37,83.28,83.37,9821,83.3251,1620050340000,130,
83.37,83.37,83.16,83.19,77300,83.246,1620050400000,867,
83.21,83.22,83.1,83.135,14077,83.1489,1620050460000,219,
83.15,83.185,83.04,83.09,17820,83.1127,1620050520000,295,
83.09,83.14,83.06,83.08,10184,83.0905,1620050580000,184,
83.09,83.13,83.04,83.13,10832,83.0911,1620050640000,151,
83.1,83.12,83.03,83.1,10464,83.0836,1620050700000,144,
83.1,83.17,83.08,83.08,8017,83.1281,1620050760000,152,
83.09,83.12,83.06,83.09,11855,83.0901,1620050820000,181,
83.09,83.09,83.01,83.02,9223,83.0384,1620050880000,155,
83.01,83.01,82.88,82.89,28905,82.9704,1620050940000,259,
82.9,82.92,82.77,82.77,18585,82.8494,1620051000000,204,
82.78,82.78,82.72,82.74,8260,82.7397,1620051060000,155,
82.745,82.75,82.67,82.69,16239,82.7088,1620051120000,254,
82.69,82.73,82.67,82.72,16731,82.6994,1620051180000,189,
82.735,82.81,82.63,82.63,22217,82.7205,1620051240000,283,
82.64,82.74,82.63,82.73,18385,82.6819,1620051300000,233,
82.725,82.75,82.61,82.65,16068,82.6518,1620051360000,163,
82.64,82.65,82.59,82.595,11597,82.6203,1620051420000,173,
82.58,82.62,82.5793,82.59,9692,82.5922,1620051480000,159,
82.58,82.6,82.55,82.55,15980,82.5754,1620051540000,169,
82.56,82.58,82.495,82.495,15539,82.5549,1620051600000,197,
82.49,82.5071,82.45,82.48,14209,82.474,1620051660000,206,
82.47,82.54,82.46,82.49,14924,82.4969,1620051720000,186,
82.5,82.5,82.44,82.45,13877,82.4645,1620051780000,164,
82.4,82.49,82.4,82.4,15506,82.4377,1620051840000,188,
82.4,82.44,82.39,82.43,6966,82.4203,1620051900000,82,
82.45,82.51,82.436,82.48,20053,82.4702,1620051960000,248,
82.48,82.54,82.41,82.41,13592,82.4896,1620052020000,178,
82.41,82.41,82.36,82.385,6338,82.3823,1620052080000,112,
82.39,82.46,82.34,82.46,15577,82.3916,1620052140000,182,
82.4708,82.61,82.4438,82.61,34255,82.5357,1620052200000,339,
82.6267,82.68,82.62,82.6561,17403,82.6514,1620052260000,230,
82.65,82.69,82.58,82.61,17069,82.627,1620052320000,212,
82.61,82.689,82.6,82.64,7783,82.6426,1620052380000,120,
82.66,82.66,82.6101,82.65,13199,82.6321,1620052440000,164,
82.64,82.71,82.62,82.685,13549,82.6673,1620052500000,175,
82.69,82.73,82.68,82.71,10947,82.71,1620052560000,205,
82.705,82.76,82.705,82.76,9160,82.7293,1620052620000,151,
82.77,82.815,82.76,82.78,13534,82.79,1620052680000,186,
82.7778,82.79,82.74,82.75,7421,82.7619,1620052740000,109,
82.76,82.86,82.76,82.85,11184,82.8162,1620052800000,158,
82.86,82.86,82.82,82.83,7270,82.843,1620052860000,107,
82.825,82.895,82.825,82.895,10697,82.8568,1620052920000,121,
82.895,82.93,82.89,82.93,8925,82.9104,1620052980000,145,
82.92,82.92,82.88,82.89,5178,82.8985,1620053040000,99,
82.89,82.89,82.85,82.87,13836,82.8706,1620053100000,230,
82.875,82.93,82.875,82.89,14257,82.9097,1620053160000,194,
82.88,82.895,82.81,82.81,8095,82.848,1620053220000,108,
82.81,82.85,82.81,82.81,10907,82.8369,1620053280000,182,
82.815,82.84,82.78,82.79,7795,82.8001,1620053340000,127,
82.795,82.8371,82.7836,82.83,8339,82.8131,1620053400000,101,
82.82,82.82,82.71,82.73,10478,82.7545,1620053460000,176,
82.75,82.76,82.72,82.76,8141,82.744,1620053520000,110,
82.77,82.77,82.735,82.75,8972,82.7578,1620053580000,120,
82.76,82.8,82.76,82.79,10934,82.771,1620053640000,173,
82.8,82.81,82.76,82.78,9074,82.7757,1620053700000,138,
82.78,82.79,82.7461,82.7461,7470,82.7726,1620053760000,111,
82.74,82.82,82.74,82.82,9110,82.7712,1620053820000,113,
82.84,82.88,82.835,82.84,11286,82.8517,1620053880000,157,
82.84,82.88,82.83,82.84,9806,82.8566,1620053940000,152,
82.82,82.83,82.795,82.795,7970,82.8185,1620054000000,107,
82.79,82.82,82.72,82.73,7719,82.7607,1620054060000,132,
82.72,82.72,82.655,82.68,10745,82.68,1620054120000,125,
82.7,82.72,82.7,82.715,8716,82.7065,1620054180000,126,
82.725,82.725,82.6893,82.7,9071,82.7059,1620054240000,127,
82.71,82.76,82.705,82.74,10892,82.7354,1620054300000,154,
82.74,82.79,82.74,82.79,5881,82.7496,1620054360000,110,
82.795,82.84,82.795,82.82,9971,82.8192,1620054420000,142,
82.81,82.84,82.8,82.82,5436,82.8182,1620054480000,94,
82.83,82.83,82.795,82.8,5241,82.8103,1620054540000,91,
82.8,82.85,82.8,82.84,9077,82.8301,1620054600000,132,
82.85,82.92,82.845,82.92,15238,82.8736,1620054660000,260,
82.92,82.925,82.86,82.9178,9518,82.8901,1620054720000,172,
82.92,82.93,82.88,82.92,6666,82.91,1620054780000,107,
82.91,82.96,82.9,82.955,6317,82.9201,1620054840000,106,
