open,high,low,close,volume,vwap,timestamp,transactions,otc
60.01,60.01,60.01,60.01,203.0,60.0161,1680076800000,9,
60.0,60.0,59.89,60.0,1949.0,59.9732,1680076860000,19,
60.08,60.08,60.08,60.08,431.0,60.0418,1680076920000,10,
60.12,60.35,60.12,60.35,2735.0,60.2775,1680076980000,32,
60.25,60.27,60.25,60.27,1888.0,60.2552,1680077040000,28,
60.37,60.54,60.37,60.48,5082.0,60.4357,1680077100000,48,
60.51,60.52,60.5,60.5,3251.0,60.5213,1680077220000,34,
60.66,60.66,60.6,60.6,604.0,60.6399,1680077280000,8,
60.66,60.7,60.66,60.7,2876.0,60.6871,1680077340000,26,
60.74,60.83,60.74,60.83,3052.0,60.7626,1680077400000,29,
60.62,60.78,60.62,60.78,2470.0,60.7155,1680077460000,32,
60.67,60.67,60.62,60.62,3306.0,60.6529,1680077580000,32,
60.63,60.63,60.63,60.63,111.0,60.627,1680077640000,3,
60.7,60.7,60.7,60.7,1510.0,60.7004,1680077820000,6,
60.71,60.8,60.7,60.79,2004.0,60.7763,1680077880000,26,
60.85,60.88,60.83,60.88,3255.0,60.8603,1680077940000,30,
61.0,61.0,61.0,61.0,277.0,60.9099,1680078060000,7,
61.09,61.1,61.09,61.1,994.0,61.0643,1680078120000,18,
61.1,61.11,61.1,61.1,1583.0,61.1048,1680078240000,18,
61.1,61.1,61.1,61.1,2537.0,61.0995,1680078300000,8,
61.12,61.18,61.12,61.18,1114.0,61.1468,1680078360000,15,
61.07,61.07,61.0,61.01,3457.0,61.0208,1680078420000,19,
61.07,61.07,61.0,61.02,480.0,61.0208,1680078540000,7,
61.02,61.02,61.0,61.0,832.0,60.9986,1680078600000,12,
60.81,60.81,60.8,60.81,532.0,60.8073,1680078720000,5,
60.94,61.0,60.94,61.0,3501.0,60.9798,1680078780000,20,
60.98,60.98,60.98,60.98,300.0,60.98,1680079080000,1,
61.0,61.0,61.0,61.0,1523.0,61.0001,1680079140000,10,
60.9,60.9,60.9,60.9,220.0,60.9036,1680079320000,2,
60.85,60.85,60.8,60.8,887.0,60.8381,1680079440000,14,
60.81,60.81,60.81,60.81,100.0,60.81,1680079560000,1,
60.71,60.71,60.65,60.65,2972.0,60.6971,1680079920000,25,
60.7,60.7,60.65,60.65,640.0,60.6578,1680079980000,4,
60.65,60.65,60.65,60.65,662.0,60.6522,1680080040000,9,
60.66,60.66,60.66,60.66,200.0,60.66,1680080100000,1,
60.66,60.66,60.66,60.66,200.0,60.6725,1680080220000,3,
60.66,60.67,60.65,60.67,1697.0,60.6525,1680080400000,15,
60.6,60.6,60.6,60.6,498.0,60.6048,1680080520000,9,
60.57,60.57,60.55,60.55,637.0,60.5582,1680080700000,5,
60.73,60.73,60.7,60.7,516.0,60.7214,1680082320000,9,
60.7,60.7,60.7,60.7,220.0,60.7,1680082380000,3,
60.7,60.7,60.7,60.7,833.0,60.7,1680082560000,14,
60.75,60.75,60.75,60.75,363.0,60.75,1680082620000,2,
60.7,60.7,60.7,60.7,301.0,60.7533,1680082680000,6,
60.6,60.6,60.6,60.6,452.0,60.6372,1680082740000,9,
60.89,60.89,60.79,60.89,1002.0,60.8602,1680082860000,12,
60.89,60.89,60.89,60.89,581.0,60.8845,1680083640000,5,
60.7,60.75,60.7,60.75,2030.0,60.7128,1680084360000,12,
60.65,60.65,60.55,60.56,4734.0,60.6004,1680084420000,35,
60.55,60.55,60.55,60.55,530.0,60.5523,1680084480000,3,
60.57,60.57,60.51,60.51,1894.0,60.527,1680084540000,19,
60.52,60.52,60.51,60.52,2100.0,60.5119,1680084600000,6,
60.51,60.53,60.51,60.53,522.0,60.5157,1680084660000,4,
60.73,60.81,60.7,60.81,2241.0,60.7235,1680085020000,19,
60.6,60.6,60.6,60.6,305.0,60.601,1680085440000,7,
60.6,60.6,60.55,60.55,504.0,60.5673,1680085680000,10,
60.61,60.61,60.61,60.61,575.0,60.6087,1680085800000,6,
60.7,60.7,60.7,60.7,391.0,60.6986,1680085860000,5,
60.8,60.9,60.8,60.82,776.0,60.8296,1680085980000,13,
60.82,60.82,60.8,60.8,602.0,60.8082,1680086040000,15,
60.75,60.75,60.75,60.75,1799.0,60.7511,1680086520000,25,
60.74,60.74,60.71,60.73,2636.0,60.7198,1680086580000,28,
60.6,60.6,60.6,60.6,791.0,60.6061,1680087000000,17,
60.64,60.65,60.64,60.65,1377.0,60.6463,1680087180000,5,
60.69,60.8,60.69,60.8,3326.0,60.7243,1680087300000,33,
60.75,60.76,60.71,60.71,4863.0,60.7234,1680087480000,30,
60.7,60.7,60.67,60.7,2006.0,60.6924,1680087540000,32,
60.65,60.71,60.65,60.65,6065.0,60.6671,1680087600000,81,
60.64,60.64,60.55,60.6,8211.0,60.5744,1680087660000,88,
60.57,60.57,60.57,60.57,495.0,60.584,1680087840000,5,
60.57,60.57,60.56,60.56,700.0,60.5619,1680087900000,9,
60.6,60.6,60.6,60.6,1338.0,60.6004,1680087960000,22,
60.61,60.61,60.6,60.6,1059.0,60.6098,1680088080000,29,
60.53,60.53,60.45,60.45,4854.0,60.496,1680088140000,83,
60.45,60.46,60.39,60.39,4035.0,60.4376,1680088200000,50,
60.42,60.42,60.39,60.39,547.0,60.4063,1680088260000,7,
60.39,60.43,60.39,60.39,4863.0,60.3934,1680088320000,67,
