open,high,low,close,volume,vwap,timestamp,transactions,otc
401.0,401.0,401.0,401.0,245,401.0294,2023-10-20 04:01:00,7,
401.5,401.5,401.5,401.5,233,401.5147,2023-10-20 04:17:00,8,
402.49,402.5,402.49,402.5,999,402.21,2023-10-20 04:43:00,63,
402.2,402.4,402.2,402.4,1070,402.2148,2023-10-20 04:44:00,17,
401.87,401.87,401.77,401.77,845,401.7996,2023-10-20 04:45:00,19,
401.84,401.84,401.84,401.84,217,401.8508,2023-10-20 05:01:00,8,
401.99,401.99,401.99,401.99,150,401.9887,2023-10-20 05:03:00,6,
401.21,401.21,401.2,401.2,1292,401.2005,2023-10-20 05:29:00,9,
401.04,401.04,401.04,401.04,202,401.0401,2023-10-20 06:14:00,2,
401.11,401.11,401.01,401.04,1208,401.0312,2023-10-20 06:21:00,37,
400.7,400.7,400.7,400.7,339,400.7319,2023-10-20 06:27:00,9,
400.61,400.61,400.6,400.6,471,400.5894,2023-10-20 06:28:00,14,
400.6,400.6,400.6,400.6,652,400.5914,2023-10-20 06:29:00,18,
400.9,400.9,400.9,400.9,323,400.9023,2023-10-20 06:57:00,10,
401.0,401.0,401.0,401.0,1235,400.9958,2023-10-20 07:02:00,18,
401.18,401.18,401.18,401.18,296,401.1629,2023-10-20 07:09:00,19,
401.85,401.85,401.85,401.85,726,401.8772,2023-10-20 07:13:00,37,
401.9,402.0,401.9,402.0,809,401.9702,2023-10-20 07:15:00,30,
402.2,402.2,402.2,402.2,241,402.1113,2023-10-20 07:16:00,10,
402.2,402.2,402.2,402.2,184,402.2059,2023-10-20 07:18:00,8,
402.1,402.1,402.1,402.1,625,402.1048,2023-10-20 07:19:00,11,
402.0,402.0,402.0,402.0,273,402.0084,2023-10-20 07:31:00,7,
401.76,401.76,401.76,401.76,684,401.748,2023-10-20 07:42:00,12,
401.61,401.61,401.61,401.61,493,401.6105,2023-10-20 07:43:00,7,
401.46,401.46,401.46,401.46,243,401.4755,2023-10-20 07:46:00,16,
401.38,401.38,401.38,401.38,252,401.4111,2023-10-20 07:47:00,16,
401.02,401.02,401.02,401.02,100,401.02,2023-10-20 07:48:00,1,
401.02,401.02,401.02,401.02,239,401.0515,2023-10-20 07:49:00,8,
401.25,401.25,401.25,401.25,924,401.2509,2023-10-20 07:51:00,23,
401.1,401.1,401.1,401.1,482,401.1278,2023-10-20 07:54:00,16,
402.0,402.5,400.7,401.0,9753,401.9804,2023-10-20 08:00:00,134,
400.766,400.766,400.766,400.766,564,401.0108,2023-10-20 08:01:00,112,
400.11,400.11,400.11,400.11,611,400.2135,2023-10-20 08:03:00,35,
401.0325,401.0325,401.0325,401.0325,176,401.0502,2023-10-20 08:05:00,6,
401.3,401.3,401.3,401.3,135,401.2963,2023-10-20 08:06:00,7,
401.0101,401.02,401.0101,401.02,616,401.03,2023-10-20 08:07:00,15,
