open,high,low,close,volume,vwap,timestamp,transactions,otc
102.4,102.4,102.4,102.4,273,102.4162,1704445200000,10,
102.29,102.29,102.29,102.29,230,102.3226,1704445680000,11,
102.42,102.42,102.42,102.42,200,102.423,1704446520000,3,
102.53,102.53,102.53,102.53,709,102.5257,1704447180000,18,
102.6,102.6,102.6,102.6,559,102.5988,1704447420000,21,
102.6,102.6,102.42,102.42,549,102.4871,1704447540000,16,
102.53,102.53,102.53,102.53,553,102.5241,1704448500000,8,
102.54,102.54,102.54,102.54,465,102.531,1704448800000,8,
102.4,102.4,102.4,102.4,188,102.4002,1704449880000,9,
102.35,102.35,102.35,102.35,200,102.3534,1704450000000,2,
102.35,102.35,102.35,102.35,269,102.35,1704450060000,7,
102.35,102.35,102.35,102.35,201,102.3502,1704450360000,2,
102.25,102.25,102.25,102.25,525,102.2482,1704454200000,24,
102.31,102.31,102.31,102.31,330,102.2593,1704456000000,21,
102.34,102.34,102.34,102.34,166,102.3424,1704457380000,3,
102.44,102.5,102.44,102.5,1202,102.456,1704459120000,13,
102.35,102.55,102.27,102.51,2714,102.451,1704459600000,64,
102.5,102.5,102.46,102.46,2560,102.5001,1704459780000,122,
102.65,102.65,102.65,102.65,471,102.6533,1704459960000,23,
102.6505,102.6505,102.6505,102.6505,514,102.6534,1704460020000,6,
102.71,102.71,102.71,102.71,1073,102.7073,1704460080000,6,
102.77,102.77,102.77,102.77,106,102.7711,1704460500000,6,
102.75,102.799,102.75,102.799,208,102.7749,1704460620000,3,
102.8,102.8,102.8,102.8,1003,102.7999,1704460680000,2,
102.7978,102.7978,102.7978,102.7978,2001,102.7978,1704461280000,2,
102.5,102.74,102.5,102.5,3758,102.5525,1704461400000,81,
102.5,102.5,102.39,102.39,2893,102.4558,1704461460000,105,
102.6,102.6,102.52,102.52,851,102.6461,1704461820000,23,
102.3794,102.3794,102.3794,102.3794,246,102.3923,1704462000000,2,
102.43,102.44,102.43,102.44,559,102.443,1704462060000,6,
102.6,102.6,102.6,102.6,300,102.6007,1704462180000,7,
102.45,102.45,102.45,102.45,101,102.4506,1704462360000,2,
102.58,102.63,102.58,102.62,1845,102.6251,1704462420000,9,
102.55,102.55,102.55,102.55,1223,102.5458,1704462600000,11,
102.55,102.55,102.55,102.55,1144,102.5454,1704462660000,13,
102.55,102.63,102.55,102.6,2288,102.6085,1704462780000,31,
102.66,102.68,102.66,102.68,540,102.6659,1704462840000,12,
102.7243,102.7243,102.7243,102.7243,100,102.7243,1704462900000,1,
102.78,102.78,102.78,102.78,162,102.7718,1704463140000,5,
102.65,102.65,102.65,102.65,527,102.6601,1704463260000,12,
102.75,102.75,102.7493,102.7493,436,102.7298,1704463560000,13,
102.7,102.7,102.7,102.7,414,102.6986,1704463620000,4,
102.71,102.71,102.7091,102.7091,633,102.6827,1704464100000,23,
102.75,102.75,102.75,102.75,311,102.7505,1704464280000,3,
102.7,102.8,102.7,102.8,4710,102.7198,1704464340000,18,
102.8,102.8,102.8,102.8,290,102.799,1704464400000,5,
102.78,102.78,102.78,102.78,875,102.7812,1704464460000,10,
102.7,102.7,102.7,102.7,177,102.7339,1704464520000,7,
102.75,102.75,102.75,102.75,1037,102.7447,1704464640000,25,
102.8,102.8,102.7,102.7,418,102.7364,1704464760000,11,
102.5,102.5,102.5,102.5,189,102.5021,1704464940000,11,
102.46,102.59,102.39,102.56,124320,102.4175,1704465000000,811,
102.598,102.605,102.38,102.52,34892,102.5308,1704465060000,369,
102.57,102.58,102.44,102.55,14158,102.5094,1704465120000,313,
102.54,102.765,102.54,102.765,19609,102.6438,1704465180000,293,
102.785,102.9,102.72,102.8,36750,102.82,1704465240000,490,
102.83,102.94,102.795,102.8043,34914,102.8666,1704465300000,473,
102.7949,102.85,102.67,102.67,24490,102.7386,1704465360000,404,
102.68,102.83,102.63,102.82,26923,102.7271,1704465420000,403,
102.825,102.89,102.7,102.78,24380,102.7942,1704465480000,415,
102.755,102.76,102.56,102.56,17778,102.6618,1704465540000,356,
102.58,102.62,102.37,102.46,29685,102.5028,1704465600000,500,
102.46,102.64,102.445,102.64,17825,102.5434,1704465660000,287,
102.67,102.74,102.64,102.695,31063,102.7009,1704465720000,376,
102.695,102.7,102.59,102.6098,25993,102.6401,1704465780000,408,
102.61,102.66,102.6,102.625,21259,102.643,1704465840000,316,
102.64,102.8,102.63,102.78,51195,102.711,1704465900000,557,
102.78,102.83,102.7133,102.78,24516,102.7819,1704465960000,614,
102.77,102.82,102.66,102.7,24380,102.7297,1704466020000,713,
102.69,102.768,102.63,102.63,18138,102.6929,1704466080000,636,
102.63,102.64,102.55,102.57,26383,102.5893,1704466140000,683,
102.55,102.8,102.55,102.8,16444,102.6978,1704466200000,461,
102.79,102.965,102.79,102.9518,23047,102.8777,1704466260000,547,
102.96,103.12,102.96,103.07,46673,103.0497,1704466320000,798,
103.065,103.16,103.0,103.13,67800,103.0914,1704466380000,624,
103.1359,103.1647,103.1,103.1647,17256,103.1301,1704466440000,496,
103.1599,103.2,103.12,103.1851,36736,103.1663,1704466500000,754,
103.21,103.265,103.19,103.2,25208,103.2233,1704466560000,794,
103.19,103.28,103.175,103.28,15725,103.2252,1704466620000,643,
103.28,103.28,103.1401,103.1401,21178,103.1963,1704466680000,668,
103.14,103.15,103.03,103.07,16497,103.0846,1704466740000,477,
103.1,103.39,103.1,103.24,44396,103.2891,1704466800000,680,
103.28,103.36,103.23,103.315,14508,103.301,1704466860000,272,
103.345,103.53,103.345,103.48,45779,103.4717,1704466920000,497,
103.4876,103.56,103.44,103.5,29308,103.4769,1704466980000,333,
103.5,103.56,103.4608,103.54,28289,103.5077,1704467040000,428,
103.5466,103.67,103.5422,103.635,33127,103.6166,1704467100000,391,
103.65,103.68,103.635,103.645,27095,103.6623,1704467160000,374,
103.64,103.67,103.56,103.605,25605,103.6469,1704467220000,361,
103.62,103.64,103.56,103.59,24191,103.6071,1704467280000,217,
103.5832,103.6,103.41,103.44,24507,103.516,1704467340000,330,
103.43,103.51,103.3,103.34,16961,103.3921,1704467400000,321,
103.34,103.39,103.3105,103.34,12759,103.3416,1704467460000,259,
103.355,103.45,103.34,103.37,15488,103.3864,1704467520000,309,
103.3407,103.37,103.19,103.255,21552,103.2643,1704467580000,344,
103.24,103.29,103.22,103.275,14894,103.2599,1704467640000,181,
103.27,103.37,103.21,103.21,15816,103.2719,1704467700000,241,
103.21,103.22,103.125,103.13,14462,103.1712,1704467760000,222,
103.1399,103.145,103.1,103.11,7958,103.1269,1704467820000,196,
103.0958,103.13,103.08,103.09,13218,103.1102,1704467880000,178,
103.1,103.105,103.01,103.02,12581,103.0613,1704467940000,206,
103.0177,103.05,102.97,103.0031,22843,103.0053,1704468000000,377,
103.0,103.08,103.0,103.03,11710,103.0429,1704468060000,222,
103.04,103.055,103.04,103.04,6798,103.0451,1704468120000,132,
103.02,103.05,103.0,103.02,7253,103.0256,1704468180000,145,
103.0189,103.04,103.01,103.035,7632,103.0243,1704468240000,179,
103.0399,103.05,102.96,103.0,19290,103.0097,1704468300000,207,
