open,high,low,close,volume,vwap,timestamp,transactions,otc
675.7,675.7,673.8,675.52,19053,675.5799,1635341400000,210,
674.45,676.71,674.45,676.28,5349,675.6036,1635341460000,167,
676.9,678.5,676.9,678.05,3917,677.6544,1635341520000,98,
678.065,678.46,677.9875,678.46,3498,678.1921,1635341580000,115,
678.41,678.42,677.43,677.43,866,678.3273,1635341640000,39,
678.74,679.44,677.94,679.44,2613,678.5743,1635341700000,105,
680.28,680.562,678.38,678.65,4924,679.2506,1635341760000,161,
677.76,679.4,677.76,678.84,2708,678.544,1635341820000,92,
679.105,679.38,678.53,679.11,1450,679.0437,1635341880000,29,
679.68,680.2991,679.35,680.2991,4002,679.8972,1635341940000,91,
679.96,679.96,678.585,678.585,4337,679.2901,1635342000000,136,
678.94,682.27,678.92,682.27,10006,680.7737,1635342060000,258,
681.82,683.56,681.18,683.56,4991,682.5135,1635342120000,167,
683.87,683.895,682.885,682.885,1920,683.5212,1635342180000,71,
682.76,684.63,682.755,684.085,6257,683.4057,1635342240000,145,
683.93,684.66,683.87,683.87,1376,684.1615,1635342300000,56,
683.06,684.83,683.06,683.43,4399,684.1159,1635342360000,111,
683.38,683.38,682.04,683.02,4154,682.8863,1635342420000,118,
682.23,682.76,682.175,682.175,1457,682.4783,1635342480000,81,
682.55,682.55,681.335,681.49,3124,681.8971,1635342540000,114,
681.98,681.98,681.51,681.51,709,681.8588,1635342600000,34,
681.96,681.96,680.54,680.54,2431,681.4417,1635342660000,92,
680.38,680.38,680.27,680.27,1199,680.194,1635342720000,58,
679.99,681.14,679.84,680.17,2832,680.3217,1635342780000,86,
679.77,679.77,679.76,679.76,815,679.7945,1635342840000,54,
679.995,680.38,679.56,680.35,3127,680.1609,1635342900000,98,
681.04,682.3519,681.04,682.3519,1614,681.6094,1635342960000,59,
681.82,681.87,680.56,681.375,4306,681.1277,1635343020000,126,
681.12,681.35,680.93,681.0348,2955,681.0827,1635343080000,87,
680.865,681.56,680.865,681.56,1380,681.5535,1635343140000,50,
682.23,682.95,681.08,682.95,7137,681.9592,1635343200000,169,
682.4341,682.4341,681.25,681.25,3170,681.9412,1635343260000,96,
681.87,681.87,680.16,680.16,1918,681.0892,1635343320000,88,
680.255,680.505,678.64,678.64,5426,679.8203,1635343380000,115,
678.45,678.45,676.435,677.14,2909,677.8205,1635343440000,90,
677.54,677.74,676.92,677.21,2126,677.3772,1635343500000,56,
677.18,678.217,677.0643,678.217,1916,677.646,1635343560000,66,
677.835,677.835,676.715,677.1,4377,677.1613,1635343620000,140,
676.925,677.335,676.58,677.335,5564,676.8451,1635343680000,152,
676.89,677.08,676.12,676.375,7485,676.6506,1635343740000,196,
675.8,677.04,675.27,676.99,4700,676.5242,1635343800000,120,
676.645,676.645,676.645,676.645,1087,676.6222,1635343860000,56,
676.9,676.9,676.0,676.26,3998,676.3582,1635343920000,116,
676.155,677.37,676.155,676.86,8367,676.8137,1635343980000,215,
676.63,677.93,676.33,677.92,3343,676.8638,1635344040000,84,
676.94,677.16,676.94,677.06,2162,677.0498,1635344100000,93,
677.6899,677.6899,676.04,676.04,1222,676.8789,1635344160000,61,
675.98,676.0,674.8424,674.97,5714,675.4716,1635344220000,132,
674.96,675.57,674.96,675.35,1758,675.2203,1635344280000,69,
674.645,675.15,674.35,674.35,3118,674.8294,1635344340000,74,
675.08,675.08,674.52,675.0,2785,674.7662,1635344460000,82,
675.01,675.44,675.005,675.05,3182,675.2706,1635344520000,136,
675.42,675.42,675.42,675.42,783,675.4584,1635344580000,46,
675.415,675.56,675.16,675.19,2269,675.3001,1635344700000,91,
675.37,675.41,674.635,674.635,1568,675.1471,1635344760000,80,
674.55,674.55,673.01,673.01,2905,673.9935,1635344820000,150,
673.79,674.115,673.59,673.75,4135,673.8392,1635344880000,135,
673.895,673.98,673.39,673.39,2467,673.6162,1635344940000,109,
673.415,673.52,672.54,673.31,5003,672.9955,1635345000000,193,
672.6984,672.6984,671.16,672.395,10142,671.6854,1635345060000,287,
672.285,672.68,672.03,672.04,2993,672.3367,1635345120000,89,
672.155,672.96,672.155,672.96,2388,672.59,1635345180000,98,
672.88,673.6,672.73,672.88,1486,673.0742,1635345240000,63,
672.55,672.55,671.72,671.72,3965,672.0989,1635345300000,150,
671.63,672.15,671.63,671.92,2984,671.971,1635345360000,96,
672.31,672.56,672.17,672.39,2266,672.3844,1635345420000,81,
671.98,672.5,671.97,672.4,2975,672.2822,1635345480000,82,
671.98,671.98,671.5,671.9399,2826,671.7882,1635345540000,116,
671.91,672.07,670.78,671.055,6847,671.4668,1635345600000,192,
671.055,671.36,670.51,670.775,6419,670.9152,1635345660000,181,
670.775,671.19,670.59,671.16,5250,671.0561,1635345720000,176,
671.31,671.6487,670.89,671.1,6083,671.347,1635345780000,193,
671.32,672.05,670.92,671.29,4344,671.3541,1635345840000,139,
671.46,671.46,669.88,670.37,8753,670.2316,1635345900000,238,
670.41,670.86,670.41,670.86,3899,670.4042,1635345960000,114,
670.01,671.05,670.01,670.63,3783,670.8049,1635346020000,104,
670.28,670.52,669.63,670.52,4158,670.2798,1635346080000,132,
670.475,670.96,670.475,670.95,2446,670.8027,1635346140000,98,
670.79,670.79,670.39,670.65,1511,670.5637,1635346200000,69,
670.7,671.16,670.69,670.69,2511,670.7941,1635346260000,90,
671.005,671.435,671.005,671.2,2453,671.2458,1635346320000,96,
670.97,670.97,670.97,670.97,293,671.1396,1635346380000,24,
671.48,672.5,671.03,672.5,4881,671.6329,1635346440000,162,
672.34,672.34,672.34,672.34,689,672.1703,1635346500000,38,
671.79,671.85,671.14,671.14,3408,671.6839,1635346560000,137,
671.4,671.62,669.94,670.25,8078,670.9615,1635346620000,242,
669.72,669.72,669.33,669.415,1381,669.5497,1635346680000,56,
669.46,669.88,669.42,669.615,2996,669.5959,1635346740000,86,
669.35,670.18,669.35,670.18,2832,669.7632,1635346800000,106,
670.57,671.17,669.88,670.07,3443,670.5327,1635346860000,100,
669.91,669.91,669.4,669.4,1431,669.5482,1635346920000,65,
669.15,669.3199,668.34,669.3199,5448,668.7797,1635346980000,183,
669.435,669.435,669.16,669.16,716,669.2857,1635347040000,29,
669.21,670.02,668.9,669.87,3313,669.4575,1635347100000,106,
670.145,670.43,670.0,670.0,815,670.2993,1635347160000,38,
670.155,670.49,670.06,670.06,3228,670.3625,1635347220000,88,
670.62,671.51,670.62,671.47,1125,671.0085,1635347280000,63,
670.85,671.41,670.57,670.57,1500,670.7833,1635347340000,46,
670.8,670.99,670.8,670.99,1914,670.8477,1635347400000,99,
671.09,671.19,670.71,670.93,2722,671.0044,1635347460000,84,
670.89,671.23,670.74,671.145,3130,671.0287,1635347520000,103,
670.73,671.5041,670.73,671.23,1693,671.0446,1635347580000,61,
670.7,670.81,670.425,670.81,1633,670.5749,1635347640000,57,
670.06,670.06,669.81,669.81,2568,670.0061,1635347700000,74,
670.41,670.42,670.04,670.04,3338,670.2903,1635347760000,106,
670.42,671.21,670.24,670.55,3266,670.7512,1635347820000,95,
670.87,670.945,670.65,670.65,1781,670.9166,1635347880000,55,
671.06,671.06,670.66,670.71,2040,670.8511,1635347940000,80,
671.06,671.45,670.64,670.99,8212,671.0592,1635348000000,197,
671.88,672.03,671.52,671.75,2171,671.8601,1635348060000,65,
671.98,672.525,671.76,672.25,3026,672.1731,1635348120000,74,
672.4,672.74,672.08,672.74,1696,672.2599,1635348180000,55,
671.45,671.46,671.45,671.46,1881,671.4868,1635348240000,56,
671.84,671.84,670.0,670.24,3062,670.7037,1635348300000,87,
670.01,670.235,669.385,669.91,4767,669.8055,1635348360000,140,
670.61,670.61,670.28,670.3,1277,670.4949,1635348420000,49,
670.475,671.03,670.46,671.03,1663,670.8065,1635348480000,64,
670.53,670.9827,670.47,670.78,1313,670.6984,1635348540000,55,
671.03,671.12,670.87,671.12,1565,671.0814,1635348600000,50,
671.27,671.29,670.73,671.29,1798,671.1203,1635348660000,54,
