open,high,low,close,volume,vwap,timestamp,transactions,otc
157.6775,157.6775,157.6775,157.6775,1200,157.6771,1622016660000,7,
157.5,157.5,157.5,157.5,676,157.5089,1622017200000,7,
157.45,157.45,157.45,157.45,856,157.45,1622018280000,4,
157.2,157.2,157.2,157.2,792,157.1975,1622019360000,7,
157.2225,157.2225,157.2225,157.2225,492,157.2113,1622023680000,2,
157.1775,157.1775,157.175,157.175,2504,157.1789,1622026380000,9,
157.1775,157.25,157.125,157.25,10080,157.2001,1622026800000,113,
157.3375,157.3375,157.3375,157.3375,1676,157.3075,1622026860000,12,
157.4875,157.5,157.4875,157.5,5524,157.4979,1622026980000,65,
157.5375,157.5375,157.305,157.305,6380,157.4588,1622027160000,58,
157.3125,157.375,157.3125,157.375,2236,157.3402,1622027280000,11,
157.2725,157.2725,157.25,157.25,5580,157.2643,1622027340000,41,
157.25,157.25,157.25,157.25,8064,157.2527,1622027400000,20,
157.405,157.4175,157.405,157.4175,1432,157.4098,1622027460000,14,
157.38,157.38,157.375,157.375,1100,157.3827,1622027580000,7,
157.4275,157.49,157.4275,157.49,3624,157.4486,1622027940000,33,
157.4875,157.49,157.4875,157.49,2284,157.4868,1622028000000,8,
157.4375,157.5,157.4375,157.5,4372,157.4805,1622028120000,49,
157.55,157.5925,157.55,157.5925,2052,157.5644,1622028180000,21,
157.5925,157.6075,157.5925,157.6075,1728,157.6057,1622028240000,14,
157.75,157.75,157.6875,157.6875,6292,157.7157,1622028300000,71,
157.7675,157.7675,157.7675,157.7675,656,157.7613,1622028360000,6,
157.6375,157.6375,157.6075,157.6075,2616,157.6139,1622028540000,21,
157.5,157.5,157.4375,157.4375,3436,157.4661,1622028600000,24,
157.425,157.425,157.425,157.425,896,157.4231,1622028840000,11,
157.45,157.45,157.45,157.45,3016,157.4451,1622028900000,13,
157.45,157.4625,157.45,157.4625,2620,157.4546,1622028960000,18,
157.3825,157.3825,157.3825,157.3825,1260,157.3989,1622029200000,16,
157.3375,157.3375,157.3375,157.3375,1080,157.339,1622029260000,13,
157.3375,157.35,157.3375,157.35,2440,157.3489,1622029380000,16,
157.34,157.34,157.3375,157.3375,1048,157.3542,1622029440000,8,
157.3375,157.3375,157.3375,157.3375,2300,157.3422,1622029620000,22,
157.305,157.305,157.3,157.3,3420,157.3037,1622029740000,18,
157.375,157.375,157.375,157.375,2760,157.3746,1622029920000,18,
157.375,157.375,157.375,157.375,2208,157.373,1622029980000,7,
157.375,157.375,157.375,157.375,824,157.3751,1622030160000,4,
157.4625,157.48,157.45,157.45,4620,157.4665,1622030220000,27,
157.4843,157.875,157.25,157.325,35744,157.4178,1622030400000,238,
157.425,157.425,157.325,157.325,1968,157.3713,1622030520000,26,
157.485,157.485,157.485,157.485,1500,157.4725,1622030580000,20,
157.5,157.5,157.5,157.5,6348,157.4955,1622030640000,28,
157.5875,157.5875,157.5875,157.5875,1464,157.5846,1622030700000,18,
157.735,157.735,157.735,157.735,1648,157.6863,1622030820000,20,
157.625,157.625,157.625,157.625,2148,157.5753,1622031000000,40,
157.625,157.625,157.625,157.625,1852,157.5949,1622031060000,13,
157.5,157.5,157.5,157.5,5276,157.5008,1622031240000,7,
157.625,157.625,157.515,157.515,7224,157.5264,1622031300000,34,
157.425,157.425,157.3775,157.3775,6508,157.4106,1622031480000,30,
157.375,157.375,157.375,157.375,2256,157.3998,1622031540000,30,
