open,high,low,close,volume,vwap,timestamp,transactions,otc
504.8,505.5,504.8,505.5,5207,505.2191,2023-11-21 04:00:00,163,
505.5,505.67,505.3,505.49,3099,505.4735,2023-11-21 04:01:00,107,
505.3,505.4,505.3,505.4,1337,505.4085,2023-11-21 04:02:00,73,
505.45,505.45,505.05,505.05,3108,505.2735,2023-11-21 04:03:00,156,
505.27,505.27,505.27,505.27,707,505.2176,2023-11-21 04:06:00,42,
505.03,505.07,505.0,505.02,2785,505.0271,2023-11-21 04:07:00,128,
504.75,504.75,504.48,504.48,2665,504.619,2023-11-21 04:08:00,113,
504.4,504.4,504.4,504.4,489,504.4457,2023-11-21 04:10:00,31,
504.7,504.7,504.7,504.7,563,504.8098,2023-11-21 04:12:00,20,
504.84,504.84,504.8,504.8,1271,504.8191,2023-11-21 04:18:00,40,
504.87,504.99,504.87,504.98,642,504.9391,2023-11-21 04:20:00,28,
505.2,505.2,505.2,505.2,541,505.1914,2023-11-21 04:22:00,18,
505.2,505.2,505.2,505.2,390,505.2444,2023-11-21 04:23:00,24,
505.37,505.37,505.37,505.37,381,505.363,2023-11-21 04:24:00,15,
505.48,505.5,505.45,505.47,2928,505.4791,2023-11-21 04:25:00,80,
505.49,505.5,505.49,505.5,1228,505.5331,2023-11-21 04:26:00,40,
505.77,505.8,505.77,505.8,1430,505.7564,2023-11-21 04:27:00,65,
505.73,505.73,505.73,505.73,857,505.6992,2023-11-21 04:31:00,40,
505.8,506.0,505.8,506.0,3632,505.9406,2023-11-21 04:32:00,248,
506.02,506.02,506.02,506.02,902,506.0079,2023-11-21 04:33:00,34,
505.9,505.9,505.9,505.9,700,505.8612,2023-11-21 04:35:00,31,
505.7,505.7,505.7,505.7,423,505.7317,2023-11-21 04:37:00,30,
505.8,505.8,505.8,505.8,629,505.7637,2023-11-21 04:38:00,13,
505.68,505.68,505.68,505.68,309,505.6806,2023-11-21 04:39:00,14,
505.7,505.7,505.7,505.7,319,505.6642,2023-11-21 04:40:00,12,
505.57,505.57,505.57,505.57,733,505.5849,2023-11-21 04:41:00,30,
505.32,505.32,505.3,505.3,1018,505.3053,2023-11-21 04:44:00,18,
505.4,505.4,505.4,505.4,395,505.2671,2023-11-21 04:45:00,24,
505.3,505.3,505.3,505.3,157,505.3359,2023-11-21 04:50:00,10,
505.3,505.3,505.3,505.3,261,505.3056,2023-11-21 04:53:00,15,
505.31,505.31,505.31,505.31,447,505.2839,2023-11-21 04:56:00,21,
505.2,505.2,505.2,505.2,239,505.2079,2023-11-21 04:57:00,17,
505.0,505.0,505.0,505.0,1239,505.0321,2023-11-21 04:59:00,95,
504.99,504.99,504.86,504.86,493,504.9118,2023-11-21 05:00:00,19,
504.98,505.01,504.98,505.01,1038,504.9928,2023-11-21 05:04:00,25,
505.24,505.24,505.24,505.24,971,505.2536,2023-11-21 05:07:00,33,
505.2,505.2,505.1,505.1,1310,505.1565,2023-11-21 05:10:00,39,
505.4,505.5,505.4,505.5,981,505.4008,2023-11-21 05:11:00,49,
505.21,505.21,505.21,505.21,903,505.3013,2023-11-21 05:17:00,34,
505.21,505.21,505.21,505.21,570,505.2147,2023-11-21 05:18:00,15,
505.43,505.43,505.43,505.43,802,505.4786,2023-11-21 05:21:00,33,
505.51,505.51,505.51,505.51,1060,505.5478,2023-11-21 05:22:00,99,
505.6,505.7,505.6,505.7,1695,505.6302,2023-11-21 05:23:00,109,
505.78,505.8,505.78,505.8,5538,505.7788,2023-11-21 05:24:00,43,
505.8,505.8,505.8,505.8,346,505.7573,2023-11-21 05:25:00,19,
505.79,505.79,505.79,505.79,106,505.7899,2023-11-21 05:28:00,4,
505.7,505.7,505.7,505.7,304,505.7347,2023-11-21 05:30:00,6,
505.75,505.75,505.75,505.75,375,505.7656,2023-11-21 05:31:00,21,
505.9,505.9,505.9,505.9,1646,505.8781,2023-11-21 05:37:00,50,
505.8,505.8,505.7,505.7,1020,505.7216,2023-11-21 05:42:00,33,
505.55,505.55,505.51,505.51,1005,505.5757,2023-11-21 05:52:00,27,
505.51,505.51,505.51,505.51,824,505.5296,2023-11-21 05:54:00,51,
505.51,505.51,505.51,505.51,377,505.5037,2023-11-21 05:55:00,20,
505.4,505.4,505.4,505.4,621,505.3814,2023-11-21 05:58:00,28,
505.35,505.35,505.35,505.35,340,505.347,2023-11-21 05:59:00,16,
505.42,505.42,505.42,505.42,578,505.4217,2023-11-21 06:01:00,23,
505.3,505.3,505.0,505.0,2845,505.066,2023-11-21 06:03:00,159,
505.0,505.0,504.91,504.91,1126,504.9908,2023-11-21 06:04:00,54,
505.0,505.0,505.0,505.0,439,505.0058,2023-11-21 06:07:00,18,
505.0,505.05,504.91,505.05,1588,504.971,2023-11-21 06:08:00,69,
504.95,504.95,504.95,504.95,260,504.9502,2023-11-21 06:09:00,17,
504.76,504.76,504.73,504.73,2052,504.7576,2023-11-21 06:10:00,76,
504.75,504.75,504.6,504.6,2222,504.7022,2023-11-21 06:11:00,71,
504.58,504.58,504.53,504.53,803,504.5445,2023-11-21 06:14:00,16,
504.53,504.53,504.31,504.31,2088,504.4494,2023-11-21 06:15:00,69,
504.53,504.53,504.2,504.22,4417,504.3405,2023-11-21 06:16:00,128,
504.22,504.22,503.96,503.96,4928,504.1001,2023-11-21 06:17:00,190,
503.86,503.92,503.8,503.8,2428,503.9862,2023-11-21 06:18:00,88,
504.34,504.51,504.34,504.4,1692,504.4005,2023-11-21 06:20:00,34,
504.55,504.55,504.55,504.55,722,504.5474,2023-11-21 06:22:00,21,
504.55,504.56,504.55,504.56,914,504.573,2023-11-21 06:23:00,34,
504.75,504.75,504.75,504.75,1294,504.6956,2023-11-21 06:24:00,36,
