open,high,low,close,volume,vwap,timestamp,transactions,otc
192.11,192.11,192.11,192.11,356,192.1267,1684831320000,10,
192.62,192.62,192.62,192.62,430,192.5876,1684839600000,17,
192.61,192.61,192.61,192.61,2944,192.595,1684839960000,43,
192.59,192.59,192.59,192.59,944,192.5979,1684840500000,30,
192.75,192.8,192.75,192.8,300,192.7833,1684840920000,2,
193.32,193.32,193.32,193.32,1037,193.2962,1684841220000,12,
192.8,192.8,192.8,192.8,120,192.7917,1684842840000,2,
192.89,193.4075,192.5,193.2799,2285,192.9896,1684843200000,46,
192.7,192.7,192.7,192.7,110,192.7064,1684843800000,2,
192.7,192.7,192.7,192.7,255,192.7,1684843920000,3,
192.37,192.37,192.34,192.34,403,192.355,1684844220000,12,
192.68,192.69,192.68,192.69,1001,192.6829,1684844280000,7,
192.69,192.69,192.69,192.69,148,192.6862,1684844340000,4,
192.42,192.42,192.42,192.42,665,192.4225,1684844700000,7,
192.42,192.42,192.42,192.42,202,192.4199,1684844760000,3,
192.36,192.36,192.36,192.36,118,192.3675,1684845000000,4,
192.41,192.41,192.41,192.41,1252,192.399,1684845300000,11,
192.41,192.41,192.4099,192.41,1010,192.41,1684845360000,4,
192.3899,192.3899,192.3899,192.3899,227,192.3803,1684845420000,4,
192.364,192.364,192.364,192.364,636,192.3409,1684845480000,19,
192.36,192.36,192.36,192.36,105,192.3595,1684845600000,2,
192.36,192.36,192.36,192.36,400,192.36,1684845660000,4,
192.26,192.26,192.26,192.26,376,192.2603,1684845720000,16,
192.26,192.26,192.26,192.26,1106,192.2601,1684845960000,15,
192.26,192.26,192.26,192.26,822,192.2598,1684846020000,8,
192.2,192.2,192.14,192.14,789,192.1608,1684846080000,7,
192.15,192.15,192.15,192.15,100,192.15,1684846140000,1,
192.0,192.0,192.0,192.0,525,192.0051,1684846260000,19,
191.91,191.91,191.8,191.8,1711,191.8674,1684846320000,42,
192.0,192.69,192.0,192.69,2104,192.3285,1684846380000,8,
192.49,192.49,192.49,192.49,1044,192.4923,1684846440000,2,
192.0,192.0,192.0,192.0,103,191.9991,1684847280000,3,
191.99,191.99,191.99,191.99,251,191.9759,1684847400000,7,
191.9999,191.9999,191.9999,191.9999,309,191.9298,1684847880000,9,
191.9999,191.9999,191.9999,191.9999,118,191.9948,1684847940000,3,
191.85,191.85,191.85,191.85,349,191.8529,1684848120000,10,
191.85,191.85,191.85,191.85,501,191.85,1684848240000,18,
191.91,191.91,191.91,191.91,200,191.955,1684848420000,4,
191.83,191.83,191.61,191.83,3183,191.8152,1684848480000,17,
191.89,191.89,191.83,191.83,445,191.7876,1684848540000,10,
191.56,192.0,191.55,191.92,71063,191.6124,1684848600000,510,
191.92,191.92,191.04,191.39,16373,191.4417,1684848660000,372,
191.43,191.54,190.8001,191.0875,23950,191.098,1684848720000,496,
191.155,191.41,191.03,191.25,15333,191.2038,1684848780000,203,
191.3051,191.46,191.06,191.22,13330,191.2779,1684848840000,315,
191.24,191.61,191.21,191.42,13044,191.4474,1684848900000,241,
191.25,191.29,190.71,190.88,20695,191.0107,1684848960000,355,
190.75,191.23,190.73,190.86,30437,190.9361,1684849020000,435,
190.8,191.19,190.7,191.19,15400,190.9107,1684849080000,279,
191.14,191.25,190.57,190.57,21341,190.9195,1684849140000,367,
190.65,190.9391,190.24,190.24,13131,190.6403,1684849200000,275,
190.285,190.78,190.21,190.77,31265,190.5229,1684849260000,415,
190.765,190.98,190.5,190.5925,35358,190.8361,1684849320000,377,
190.475,190.8,190.26,190.635,71942,190.5831,1684849380000,531,
190.59,190.7,190.25,190.25,13175,190.5127,1684849440000,211,
190.21,190.52,190.0,190.3,25841,190.2626,1684849500000,456,
190.31,190.75,190.31,190.47,18093,190.5443,1684849560000,266,
190.55,190.78,190.4775,190.62,22598,190.6742,1684849620000,316,
190.7,190.75,190.12,190.23,18754,190.4631,1684849680000,263,
190.1894,190.6,190.165,190.36,15729,190.3963,1684849740000,254,
190.39,190.615,190.3551,190.51,10835,190.4706,1684849800000,192,
190.455,190.59,190.3981,190.59,8674,190.4798,1684849860000,150,
190.59,190.89,190.48,190.89,12714,190.6257,1684849920000,244,
190.84,190.9,190.61,190.64,14082,190.7975,1684849980000,244,
190.6489,191.39,190.6489,191.23,32474,191.1674,1684850040000,405,
191.15,191.27,191.045,191.07,14782,191.1839,1684850100000,213,
191.02,191.09,190.88,190.955,12691,190.9894,1684850160000,219,
191.01,191.02,190.75,190.82,18588,190.9441,1684850220000,359,
190.825,190.9,190.415,190.48,46794,190.6985,1684850280000,629,
190.48,190.84,190.445,190.62,29356,190.6219,1684850340000,361,
190.7,190.84,190.54,190.63,25278,190.6515,1684850400000,319,
190.67,190.95,190.665,190.72,15800,190.8313,1684850460000,287,
190.74,190.8,190.6,190.78,16425,190.7302,1684850520000,276,
190.8,190.87,190.5837,190.615,21716,190.7663,1684850580000,393,
190.58,190.66,190.4,190.4883,20834,190.5304,1684850640000,387,
