open,high,low,close,volume,vwap,timestamp,transactions,otc
49.77,49.77,49.77,49.77,127,49.7602,1660118520000,3,
49.74,49.74,49.74,49.74,946,49.7422,1660120740000,16,
49.7,49.7,49.7,49.7,200,49.7,1660129560000,1,
49.55,49.55,49.55,49.55,1550,49.5659,1660129860000,21,
49.78,49.78,49.78,49.78,341,49.7703,1660129980000,12,
49.8208,49.8208,49.8208,49.8208,514,49.6643,1660132800000,44,
49.6329,49.6329,49.6329,49.6329,296,49.6346,1660133820000,3,
49.69,49.69,49.69,49.69,555,49.6865,1660134360000,4,
49.69,49.69,49.69,49.69,6068,49.6898,1660134480000,6,
49.6231,49.6231,49.62,49.62,255,49.6282,1660134540000,4,
49.69,49.7,49.69,49.7,1407,49.6976,1660134600000,15,
49.66,49.9745,49.66,49.9745,301,49.7645,1660134720000,2,
49.66,49.66,49.66,49.66,412,49.7373,1660134780000,9,
49.81,49.81,49.81,49.81,360,49.8501,1660134840000,12,
49.9,49.9,49.9,49.9,380,49.9017,1660135320000,6,
49.96,49.96,49.96,49.96,436,49.9572,1660135440000,5,
49.96,49.97,49.9,49.9,5221,49.9252,1660135560000,48,
49.9,49.9,49.9,49.9,531,49.9,1660135740000,3,
49.9,49.9,49.83,49.83,3388,49.8558,1660135800000,38,
49.77,49.77,49.76,49.76,594,49.7647,1660135920000,5,
49.76,49.76,49.72,49.72,830,49.7341,1660135980000,9,
49.75,49.75,49.75,49.75,1017,49.7494,1660136040000,6,
49.75,49.84,49.75,49.84,4100,49.7946,1660136160000,17,
49.83,49.83,49.83,49.83,1082,49.827,1660136220000,6,
49.8,49.8,49.8,49.8,217,49.802,1660136280000,3,
49.8267,49.8267,49.8267,49.8267,153,49.8266,1660136520000,3,
49.8,49.8,49.8,49.8,1103,49.8005,1660136640000,12,
49.8,49.8,49.8,49.8,267,49.7947,1660136700000,6,
49.8,49.8,49.8,49.8,7998,49.7998,1660136760000,79,
49.8,49.8,49.79,49.79,4603,49.7935,1660136820000,32,
49.79,49.79,49.78,49.78,3641,49.7888,1660136880000,20,
49.78,49.78,49.75,49.75,1566,49.7654,1660137000000,17,
49.75,49.75,49.75,49.75,1083,49.7505,1660137060000,9,
49.75,49.75,49.75,49.75,1031,49.75,1660137120000,4,
49.73,49.73,49.73,49.73,492,49.7337,1660137240000,12,
49.73,49.73,49.73,49.73,1034,49.7289,1660137300000,10,
49.71,49.73,49.71,49.73,240,49.7186,1660137360000,4,
49.72,49.72,49.7,49.72,2103,49.719,1660137420000,9,
49.73,49.73,49.73,49.73,4158,49.7296,1660137480000,67,
49.73,49.73,49.73,49.73,1405,49.7299,1660137600000,14,
49.73,49.73,49.73,49.73,1769,49.7298,1660137660000,13,
49.72,49.72,49.7,49.71,1520,49.7072,1660137720000,30,
49.69,49.7,49.69,49.7,403,49.6963,1660137780000,11,
49.7,49.7,49.69,49.7,2199,49.697,1660137840000,16,
49.7,49.7,49.7,49.7,2232,49.7,1660137900000,16,
49.73,49.73,49.73,49.73,4302,49.73,1660137960000,28,
49.73,49.75,49.73,49.75,4534,49.7386,1660138020000,28,
49.79,49.9,49.75,49.9,6482,49.8149,1660138080000,55,
49.99,49.99,49.99,49.99,789,49.9859,1660138140000,12,
