open,high,low,close,volume,vwap,timestamp,transactions,otc
129.2,129.2,129.2,129.2,233,129.1773,1666166460000,6,
129.0,129.0,129.0,129.0,112,128.9999,1666166640000,4,
128.37,128.37,128.37,128.37,272,128.3685,1666167540000,3,
128.15,128.15,128.15,128.15,101,128.1513,1666168020000,2,
128.37,128.37,128.37,128.37,100,128.37,1666168320000,1,
128.37,128.37,128.21,128.21,440,128.3036,1666171200000,10,
128.19,128.19,128.19,128.19,293,128.1813,1666171980000,7,
128.37,128.37,128.37,128.37,333,128.37,1666172220000,2,
128.37,128.37,128.37,128.37,300,128.37,1666172400000,1,
129.28,129.28,129.28,129.28,150,129.28,1666174740000,2,
128.5,128.8,128.0,128.0,1880,128.1685,1666176900000,65,
128.4,128.4,128.4,128.4,554,127.4977,1666176960000,25,
129.0,129.0,129.0,129.0,1161,128.7641,1666177020000,28,
129.44,129.44,129.44,129.44,258,129.2171,1666177140000,9,
129.52,130.39,129.52,130.39,1148,129.936,1666177200000,27,
130.38,131.09,130.38,131.0,1641,130.9075,1666177260000,44,
131.47,131.6,131.0,131.0,2835,131.203,1666177320000,40,
130.7,130.7,130.7,130.7,539,130.6956,1666177380000,19,
130.74,130.76,130.4,130.4,2814,130.588,1666177440000,38,
130.02,130.39,130.02,130.05,1346,130.1886,1666177500000,18,
130.08,130.08,130.08,130.08,236,130.1341,1666177560000,5,
130.38,130.49,130.38,130.49,680,130.3987,1666177680000,18,
130.84,130.9,130.84,130.9,683,130.9133,1666177740000,18,
131.36,131.36,131.36,131.36,259,131.3622,1666177920000,12,
131.0,131.0,131.0,131.0,603,131.1031,1666177980000,29,
130.5,130.51,130.49,130.49,6380,130.5,1666178160000,66,
130.53,130.55,130.51,130.55,990,130.5464,1666178460000,21,
130.68,130.7,130.5,130.5,4592,130.5533,1666178520000,58,
130.61,130.61,130.61,130.61,308,130.6097,1666178580000,4,
130.61,130.61,130.61,130.61,1572,130.6894,1666178640000,52,
130.51,130.51,130.5,130.5,2612,130.5004,1666178820000,32,
130.51,130.51,130.51,130.51,530,130.5115,1666178880000,4,
130.65,130.65,130.5,130.51,504,130.5353,1666178940000,7,
130.5,130.5,130.5,130.5,537,130.5128,1666179120000,7,
130.5,131.0,130.5,131.0,1383,130.8001,1666179180000,37,
131.0,131.0,131.0,131.0,550,131.0001,1666179240000,6,
130.98,130.98,130.98,130.98,305,130.9802,1666179360000,174,
130.87,130.87,130.87,130.87,385,130.8916,1666179540000,14,
131.0,131.0,130.98,131.0,1140,130.9918,1666179660000,21,
130.99,131.0,130.99,131.0,1200,130.9974,1666179720000,8,
130.97,131.0,130.97,131.0,1100,130.9935,1666179840000,4,
130.8,130.8,130.8,130.8,991,130.8175,1666180080000,22,
130.75,130.75,130.75,130.75,264,130.7409,1666180620000,5,
130.74,130.75,130.74,130.75,504,130.8,1666180680000,8,
130.77,130.77,130.77,130.77,348,130.835,1666180740000,17,
129.52,131.55,129.3,130.55,41366,130.4476,1666180800000,288,
130.55,130.55,130.55,130.55,578,130.4156,1666180860000,45,
130.54,130.56,130.05,130.05,2677,130.3794,1666180920000,51,
130.05,130.05,129.72,129.97,8899,130.0215,1666180980000,88,
130.56,130.58,130.53,130.58,913,130.5375,1666181040000,16,
130.39,130.39,130.0,130.0,766,130.098,1666181100000,10,
130.11,130.11,130.11,130.11,505,130.1131,1666181160000,6,
130.03,130.1,130.03,130.1,837,130.0921,1666181220000,13,
130.0999,130.1,130.0,130.0,3065,130.0449,1666181280000,54,
130.05,130.05,130.0,130.0,1923,130.0085,1666181340000,26,
130.0,130.0,130.0,130.0,192,130.0244,1666181400000,11,
130.35,130.5,130.35,130.49,5799,130.4434,1666181520000,144,
130.41,130.61,130.4,130.61,4419,130.495,1666181580000,41,
130.55,130.6,130.54,130.54,2639,130.5649,1666181760000,41,
130.35,130.35,130.35,130.35,701,130.35,1666181940000,2,
