open,high,low,close,volume,vwap,timestamp,transactions,otc
145.3,145.3,145.3,145.3,100,145.3,1635249660000,1,
145.09,145.76,144.86,145.76,41365,145.5144,1635255000000,112,
145.67,145.67,145.55,145.5839,2419,145.6026,1635255060000,49,
145.53,145.53,145.2981,145.2981,2796,145.3709,1635255120000,28,
145.51,145.63,145.48,145.585,2801,145.536,1635255180000,49,
145.54,145.95,145.52,145.77,4951,145.7448,1635255240000,78,
145.9,146.01,145.78,145.79,2441,145.9345,1635255300000,79,
145.785,145.87,145.7,145.7,2149,145.7901,1635255360000,41,
145.665,145.665,145.56,145.6,951,145.6109,1635255420000,45,
145.65,145.65,145.455,145.455,498,145.5232,1635255480000,10,
145.47,145.53,145.29,145.34,2785,145.3804,1635255540000,75,
145.34,145.575,145.34,145.46,2375,145.4482,1635255600000,63,
145.45,145.47,145.4,145.4,1630,145.4388,1635255660000,23,
145.46,145.5,145.43,145.43,1336,145.4752,1635255720000,25,
145.43,145.49,145.43,145.48,1475,145.4702,1635255780000,23,
145.6699,145.69,145.65,145.69,1444,145.6533,1635255840000,32,
145.63,145.63,145.515,145.56,3213,145.5643,1635255900000,66,
145.6,145.62,145.4724,145.4724,1583,145.5384,1635255960000,50,
145.4,145.47,145.3,145.47,2234,145.3933,1635256020000,44,
145.55,145.625,145.55,145.625,2069,145.5695,1635256080000,40,
145.7,145.7,145.6,145.6,3199,145.6469,1635256140000,67,
145.55,145.61,145.5,145.515,3799,145.5589,1635256200000,71,
145.56,145.56,145.465,145.465,867,145.5006,1635256260000,27,
145.455,145.59,145.42,145.49,2433,145.5009,1635256320000,45,
145.4622,145.4622,145.4622,145.4622,828,145.4683,1635256440000,29,
145.54,145.63,145.5,145.56,6161,145.5952,1635256500000,66,
145.5799,145.5799,145.4736,145.4736,1061,145.5009,1635256560000,30,
145.47,145.47,145.4,145.4,1114,145.4327,1635256620000,35,
145.47,145.54,145.45,145.495,1522,145.4873,1635256680000,34,
145.505,145.615,145.46,145.615,1338,145.5276,1635256740000,33,
145.57,145.6,145.43,145.43,3781,145.5073,1635256800000,81,
145.33,145.42,145.3,145.41,1439,145.3887,1635256860000,44,
145.42,145.49,145.41,145.49,1107,145.4233,1635256920000,30,
145.38,145.43,145.37,145.387,1613,145.3862,1635256980000,46,
145.44,145.5,145.44,145.5,1557,145.4811,1635257040000,44,
145.49,145.49,145.4,145.4,1224,145.4499,1635257100000,50,
145.4,145.4,145.29,145.29,6680,145.3497,1635257160000,54,
145.31,145.34,145.23,145.23,1849,145.2873,1635257220000,57,
145.23,145.29,145.23,145.285,1493,145.2626,1635257280000,56,
145.345,145.45,145.3,145.45,3037,145.3736,1635257340000,63,
145.46,145.48,145.37,145.48,2667,145.4375,1635257400000,69,
145.46,145.48,145.39,145.39,1531,145.4328,1635257460000,45,
145.37,145.51,145.37,145.5,1460,145.4192,1635257520000,59,
145.55,145.56,145.55,145.55,1074,145.5515,1635257580000,23,
145.52,145.58,145.51,145.54,1949,145.5413,1635257640000,62,
145.53,145.53,145.52,145.52,985,145.5255,1635257700000,43,
145.51,145.51,145.48,145.48,1019,145.511,1635257760000,28,
145.5,145.5,145.47,145.47,621,145.4865,1635257820000,30,
145.46,145.46,145.27,145.27,2348,145.3766,1635257880000,71,
145.2,145.31,145.2,145.3,1161,145.2672,1635257940000,45,
145.32,145.32,145.1,145.1,2228,145.24,1635258000000,47,
145.13,145.13,145.02,145.07,3816,145.0678,1635258060000,68,
145.07,145.07,145.04,145.06,2018,145.0573,1635258120000,47,
145.065,145.17,145.065,145.1109,6535,145.1001,1635258180000,75,
145.1,145.11,145.03,145.055,1978,145.0737,1635258240000,83,
145.045,145.18,145.0,145.18,10401,145.0223,1635258300000,108,
145.14,145.14,145.08,145.115,1682,145.1161,1635258360000,42,
145.115,145.2,145.09,145.15,3169,145.1365,1635258420000,78,
145.18,145.205,145.18,145.205,1331,145.1801,1635258480000,39,
145.2,145.25,145.2,145.22,6375,145.2196,1635258540000,112,
145.185,145.21,145.17,145.21,2439,145.1893,1635258600000,72,
145.27,145.3,145.2407,145.2407,1110,145.2576,1635258660000,28,
145.31,145.31,145.21,145.2268,1390,145.2409,1635258720000,40,
145.25,145.26,145.2,145.26,13191,145.21,1635258780000,77,
145.235,145.28,145.2,145.21,1510,145.2221,1635258840000,37,
145.23,145.36,145.23,145.33,5702,145.3092,1635258900000,116,
145.335,145.36,145.3,145.3,4168,145.3159,1635258960000,71,
145.3,145.31,145.28,145.295,1596,145.3021,1635259020000,33,
145.295,145.31,145.24,145.24,2077,145.2819,1635259080000,54,
145.23,145.25,145.2,145.23,3366,145.232,1635259140000,57,
145.2466,145.29,145.2466,145.25,999,145.2554,1635259200000,32,
145.29,145.3274,145.2725,145.29,4079,145.2999,1635259260000,77,
145.31,145.4,145.285,145.4,1989,145.336,1635259320000,81,
145.42,145.42,145.37,145.3775,3362,145.3894,1635259380000,65,
145.4,145.4,145.36,145.4,1831,145.391,1635259440000,36,
145.36,145.37,145.32,145.33,1600,145.3462,1635259500000,49,
145.32,145.45,145.32,145.45,3245,145.3685,1635259560000,92,
145.43,145.51,145.415,145.51,3537,145.4514,1635259620000,73,
145.54,145.58,145.47,145.48,3096,145.5184,1635259680000,84,
145.54,145.63,145.54,145.62,1415,145.5792,1635259740000,43,
145.65,145.67,145.6,145.604,1950,145.6365,1635259800000,46,
145.58,145.6,145.58,145.59,785,145.5857,1635259860000,38,
145.56,145.56,145.53,145.54,2109,145.5534,1635259920000,40,
145.58,145.68,145.58,145.59,2575,145.5826,1635259980000,69,
145.6,145.64,145.6,145.63,1439,145.6156,1635260040000,36,
145.61,145.65,145.6,145.6,2525,145.6241,1635260100000,66,
145.62,145.71,145.62,145.71,1908,145.6596,1635260160000,57,
