open,high,low,close,volume,vwap,timestamp,transactions,otc
98.64,98.64,98.64,98.64,107,98.614,1690459200000,7,
98.02,98.02,98.02,98.02,880,98.02,1690462500000,1,
98.5,98.5,98.39,98.39,37039,98.4989,1690464600000,67,
98.39,98.39,98.33,98.39,3897,98.3783,1690464660000,109,
98.35,98.35,98.28,98.34,3706,98.3114,1690464720000,95,
98.32,98.5,98.32,98.5,4710,98.4123,1690464780000,114,
98.495,98.53,98.45,98.48,4332,98.4899,1690464840000,65,
98.485,98.485,98.36,98.3692,6846,98.3923,1690464900000,136,
98.34,98.365,98.315,98.36,3916,98.3357,1690464960000,93,
98.37,98.4,98.32,98.36,3392,98.3651,1690465020000,97,
98.35,98.41,98.33,98.3357,3007,98.3809,1690465080000,67,
98.33,98.335,98.26,98.27,4208,98.2954,1690465140000,88,
98.26,98.29,98.24,98.29,3918,98.2716,1690465200000,81,
98.31,98.35,98.31,98.34,2151,98.326,1690465260000,54,
98.34,98.39,98.2796,98.39,9358,98.3172,1690465320000,180,
98.37,98.37,98.31,98.32,2047,98.3362,1690465380000,50,
98.31,98.3435,98.29,98.3435,3216,98.3131,1690465440000,71,
98.34,98.355,98.25,98.3,3828,98.2894,1690465500000,91,
98.28,98.35,98.25,98.35,5103,98.3026,1690465560000,140,
98.34,98.37,98.25,98.3,4090,98.3154,1690465620000,109,
98.3,98.32,98.28,98.31,14467,98.316,1690465680000,247,
98.31,98.41,98.3,98.41,20737,98.3291,1690465740000,380,
98.4,98.4729,98.39,98.43,9475,98.4231,1690465800000,171,
98.43,98.485,98.415,98.46,6077,98.4443,1690465860000,125,
98.44,98.51,98.44,98.51,2002,98.4801,1690465920000,81,
98.49,98.49,98.4682,98.475,3020,98.4823,1690465980000,74,
98.5,98.51,98.44,98.44,2891,98.4758,1690466040000,94,
98.41,98.44,98.4,98.4125,4491,98.4196,1690466100000,107,
98.41,98.48,98.41,98.48,4226,98.4352,1690466160000,115,
98.47,98.495,98.45,98.495,5259,98.468,1690466220000,119,
98.5,98.54,98.4856,98.51,34861,98.5038,1690466280000,375,
98.5,98.5,98.43,98.49,7200,98.4611,1690466340000,140,
98.49,98.49,98.335,98.335,4109,98.4043,1690466400000,129,
98.34,98.355,98.27,98.28,3226,98.3165,1690466460000,138,
98.29,98.33,98.28,98.32,7339,98.3014,1690466520000,195,
98.3299,98.3299,98.202,98.202,9509,98.2641,1690466580000,182,
98.22,98.31,98.2058,98.29,12648,98.2597,1690466640000,246,
98.31,98.37,98.29,98.37,4056,98.3238,1690466700000,114,
98.36,98.38,98.29,98.315,7401,98.3366,1690466760000,136,
98.3,98.39,98.3,98.365,9155,98.3503,1690466820000,147,
98.38,98.39,98.35,98.36,3103,98.3669,1690466880000,77,
98.36,98.36,98.315,98.335,5429,98.3462,1690466940000,117,
98.31,98.365,98.295,98.36,6946,98.3198,1690467000000,147,
98.35,98.35,98.33,98.33,2629,98.3402,1690467060000,60,
98.33,98.35,98.295,98.345,7665,98.3151,1690467120000,159,
98.335,98.36,98.3,98.32,5383,98.3201,1690467180000,99,
98.33,98.35,98.33,98.345,2595,98.3418,1690467240000,73,
98.33,98.35,98.3102,98.35,4333,98.332,1690467300000,75,
98.35,98.36,98.3,98.31,5443,98.3132,1690467360000,92,
98.32,98.33,98.28,98.31,12730,98.3036,1690467420000,224,
98.3,98.325,98.27,98.32,12270,98.2917,1690467480000,203,
98.32,98.34,98.295,98.3,4322,98.3185,1690467540000,99,
98.3,98.31,98.275,98.275,4827,98.2948,1690467600000,100,
98.275,98.34,98.275,98.32,5937,98.3063,1690467660000,143,
98.3257,98.34,98.29,98.305,7906,98.3171,1690467720000,151,
98.315,98.3487,98.3,98.31,3620,98.3336,1690467780000,88,
98.32,98.39,98.32,98.385,4186,98.3523,1690467840000,103,
98.39,98.4899,98.39,98.48,11763,98.4272,1690467900000,197,
98.47,98.4842,98.46,98.475,2317,98.4699,1690467960000,48,
98.48,98.5,98.47,98.49,2852,98.487,1690468020000,85,
98.5,98.52,98.48,98.48,3300,98.4994,1690468080000,114,
98.45,98.53,98.45,98.53,6149,98.484,1690468140000,159,
98.54,98.55,98.51,98.51,6059,98.5383,1690468200000,133,
98.515,98.54,98.495,98.495,1901,98.5205,1690468260000,62,
98.495,98.52,98.49,98.495,4330,98.5024,1690468320000,110,
98.475,98.48,98.45,98.45,6851,98.4678,1690468380000,119,
98.46,98.49,98.4402,98.485,2491,98.4666,1690468440000,111,
98.49,98.49,98.47,98.4799,1718,98.4752,1690468500000,56,
98.4627,98.56,98.455,98.56,9357,98.4938,1690468560000,180,
98.555,98.57,98.5,98.565,36655,98.5263,1690468620000,299,
98.58,98.655,98.58,98.655,31921,98.6042,1690468680000,160,
98.645,98.68,98.62,98.68,35481,98.6418,1690468740000,124,
98.66,98.67,98.57,98.58,8996,98.5988,1690468800000,119,
98.58,98.58,98.5325,98.54,3114,98.5593,1690468860000,74,
98.545,98.56,98.54,98.56,1819,98.5487,1690468920000,52,
98.55,98.55,98.5,98.52,4994,98.5151,1690468980000,136,
98.54,98.5474,98.5,98.5399,6989,98.5145,1690469040000,125,
98.535,98.58,98.53,98.58,3286,98.5587,1690469100000,70,
98.57,98.58,98.54,98.545,2060,98.559,1690469160000,57,
98.54,98.55,98.5,98.51,9011,98.5093,1690469220000,181,
98.51,98.52,98.43,98.44,9245,98.4899,1690469280000,192,
98.44,98.505,98.44,98.49,5020,98.4829,1690469340000,140,
98.51,98.51,98.445,98.445,1948,98.4795,1690469400000,56,
98.43,98.43,98.35,98.35,6097,98.3998,1690469460000,128,
98.35,98.42,98.27,98.42,34039,98.3429,1690469520000,446,
98.4,98.43,98.3,98.395,24008,98.3528,1690469580000,264,
98.39,98.42,98.36,98.4,6368,98.3902,1690469640000,114,
98.395,98.4,98.37,98.37,1781,98.3841,1690469700000,45,
98.37,98.4,98.36,98.39,10149,98.3926,1690469760000,97,
98.39,98.4119,98.38,98.41,3874,98.3934,1690469820000,73,
98.405,98.44,98.39,98.44,6269,98.4144,1690469880000,121,
98.43,98.44,98.37,98.41,22897,98.403,1690469940000,232,
98.4047,98.42,98.29,98.32,26680,98.3899,1690470000000,223,
