open,high,low,close,volume,vwap,timestamp,transactions,otc
145.16,145.16,145.15,145.15,1385,145.1291,2024-01-31 04:04:00,30,
145.16,145.16,145.15,145.15,3779,145.1603,2024-01-31 04:06:00,42,
144.89,144.89,144.89,144.89,1729,144.914,2024-01-31 04:07:00,63,
144.71,144.75,144.7,144.71,2642,144.7274,2024-01-31 04:09:00,39,
144.74,144.74,144.7,144.71,6287,144.707,2024-01-31 04:10:00,43,
144.7,144.7,144.7,144.7,3359,144.6944,2024-01-31 04:11:00,24,
144.45,144.72,144.45,144.6,3204,144.5701,2024-01-31 04:12:00,52,
144.63,144.83,144.63,144.82,5793,144.8084,2024-01-31 04:13:00,86,
144.82,144.9,144.77,144.9,4343,144.7922,2024-01-31 04:14:00,30,
144.93,144.99,144.9,144.9,6800,144.9101,2024-01-31 04:15:00,75,
144.81,144.92,144.76,144.92,4889,144.8746,2024-01-31 04:16:00,31,
144.92,144.92,144.92,144.92,587,144.9332,2024-01-31 04:17:00,17,
144.72,144.72,144.72,144.72,699,144.7185,2024-01-31 04:24:00,29,
144.53,144.53,144.5,144.5,779,144.5087,2024-01-31 04:35:00,27,
144.5,144.5,144.5,144.5,492,144.4888,2024-01-31 04:36:00,12,
144.54,144.54,144.54,144.54,799,144.5195,2024-01-31 04:42:00,51,
144.7,144.7,144.7,144.7,236,144.7364,2024-01-31 04:50:00,13,
144.7,144.7,144.7,144.7,348,144.7022,2024-01-31 04:52:00,13,
144.73,144.73,144.73,144.73,1941,144.7307,2024-01-31 04:55:00,45,
144.96,144.96,144.96,144.96,200,144.9596,2024-01-31 05:16:00,2,
144.95,144.95,144.95,144.95,601,144.9501,2024-01-31 05:18:00,6,
144.95,144.95,144.95,144.95,1043,144.95,2024-01-31 05:53:00,6,
144.95,144.95,144.95,144.95,670,144.95,2024-01-31 05:54:00,20,
144.9,144.9,144.9,144.9,3884,144.9,2024-01-31 06:01:00,96,
144.9,144.9,144.9,144.9,2445,144.9002,2024-01-31 06:02:00,46,
144.85,144.85,144.85,144.85,448,144.8504,2024-01-31 06:03:00,15,
144.97,145.03,144.97,145.03,2191,145.0145,2024-01-31 06:07:00,46,
145.45,145.8,145.45,145.8,4058,145.6791,2024-01-31 06:51:00,79,
145.6,145.8,145.6,145.8,2238,145.7497,2024-01-31 06:52:00,39,
145.8,145.8,145.8,145.8,351,145.8006,2024-01-31 06:54:00,7,
145.8,145.8,145.8,145.8,873,145.8,2024-01-31 06:55:00,9,
145.8,145.8,145.8,145.8,805,145.8004,2024-01-31 06:57:00,12,
145.7,145.8,145.7,145.7,1563,145.7555,2024-01-31 06:58:00,29,
145.3,145.3,145.3,145.3,1846,145.3061,2024-01-31 06:59:00,13,
145.3,145.3,145.21,145.21,3983,145.2741,2024-01-31 07:00:00,54,
145.2,145.2,145.2,145.2,445,145.2024,2024-01-31 07:02:00,19,
145.26,145.26,145.26,145.26,190,145.2539,2024-01-31 07:10:00,10,
145.39,145.39,145.39,145.39,402,145.3659,2024-01-31 07:16:00,15,
145.39,145.39,145.39,145.39,416,145.3149,2024-01-31 07:19:00,18,
145.21,145.21,145.2,145.2,3123,145.2063,2024-01-31 07:24:00,31,
145.3,145.3,145.3,145.3,448,145.2778,2024-01-31 07:26:00,11,
145.3,145.33,145.3,145.33,1331,145.3142,2024-01-31 07:31:00,34,
145.37,145.37,145.2,145.2,2274,145.3254,2024-01-31 07:32:00,57,
145.21,145.8,145.2,145.76,5991,145.4481,2024-01-31 07:47:00,134,
145.49,145.49,145.49,145.49,600,145.4974,2024-01-31 07:49:00,12,
145.5,145.5,145.5,145.5,204,145.4974,2024-01-31 07:52:00,2,
145.2004,146.344,145.2,146.344,2212,145.5844,2024-01-31 08:00:00,73,
145.69,145.69,145.69,145.69,3209,145.6703,2024-01-31 08:01:00,15,
145.3,145.78,145.0,145.78,7677,145.6243,2024-01-31 08:02:00,112,
145.14,145.14,145.14,145.14,468,145.224,2024-01-31 08:04:00,25,
145.5,145.5,145.5,145.5,638,145.495,2024-01-31 08:05:00,16,
145.33,145.33,145.33,145.33,373,145.3894,2024-01-31 08:16:00,14,
145.35,145.35,145.35,145.35,538,145.3475,2024-01-31 08:19:00,17,
145.33,145.33,145.33,145.33,205823,145.979,2024-01-31 08:20:00,7,
145.2,145.32,145.2,145.32,2950,145.2176,2024-01-31 08:21:00,18,
145.32,145.32,145.32,145.32,119,145.32,2024-01-31 08:23:00,1,
145.4098,145.4098,145.4098,145.4098,608,145.3945,2024-01-31 08:26:00,4,
145.28,145.3,145.28,145.3,778,145.2912,2024-01-31 08:29:00,14,
145.41,145.47,145.41,145.43,823,145.4391,2024-01-31 08:30:00,25,
145.45,145.45,145.3,145.3,310,145.3671,2024-01-31 08:32:00,6,
145.23,145.23,145.23,145.23,544,145.2552,2024-01-31 08:36:00,21,
145.31,145.31,145.27,145.27,1783,145.3007,2024-01-31 08:38:00,36,
145.285,145.38,145.285,145.38,908,145.3517,2024-01-31 08:41:00,15,
145.32,145.32,145.32,145.32,760,145.3402,2024-01-31 08:54:00,34,
145.37,145.4,145.37,145.4,329,145.3836,2024-01-31 08:56:00,5,
145.24,145.38,145.24,145.355,1895,145.319,2024-01-31 09:03:00,39,
145.38,145.39,145.335,145.335,503,145.3722,2024-01-31 09:06:00,12,
145.3,145.38,145.3,145.38,1139,145.3634,2024-01-31 09:08:00,21,
145.3,145.33,145.3,145.33,1760,145.3039,2024-01-31 09:11:00,49,
145.2995,145.2995,145.24,145.25,664,145.2532,2024-01-31 09:12:00,22,
145.24,145.39,145.24,145.39,1139,145.3157,2024-01-31 09:13:00,28,
145.41,145.41,145.41,145.41,831,145.4203,2024-01-31 09:14:00,28,
145.39,145.47,145.345,145.47,2045,145.4463,2024-01-31 09:15:00,47,
145.46,145.47,145.46,145.46,1213,145.4626,2024-01-31 09:16:00,19,
145.46,145.46,145.46,145.46,1043,145.4571,2024-01-31 09:17:00,26,
145.45,145.45,145.45,145.45,950,145.4073,2024-01-31 09:18:00,30,
145.3,145.3,145.2,145.21,1784,145.2229,2024-01-31 09:19:00,37,
145.3,145.3,145.23,145.23,663,145.2674,2024-01-31 09:20:00,13,
145.26,145.26,145.26,145.26,131,145.2611,2024-01-31 09:21:00,5,
145.3,145.3,145.3,145.3,699,145.3096,2024-01-31 09:22:00,28,
145.3,145.3,145.295,145.295,13147,145.3008,2024-01-31 09:23:00,43,
145.2,145.24,145.2,145.24,3508,145.2214,2024-01-31 09:25:00,64,
145.2,145.24,145.2,145.24,3999,145.2141,2024-01-31 09:27:00,74,
145.2,145.2,145.0,145.19,15821,145.1562,2024-01-31 09:28:00,204,
145.2,145.23,145.2,145.215,1626,145.2024,2024-01-31 09:29:00,49,
145.34,145.47,144.335,144.89,347196,145.0696,2024-01-31 09:30:00,3940,
144.78,145.29,144.75,145.16,46019,144.988,2024-01-31 09:31:00,904,
145.12,145.45,144.85,144.99,96221,145.155,2024-01-31 09:32:00,1680,
145.0,145.615,144.96,145.615,93258,145.292,2024-01-31 09:33:00,1470,
145.59,145.59,145.15,145.24,31969,145.2723,2024-01-31 09:34:00,716,
145.26,145.29,144.93,145.06,54559,145.0788,2024-01-31 09:35:00,939,
145.12,145.79,145.12,145.745,72781,145.5027,2024-01-31 09:36:00,1372,
145.655,145.7,145.32,145.585,44944,145.5191,2024-01-31 09:37:00,716,
145.57,145.71,145.31,145.31,37730,145.5549,2024-01-31 09:38:00,661,
145.285,145.75,145.23,145.58,48683,145.5165,2024-01-31 09:39:00,844,
145.55,145.89,145.4082,145.795,38210,145.5982,2024-01-31 09:40:00,789,
