open,high,low,close,volume,vwap,timestamp,transactions,otc
60.81,60.81,60.81,60.81,501,60.8115,1603791240000,3,
60.81,60.81,60.81,60.81,238,60.8107,1603796400000,7,
60.2,60.2,60.2,60.2,200,60.2,1603797000000,1,
60.5,60.5,60.5,60.5,116,60.5,1603797540000,1,
60.3,60.3,60.15,60.15,802,60.1939,1603797660000,8,
60.15,60.15,60.15,60.15,1930,60.15,1603797720000,7,
60.2,60.76,60.2,60.76,2390,60.53,1603798080000,23,
61.05,61.06,61.0,61.0,500,61.0362,1603798200000,7,
61.0,61.0,61.0,61.0,1000,61.0003,1603798680000,14,
60.1,61.36,60.1,61.36,3850,60.4459,1603800000000,26,
61.0,61.0,61.0,61.0,1020,60.3047,1603800060000,13,
61.37,61.42,61.37,61.42,905,61.4104,1603800540000,6,
61.3943,61.3943,61.3943,61.3943,1012,61.3934,1603800840000,3,
61.0,61.0,61.0,61.0,273,61.0524,1603801020000,7,
61.1,61.1,61.1,61.1,268,61.0713,1603801200000,6,
61.0,61.07,61.0,61.07,2400,61.0068,1603801980000,25,
61.15,61.15,61.0,61.0,850,61.0482,1603802280000,15,
61.16,61.16,61.16,61.16,120,61.1333,1603802340000,3,
61.0,61.0,61.0,61.0,1160,61.0045,1603803120000,19,
61.0,61.01,61.0,61.01,3841,61.001,1603803180000,47,
61.0,61.0,60.85,60.85,6015,60.9863,1603803240000,30,
60.0,60.17,60.0,60.17,650,60.1501,1603803300000,12,
60.25,60.33,60.25,60.33,623,60.2683,1603803420000,8,
60.4,60.4,60.4,60.4,322,60.2868,1603803480000,10,
60.18,60.18,60.18,60.18,710,60.1914,1603803600000,11,
60.16,60.22,60.16,60.22,450,60.2022,1603803660000,5,
60.5,60.5,60.5,60.5,265,60.5617,1603803780000,4,
60.4698,60.47,60.4698,60.47,425,60.4452,1603804020000,7,
60.47,60.5,60.47,60.5,255,60.4882,1603804080000,4,
60.5,60.5,60.5,60.5,217,60.5002,1603804620000,5,
60.5,60.58,60.2,60.2,2640,60.4128,1603805100000,31,
60.3598,60.3598,60.3598,60.3598,702,60.352,1603805220000,5,
60.3,60.3,60.3,60.3,350,60.2714,1603805280000,5,
60.16,60.16,59.84,59.91,3310,59.9898,1603805340000,59,
59.77,59.8,59.04,59.7,162879,59.1553,1603805400000,694,
59.67,59.67,59.3,59.3933,77336,59.4239,1603805460000,506,
59.42,59.73,59.24,59.46,41339,59.4637,1603805520000,500,
59.33,59.48,59.2,59.48,53440,59.2802,1603805580000,346,
59.43,59.48,59.13,59.145,61266,59.2378,1603805640000,294,
59.1225,59.32,59.09,59.31,98086,59.2049,1603805700000,309,
59.32,59.54,59.29,59.31,64842,59.3867,1603805760000,497,
59.31,59.48,59.31,59.425,60299,59.3873,1603805820000,471,
59.41,59.67,59.385,59.67,71596,59.5281,1603805880000,194,
59.63,59.73,59.61,59.67,45057,59.6646,1603805940000,276,
59.7,59.7,59.58,59.61,20229,59.6332,1603806000000,196,
59.61,59.63,59.32,59.37,32668,59.4711,1603806060000,236,
59.42,59.53,59.345,59.345,31715,59.4425,1603806120000,214,
59.335,59.41,59.295,59.3325,21986,59.3453,1603806180000,207,
59.305,59.47,59.2875,59.465,12339,59.3501,1603806240000,153,
59.4687,59.51,59.35,59.35,34784,59.4571,1603806300000,242,
59.355,59.39,59.3,59.315,28746,59.3377,1603806360000,252,
59.315,59.48,59.28,59.305,43981,59.3763,1603806420000,307,
59.29,59.46,59.23,59.2625,57041,59.3533,1603806480000,315,
59.25,59.255,59.07,59.07,73333,59.1646,1603806540000,398,
59.07,59.12,58.93,59.08,65567,59.0203,1603806600000,619,
59.055,59.12,59.01,59.04,23419,59.0482,1603806660000,238,
59.03,59.185,59.01,59.16,27899,59.1082,1603806720000,232,
59.19,59.26,59.11,59.2444,24199,59.1877,1603806780000,190,
59.23,59.23,59.065,59.08,36232,59.1478,1603806840000,221,
59.085,59.15,59.06,59.125,13929,59.0996,1603806900000,167,
59.14,59.1651,59.06,59.0622,34881,59.1141,1603806960000,300,
59.06,59.16,59.06,59.13,32563,59.1139,1603807020000,273,
59.135,59.135,59.08,59.135,13959,59.1043,1603807080000,175,
59.135,59.17,59.07,59.17,34985,59.1268,1603807140000,276,
59.1647,59.26,59.16,59.2,33105,59.2034,1603807200000,327,
59.22,59.23,59.05,59.05,29131,59.1287,1603807260000,341,
59.07,59.15,59.05,59.13,28758,59.0929,1603807320000,278,
59.125,59.21,59.12,59.17,19468,59.1574,1603807380000,261,
59.18,59.27,59.16,59.2,23367,59.2036,1603807440000,312,
59.19,59.33,59.19,59.29,44121,59.2415,1603807500000,456,
59.29,59.3,59.24,59.24,50001,59.255,1603807560000,306,
59.245,59.28,59.2,59.27,26278,59.2384,1603807620000,294,
59.28,59.32,59.2322,59.2575,55807,59.2713,1603807680000,289,
59.26,59.369,59.23,59.33,36243,59.2689,1603807740000,303,
59.32,59.3251,59.25,59.31,17607,59.2895,1603807800000,196,
59.3,59.33,59.205,59.21,24824,59.2583,1603807860000,260,
59.22,59.28,59.1901,59.21,38239,59.2142,1603807920000,358,
59.2,59.26,59.15,59.2,23775,59.1928,1603807980000,280,
59.2,59.24,59.18,59.2,10818,59.2106,1603808040000,171,
59.22,59.2282,59.11,59.115,20677,59.1632,1603808100000,244,
59.1199,59.17,58.87,58.87,125081,59.0509,1603808160000,724,
58.87,58.95,58.82,58.8311,30823,58.8846,1603808220000,332,
58.82,59.005,58.805,58.95,42157,58.922,1603808280000,464,
58.942,58.96,58.78,58.79,62178,58.847,1603808340000,389,
58.784,58.83,58.775,58.78,29829,58.7974,1603808400000,338,
58.785,58.8778,58.76,58.865,28586,58.7988,1603808460000,304,
58.87,58.87,58.81,58.81,27726,58.8425,1603808520000,373,
58.805,58.81,58.72,58.73,51581,58.772,1603808580000,510,
58.72,58.8392,58.72,58.8351,28849,58.8034,1603808640000,362,
58.83,58.83,58.705,58.705,19972,58.7407,1603808700000,311,
58.72,58.8,58.69,58.8,34686,58.7436,1603808760000,374,
58.8,58.88,58.78,58.86,25994,58.8294,1603808820000,279,
58.85,58.89,58.84,58.88,21453,58.8663,1603808880000,240,
58.88,58.905,58.845,58.905,20762,58.8725,1603808940000,262,
58.9,58.91,58.83,58.86,26420,58.8759,1603809000000,365,
58.87,58.88,58.8,58.83,23371,58.8347,1603809060000,276,
58.835,58.91,58.81,58.905,27203,58.8475,1603809120000,327,
58.9,58.92,58.82,58.835,26000,58.8696,1603809180000,288,
58.81,58.815,58.765,58.81,19227,58.7903,1603809240000,298,
58.81,58.815,58.75,58.805,27518,58.7716,1603809300000,348,
58.81,58.855,58.74,58.74,19059,58.8036,1603809360000,270,
58.735,58.83,58.73,58.825,40859,58.7782,1603809420000,345,
58.825,58.9,58.805,58.89,28287,58.8564,1603809480000,355,
58.88,58.905,58.85,58.9,22503,58.8776,1603809540000,254,
58.9,58.96,58.88,58.96,19552,58.9092,1603809600000,282,
58.95,59.0,58.85,58.85,25248,58.9535,1603809660000,290,
58.84,58.845,58.75,58.75,20013,58.7945,1603809720000,215,
58.755,58.82,58.74,58.79,31174,58.7917,1603809780000,291,
58.805,58.8401,58.8,58.81,17580,58.8209,1603809840000,185,
58.8,58.87,58.79,58.8101,21249,58.825,1603809900000,254,
58.82,58.83,58.71,58.74,22051,58.7586,1603809960000,305,
58.76,59.04,58.75,58.77,10700,58.7737,1603810020000,193,
58.78,58.9178,58.78,58.9059,24262,58.8509,1603810080000,282,
58.9,58.95,58.875,58.94,11511,58.9015,1603810140000,148,
58.92,58.925,58.855,58.865,13805,58.8787,1603810200000,152,
58.865,58.9,58.85,58.85,22844,58.8643,1603810260000,246,
58.8574,58.88,58.845,58.85,19183,58.8606,1603810320000,225,
58.86,58.869,58.78,58.8246,20163,58.8225,1603810380000,296,
58.82,58.82,58.71,58.72,21933,58.7589,1603810440000,249,
58.72,58.815,58.72,58.8,24701,58.7615,1603810500000,269,
58.79,58.79,58.695,58.7,16595,58.7328,1603810560000,237,
58.69,58.77,58.69,58.75,17849,58.7412,1603810620000,239,
58.76,58.82,58.76,58.81,17801,58.784,1603810680000,238,
58.8014,58.815,58.63,58.64,34995,58.714,1603810740000,314,
58.64,58.68,58.6,58.67,28643,58.623,1603810800000,339,
58.67,58.71,58.625,58.64,15602,58.6692,1603810860000,196,
58.65,58.71,58.63,58.665,14790,58.67,1603810920000,227,
58.67,58.68,58.62,58.66,25259,58.653,1603810980000,219,
58.655,58.7,58.655,58.6931,8548,58.6785,1603811040000,143,
58.7,58.79,58.67,58.78,18716,58.6998,1603811100000,201,
58.77,58.79,58.71,58.71,10730,58.7496,1603811160000,158,
58.7112,58.74,58.69,58.725,17083,58.7196,1603811220000,199,
58.73,58.73,58.62,58.64,25418,58.6649,1603811280000,288,
58.65,58.68,58.63,58.64,11275,58.6539,1603811340000,156,
58.63,58.635,58.6,58.625,18766,58.6195,1603811400000,200,
