open,high,low,close,volume,vwap,timestamp,transactions,otc
65.99,66.69,65.99,66.69,789,66.1952,1652094000000,26,
66.4,66.4,66.4,66.4,100,66.4,1652094420000,1,
66.06,66.06,66.06,66.06,150,66.06,1652096160000,1,
66.39,66.39,66.06,66.06,1053,66.2649,1652097600000,18,
66.1,66.1,66.1,66.1,1000,66.1,1652099040000,2,
66.44,66.49,65.96,66.08,113335,66.3787,1652103000000,582,
66.11,66.3,66.03,66.16,17866,66.1486,1652103060000,293,
66.17,66.4,66.16,66.26,15192,66.2851,1652103120000,241,
66.26,66.3113,66.15,66.19,24428,66.2226,1652103180000,183,
66.18,66.23,66.0,66.23,25716,66.0905,1652103240000,280,
66.25,66.34,66.15,66.27,27149,66.2715,1652103300000,412,
66.31,66.42,66.22,66.42,22150,66.3083,1652103360000,276,
66.37,66.4,65.97,65.99,27545,66.1297,1652103420000,341,
65.96,66.32,65.93,66.31,18769,66.1269,1652103480000,252,
66.29,66.4,66.13,66.16,19171,66.3169,1652103540000,242,
66.18,66.35,65.88,66.31,27705,66.0929,1652103600000,376,
66.33,66.43,66.11,66.3,17099,66.2576,1652103660000,208,
66.3,66.3,66.01,66.02,8963,66.1202,1652103720000,132,
66.0,66.18,65.86,65.88,32301,66.0188,1652103780000,387,
65.87,66.44,65.81,65.94,150469,66.334,1652103840000,282,
65.96,65.96,65.62,65.73,17330,65.7633,1652103900000,288,
65.73,65.73,65.45,65.48,24579,65.5433,1652103960000,310,
65.45,65.6,65.42,65.59,8998,65.4911,1652104020000,160,
65.57,65.75,65.57,65.73,10233,65.6617,1652104080000,139,
65.76,65.79,65.65,65.73,16084,65.7107,1652104140000,174,
65.7017,65.76,65.41,65.43,18683,65.584,1652104200000,264,
65.43,65.7301,65.43,65.71,55547,65.6054,1652104260000,597,
65.73,65.77,65.555,65.64,55106,65.6604,1652104320000,545,
65.64,65.72,65.53,65.69,95875,65.623,1652104380000,864,
65.7,65.76,65.6,65.64,89366,65.6814,1652104440000,903,
65.64,65.69,65.45,65.49,42167,65.5816,1652104500000,557,
65.49,65.71,65.48,65.68,53548,65.6055,1652104560000,418,
65.68,65.84,65.63,65.655,18347,65.7014,1652104620000,201,
65.67,65.87,65.64,65.825,37436,65.7452,1652104680000,344,
65.8,65.95,65.71,65.92,38752,65.7683,1652104740000,267,
65.88,65.9,65.42,65.4475,49308,65.6267,1652104800000,598,
65.44,65.76,65.42,65.7,26688,65.6269,1652104860000,286,
65.72,65.81,65.625,65.74,17965,65.7276,1652104920000,288,
65.74,65.84,65.69,65.83,26110,65.7688,1652104980000,266,
65.8439,65.87,65.625,65.66,11634,65.7386,1652105040000,177,
65.65,65.695,65.6,65.67,13471,65.6593,1652105100000,255,
65.67,65.7,65.54,65.54,7732,65.6201,1652105160000,144,
65.54,65.56,65.395,65.41,12295,65.4905,1652105220000,164,
65.42,65.54,65.4,65.4,15061,65.4762,1652105280000,185,
65.38,65.42,65.33,65.42,36460,65.3778,1652105340000,226,
65.4,65.53,65.4,65.5,21516,65.484,1652105400000,323,
65.48,65.52,65.45,65.505,17287,65.4906,1652105460000,262,
65.49,65.57,65.42,65.52,19108,65.4997,1652105520000,248,
65.494,65.58,65.42,65.48,24073,65.5229,1652105580000,413,
65.4555,65.52,65.4,65.4,18613,65.4804,1652105640000,235,
65.37,65.52,65.36,65.47,36264,65.4391,1652105700000,470,
65.45,65.59,65.4,65.5,25176,65.5095,1652105760000,336,
65.53,65.56,65.41,65.41,9259,65.4805,1652105820000,189,
65.42,65.44,65.35,65.42,11733,65.4001,1652105880000,164,
65.41,65.43,65.3,65.33,24908,65.3522,1652105940000,251,
65.34,65.397,65.24,65.26,44898,65.3293,1652106000000,293,
65.25,65.39,65.25,65.32,14149,65.3148,1652106060000,230,
65.32,65.33,65.17,65.17,21557,65.2404,1652106120000,229,
65.19,65.21,65.1,65.11,21360,65.1641,1652106180000,272,
65.11,65.12,64.99,65.0,34486,65.0328,1652106240000,382,
65.0,65.13,64.995,65.1,25454,65.044,1652106300000,349,
65.12,65.165,65.06,65.16,23980,65.1108,1652106360000,349,
65.1359,65.23,65.13,65.21,12392,65.1711,1652106420000,224,
65.23,65.24,65.14,65.17,12379,65.1949,1652106480000,233,
65.16,65.16,65.1,65.125,9458,65.1344,1652106540000,210,
65.12,65.13,65.05,65.09,8969,65.088,1652106600000,177,
65.1,65.12,65.01,65.02,22096,65.0629,1652106660000,265,
65.01,65.1,65.01,65.1,16922,65.0512,1652106720000,220,
65.08,65.115,64.97,64.97,12710,65.0552,1652106780000,238,
64.96,65.07,64.96,65.02,21374,65.0149,1652106840000,343,
65.01,65.1,64.97,65.09,17582,65.0535,1652106900000,251,
65.06,65.11,65.01,65.01,14687,65.0521,1652106960000,224,
65.01,65.04,64.92,64.93,18050,64.9925,1652107020000,283,
64.93,65.03,64.92,65.03,35606,64.9874,1652107080000,519,
65.02,65.04,64.835,64.93,29433,64.9453,1652107140000,368,
64.94,65.16,64.93,65.1,37310,65.0345,1652107200000,396,
65.095,65.26,65.09,65.19,30515,65.1599,1652107260000,384,
65.2,65.246,65.16,65.17,19191,65.1956,1652107320000,213,
65.15,65.18,65.09,65.15,15270,65.1406,1652107380000,257,
65.13,65.15,65.07,65.14,12714,65.1184,1652107440000,189,
65.15,65.235,65.12,65.235,16221,65.1859,1652107500000,254,
65.25,65.38,65.25,65.285,6041,65.3089,1652107560000,133,
65.185,65.37,65.18,65.37,10975,65.2497,1652107620000,181,
65.36,65.36,65.3,65.31,17217,65.3389,1652107680000,195,
65.295,65.43,65.295,65.35,19867,65.3678,1652107740000,281,
65.35,65.35,65.17,65.19,15260,65.2593,1652107800000,251,
65.19,65.21,65.0,65.0,6666,65.1464,1652107860000,128,
65.02,65.09,65.01,65.06,18510,65.0573,1652107920000,238,
65.06,65.15,65.05,65.11,4776,65.0963,1652107980000,130,
65.11,65.14,65.0582,65.0582,4707,65.1056,1652108040000,98,
65.038,65.13,65.03,65.05,6717,65.0693,1652108100000,133,
65.065,65.15,64.97,65.15,27636,65.054,1652108160000,374,
65.13,65.21,65.08,65.12,13475,65.139,1652108220000,216,
65.14,65.17,65.1,65.1,9341,65.1226,1652108280000,171,
65.09,65.13,65.03,65.04,7745,65.0874,1652108340000,161,
65.03,65.11,64.97,65.05,21375,65.0418,1652108400000,326,
65.05,65.06,64.98,64.98,8873,65.033,1652108460000,144,
64.98,64.98,64.83,64.845,14396,64.9186,1652108520000,200,
64.85,64.97,64.85,64.91,28491,64.9098,1652108580000,401,
64.9,65.04,64.9,64.98,20309,64.9378,1652108640000,300,
64.97,64.97,64.84,64.84,10718,64.8705,1652108700000,198,
64.855,64.94,64.835,64.86,17379,64.8647,1652108760000,203,
64.86,64.96,64.82,64.91,9213,64.8911,1652108820000,239,
64.9,65.0,64.8978,64.97,17882,64.9458,1652108880000,262,
64.97,65.025,64.945,64.99,6905,64.9738,1652108940000,175,
64.995,65.13,64.99,65.12,13734,65.0668,1652109000000,222,
65.1,65.125,65.06,65.095,11860,65.095,1652109060000,140,
65.085,65.13,65.02,65.08,8050,65.0525,1652109120000,135,
65.06,65.06,64.93,64.93,5864,64.9984,1652109180000,110,
64.9,65.02,64.9,65.01,9696,64.9712,1652109240000,158,
65.0,65.18,65.0,65.15,11114,65.096,1652109300000,223,
65.19,65.28,65.16,65.175,8111,65.2066,1652109360000,176,
65.16,65.16,65.05,65.1,11816,65.0951,1652109420000,231,
65.06,65.07,64.99,64.99,10101,65.0185,1652109480000,240,
64.96,64.98,64.92,64.92,9173,64.9586,1652109540000,231,
64.91,64.92,64.845,64.905,11660,64.8937,1652109600000,255,
64.86,64.92,64.82,64.89,14682,64.8851,1652109660000,249,
64.87,64.95,64.87,64.92,11602,64.9181,1652109720000,267,
64.91,64.93,64.8,64.89,25771,64.8651,1652109780000,527,
64.871,64.99,64.87,64.98,18335,64.9286,1652109840000,432,
64.96,64.98,64.87,64.885,9064,64.9422,1652109900000,214,
64.85,64.86,64.82,64.86,8510,64.8614,1652109960000,194,
64.86,64.9,64.84,64.84,6974,64.8724,1652110020000,187,
64.84,64.93,64.79,64.91,16385,64.86,1652110080000,439,
64.95,64.95,64.835,64.84,11022,64.8819,1652110140000,302,
64.84,64.84,64.6898,64.6898,14478,64.7619,1652110200000,372,
64.68,64.68,64.6,64.6,20193,64.6634,1652110260000,392,
64.5953,64.66,64.5953,64.6441,15049,64.6375,1652110320000,283,
64.63,64.8,64.61,64.8,13864,64.6792,1652110380000,325,
64.82,64.83,64.77,64.82,11214,64.8008,1652110440000,224,
64.83,64.91,64.75,64.8,50165,64.806,1652110500000,883,
64.8,64.83,64.74,64.74,8172,64.7956,1652110560000,167,
64.74,64.77,64.72,64.75,9864,64.7475,1652110620000,190,
64.75,64.86,64.72,64.86,10540,64.7811,1652110680000,253,
64.9,65.0,64.88,64.99,12469,64.9604,1652110740000,321,
64.96,64.97,64.835,64.86,11537,64.916,1652110800000,258,
64.87,64.99,64.83,64.99,11684,64.8937,1652110860000,330,
64.99,65.0,64.94,65.0,9365,64.9623,1652110920000,260,
65.0,65.03,64.92,64.92,10611,64.9864,1652110980000,223,
64.95,64.97,64.91,64.93,9746,64.9346,1652111040000,196,
64.96,65.0,64.9,64.98,8948,64.9429,1652111100000,251,
64.96,64.99,64.93,64.99,5614,64.9518,1652111160000,169,
65.0,65.02,64.9,64.93,15895,64.9714,1652111220000,333,
64.915,64.97,64.9,64.9,12396,64.9308,1652111280000,289,
64.89,64.89,64.83,64.875,15250,64.8628,1652111340000,412,
64.89,65.04,64.88,65.03,16570,64.9567,1652111400000,414,
65.02,65.06,64.99,64.99,30498,65.0182,1652111460000,342,
64.98,65.03,64.925,64.99,13121,64.9792,1652111520000,189,
65.0,65.0,64.945,64.965,5513,64.9751,1652111580000,130,
64.98,65.03,64.97,64.99,22846,65.0035,1652111640000,300,
65.0,65.02,64.94,65.02,12638,64.9718,1652111700000,223,
65.01,65.02,64.96,64.97,17333,64.987,1652111760000,234,
64.95,65.01,64.93,64.99,14117,64.9647,1652111820000,268,
65.01,65.06,64.89,64.89,21368,64.9669,1652111880000,367,
