open,high,low,close,volume,vwap,timestamp,transactions,otc
209.28,212.21,206.35,209.885,32730,208.9309,1604064600000,143,
209.885,212.485,207.942,208.99,9346,210.1507,1604064660000,146,
209.27,210.76,209.025,209.025,3937,209.5163,1604064720000,56,
208.5,209.56,208.26,209.35,21886,209.1172,1604064780000,256,
209.36,209.46,208.455,209.045,9809,209.0604,1604064840000,132,
208.76,209.9,207.0,207.795,28765,208.3476,1604064900000,350,
207.56,208.18,206.705,207.565,4632,207.6484,1604064960000,53,
207.26,207.593,206.8,207.205,4687,207.2481,1604065020000,81,
207.01,207.11,206.54,206.54,2366,206.8675,1604065080000,47,
206.54,206.54,204.44,204.56,10485,205.4004,1604065140000,162,
204.605,204.605,204.005,204.05,6204,204.4706,1604065200000,44,
204.5,204.5,202.93,202.96,14463,203.4564,1604065260000,161,
202.7,203.24,202.01,202.67,10604,202.4536,1604065320000,87,
202.67,203.1,201.5,202.985,19970,202.1911,1604065380000,249,
202.99,203.36,202.08,202.08,5890,202.8268,1604065440000,76,
202.89,202.95,202.19,202.28,5596,202.5131,1604065500000,72,
202.15,203.19,201.65,202.905,26540,202.4465,1604065560000,209,
203.47,204.3,202.63,203.6891,20270,203.5457,1604065620000,202,
203.09,203.37,202.29,202.785,5701,203.0442,1604065680000,88,
202.45,202.54,201.5,201.5,4915,202.2221,1604065740000,68,
201.955,201.96,200.38,200.94,16182,201.0218,1604065800000,249,
201.08,201.095,199.55,199.68,25129,200.3178,1604065860000,299,
200.2,203.8,199.71,203.75,16482,201.8773,1604065920000,214,
203.8,205.61,203.75,205.445,13171,204.8533,1604065980000,208,
205.77,205.93,204.5,205.345,11670,205.2198,1604066040000,180,
205.345,205.6317,204.71,205.21,4496,205.2901,1604066100000,39,
205.19,205.595,204.86,205.34,2722,205.2838,1604066160000,43,
205.34,205.34,203.81,204.56,9141,204.598,1604066220000,121,
205.09,206.86,204.69,206.86,19077,205.3647,1604066280000,315,
206.86,206.86,204.9,204.9,7030,205.8096,1604066340000,88,
205.25,206.22,204.92,205.42,15272,205.444,1604066400000,149,
205.915,206.04,204.85,204.85,11326,205.2979,1604066460000,174,
205.575,206.42,204.84,206.42,3377,205.2813,1604066520000,58,
205.88,205.91,204.54,205.47,4237,205.5832,1604066580000,59,
205.185,205.185,204.39,204.61,2009,205.0094,1604066640000,13,
205.52,205.55,204.49,205.21,3136,205.1654,1604066700000,58,
205.21,205.21,204.44,204.44,1858,205.0037,1604066760000,16,
204.57,204.985,204.45,204.985,1752,204.756,1604066820000,14,
204.91,204.91,203.0,203.85,12850,203.7801,1604066880000,230,
203.745,203.81,203.72,203.81,1949,203.7279,1604066940000,32,
203.53,203.99,203.53,203.87,3318,203.8035,1604067000000,64,
203.955,203.955,203.7881,203.7881,671,203.946,1604067060000,11,
203.59,203.59,202.52,202.52,7176,203.2034,1604067120000,61,
202.5,202.67,202.02,202.13,3126,202.3144,1604067180000,50,
202.51,202.76,201.81,201.86,10926,202.287,1604067240000,196,
201.845,202.2,201.77,201.77,1092,201.9512,1604067300000,16,
202.1,202.105,201.78,202.105,2014,202.0473,1604067360000,45,
202.15,202.5923,201.85,202.545,13543,202.0824,1604067420000,188,
202.545,203.305,202.54,202.94,8061,202.9034,1604067480000,90,
202.94,203.47,202.79,203.47,2938,203.1826,1604067540000,44,
203.64,203.89,203.53,203.89,2416,203.6497,1604067600000,11,
203.63,203.68,203.03,203.03,4560,203.4942,1604067660000,67,
203.0801,203.285,202.715,202.88,3261,203.0702,1604067720000,39,
202.92,202.92,202.26,202.27,1586,202.6748,1604067780000,47,
202.2,202.62,202.2,202.62,540,202.491,1604067840000,15,
202.39,202.54,201.38,201.38,4371,202.0631,1604067900000,102,
201.605,201.72,201.01,201.575,5772,201.5937,1604067960000,101,
201.43,202.25,201.21,201.99,5927,201.8703,1604068020000,96,
201.91,201.91,201.73,201.73,1149,201.8146,1604068080000,22,
201.51,201.655,200.105,200.64,7392,200.8181,1604068140000,139,
200.56,201.47,200.4,200.945,9387,200.8897,1604068200000,148,
201.05,201.05,200.64,200.8,3292,200.8708,1604068260000,68,
200.87,200.94,200.2,200.2505,6080,200.5718,1604068320000,74,
200.505,200.545,200.29,200.33,1069,200.4533,1604068380000,15,
200.75,201.14,200.41,201.08,5706,200.9106,1604068440000,84,
200.9,201.025,200.7,200.7,4552,200.8937,1604068500000,102,
200.785,200.85,200.52,200.52,1660,200.7037,1604068560000,37,
200.425,200.66,200.32,200.585,4061,200.5801,1604068620000,75,
200.87,200.87,200.66,200.73,827,200.7298,1604068680000,19,
200.84,200.88,200.3,200.39,4500,200.6611,1604068740000,94,
200.37,200.39,199.55,199.69,6448,199.9856,1604068800000,124,
199.51,199.85,199.17,199.85,12425,199.482,1604068860000,233,
199.85,199.91,199.57,199.69,2183,199.6957,1604068920000,41,
199.71,199.93,199.0,199.14,7225,199.6237,1604068980000,145,
199.0,199.27,198.56,198.78,6662,199.0305,1604069040000,109,
199.07,199.26,198.96,198.99,4033,199.12,1604069100000,70,
198.9842,198.9842,198.73,198.84,1804,198.87,1604069160000,35,
198.94,199.38,198.25,198.46,11582,198.9496,1604069220000,163,
198.49,198.715,198.35,198.65,4478,198.5493,1604069280000,78,
198.5792,199.185,198.5792,199.185,3402,198.9191,1604069340000,68,
199.15,199.3,199.0,199.19,6733,199.1761,1604069400000,113,
199.153,200.33,199.153,200.33,2884,199.6427,1604069460000,56,
200.345,200.71,200.335,200.71,1969,200.4767,1604069520000,35,
200.81,201.13,200.58,200.88,3800,200.8179,1604069580000,69,
201.12,201.53,200.69,200.69,8031,201.1319,1604069640000,143,
200.79,200.9,200.58,200.835,3341,200.8077,1604069700000,48,
200.79,200.81,199.79,199.79,5895,200.4613,1604069760000,92,
199.82,199.84,199.35,199.53,3732,199.6582,1604069820000,65,
199.92,199.92,199.6,199.82,1122,199.8151,1604069880000,17,
199.7,199.7,198.86,199.12,3168,199.3987,1604069940000,67,
198.74,200.55,198.74,200.55,6365,199.563,1604070000000,133,
200.28,200.44,199.765,199.765,2737,200.1993,1604070060000,51,
200.03,200.23,199.74,199.83,2738,200.0305,1604070120000,25,
199.83,200.21,199.83,200.005,2869,200.0212,1604070180000,52,
200.005,200.12,199.59,199.805,8260,199.9159,1604070240000,121,
199.815,199.815,199.61,199.61,908,199.7627,1604070360000,27,
199.92,200.02,199.22,199.22,6017,199.7084,1604070420000,106,
199.18,199.34,199.08,199.12,2711,199.2119,1604070480000,59,
199.01,199.01,198.26,198.59,10265,198.7149,1604070540000,65,
198.59,198.905,198.59,198.745,826,198.7159,1604070600000,23,
198.92,199.2435,198.895,199.2435,2707,199.0068,1604070660000,70,
199.26,199.44,199.255,199.4,2043,199.3751,1604070720000,43,
199.57,199.86,199.26,199.5,12554,199.5772,1604070780000,217,
199.21,200.385,198.78,200.385,9840,199.6218,1604070840000,147,
200.22,200.42,200.02,200.42,8107,200.2552,1604070900000,114,
200.35,200.44,200.2,200.2475,2476,200.3215,1604070960000,55,
200.2675,200.37,200.205,200.32,1393,200.2406,1604071020000,40,
200.11,200.11,199.29,199.29,9992,199.6015,1604071080000,55,
199.29,199.29,198.5,198.55,6474,198.7186,1604071140000,96,
198.4,198.62,198.26,198.4,5897,198.4952,1604071200000,88,
198.63,199.27,198.585,199.22,9220,199.0259,1604071260000,129,
199.31,200.12,199.28,199.82,16532,199.7814,1604071320000,212,
199.95,200.08,199.82,199.965,2722,199.9211,1604071380000,45,
199.96,199.965,199.365,199.5502,2626,199.6685,1604071440000,43,
199.515,200.14,199.515,199.525,6561,199.7955,1604071500000,108,
199.31,199.5,199.22,199.46,1528,199.3975,1604071560000,29,
199.19,199.29,198.57,199.025,5882,198.8665,1604071620000,92,
198.8743,199.06,198.65,198.89,2937,198.8737,1604071680000,49,
198.98,199.07,198.93,199.07,2302,199.0029,1604071740000,49,
198.97,199.02,198.81,199.02,2369,198.9651,1604071800000,54,
199.06,199.06,198.535,198.555,2899,198.8019,1604071860000,50,
198.685,199.05,198.685,198.86,3278,198.8789,1604071920000,72,
198.94,198.94,198.94,198.94,483,198.9274,1604071980000,14,
198.71,199.26,198.71,199.18,6417,199.0936,1604072040000,109,
199.2525,199.47,199.24,199.47,1376,199.3469,1604072100000,28,
199.35,199.4,199.075,199.075,2244,199.2215,1604072160000,53,
