open,high,low,close,volume,vwap,timestamp,transactions,otc
15.24,15.24,15.24,15.24,231.0,15.24,2023-10-31 04:15:00,1,
15.23,15.23,15.23,15.23,1200.0,15.23,2023-10-31 04:26:00,9,
15.24,15.25,15.24,15.25,2551.0,15.2484,2023-10-31 04:44:00,9,
15.26,15.26,15.26,15.26,1025.0,15.2601,2023-10-31 05:02:00,9,
15.25,15.25,15.24,15.24,315.0,15.2432,2023-10-31 05:09:00,4,
15.23,15.23,15.23,15.23,500.0,15.23,2023-10-31 05:14:00,1,
15.23,15.23,15.23,15.23,207.0,15.2347,2023-10-31 05:42:00,4,
15.27,15.27,15.27,15.27,800.0,15.27,2023-10-31 05:44:00,4,
15.27,15.27,15.27,15.27,500.0,15.27,2023-10-31 05:59:00,1,
15.27,15.27,15.27,15.27,700.0,15.27,2023-10-31 06:02:00,3,
15.26,15.28,15.26,15.28,446.0,15.27,2023-10-31 07:00:00,5,
15.27,15.28,15.27,15.28,642.0,15.2784,2023-10-31 07:06:00,4,
15.27,15.27,15.27,15.27,295.0,15.27,2023-10-31 07:31:00,3,
15.27,15.27,15.27,15.27,103.0,15.27,2023-10-31 07:47:00,2,
15.27,15.28,15.26,15.26,4274.0,15.2658,2023-10-31 08:00:00,39,
15.27,15.27,15.27,15.27,900.0,15.27,2023-10-31 08:05:00,2,
15.2615,15.2615,15.2615,15.2615,111.0,15.2616,2023-10-31 08:07:00,3,
15.26,15.26,15.26,15.26,108.0,15.26,2023-10-31 08:12:00,2,
15.27,15.27,15.27,15.27,420.0,15.27,2023-10-31 08:14:00,3,
15.26,15.26,15.26,15.26,116.0,15.26,2023-10-31 08:16:00,2,
15.26,15.26,15.26,15.26,503.0,15.26,2023-10-31 08:21:00,3,
15.27,15.27,15.27,15.27,195.0,15.2685,2023-10-31 08:22:00,3,
15.27,15.27,15.27,15.27,500.0,15.27,2023-10-31 08:23:00,2,
15.27,15.27,15.27,15.27,832.0,15.27,2023-10-31 08:24:00,6,
15.26,15.26,15.26,15.26,645.0,15.261,2023-10-31 08:25:00,5,
15.26,15.26,15.26,15.26,1644.0,15.26,2023-10-31 08:35:00,4,
15.26,15.26,15.26,15.26,507.0,15.2603,2023-10-31 08:37:00,3,
15.27,15.3,15.27,15.3,1555.0,15.2836,2023-10-31 08:40:00,31,
15.27,15.27,15.27,15.27,206.0,15.27,2023-10-31 08:41:00,3,
15.26,15.26,15.26,15.26,200.0,15.2603,2023-10-31 08:44:00,2,
15.29,15.29,15.29,15.29,495.0,15.29,2023-10-31 08:45:00,1,
15.29,15.29,15.29,15.29,500.0,15.29,2023-10-31 08:46:00,1,
15.26,15.26,15.26,15.26,203.0,15.2601,2023-10-31 08:55:00,3,
15.26,15.26,15.26,15.26,502.0,15.26,2023-10-31 08:58:00,4,
15.27,15.27,15.27,15.27,426.0,15.269,2023-10-31 09:02:00,9,
15.2603,15.27,15.2603,15.27,3900.0,15.2678,2023-10-31 09:06:00,4,
15.29,15.29,15.29,15.29,3400.0,15.29,2023-10-31 09:07:00,1,
15.28,15.28,15.28,15.28,309.0,15.2802,2023-10-31 09:13:00,3,
15.29,15.29,15.28,15.28,498.0,15.2843,2023-10-31 09:14:00,6,
15.28,15.28,15.28,15.28,103.0,15.2803,2023-10-31 09:16:00,2,
15.28,15.28,15.28,15.28,231.0,15.28,2023-10-31 09:17:00,3,
15.28,15.28,15.28,15.28,1003.0,15.28,2023-10-31 09:18:00,7,
15.29,15.29,15.29,15.29,466.0,15.289,2023-10-31 09:19:00,10,
15.29,15.29,15.29,15.29,138.0,15.29,2023-10-31 09:23:00,3,
15.28,15.28,15.27,15.27,1502.0,15.2776,2023-10-31 09:25:00,7,
15.28,15.29,15.28,15.29,1030.0,15.289,2023-10-31 09:26:00,5,
15.27,15.29,15.26,15.29,4403.0,15.2733,2023-10-31 09:27:00,21,
15.26,15.26,15.26,15.26,3233.0,15.26,2023-10-31 09:29:00,12,
15.28,15.31,15.27,15.305,421835.0,15.273,2023-10-31 09:30:00,705,
15.3027,15.34,15.3027,15.3357,46501.0,15.3241,2023-10-31 09:31:00,303,
15.3378,15.34,15.3004,15.33,64148.0,15.3195,2023-10-31 09:32:00,400,
15.33,15.355,15.33,15.355,45714.0,15.3429,2023-10-31 09:33:00,319,
15.3508,15.3585,15.33,15.335,63875.0,15.3407,2023-10-31 09:34:00,332,
