open,high,low,close,volume,vwap,timestamp,transactions,otc
75.95,75.95,75.95,75.95,206,75.9614,1685102400000,4,
75.97,75.97,75.97,75.97,803,75.9725,1685107740000,10,
75.94,76.1,75.87,75.9,69690,75.9382,1685107800000,186,
75.86,76.11,75.79,76.11,11676,75.8844,1685107860000,143,
76.13,76.31,76.095,76.2,12495,76.2066,1685107920000,225,
76.2,76.39,76.16,76.2,19568,76.2276,1685107980000,270,
76.175,76.2,76.09,76.11,71424,76.183,1685108040000,208,
76.09,76.2,76.09,76.16,54419,76.1448,1685108100000,346,
76.15,76.3,76.15,76.27,11223,76.2304,1685108160000,144,
76.2699,76.2699,76.125,76.2,18264,76.2132,1685108220000,118,
76.235,76.3,76.22,76.27,10614,76.2633,1685108280000,122,
76.3,76.475,76.24,76.42,29183,76.3237,1685108340000,334,
76.4273,76.4473,76.4,76.415,10611,76.4317,1685108400000,123,
76.4173,76.4173,76.32,76.375,29365,76.3667,1685108460000,242,
76.3819,76.49,76.37,76.46,9203,76.4285,1685108520000,128,
76.45,76.4574,76.33,76.33,14801,76.3776,1685108580000,196,
76.335,76.52,76.335,76.52,13605,76.4137,1685108640000,147,
76.53,76.58,76.515,76.545,4962,76.5409,1685108700000,70,
76.55,76.56,76.52,76.52,3003,76.537,1685108760000,63,
76.52,76.6,76.48,76.48,22599,76.5546,1685108820000,232,
76.5059,76.52,76.44,76.475,8940,76.4925,1685108880000,132,
76.485,76.51,76.39,76.39,5010,76.4634,1685108940000,113,
76.38,76.39,76.33,76.34,6960,76.3564,1685109000000,114,
76.33,76.34,76.31,76.31,3129,76.3277,1685109060000,65,
76.3,76.33,76.24,76.24,4750,76.2947,1685109120000,85,
76.25,76.35,76.23,76.26,12827,76.2846,1685109180000,220,
76.26,76.36,76.25,76.35,5295,76.3036,1685109240000,94,
76.36,76.39,76.34,76.3803,5264,76.3597,1685109300000,89,
76.385,76.385,76.31,76.34,5763,76.3486,1685109360000,108,
76.33,76.36,76.33,76.35,4383,76.3473,1685109420000,67,
76.35,76.37,76.33,76.37,4542,76.3446,1685109480000,95,
76.33,76.34,76.2762,76.279,12570,76.3041,1685109540000,109,
76.26,76.38,76.26,76.3653,10375,76.319,1685109600000,146,
76.375,76.375,76.31,76.36,5538,76.3435,1685109660000,114,
76.34,76.34,76.24,76.29,13905,76.2869,1685109720000,196,
76.29,76.31,76.25,76.28,5308,76.2852,1685109780000,103,
76.29,76.395,76.28,76.385,7699,76.3518,1685109840000,148,
76.39,76.395,76.3,76.34,15254,76.3413,1685109900000,253,
76.36,76.365,76.29,76.3,8569,76.3298,1685109960000,128,
76.31,76.35,76.3,76.34,8582,76.3317,1685110020000,144,
76.345,76.42,76.32,76.42,10773,76.3637,1685110080000,180,
76.42,76.42,76.34,76.34,19225,76.3902,1685110140000,174,
76.34,76.36,76.28,76.28,8807,76.3247,1685110200000,151,
76.29,76.41,76.29,76.4098,13599,76.3491,1685110260000,195,
76.4,76.48,76.38,76.43,8096,76.4049,1685110320000,152,
76.43,76.53,76.41,76.52,31720,76.4573,1685110380000,340,
76.52,76.52,76.37,76.3867,12672,76.427,1685110440000,167,
76.38,76.43,76.38,76.42,11693,76.4143,1685110500000,174,
76.41,76.42,76.37,76.41,14646,76.3873,1685110560000,152,
76.405,76.53,76.38,76.5,73930,76.4129,1685110620000,280,
76.5,76.6,76.48,76.6,7407,76.5388,1685110680000,120,
76.61,76.625,76.58,76.625,5043,76.6042,1685110740000,104,
76.625,76.63,76.54,76.59,13487,76.5841,1685110800000,149,
76.59,76.5942,76.45,76.46,17944,76.5285,1685110860000,135,
76.47,76.58,76.47,76.56,7392,76.5344,1685110920000,128,
76.56,76.58,76.53,76.5323,10809,76.5593,1685110980000,161,
76.53,76.63,76.53,76.63,6067,76.5781,1685111040000,105,
76.64,76.73,76.64,76.7,13211,76.6693,1685111100000,174,
76.69,76.71,76.67,76.69,13851,76.6863,1685111160000,105,
76.7,76.73,76.67,76.72,8675,76.6948,1685111220000,163,
76.73,76.82,76.73,76.82,7769,76.7493,1685111280000,145,
76.82,76.89,76.81,76.88,7278,76.8582,1685111340000,138,
76.89,76.92,76.86,76.88,13446,76.9026,1685111400000,174,
76.89,76.91,76.86,76.8799,22347,76.8837,1685111460000,212,
76.87,76.94,76.85,76.88,23266,76.8962,1685111520000,207,
76.88,76.89,76.83,76.88,8259,76.8542,1685111580000,106,
76.89,76.895,76.835,76.84,8153,76.8685,1685111640000,144,
76.85,76.91,76.84,76.85,12100,76.8742,1685111700000,160,
76.85,76.88,76.81,76.87,7835,76.8423,1685111760000,126,
76.86,76.86,76.79,76.81,7417,76.829,1685111820000,110,
76.8,76.86,76.7781,76.86,6692,76.8307,1685111880000,105,
76.88,76.9,76.86,76.86,10722,76.8752,1685111940000,140,
76.88,76.91,76.87,76.87,7313,76.8953,1685112000000,79,
76.885,76.99,76.87,76.99,13376,76.9127,1685112060000,156,
77.0,77.015,76.97,76.97,4325,76.9914,1685112120000,67,
76.98,77.02,76.95,76.95,9215,76.9872,1685112180000,158,
76.94,76.94,76.89,76.9,6218,76.9151,1685112240000,102,
76.9,76.92,76.84,76.84,4166,76.8845,1685112300000,63,
76.84,76.86,76.8,76.81,5998,76.8405,1685112360000,119,
76.795,76.82,76.78,76.82,5730,76.8095,1685112420000,59,
76.82,76.84,76.82,76.837,3865,76.8273,1685112480000,57,
76.84,76.855,76.8034,76.855,4963,76.8257,1685112540000,77,
76.86,76.88,76.8,76.82,7340,76.8443,1685112600000,113,
76.815,76.83,76.785,76.785,10692,76.8073,1685112660000,129,
76.765,76.785,76.72,76.78,10590,76.7487,1685112720000,110,
76.78,76.81,76.73,76.745,15542,76.7843,1685112780000,82,
76.75,76.7925,76.75,76.76,5010,76.7697,1685112840000,78,
76.77,76.79,76.752,76.79,4285,76.7641,1685112900000,48,
76.79,76.8,76.7,76.755,20225,76.7608,1685112960000,187,
76.74,76.7599,76.74,76.74,4916,76.7472,1685113020000,54,
76.74,76.755,76.71,76.7217,3367,76.7396,1685113080000,58,
76.73,76.745,76.7,76.7,5411,76.7258,1685113140000,84,
76.7,76.77,76.7,76.77,3822,76.7178,1685113200000,68,
76.76,76.76,76.7199,76.7199,6609,76.7446,1685113260000,63,
76.7,76.7,76.66,76.66,10536,76.6853,1685113320000,87,
76.65,76.6725,76.62,76.67,7879,76.6569,1685113380000,92,
76.68,76.68,76.59,76.59,5534,76.6487,1685113440000,97,
76.59,76.645,76.59,76.61,7051,76.6143,1685113500000,135,
76.6,76.62,76.6,76.6,2637,76.6102,1685113560000,59,
76.59,76.605,76.57,76.59,4814,76.5858,1685113620000,95,
76.595,76.6,76.57,76.59,4861,76.588,1685113680000,70,
76.57,76.59,76.55,76.59,4595,76.5703,1685113740000,96,
76.6,76.61,76.58,76.59,3075,76.5946,1685113800000,88,
76.6,76.69,76.58,76.67,20903,76.6251,1685113860000,191,
76.69,76.7,76.67,76.67,6996,76.6805,1685113920000,60,
76.67,76.68,76.63,76.67,5371,76.6593,1685113980000,76,
76.67,76.67,76.65,76.65,5381,76.6486,1685114040000,64,
76.64,76.64,76.61,76.62,1967,76.6208,1685114100000,54,
76.62,76.65,76.6,76.63,6258,76.6273,1685114160000,101,
76.635,76.65,76.61,76.62,6890,76.6286,1685114220000,132,
76.63,76.65,76.61,76.645,6430,76.6389,1685114280000,84,
76.6314,76.65,76.6199,76.65,4475,76.6337,1685114340000,73,
76.65,76.66,76.56,76.56,12935,76.6371,1685114400000,183,
76.55,76.57,76.55,76.5599,7942,76.5628,1685114460000,105,
76.55,76.55,76.51,76.55,6341,76.529,1685114520000,87,
76.54,76.555,76.51,76.52,4996,76.5319,1685114580000,57,
76.51,76.53,76.51,76.52,2479,76.5224,1685114640000,54,
76.53,76.55,76.51,76.55,6138,76.5248,1685114700000,88,
76.56,76.59,76.54,76.58,4663,76.5627,1685114760000,76,
76.58,76.59,76.53,76.535,6406,76.5586,1685114820000,75,
76.53,76.57,76.51,76.55,3075,76.5422,1685114880000,56,
76.54,76.56,76.53,76.53,6661,76.542,1685114940000,93,
76.545,76.58,76.535,76.58,7475,76.5578,1685115000000,140,
76.58,76.585,76.54,76.54,9810,76.575,1685115060000,105,
76.53,76.63,76.53,76.63,6284,76.5744,1685115120000,102,
76.635,76.67,76.63,76.65,7092,76.6506,1685115180000,98,
76.6599,76.665,76.64,76.65,8546,76.6539,1685115240000,121,
76.66,76.685,76.65,76.665,3696,76.6662,1685115300000,59,
76.66,76.7,76.655,76.7,4706,76.6806,1685115360000,69,
76.7,76.7,76.67,76.67,3880,76.6811,1685115420000,63,
76.675,76.68,76.64,76.66,8902,76.6606,1685115480000,185,
76.6575,76.69,76.645,76.69,9270,76.6615,1685115540000,104,
76.69,76.71,76.68,76.695,5113,76.6926,1685115600000,77,
76.695,76.76,76.695,76.74,5337,76.7368,1685115660000,101,
76.74,76.77,76.715,76.72,9728,76.7528,1685115720000,77,
76.72,76.76,76.715,76.715,3805,76.7358,1685115780000,68,
76.72,76.765,76.7,76.764,5007,76.726,1685115840000,87,
76.77,76.79,76.735,76.75,4410,76.7607,1685115900000,80,
76.75,76.75,76.7,76.71,6213,76.7236,1685115960000,112,
76.71,76.72,76.7,76.71,6561,76.7072,1685116020000,72,
76.71,76.73,76.705,76.71,5651,76.7103,1685116080000,93,
76.72,76.72,76.7,76.72,8334,76.7109,1685116140000,85,
76.72,76.755,76.72,76.748,21909,76.7508,1685116200000,110,
76.75,76.75,76.63,76.65,26039,76.7069,1685116260000,208,
76.65,76.66,76.6,76.61,5399,76.6383,1685116320000,86,
76.6,76.62,76.6,76.61,3335,76.6102,1685116380000,49,
76.61,76.61,76.58,76.6,6678,76.5997,1685116440000,76,
76.605,76.62,76.605,76.62,3460,76.6167,1685116500000,49,
76.6,76.63,76.6,76.62,4103,76.6153,1685116560000,65,
76.63,76.65,76.6,76.65,3356,76.6157,1685116620000,73,
76.67,76.6803,76.66,76.66,6066,76.6709,1685116680000,55,
76.6768,76.68,76.6599,76.6599,2988,76.671,1685116740000,62,
