open,high,low,close,volume,vwap,timestamp,transactions,otc
217.88,218.88,217.88,217.93,9211.0,218.0284,1697788800000,288,
217.88,217.88,217.44,217.49,10248.0,217.6294,1697788860000,421,
217.4,217.4,216.94,216.94,9671.0,217.1337,1697788920000,423,
217.0,217.41,217.0,217.4,12429.0,217.2132,1697788980000,269,
217.35,217.46,217.35,217.46,3459.0,217.3968,1697789040000,106,
217.58,217.76,217.58,217.75,2382.0,217.6608,1697789100000,74,
217.85,218.1,217.85,218.04,6650.0,217.9833,1697789160000,155,
218.05,218.38,218.05,218.37,6198.0,218.3061,1697789220000,229,
218.22,218.22,218.14,218.14,3953.0,218.2384,1697789280000,145,
218.14,218.14,218.04,218.14,3558.0,218.0935,1697789340000,131,
218.14,218.22,218.04,218.04,4548.0,218.1269,1697789400000,139,
218.1,218.2,218.1,218.2,3683.0,218.1475,1697789460000,86,
218.24,218.39,218.24,218.39,3778.0,218.2841,1697789520000,86,
218.39,218.39,218.24,218.25,2167.0,218.3222,1697789580000,77,
218.32,218.37,218.26,218.37,2954.0,218.2911,1697789640000,82,
218.25,218.3,218.24,218.24,4355.0,218.26,1697789700000,106,
218.25,218.32,218.25,218.32,2534.0,218.3031,1697789820000,81,
218.28,218.29,218.27,218.28,1871.0,218.2928,1697789880000,69,
218.34,218.34,218.33,218.33,1534.0,218.3424,1697789940000,45,
218.37,218.37,218.27,218.3,4603.0,218.2826,1697790000000,118,
218.32,218.32,218.32,218.32,1704.0,218.3312,1697790060000,74,
218.35,218.39,218.35,218.39,1568.0,218.3762,1697790120000,54,
218.35,218.58,218.35,218.5,9371.0,218.4719,1697790180000,182,
218.55,218.79,218.55,218.7,4870.0,218.6977,1697790240000,124,
218.78,218.91,218.78,218.86,4566.0,218.8402,1697790300000,145,
218.9,218.9,218.7,218.7,4117.0,218.8,1697790360000,142,
218.75,218.75,218.75,218.75,2218.0,218.7057,1697790420000,68,
218.77,218.8,218.77,218.8,3819.0,218.7855,1697790480000,108,
218.77,218.82,218.77,218.77,4096.0,218.7953,1697790540000,114,
218.77,218.77,218.74,218.74,3320.0,218.7246,1697790600000,147,
