open,high,low,close,volume,vwap,timestamp,transactions,otc
179.53,179.53,179.53,179.53,237,179.5434,1690359900000,12,
179.52,179.52,179.52,179.52,202,179.5199,1690360020000,4,
180.0,180.0,180.0,180.0,600,180.0,1690360260000,5,
179.57,179.57,179.57,179.57,216,179.5784,1690361160000,6,
178.5,178.5,178.25,178.25,1324,178.4455,1690369260000,24,
178.46,178.46,178.46,178.46,271,178.4701,1690369560000,13,
178.16,178.16,178.16,178.16,333,178.0761,1690369920000,29,
178.0,178.0,178.0,178.0,716,178.0003,1690370520000,16,
178.0,178.0,178.0,178.0,3251,178.005,1690371360000,62,
178.01,178.01,178.01,178.01,1031,178.0117,1690371720000,6,
178.01,178.01,177.99,177.99,2218,178.004,1690371780000,67,
177.76,177.76,177.6,177.6,747,177.7172,1690371960000,27,
177.38,177.38,177.38,177.38,802,177.3966,1690372020000,19,
177.6,177.6,177.5,177.5,2700,177.559,1690372140000,14,
177.25,177.25,177.05,177.05,2091,177.233,1690372260000,25,
177.85,178.5487,176.91,176.91,4173,177.4676,1690372800000,53,
177.24,177.24,177.24,177.24,557,177.3004,1690372860000,15,
177.24,177.24,177.24,177.24,111,178.116,1690372920000,12,
177.24,177.24,177.24,177.24,326,177.1749,1690373160000,16,
177.2,177.2,177.2,177.2,535,177.1942,1690373280000,8,
177.0,177.0,177.0,177.0,1072,177.0062,1690373340000,8,
177.0361,177.0361,177.0361,177.0361,152,177.0432,1690373640000,4,
177.03,177.03,177.02,177.02,702,177.0303,1690374060000,20,
177.352,177.352,177.352,177.352,101,177.3486,1690374180000,2,
177.39,177.6,177.39,177.6,5399,177.544,1690374360000,194,
177.6,177.6,177.5,177.5,2764,177.5829,1690374420000,67,
177.89,178.0,177.89,178.0,1270,177.9817,1690374480000,20,
178.74,178.74,178.64,178.64,1047,178.6254,1690375080000,28,
178.0,178.0,178.0,178.0,1201,178.0003,1690375140000,2,
178.4,178.4,178.4,178.4,140,178.3589,1690375200000,4,
178.4,178.5,178.39,178.4,5967,178.3958,1690375740000,63,
178.5,178.52,178.5,178.5,1244,178.5052,1690375800000,10,
178.48,178.49,178.0,178.0,2584,178.3592,1690375920000,71,
177.96,177.96,177.96,177.96,228,177.8368,1690376100000,5,
177.5,177.5,177.5,177.5,140,177.4729,1690376460000,5,
177.5,177.5,177.5,177.5,177,177.4597,1690376520000,9,
177.26,177.26,177.26,177.26,1161,177.2779,1690376880000,14,
177.39,177.5,177.34,177.5,2633,177.443,1690376940000,72,
177.58,177.58,177.26,177.26,1184,177.4884,1690377540000,20,
177.39,177.39,176.96,176.96,13285,177.0229,1690377900000,128,
176.9,176.9,176.6,176.6,4483,176.6917,1690377960000,115,
176.6,176.62,176.29,176.29,11340,176.5474,1690378020000,67,
176.0,176.6,176.0,176.6,1365,176.1321,1690378080000,58,
176.6,176.69,176.6,176.69,450,176.6393,1690378140000,6,
176.89,176.945,175.0,176.64,285865,176.6621,1690378200000,2004,
176.67,176.78,175.5,176.77,131148,176.139,1690378260000,1593,
176.77,176.78,175.5,175.84,110616,175.8795,1690378320000,1587,
175.7417,176.7739,175.7,176.58,76410,176.0879,1690378380000,1078,
176.63,177.2799,176.36,176.89,91940,176.7754,1690378440000,1560,
176.92,177.19,176.6,176.975,121888,176.8923,1690378500000,1540,
177.14,177.21,176.32,176.38,115677,176.8752,1690378560000,1540,
176.44,176.52,175.81,175.85,114585,176.1838,1690378620000,1639,
175.83,176.49,175.7,176.1086,46082,176.0179,1690378680000,825,
176.26,176.5,175.82,176.12,78250,176.073,1690378740000,1235,
176.085,176.29,175.95,176.282,55680,176.1149,1690378800000,934,
176.265,176.69,176.14,176.686,38418,176.3049,1690378860000,685,
176.69,177.08,176.49,176.49,47351,176.8336,1690378920000,887,
176.48,176.66,176.2,176.625,34961,176.3523,1690378980000,622,
176.625,177.46,176.625,177.45,67650,177.0301,1690379040000,1138,
177.45,177.7,176.45,176.75,52210,177.1572,1690379100000,1051,
176.76,176.98,176.49,176.835,31534,176.7075,1690379160000,596,
176.84,176.89,176.59,176.83,51055,176.727,1690379220000,1017,
176.83,176.83,176.31,176.75,78016,176.5506,1690379280000,1013,
176.8,177.14,176.5657,176.94,41158,176.8269,1690379340000,649,
176.94,176.94,176.08,176.175,42187,176.4421,1690379400000,568,
176.22,176.25,175.8201,175.86,43711,176.022,1690379460000,798,
175.82,176.12,175.78,176.105,26979,175.944,1690379520000,496,
176.055,176.13,175.95,176.04,26776,176.0569,1690379580000,518,
176.04,176.23,175.91,175.98,24552,176.0889,1690379640000,501,
175.93,176.62,175.9,176.62,49972,176.2408,1690379700000,808,
176.65,176.718,176.2,176.21,24646,176.4441,1690379760000,459,
176.16,176.4175,176.09,176.4175,21160,176.1774,1690379820000,490,
176.35,176.42,176.2,176.23,25195,176.2984,1690379880000,530,
176.25,176.545,176.1219,176.545,44600,176.3,1690379940000,706,
176.55,176.61,176.26,176.27,54680,176.3841,1690380000000,879,
176.28,176.39,176.14,176.175,60706,176.2188,1690380060000,945,
176.175,176.175,175.72,175.72,86597,175.9714,1690380120000,1158,
175.73,175.88,175.68,175.7,67864,175.7884,1690380180000,1088,
175.705,175.705,175.2,175.5521,71275,175.4194,1690380240000,1091,
175.585,175.63,175.22,175.5705,43899,175.4646,1690380300000,689,
175.55,175.61,175.31,175.41,45319,175.4234,1690380360000,754,
175.38,175.79,175.335,175.6999,35002,175.4938,1690380420000,514,
175.63,175.91,175.57,175.64,23517,175.7708,1690380480000,429,
175.631,175.6599,175.39,175.5,34801,175.5107,1690380540000,631,
175.54,175.5518,175.11,175.14,45508,175.3497,1690380600000,790,
175.13,175.4,175.095,175.36,37399,175.2261,1690380660000,621,
175.38,175.56,175.25,175.54,22170,175.3993,1690380720000,453,
175.55,175.71,175.48,175.64,28575,175.6022,1690380780000,457,
175.64,176.29,175.64,176.19,44948,176.0279,1690380840000,710,
176.2,176.54,176.08,176.26,39658,176.3167,1690380900000,604,
176.25,176.725,176.25,176.695,36013,176.5614,1690380960000,533,
176.73,177.16,176.72,176.94,81607,176.8796,1690381020000,1353,
176.97,177.305,176.94,177.07,54765,177.1485,1690381080000,834,
177.035,177.1499,176.77,176.825,39138,176.9496,1690381140000,659,
176.8,176.94,176.61,176.77,46026,176.7661,1690381200000,878,
176.77,176.85,176.2377,176.28,31469,176.5487,1690381260000,495,
176.36,176.5,176.17,176.26,22608,176.3282,1690381320000,410,
176.255,176.47,176.12,176.39,25398,176.2869,1690381380000,533,
176.47,176.63,176.36,176.63,12677,176.4892,1690381440000,305,
176.66,176.735,176.5,176.52,15259,176.6093,1690381500000,346,
