open,high,low,close,volume,vwap,timestamp,transactions,otc
45.85,45.85,45.85,45.85,316,45.7932,1636448400000,9,
46.01,46.01,46.01,46.01,327,46.0254,1636450380000,14,
46.18,46.19,46.18,46.19,1010,46.1816,1636451160000,15,
46.19,46.19,46.19,46.19,203,46.1856,1636451220000,4,
46.25,46.3,46.25,46.3,830,46.2623,1636451280000,10,
46.3,46.3,46.3,46.3,270,46.3003,1636451460000,7,
46.25,46.25,46.25,46.25,209,46.2548,1636452060000,6,
46.35,46.35,46.35,46.35,525,46.3451,1636452480000,14,
46.34,46.34,46.34,46.34,212,46.3416,1636452660000,11,
46.41,46.41,46.41,46.41,330,46.4098,1636453080000,4,
46.36,46.36,46.36,46.36,526,46.3038,1636453500000,17,
46.25,46.25,46.25,46.25,330,46.2515,1636455540000,7,
46.17,46.17,46.17,46.17,220,46.1869,1636456860000,18,
46.15,46.15,46.15,46.15,250,46.1556,1636458780000,6,
46.25,46.25,46.25,46.25,360,46.2514,1636459020000,5,
46.26,46.26,46.17,46.17,6020,46.2422,1636459200000,18,
46.17,46.17,46.17,46.17,1588,46.17,1636459260000,3,
46.15,46.15,46.15,46.15,449,46.1501,1636459320000,6,
46.15,46.15,46.15,46.15,195,46.15,1636459380000,2,
46.05,46.05,46.05,46.05,230,46.0562,1636459680000,5,
46.07,46.08,46.07,46.08,310,46.0735,1636459800000,5,
46.06,46.06,46.06,46.06,200,46.0601,1636459980000,3,
46.06,46.06,46.06,46.06,300,46.0601,1636460040000,3,
46.08,46.2,46.07,46.2,5673,46.1331,1636460100000,55,
46.2,46.26,46.2,46.26,6930,46.2365,1636460160000,44,
46.26,46.26,46.25,46.26,3220,46.2591,1636460220000,28,
46.26,46.26,46.26,46.26,2842,46.26,1636460280000,32,
46.26,46.27,46.26,46.27,1073,46.2679,1636460400000,14,
46.27,46.27,46.26,46.26,655,46.2631,1636460460000,10,
46.26,46.26,46.26,46.26,600,46.2602,1636460520000,4,
46.26,46.26,46.26,46.26,1302,46.2581,1636460640000,14,
46.17,46.17,46.17,46.17,497,46.1691,1636460820000,13,
46.1,46.1,46.1,46.1,651,46.0996,1636461660000,16,
46.1,46.1,46.1,46.1,300,46.1,1636461780000,4,
46.1,46.1,46.09,46.09,408,46.0949,1636461840000,8,
46.05,46.05,46.05,46.05,821,46.0516,1636462080000,15,
46.04,46.04,46.04,46.04,274,46.0374,1636462200000,12,
46.04,46.04,46.04,46.04,560,46.0394,1636462320000,14,
46.04,46.04,46.04,46.04,445,46.0422,1636462380000,4,
46.06,46.06,46.06,46.06,383,46.057,1636462440000,7,
46.06,46.06,46.06,46.06,278,46.0578,1636462500000,7,
46.0897,46.27,46.01,46.06,19773,46.1313,1636462800000,89,
46.0599,46.0599,46.0599,46.0599,132,46.0592,1636462860000,5,
46.04,46.04,46.02,46.02,1263,46.0351,1636463100000,10,
46.0178,46.0178,46.0178,46.0178,169,46.0108,1636463220000,4,
46.02,46.02,46.02,46.02,624,46.0174,1636463400000,6,
46.02,46.02,46.02,46.02,779,46.02,1636463460000,4,
46.03,46.05,46.0202,46.05,3169,46.0303,1636463520000,6,
46.03,46.3,46.03,46.29,21646,46.232,1636463580000,113,
