open,high,low,close,volume,vwap,timestamp,transactions,otc
531.0,531.0,531.0,531.0,109,530.9798,1699261200000,3,
532.27,532.27,532.27,532.27,231,532.1709,1699275600000,18,
531.63,532.73,531.6,532.07,33130,531.7692,1699281000000,587,
532.12,533.43,532.12,533.43,6912,532.5753,1699281060000,269,
533.58,533.665,532.4,532.4005,7181,533.1936,1699281120000,185,
532.4,533.34,532.025,532.985,7275,532.7379,1699281180000,236,
532.985,533.28,532.97,533.28,3713,533.0717,1699281240000,102,
532.9121,533.33,532.5475,533.08,20907,532.9486,1699281300000,310,
533.19,533.45,532.12,532.12,6995,532.6999,1699281360000,257,
531.952,532.23,531.895,532.18,1844,532.0739,1699281420000,88,
532.27,532.48,531.48,531.99,5792,531.8756,1699281480000,176,
531.55,531.9499,530.9,531.2,5902,531.1902,1699281540000,157,
530.83,530.83,530.83,530.83,1285,530.8733,1699281600000,92,
531.07,531.13,530.205,530.79,8927,530.8386,1699281660000,205,
530.655,531.62,530.58,531.465,5367,531.1047,1699281720000,198,
531.45,531.45,531.07,531.115,3785,531.1885,1699281780000,128,
530.81,531.0,530.61,530.66,5417,530.8635,1699281840000,186,
530.57,530.99,530.05,530.05,6376,530.6456,1699281900000,248,
530.43,530.82,530.23,530.78,11268,530.5852,1699281960000,271,
530.8,530.9,530.24,530.24,7556,530.6695,1699282020000,251,
530.52,531.361,530.52,531.23,11196,530.975,1699282080000,284,
531.03,531.1375,530.74,531.1325,5114,530.9493,1699282140000,170,
531.11,531.28,531.04,531.09,4388,531.1037,1699282200000,132,
531.32,531.4,530.915,530.9326,5201,531.2224,1699282260000,143,
530.86,530.91,530.095,530.125,4268,530.4889,1699282320000,202,
530.385,530.71,530.36,530.36,5599,530.4817,1699282380000,115,
530.26,530.69,530.25,530.69,2743,530.5517,1699282440000,130,
530.6,530.99,530.32,530.945,12047,530.7211,1699282500000,307,
530.945,530.945,530.495,530.495,3139,530.7605,1699282560000,108,
530.49,531.1,530.49,530.985,3246,530.8487,1699282620000,144,
530.97,531.06,530.76,531.06,912,530.9411,1699282680000,77,
531.04,531.197,530.8,530.94,7416,531.0268,1699282740000,192,
530.94,531.39,530.88,531.3,20838,531.1183,1699282800000,406,
531.195,531.69,531.195,531.69,2335,531.4001,1699282860000,150,
531.53,531.53,530.86,531.0371,4027,531.2032,1699282920000,208,
531.0,531.15,530.34,530.8099,5581,530.9114,1699282980000,228,
530.8,530.81,530.54,530.76,2689,530.7366,1699283040000,153,
530.77,530.78,530.76,530.78,2246,530.668,1699283100000,171,
530.46,530.46,530.46,530.46,1281,530.5539,1699283160000,131,
530.86,530.86,530.6,530.685,3171,530.7049,1699283220000,150,
530.77,530.95,530.46,530.48,6561,530.7687,1699283280000,230,
530.49,530.61,530.25,530.355,3348,530.4429,1699283340000,116,
530.36,530.55,530.36,530.45,4242,530.4715,1699283400000,174,
530.48,530.79,530.48,530.79,3796,530.522,1699283460000,199,
530.8,530.88,530.65,530.68,7713,530.7158,1699283520000,187,
530.6771,530.79,530.56,530.615,9096,530.6582,1699283580000,195,
530.6475,530.81,530.47,530.61,5806,530.6138,1699283640000,222,
530.58,530.59,530.27,530.27,3272,530.3676,1699283700000,126,
530.49,531.15,530.49,530.96,4489,530.795,1699283760000,203,
530.985,531.21,530.985,531.21,985,531.1031,1699283820000,107,
531.215,531.54,531.215,531.46,2938,531.3445,1699283880000,158,
531.4,531.745,531.4,531.645,6529,531.6144,1699283940000,259,
531.64,532.1305,531.64,532.015,9600,531.8767,1699284000000,243,
532.06,532.36,531.8301,532.1718,4956,532.2078,1699284060000,178,
532.42,532.63,532.42,532.505,3148,532.5024,1699284120000,148,
532.37,532.37,532.06,532.06,3395,532.2294,1699284180000,132,
532.175,532.33,531.65,531.765,7888,532.0277,1699284240000,239,
531.765,532.055,531.765,531.98,5872,531.9595,1699284300000,203,
532.015,532.03,531.81,531.81,4004,531.9382,1699284360000,182,
531.935,532.125,531.935,532.12,2814,532.0683,1699284420000,113,
532.16,532.22,532.09,532.18,3079,532.1671,1699284480000,153,
532.15,532.16,531.8,532.0625,7163,532.0141,1699284540000,202,
531.985,531.985,531.175,531.425,10154,531.4813,1699284600000,299,
531.54,531.82,531.42,531.745,5845,531.6533,1699284660000,217,
531.73,531.95,531.73,531.95,1743,531.8924,1699284720000,130,
531.95,532.14,531.74,532.05,3400,531.9246,1699284780000,192,
532.11,532.1775,531.96,532.1775,3252,532.0722,1699284840000,133,
532.24,532.26,531.79,531.79,3600,532.0671,1699284900000,187,
531.98,532.26,531.98,532.16,3447,532.1186,1699284960000,157,
532.25,532.25,531.97,531.97,2272,532.1327,1699285020000,161,
532.015,532.36,532.015,532.36,3289,532.1229,1699285080000,146,
532.36,532.66,532.215,532.4266,4117,532.4207,1699285140000,209,
532.27,532.97,532.27,532.8472,9470,532.7307,1699285200000,248,
532.84,532.84,532.4,532.5781,3939,532.612,1699285260000,163,
532.54,532.65,532.35,532.65,5485,532.4959,1699285320000,210,
532.48,532.48,532.32,532.32,19932,532.3422,1699285380000,136,
532.4,532.77,532.4,532.77,3290,532.5446,1699285440000,141,
532.8,533.14,532.78,533.085,5963,532.9585,1699285500000,167,
533.14,533.31,532.83,533.3,8025,533.0406,1699285560000,165,
533.32,533.91,533.22,533.91,5647,533.5853,1699285620000,226,
533.66,533.78,533.395,533.395,3622,533.6523,1699285680000,181,
533.35,533.41,533.29,533.41,994,533.3472,1699285740000,103,
533.2,533.2,533.18,533.18,1349,533.2491,1699285800000,102,
533.01,533.189,532.613,533.189,7955,532.8221,1699285860000,257,
533.125,533.135,532.97,532.985,3474,533.0422,1699285920000,162,
532.93,533.04,532.81,532.81,2669,532.9337,1699285980000,91,
532.905,532.905,532.57,532.77,2984,532.7462,1699286040000,132,
532.56,532.57,532.43,532.555,1506,532.5639,1699286100000,44,
532.45,532.51,532.42,532.42,1971,532.4692,1699286160000,113,
532.57,532.64,532.4572,532.4572,1691,532.5294,1699286220000,96,
532.6,532.6725,532.415,532.415,3242,532.5675,1699286280000,131,
532.39,532.62,532.19,532.19,3169,532.4038,1699286340000,147,
532.23,532.45,532.19,532.45,3473,532.2948,1699286400000,161,
532.25,532.25,532.25,532.25,1217,532.2777,1699286460000,85,
532.2,532.51,532.2,532.3929,2834,532.374,1699286520000,98,
532.32,532.8825,532.308,532.63,6018,532.6038,1699286580000,197,
532.7468,532.7468,532.44,532.44,1108,532.6014,1699286640000,58,
532.35,532.64,532.35,532.54,1888,532.5276,1699286700000,92,
532.64,532.74,532.1101,532.1101,4182,532.5302,1699286760000,171,
532.11,532.48,532.11,532.405,2702,532.348,1699286820000,87,
532.32,532.5,532.11,532.335,4474,532.2951,1699286880000,107,
532.31,532.48,532.31,532.38,1203,532.3568,1699286940000,76,
532.31,532.365,532.31,532.365,766,532.3209,1699287000000,68,
532.25,532.37,532.25,532.35,1974,532.3176,1699287060000,74,
532.4277,532.46,532.35,532.365,1634,532.4058,1699287120000,76,
532.47,532.67,532.47,532.57,3290,532.547,1699287180000,165,
532.55,532.92,532.55,532.92,5144,532.6929,1699287240000,133,
532.855,532.8575,532.63,532.63,2898,532.7035,1699287300000,119,
532.75,532.885,532.75,532.885,1101,532.7937,1699287360000,66,
532.94,532.94,532.85,532.85,2641,532.8724,1699287420000,107,
532.8194,532.92,532.67,532.7,4768,532.7903,1699287480000,179,
532.82,532.96,532.7275,532.9125,2327,532.8648,1699287540000,81,
532.76,533.205,532.67,533.205,3185,532.9246,1699287600000,193,
533.06,533.06,532.86,532.86,1939,532.9903,1699287660000,82,
532.96,533.135,532.96,533.135,1403,533.0225,1699287720000,91,
533.006,533.08,533.006,533.055,2623,533.0352,1699287780000,123,
533.1,533.12,532.97,533.12,1401,533.0686,1699287840000,75,
533.02,533.31,533.02,533.31,1460,533.2082,1699287900000,101,
533.165,533.32,533.15,533.23,2276,533.2083,1699287960000,131,
533.21,533.35,533.21,533.2841,2018,533.3233,1699288020000,82,
533.21,533.46,533.21,533.42,3365,533.3303,1699288080000,130,
533.43,533.43,533.43,533.43,787,533.4568,1699288140000,84,
533.35,533.5051,533.2,533.26,5847,533.3626,1699288200000,178,
533.51,533.51,533.14,533.285,2939,533.2964,1699288260000,133,
533.37,533.68,533.37,533.64,3780,533.5232,1699288320000,181,
533.59,533.81,533.59,533.8,2387,533.7201,1699288380000,108,
533.8,533.84,533.74,533.74,2470,533.7904,1699288440000,107,
533.68,534.27,533.675,533.675,6731,533.9364,1699288500000,261,
533.6975,533.6975,533.54,533.54,1592,533.5545,1699288560000,95,
533.37,533.73,533.36,533.46,2793,533.5187,1699288620000,117,
533.38,533.585,533.31,533.49,11625,533.5628,1699288680000,124,
533.69,533.83,533.67,533.8,8520,533.698,1699288740000,162,
533.86,533.99,533.56,533.62,3681,533.821,1699288800000,169,
533.49,533.66,533.49,533.66,1239,533.5672,1699288860000,85,
533.56,533.875,533.56,533.875,2061,533.6988,1699288920000,97,
533.805,534.11,533.7425,533.995,3602,533.8976,1699288980000,139,
533.86,533.9608,533.85,533.9608,1273,533.9121,1699289040000,50,
533.84,534.0,533.68,534.0,2234,533.8313,1699289100000,106,
533.935,534.2572,533.935,534.06,7769,534.1524,1699289160000,409,
534.095,534.1,533.95,534.01,3580,534.0691,1699289220000,88,
533.995,534.18,533.995,534.095,1398,534.0583,1699289280000,65,
534.18,534.24,534.145,534.2,1705,534.1695,1699289340000,109,
534.29,534.29,533.8901,534.05,3080,534.1139,1699289400000,137,
534.18,534.3,534.025,534.3,4501,534.1556,1699289460000,210,
534.31,534.31,534.25,534.2625,1387,534.2624,1699289520000,42,
534.15,534.21,534.11,534.21,2579,534.1435,1699289580000,109,
534.035,534.15,534.035,534.1,1344,534.0884,1699289640000,61,
534.145,534.145,534.06,534.135,1133,534.129,1699289700000,49,
534.14,534.25,534.135,534.15,5716,534.1764,1699289760000,178,
534.21,534.235,534.12,534.12,1920,534.1793,1699289820000,91,
534.15,534.16,534.15,534.16,590,534.1838,1699289880000,46,
534.15,534.15,533.89,533.9,5922,534.0288,1699289940000,210,
533.84,533.92,533.55,533.55,4962,533.7949,1699290000000,148,
533.66,533.77,533.66,533.725,2030,533.7119,1699290060000,104,
533.75,534.045,533.75,534.045,5182,533.8501,1699290120000,201,
533.95,534.165,533.9175,534.165,5587,534.0591,1699290180000,184,
534.0851,534.27,534.0851,534.27,4790,534.2419,1699290240000,159,
534.49,534.77,534.42,534.77,5112,534.5841,1699290300000,153,
534.67,534.894,534.46,534.78,7426,534.7234,1699290360000,201,
534.91,535.441,534.85,535.441,9738,535.0267,1699290420000,230,
535.39,535.4,534.9901,534.9901,3436,535.2246,1699290480000,116,
535.46,535.575,535.46,535.575,1090,535.4751,1699290540000,98,
535.68,535.77,535.68,535.77,1167,535.589,1699290600000,80,
535.56,535.57,535.15,535.255,4781,535.3321,1699290660000,178,
535.14,535.14,534.73,535.04,3746,534.9987,1699290720000,106,
535.17,535.31,534.96,535.31,2952,535.1989,1699290780000,145,
535.335,535.66,535.335,535.66,3992,535.4758,1699290840000,153,
535.79,535.93,535.72,535.795,2410,535.7848,1699290900000,122,
535.66,536.0,535.62,535.95,6783,535.8069,1699290960000,247,
535.835,535.96,535.72,535.96,2189,535.8465,1699291020000,72,
536.02,536.02,535.73,535.73,2725,535.8604,1699291080000,115,
535.71,535.86,535.25,535.25,6295,535.6056,1699291140000,155,
535.17,535.4899,535.1525,535.4899,2996,535.3019,1699291200000,104,
535.35,535.83,535.34,535.66,4163,535.6177,1699291260000,135,
535.77,535.9799,535.74,535.76,5711,535.8303,1699291320000,143,
535.785,536.0,535.67,535.78,12214,535.8893,1699291380000,156,
535.775,535.775,535.63,535.64,1533,535.6613,1699291440000,65,
535.5288,535.66,535.495,535.58,3535,535.569,1699291500000,98,
535.66,535.815,535.37,535.37,4130,535.6568,1699291560000,143,
535.32,535.32,534.965,534.965,2302,535.1608,1699291620000,85,
535.015,535.07,534.81,534.81,1912,534.9374,1699291740000,82,
534.5919,534.5919,533.6449,533.6449,4491,534.0923,1699291800000,138,
533.8375,533.8475,533.4,533.47,3626,533.532,1699291860000,142,
533.56,533.64,533.45,533.45,4307,533.5577,1699291920000,107,
533.445,534.0276,533.44,533.865,3472,533.6724,1699291980000,103,
533.65,533.65,533.64,533.64,1074,533.6056,1699292040000,58,
533.59,533.59,533.3,533.37,2644,533.4061,1699292100000,49,
533.215,533.215,532.93,532.93,825,533.0864,1699292160000,63,
532.87,532.87,532.87,532.87,858,532.9041,1699292220000,77,
532.85,532.99,532.705,532.705,3633,532.8944,1699292280000,131,
532.72,532.95,532.6,532.6,3561,532.7914,1699292340000,122,
532.57,532.76,532.455,532.76,3615,532.5727,1699292400000,115,
532.72,533.16,532.72,533.06,4793,532.9659,1699292460000,147,
532.87,532.9832,532.66,532.9832,2299,532.903,1699292520000,102,
532.74,532.99,532.63,532.6977,3198,532.7868,1699292580000,99,
532.825,532.825,532.63,532.65,1398,532.7392,1699292640000,60,
532.995,533.05,532.71,532.78,3010,532.8585,1699292700000,106,
532.845,532.86,532.68,532.82,2412,532.7867,1699292760000,115,
532.785,532.785,532.52,532.52,2426,532.6361,1699292820000,128,
532.52,532.73,532.37,532.37,3357,532.5853,1699292880000,134,
532.305,532.43,532.305,532.4,1947,532.3838,1699292940000,81,
532.405,532.5,532.25,532.25,5759,532.337,1699293000000,174,
532.365,532.53,532.365,532.4725,4017,532.4547,1699293060000,133,
532.35,532.8,532.34,532.78,5526,532.587,1699293120000,180,
532.785,532.81,532.785,532.81,1093,532.7864,1699293180000,43,
532.81,532.92,532.785,532.9,1194,532.8821,1699293240000,92,
533.125,533.3,533.125,533.205,1880,533.1891,1699293300000,94,
533.12,533.2143,533.01,533.125,2496,533.1047,1699293360000,77,
532.96,532.96,532.96,532.96,983,533.0233,1699293420000,62,
533.08,533.08,532.99,532.99,1183,533.0489,1699293480000,86,
533.095,533.1125,533.095,533.095,1871,533.0977,1699293540000,100,
533.125,533.23,533.06,533.11,3300,533.1721,1699293600000,149,
533.06,533.0869,532.9,533.02,3149,533.0157,1699293660000,99,
533.03,533.41,533.03,533.41,5912,533.2132,1699293720000,207,
533.405,533.49,533.23,533.49,3827,533.3643,1699293780000,133,
533.31,533.4,533.27,533.27,1177,533.2814,1699293840000,53,
533.14,533.38,533.14,533.31,1843,533.3371,1699293900000,76,
533.31,533.31,533.27,533.27,1160,533.2817,1699293960000,58,
533.38,533.41,533.2,533.2,1744,533.2861,1699294020000,108,
533.16,533.69,533.16,533.54,6666,533.4224,1699294080000,248,
533.54,533.54,533.43,533.43,2356,533.4699,1699294140000,95,
533.47,533.58,533.435,533.435,1125,533.502,1699294200000,70,
533.402,533.402,532.89,533.065,5218,533.0999,1699294260000,177,
533.13,533.2,533.03,533.1025,5576,533.12,1699294320000,175,
533.2,533.23,533.095,533.185,3644,533.1586,1699294380000,125,
533.14,533.3,533.13,533.3,6336,533.1911,1699294440000,173,
533.425,533.44,533.31,533.31,2687,533.374,1699294500000,89,
533.325,533.46,533.325,533.3575,1831,533.3646,1699294560000,65,
533.49,533.49,533.435,533.48,2328,533.4617,1699294620000,139,
533.3601,533.6,533.3601,533.5769,2585,533.5449,1699294680000,109,
533.63,533.63,533.52,533.61,2017,533.5902,1699294740000,89,
