open,high,low,close,volume,vwap,timestamp,transactions,otc
33.6,33.6,33.6,33.6,431,33.6,1690531440000,8,
33.66,33.66,33.66,33.66,200,33.6599,1690532100000,2,
33.65,33.65,33.65,33.65,429,33.6502,1690540020000,5,
33.65,33.65,33.65,33.65,100,33.65,1690540560000,1,
33.68,33.68,33.68,33.68,868,33.6797,1690541820000,3,
33.65,33.66,33.65,33.66,5233,33.6556,1690542000000,29,
33.68,33.68,33.68,33.68,200,33.68,1690542840000,1,
33.69,33.71,33.67,33.7,6729,33.6948,1690542900000,20,
33.7,33.7,33.7,33.7,233,33.6983,1690542960000,3,
33.68,33.68,33.68,33.68,100,33.68,1690543020000,1,
33.71,33.71,33.71,33.71,100,33.71,1690543140000,1,
33.71,33.71,33.71,33.71,202,33.7099,1690543200000,4,
33.7,33.7,33.7,33.7,1098,33.7,1690543260000,11,
33.69,33.69,33.68,33.68,609,33.6849,1690543380000,4,
33.68,33.68,33.68,33.68,100,33.68,1690543440000,1,
33.69,33.69,33.69,33.69,209,33.6904,1690543560000,3,
33.69,33.69,33.69,33.69,411,33.6899,1690543800000,5,
33.68,33.68,33.68,33.68,288,33.6804,1690543980000,4,
33.7,33.7,33.7,33.7,159,33.6997,1690544640000,4,
33.7,33.7,33.7,33.7,477,33.7001,1690545060000,10,
33.7,33.7,33.7,33.7,145,33.7,1690545120000,5,
33.68,33.7397,33.66,33.69,6897,33.6963,1690545600000,107,
33.6,33.6,33.6,33.6,846,33.6258,1690545660000,53,
33.72,33.72,33.72,33.72,624,33.7199,1690545900000,10,
33.73,33.74,33.73,33.74,1909,33.737,1690545960000,7,
33.73,33.73,33.73,33.73,547,33.7294,1690546140000,7,
33.72,33.72,33.72,33.72,154,33.7214,1690546260000,7,
33.73,33.73,33.73,33.73,256,33.7297,1690546380000,4,
33.7,33.73,33.7,33.73,530,33.7121,1690546440000,10,
33.7,33.7,33.7,33.7,547,33.7011,1690546500000,10,
33.7,33.7,33.7,33.7,354,33.7039,1690546560000,9,
33.7,33.73,33.7,33.73,384,33.7135,1690546620000,6,
33.72,33.72,33.72,33.72,605,33.7177,1690546680000,9,
33.71,33.71,33.7,33.7,699,33.7043,1690546800000,5,
33.7,33.7001,33.7,33.7,2425,33.7008,1690546860000,15,
33.7,33.7091,33.7,33.7091,4178,33.7003,1690546920000,13,
33.7095,33.7095,33.7095,33.7095,516,33.7095,1690546980000,2,
33.7099,33.7099,33.7,33.7,882,33.7084,1690547040000,3,
33.7,33.7,33.7,33.7,1002,33.7,1690547160000,3,
33.7,33.7,33.7,33.7,439,33.7029,1690547340000,9,
33.7,33.7,33.7,33.7,125,33.7048,1690547400000,4,
33.7006,33.7006,33.7006,33.7006,151,33.7028,1690547460000,7,
33.71,33.71,33.71,33.71,134,33.7101,1690547520000,7,
33.72,33.72,33.72,33.72,458,33.7199,1690547580000,10,
33.71,33.73,33.71,33.71,374,33.7178,1690547760000,11,
33.72,33.72,33.72,33.72,138,33.7219,1690547820000,6,
33.71,33.71,33.71,33.71,376,33.7101,1690547880000,4,
33.71,33.71,33.7,33.7,712,33.707,1690548000000,11,
33.7,33.7,33.7,33.7,185,33.7001,1690548060000,3,
33.7,33.7,33.7,33.7,301,33.7004,1690548240000,4,
33.7,33.7,33.7,33.7,518,33.7003,1690548540000,2,
33.72,33.72,33.72,33.72,912,33.7193,1690548720000,9,
33.7,33.7,33.7,33.7,214,33.7028,1690548780000,2,
33.7,33.7,33.7,33.7,506,33.7001,1690548900000,12,
33.72,33.72,33.72,33.72,225,33.72,1690548960000,3,
33.72,33.72,33.72,33.72,162,33.72,1690549080000,6,
33.72,33.72,33.72,33.72,937,33.7196,1690549140000,7,
33.73,33.73,33.73,33.73,563,33.7289,1690549200000,7,
33.7,33.72,33.7,33.72,374,33.7056,1690549320000,10,
33.7201,33.7201,33.7201,33.7201,702,33.7202,1690549440000,8,
33.72,33.72,33.72,33.72,1175,33.7208,1690549500000,14,
