open,high,low,close,volume,vwap,timestamp,transactions,otc
46.05,46.05,45.95,45.95,780,45.9962,1690885680000,5,
46.1277,46.1277,46.1277,46.1277,103,46.1278,1690891800000,2,
46.0,46.0,46.0,46.0,1200,46.0,1690893180000,1,
46.0,46.0,46.0,46.0,662,46.0,1690893660000,7,
45.99,45.99,45.99,45.99,600,45.99,1690894140000,1,
46.0,46.0,45.98,45.98,2772,45.9991,1690895460000,29,
45.96,45.96,45.96,45.96,501,45.9605,1690895520000,5,
45.95,45.95,45.95,45.95,160,45.95,1690895580000,2,
45.95,45.95,45.95,45.95,250,45.95,1690896180000,1,
45.9,45.9,45.9,45.9,100,45.9,1690896360000,1,
45.98,46.01,45.98,46.01,7493,46.0088,1690896540000,24,
46.01,46.01,45.98,45.98,12181,45.9971,1690896600000,94,
45.99,45.99,45.97,45.98,3163,45.9842,1690896660000,57,
45.96,46.105,45.955,46.1,172319,46.0378,1690896720000,518,
46.095,46.16,46.07,46.15,39110,46.1109,1690896780000,439,
46.15,46.15,45.93,45.93,36932,46.003,1690896840000,421,
45.935,46.04,45.935,46.035,19352,45.986,1690896900000,314,
46.0213,46.095,46.0,46.095,38298,46.0383,1690896960000,446,
46.105,46.13,46.06,46.08,21640,46.1025,1690897020000,253,
46.06,46.085,46.02,46.07,20175,46.0495,1690897080000,245,
46.05,46.05,45.94,45.97,19003,45.979,1690897140000,249,
45.97,46.01,45.96,45.96,30153,45.9843,1690897200000,339,
45.95,45.98,45.93,45.94,26909,45.9476,1690897260000,269,
45.935,45.96,45.92,45.96,23451,45.9403,1690897320000,252,
45.9745,45.98,45.91,45.93,16299,45.9501,1690897380000,198,
45.92,45.935,45.86,45.875,20552,45.8971,1690897440000,203,
45.88,45.895,45.815,45.86,30627,45.8612,1690897500000,288,
45.85,45.89,45.845,45.88,16286,45.8635,1690897560000,200,
45.885,45.885,45.85,45.88,14297,45.8725,1690897620000,173,
45.8772,45.915,45.85,45.91,13413,45.8727,1690897680000,166,
45.905,45.95,45.8933,45.95,20501,45.9159,1690897740000,225,
45.95,45.98,45.92,45.92,11565,45.96,1690897800000,168,
45.915,45.915,45.85,45.855,11780,45.8779,1690897860000,182,
45.86,45.875,45.8329,45.87,12207,45.8649,1690897920000,180,
45.88,45.918,45.88,45.89,12196,45.8972,1690897980000,145,
45.89,45.89,45.855,45.875,6407,45.8656,1690898040000,98,
45.8737,45.9,45.855,45.88,12136,45.8757,1690898100000,114,
45.89,45.9,45.8592,45.9,31311,45.882,1690898160000,328,
45.89,45.895,45.87,45.89,27794,45.8827,1690898220000,272,
45.895,45.9075,45.88,45.9,17261,45.8976,1690898280000,184,
45.8977,45.92,45.89,45.91,13768,45.904,1690898340000,214,
45.905,45.96,45.85,45.92,39569,45.9042,1690898400000,474,
45.92,45.975,45.92,45.96,18364,45.9588,1690898460000,207,
45.965,45.98,45.93,45.93,18490,45.9529,1690898520000,196,
45.935,45.935,45.9,45.91,25582,45.9151,1690898580000,255,
45.91,45.915,45.8301,45.845,15993,45.8619,1690898640000,175,
45.845,45.845,45.81,45.82,10841,45.8233,1690898700000,181,
45.82,45.845,45.74,45.74,153182,45.7688,1690898760000,412,
45.74,45.745,45.72,45.72,38296,45.7328,1690898820000,302,
45.7174,45.72,45.64,45.66,67721,45.6665,1690898880000,368,
45.64,45.65,45.615,45.635,84011,45.6285,1690898940000,397,
45.635,45.6499,45.59,45.6302,19359,45.6191,1690899000000,206,
45.63,45.63,45.605,45.62,33640,45.621,1690899060000,354,
45.62,45.7,45.62,45.6971,32884,45.6698,1690899120000,284,
45.69,45.69,45.645,45.655,28439,45.6733,1690899180000,279,
45.67,45.67,45.62,45.62,28003,45.6475,1690899240000,224,
45.625,45.665,45.61,45.66,18935,45.6412,1690899300000,181,
45.655,45.67,45.625,45.67,17743,45.6428,1690899360000,241,
45.68,45.746,45.655,45.72,54472,45.7026,1690899420000,438,
45.73,45.735,45.68,45.68,36478,45.7123,1690899480000,312,
45.68,45.72,45.66,45.7,28856,45.6888,1690899540000,295,
45.695,45.695,45.65,45.65,14368,45.6743,1690899600000,137,
45.64,45.64,45.61,45.61,19351,45.6231,1690899660000,211,
45.61,45.63,45.6,45.62,17674,45.6145,1690899720000,164,
45.62,45.64,45.62,45.625,26061,45.6294,1690899780000,202,
45.62,45.63,45.585,45.625,20428,45.6046,1690899840000,213,
45.625,45.6272,45.605,45.61,12597,45.6136,1690899900000,156,
45.61,45.635,45.6097,45.63,39468,45.6231,1690899960000,301,
45.62,45.685,45.615,45.685,54540,45.656,1690900020000,397,
45.6801,45.69,45.65,45.655,14191,45.6759,1690900080000,137,
45.6597,45.67,45.63,45.63,28720,45.6585,1690900140000,161,
45.63,45.63,45.5643,45.575,41332,45.5963,1690900200000,243,
45.565,45.5799,45.56,45.575,12403,45.572,1690900260000,128,
45.57,45.57,45.52,45.5205,25000,45.5463,1690900320000,179,
45.52,45.565,45.51,45.565,38514,45.5289,1690900380000,383,
45.57,45.59,45.53,45.54,17348,45.556,1690900440000,185,
45.54,45.56,45.53,45.53,29907,45.5427,1690900500000,218,
45.535,45.5427,45.5,45.515,33262,45.5171,1690900560000,306,
45.515,45.54,45.5,45.53,39667,45.5143,1690900620000,363,
45.535,45.5399,45.49,45.495,26918,45.5103,1690900680000,185,
45.495,45.52,45.485,45.49,16223,45.5053,1690900740000,208,
45.4911,45.535,45.49,45.53,23979,45.5062,1690900800000,286,
45.5329,45.55,45.52,45.525,13472,45.5337,1690900860000,148,
45.525,45.535,45.49,45.49,12215,45.5168,1690900920000,162,
45.49,45.49,45.46,45.475,23381,45.474,1690900980000,280,
45.47,45.47,45.45,45.45,32042,45.4559,1690901040000,334,
45.4517,45.46,45.45,45.455,9087,45.4544,1690901100000,100,
45.46,45.47,45.44,45.455,37593,45.4523,1690901160000,398,
45.455,45.495,45.45,45.465,20015,45.4761,1690901220000,243,
45.465,45.47,45.44,45.455,21173,45.4569,1690901280000,189,
45.45,45.95,45.43,45.44,27855,45.4492,1690901340000,223,
45.45,45.46,45.425,45.43,15375,45.446,1690901400000,149,
45.43,45.45,45.415,45.415,49315,45.4336,1690901460000,260,
45.415,45.42,45.38,45.384,37929,45.4013,1690901520000,317,
45.385,45.4,45.38,45.39,15792,45.3882,1690901580000,161,
45.39,45.4,45.34,45.34,26341,45.3779,1690901640000,292,
45.345,45.41,45.345,45.405,35122,45.3782,1690901700000,357,
45.4,45.41,45.38,45.3919,29142,45.3952,1690901760000,208,
45.39,45.46,45.39,45.46,28949,45.4206,1690901820000,230,
45.46,45.46,45.41,45.42,30095,45.4272,1690901880000,214,
45.415,45.42,45.4,45.405,16465,45.4079,1690901940000,151,
45.41,45.47,45.4,45.455,24956,45.4395,1690902000000,229,
45.46,45.46,45.44,45.455,14996,45.4535,1690902060000,151,
45.46,45.47,45.445,45.47,14886,45.4566,1690902120000,163,
45.47,45.47,45.441,45.47,16768,45.4577,1690902180000,156,
45.47,45.48,45.45,45.4732,11193,45.4665,1690902240000,128,
45.475,45.505,45.475,45.495,17095,45.4865,1690902300000,178,
45.5,45.5,45.445,45.445,13606,45.4803,1690902360000,157,
45.45,45.45,45.41,45.43,10596,45.4384,1690902420000,116,
45.435,45.45,45.42,45.45,10016,45.4437,1690902480000,89,
45.4401,45.5,45.4401,45.5,6509,45.4778,1690902540000,101,
45.51,45.535,45.5,45.5306,14771,45.5141,1690902600000,153,
45.535,45.555,45.5305,45.545,5999,45.5429,1690902660000,104,
45.545,45.545,45.52,45.53,11200,45.5319,1690902720000,155,
45.5375,45.5375,45.51,45.51,7348,45.5208,1690902780000,90,
45.5,45.505,45.475,45.475,6674,45.4948,1690902840000,115,
45.48,45.48,45.46,45.48,10678,45.4718,1690902900000,116,
45.47,45.47,45.44,45.445,9820,45.4524,1690902960000,94,
45.44,45.4441,45.42,45.42,12736,45.4317,1690903020000,114,
45.42,45.42,45.405,45.41,16790,45.411,1690903080000,174,
45.414,45.44,45.41,45.435,18323,45.4288,1690903140000,175,
45.43,45.435,45.41,45.415,23008,45.4249,1690903200000,213,
45.41,45.42,45.41,45.41,16809,45.4113,1690903260000,121,
45.415,45.445,45.41,45.44,13725,45.4298,1690903320000,135,
45.44,45.44,45.43,45.43,5584,45.4363,1690903380000,56,
45.435,45.435,45.4025,45.4025,8368,45.4137,1690903440000,111,
45.405,45.41,45.375,45.375,37761,45.3937,1690903500000,216,
45.375,45.385,45.3713,45.385,20212,45.3788,1690903560000,201,
45.385,45.4175,45.385,45.4175,14521,45.4061,1690903620000,166,
45.415,45.42,45.4,45.42,9619,45.4103,1690903680000,111,
45.42,45.42,45.41,45.41,2860,45.4131,1690903740000,62,
45.41,45.45,45.41,45.43,32821,45.4347,1690903800000,263,
45.435,45.46,45.435,45.445,12661,45.4469,1690903860000,133,
45.445,45.45,45.43,45.45,23660,45.4428,1690903920000,221,
45.445,45.455,45.43,45.455,10622,45.4419,1690903980000,125,
45.455,45.495,45.45,45.485,14822,45.4701,1690904040000,171,
45.4921,45.5,45.47,45.48,15077,45.4816,1690904100000,169,
45.48,45.48,45.46,45.475,8908,45.473,1690904160000,94,
45.475,45.49,45.47,45.49,14107,45.4816,1690904220000,167,
45.4989,45.515,45.49,45.51,9513,45.5033,1690904280000,107,
45.515,45.53,45.495,45.53,17108,45.5097,1690904340000,178,
45.535,45.545,45.52,45.545,23228,45.5289,1690904400000,196,
45.545,45.55,45.5,45.505,14090,45.5308,1690904460000,144,
45.505,45.52,45.49,45.515,24370,45.5067,1690904520000,248,
45.515,45.53,45.49,45.53,23173,45.5138,1690904580000,176,
45.53,45.56,45.5,45.5,47258,45.5265,1690904640000,316,
45.51,45.515,45.5,45.505,8004,45.508,1690904700000,96,
45.505,45.52,45.495,45.5129,11359,45.5048,1690904760000,131,
45.52,45.52,45.4911,45.515,29851,45.5069,1690904820000,274,
45.52,45.52,45.51,45.52,5137,45.5139,1690904880000,56,
45.52,45.55,45.52,45.55,42154,45.5312,1690904940000,365,
45.5419,45.545,45.54,45.54,4107,45.5385,1690905000000,53,
45.55,45.55,45.52,45.52,10160,45.5381,1690905060000,108,
45.51,45.51,45.49,45.49,5583,45.4994,1690905120000,103,
45.49,45.49,45.47,45.4715,3666,45.4807,1690905180000,68,
45.475,45.48,45.47,45.47,6291,45.4736,1690905240000,86,
45.475,45.48,45.47,45.47,20789,45.4781,1690905300000,204,
45.47,45.47,45.43,45.45,17387,45.4463,1690905360000,180,
45.45,45.46,45.445,45.445,21151,45.4579,1690905420000,190,
45.44,45.455,45.43,45.45,25010,45.4428,1690905480000,226,
45.445,45.455,45.44,45.45,22141,45.4496,1690905540000,167,
45.45,45.5,45.45,45.49,31422,45.4661,1690905600000,287,
45.49,45.49,45.45,45.45,26795,45.4726,1690905660000,219,
45.46,45.465,45.45,45.45,8486,45.4598,1690905720000,92,
45.455,45.4675,45.445,45.4615,11590,45.4578,1690905780000,137,
45.46,45.4775,45.45,45.4721,13960,45.4634,1690905840000,155,
45.47,45.475,45.46,45.465,12294,45.4665,1690905900000,122,
45.46,45.4617,45.44,45.44,20114,45.4447,1690905960000,153,
45.45,45.46,45.43,45.435,24638,45.4499,1690906020000,187,
45.435,45.46,45.43,45.4416,13717,45.4436,1690906080000,133,
45.445,45.46,45.44,45.45,8089,45.447,1690906140000,114,
45.4547,45.49,45.4547,45.49,19871,45.4694,1690906200000,214,
45.48,45.49,45.475,45.48,14700,45.4805,1690906260000,137,
45.48,45.4875,45.46,45.46,12140,45.4733,1690906320000,138,
45.4534,45.465,45.45,45.45,21783,45.4538,1690906380000,214,
45.45,45.46,45.44,45.45,7789,45.4481,1690906440000,107,
45.455,45.4575,45.44,45.45,14324,45.4493,1690906500000,134,
45.45,45.475,45.4401,45.47,22838,45.4607,1690906560000,245,
45.47,45.48,45.44,45.445,27438,45.465,1690906620000,265,
45.4416,45.465,45.44,45.45,9592,45.4506,1690906680000,122,
45.455,45.47,45.43,45.47,23613,45.4481,1690906740000,180,
45.47,45.47,45.46,45.46,3152,45.4612,1690906800000,56,
45.46,45.48,45.46,45.4771,11222,45.4688,1690906860000,148,
45.48,45.48,45.47,45.48,1630,45.4787,1690906920000,41,
45.47,45.4775,45.46,45.465,12847,45.4674,1690906980000,145,
45.46,45.465,45.46,45.465,6551,45.4615,1690907040000,71,
45.46,45.47,45.455,45.46,16588,45.4603,1690907100000,161,
45.4667,45.48,45.465,45.4775,26843,45.4748,1690907160000,260,
45.48,45.48,45.4691,45.4691,19148,45.4762,1690907220000,199,
45.47,45.4784,45.46,45.475,8867,45.4723,1690907280000,87,
45.48,45.485,45.47,45.47,22544,45.4785,1690907340000,185,
45.475,45.48,45.47,45.4799,10836,45.4793,1690907400000,118,
45.475,45.48,45.462,45.48,22626,45.4755,1690907460000,209,
45.47,45.48,45.47,45.48,24153,45.4791,1690907520000,216,
45.475,45.525,45.47,45.475,79647,45.4908,1690907580000,693,
45.48,45.48,45.46,45.4699,11006,45.4745,1690907640000,112,
45.465,45.48,45.465,45.475,13198,45.4737,1690907700000,152,
45.4709,45.495,45.4709,45.49,19393,45.4764,1690907760000,146,
45.495,45.4975,45.47,45.48,28150,45.4839,1690907820000,207,
45.475,45.4775,45.46,45.46,5834,45.4646,1690907880000,47,
45.465,45.47,45.46,45.47,10433,45.4672,1690907940000,126,
45.47,45.495,45.47,45.4832,23070,45.4855,1690908000000,227,
45.485,45.49,45.48,45.485,17616,45.4871,1690908060000,186,
45.4875,45.495,45.485,45.495,20936,45.4885,1690908120000,176,
45.49,45.495,45.48,45.48,16808,45.4888,1690908180000,99,
45.49,45.51,45.48,45.49,81966,45.4928,1690908240000,366,
45.5,45.535,45.48,45.48,61703,45.5114,1690908300000,375,
45.49,45.495,45.475,45.48,40950,45.4873,1690908360000,274,
45.49,45.505,45.48,45.495,59575,45.4907,1690908420000,481,
45.49,45.5,45.49,45.5,2969,45.4965,1690908480000,46,
45.495,45.5,45.4801,45.4801,39256,45.4945,1690908540000,236,
45.48,45.49,45.475,45.48,16683,45.4849,1690908600000,197,
45.48,45.5,45.48,45.5,65437,45.4813,1690908660000,136,
45.505,45.515,45.49,45.492,39205,45.5023,1690908720000,140,
45.4975,45.4975,45.48,45.4903,15287,45.4875,1690908780000,97,
45.495,45.5,45.48,45.48,12781,45.4955,1690908840000,139,
45.49,45.495,45.485,45.485,6552,45.49,1690908900000,91,
45.49,45.5,45.49,45.5,14075,45.4944,1690908960000,150,
45.5,45.5,45.48,45.49,11845,45.4946,1690909020000,148,
45.485,45.495,45.48,45.49,26548,45.4893,1690909080000,152,
45.49,45.515,45.49,45.515,12585,45.5041,1690909140000,129,
45.52,45.5575,45.5,45.51,71988,45.5216,1690909200000,561,
45.5175,45.5175,45.48,45.48,21114,45.4973,1690909260000,173,
45.4875,45.4875,45.45,45.465,22100,45.4658,1690909320000,171,
45.47,45.49,45.45,45.49,13403,45.4725,1690909380000,150,
45.49,45.49,45.48,45.485,12992,45.486,1690909440000,104,
45.49,45.495,45.48,45.48,11628,45.4841,1690909500000,144,
45.4875,45.51,45.48,45.485,10892,45.4924,1690909560000,130,
45.48,45.49,45.47,45.47,14965,45.4761,1690909620000,135,
45.47,45.48,45.45,45.47,10281,45.4673,1690909680000,148,
45.475,45.485,45.46,45.465,24545,45.4775,1690909740000,233,
45.46,45.4775,45.46,45.47,21180,45.4689,1690909800000,163,
45.465,45.4699,45.45,45.45,15064,45.4571,1690909860000,182,
45.445,45.455,45.4367,45.441,24826,45.4442,1690909920000,172,
45.445,45.445,45.43,45.43,9418,45.4397,1690909980000,132,
45.43,45.43,45.41,45.41,13619,45.4179,1690910040000,129,
45.4164,45.4164,45.4033,45.41,11934,45.4096,1690910100000,129,
45.415,45.445,45.415,45.445,11321,45.4304,1690910160000,145,
45.45,45.47,45.45,45.465,17406,45.4613,1690910220000,153,
45.47,45.495,45.47,45.495,8447,45.4816,1690910280000,83,
45.5,45.5,45.49,45.5,5711,45.4957,1690910340000,62,
45.5,45.5,45.49,45.495,11429,45.4992,1690910400000,135,
45.5,45.505,45.48,45.5,43504,45.4959,1690910460000,332,
45.49,45.51,45.49,45.5092,9516,45.4987,1690910520000,86,
45.5018,45.53,45.5018,45.52,29334,45.5179,1690910580000,154,
45.52,45.52,45.51,45.515,3243,45.5163,1690910640000,49,
45.515,45.5175,45.485,45.4914,40933,45.5003,1690910700000,352,
45.49,45.5,45.48,45.48,1910,45.4888,1690910760000,33,
45.485,45.5,45.48,45.48,29463,45.4916,1690910820000,238,
45.485,45.49,45.48,45.48,12637,45.4884,1690910880000,135,
45.48,45.495,45.48,45.495,7780,45.4861,1690910940000,79,
45.5,45.53,45.5,45.505,30189,45.516,1690911000000,254,
45.505,45.515,45.49,45.5,49255,45.502,1690911060000,336,
45.51,45.51,45.5,45.5,6128,45.5075,1690911120000,86,
45.5,45.515,45.5,45.505,43423,45.5086,1690911180000,367,
45.51,45.57,45.5086,45.545,86044,45.5465,1690911240000,489,
45.55,45.55,45.535,45.5418,13486,45.5404,1690911300000,167,
45.55,45.55,45.53,45.54,28279,45.5391,1690911360000,249,
45.54,45.555,45.53,45.5327,27747,45.5389,1690911420000,249,
45.5375,45.545,45.53,45.535,28181,45.5333,1690911480000,295,
45.53,45.54,45.52,45.525,18091,45.5295,1690911540000,188,
45.52,45.53,45.515,45.53,12342,45.5219,1690911600000,144,
45.53,45.53,45.52,45.525,2599,45.5223,1690911660000,32,
45.52,45.525,45.51,45.515,6116,45.5154,1690911720000,67,
45.515,45.517,45.51,45.515,80923,45.5017,1690911780000,109,
45.515,45.52,45.51,45.515,11109,45.5188,1690911840000,133,
45.51,45.52,45.4962,45.51,22214,45.5083,1690911900000,197,
45.515,45.52,45.51,45.5152,3052,45.515,1690911960000,46,
45.52,45.52,45.505,45.51,13416,45.5148,1690912020000,192,
45.51,45.515,45.51,45.5124,4400,45.5119,1690912080000,38,
45.51,45.525,45.5,45.52,22876,45.517,1690912140000,255,
45.52,45.5395,45.52,45.53,26624,45.5256,1690912200000,194,
45.53,45.535,45.52,45.535,7605,45.5276,1690912260000,77,
45.53,45.5395,45.52,45.525,11082,45.528,1690912320000,117,
45.52,45.54,45.52,45.54,9105,45.5295,1690912380000,110,
45.54,45.54,45.53,45.5385,4663,45.5358,1690912440000,37,
45.53,45.54,45.53,45.5325,11653,45.5315,1690912500000,118,
45.535,45.54,45.53,45.535,23199,45.5357,1690912560000,202,
45.53,45.54,45.53,45.54,12366,45.5341,1690912620000,108,
45.54,45.54,45.525,45.53,15488,45.5351,1690912680000,158,
45.535,45.54,45.53,45.535,13218,45.5322,1690912740000,94,
45.535,45.54,45.52,45.525,13934,45.5298,1690912800000,111,
45.53,45.55,45.53,45.55,47422,45.5388,1690912860000,361,
45.55,45.56,45.54,45.54,16371,45.5494,1690912920000,177,
45.545,45.55,45.535,45.535,4287,45.5407,1690912980000,74,
45.53,45.54,45.53,45.535,3894,45.5309,1690913040000,66,
45.54,45.555,45.535,45.55,24666,45.5441,1690913100000,243,
45.54,45.555,45.54,45.54,15743,45.5481,1690913160000,176,
45.545,45.55,45.54,45.545,13930,45.5463,1690913220000,132,
45.54,45.5499,45.54,45.54,13454,45.5424,1690913280000,140,
45.545,45.55,45.54,45.545,3624,45.5447,1690913340000,59,
45.54,45.555,45.54,45.55,11640,45.5499,1690913400000,130,
45.55,45.56,45.55,45.56,3705,45.5557,1690913460000,59,
45.57,45.58,45.54,45.545,28989,45.5591,1690913520000,283,
45.545,45.545,45.54,45.54,6192,45.5444,1690913580000,60,
45.545,45.56,45.54,45.5539,13437,45.5497,1690913640000,140,
