open,high,low,close,volume,vwap,timestamp,transactions,otc
93.7,93.7,93.7,93.7,201,93.7,1659514260000,3,
94.0,94.0,94.0,94.0,549,94.0108,1659514800000,11,
94.07,94.07,94.07,94.07,100,94.07,1659515460000,1,
94.2,94.2,94.2,94.2,427,94.1954,1659516120000,7,
94.05,94.05,94.05,94.05,400,94.05,1659517260000,5,
93.88,93.88,93.88,93.88,293,93.8819,1659524220000,4,
93.95,93.95,93.95,93.95,682,93.8895,1659524700000,10,
93.92,93.95,93.92,93.95,405,93.9283,1659524940000,5,
93.95,93.95,93.95,93.95,234,93.9474,1659525420000,3,
93.95,94.0,93.95,94.0,1155,93.9844,1659525480000,11,
94.0,94.0,94.0,94.0,361,94.0,1659525600000,7,
94.0,94.0,94.0,94.0,1080,94.0009,1659525660000,6,
94.12,94.16,94.12,94.16,579,94.1241,1659525900000,12,
94.17,94.17,94.17,94.17,1000,94.1683,1659526140000,4,
94.18,94.39,94.18,94.39,2561,94.2309,1659526260000,26,
94.5,94.5,94.5,94.5,439,94.5076,1659526620000,8,
94.5,94.5,94.5,94.5,387,94.5,1659526980000,4,
94.5,94.5,94.5,94.5,113,94.5,1659527040000,1,
94.5,94.7,94.5,94.6,4695,94.6123,1659527100000,40,
94.64,94.64,94.64,94.64,376,94.64,1659527220000,3,
94.6,94.6,94.6,94.6,439,94.5995,1659527340000,4,
94.64,94.64,94.64,94.64,656,94.6345,1659527400000,13,
94.7,94.7,94.7,94.7,500,94.6984,1659527520000,2,
94.62,94.7,94.62,94.7,902,94.6811,1659527640000,5,
94.64,94.64,94.64,94.64,267,94.6532,1659527820000,7,
94.7,94.81,94.7,94.78,849,94.7697,1659527880000,16,
93.7,94.95,93.7,94.72,4409,94.1013,1659528000000,67,
93.92,93.92,93.88,93.88,868,93.9333,1659528060000,5,
94.84,94.84,94.8,94.8,972,94.7843,1659528180000,35,
94.84,94.84,94.84,94.84,429,94.8371,1659528240000,9,
94.93,94.93,94.93,94.93,102,94.9279,1659528360000,3,
94.93,94.95,94.89,94.95,1194,94.9179,1659528540000,11,
94.99,95.142,94.95,95.142,2503,95.0254,1659528600000,36,
95.0,95.0,95.0,95.0,667,95.0107,1659528660000,11,
95.05,95.05,95.05,95.05,548,95.0279,1659528720000,16,
95.05,95.05,95.05,95.05,109,95.0425,1659528780000,4,
94.96,94.96,94.95,94.95,1369,94.9483,1659528840000,10,
94.9499,95.05,94.88,95.05,2674,94.9483,1659528960000,20,
95.05,95.05,94.93,94.93,1442,94.9379,1659529020000,34,
94.8,95.0,94.8,95.0,720,94.9566,1659529140000,9,
95.0,95.0,94.95,95.0,1325,94.9962,1659529200000,4,
95.05,95.05,95.05,95.05,1059,95.0522,1659529260000,10,
95.1,95.1,95.1,95.1,740,95.0989,1659529440000,9,
95.1,95.15,95.1,95.15,1000,95.1413,1659529560000,15,
95.22,95.22,95.22,95.22,246,95.2046,1659529620000,10,
95.15,95.15,95.15,95.15,101,95.1505,1659529680000,2,
95.1041,95.1041,95.1,95.1,378,95.1022,1659529800000,2,
95.1016,95.24,95.1,95.24,4046,95.1581,1659529860000,30,
95.25,95.3,95.25,95.3,1670,95.2866,1659529920000,16,
95.36,95.36,95.35,95.35,783,95.3581,1659529980000,18,
95.35,95.35,95.35,95.35,4623,95.3514,1659530040000,23,
95.35,95.35,95.3,95.3,613,95.3167,1659530100000,7,
95.3,95.31,95.2,95.2,1730,95.2443,1659530160000,16,
95.11,95.11,95.1,95.1,1071,95.1029,1659530220000,18,
95.06,95.06,95.06,95.06,551,95.0562,1659530280000,6,
95.0,95.1,95.0,95.1,682,95.0767,1659530340000,5,
95.0999,95.1,95.09,95.1,581,95.0983,1659530400000,6,
95.12,95.12,95.12,95.12,295,95.123,1659530460000,4,
95.15,95.17,95.15,95.17,359,95.1599,1659530520000,7,
95.17,95.17,95.16,95.17,919,95.1686,1659530580000,7,
95.1201,95.1201,95.12,95.12,1090,95.1232,1659530640000,4,
95.17,95.17,95.17,95.17,284,95.1815,1659530700000,7,
95.17,95.17,95.17,95.17,682,95.1787,1659530760000,12,
95.23,95.24,95.23,95.24,719,95.2334,1659530820000,5,
95.17,95.17,95.17,95.17,150,95.1952,1659531000000,2,
95.25,95.25,95.2,95.2,734,95.2342,1659531060000,5,
95.2,95.25,95.2,95.25,1730,95.2451,1659531120000,23,
